Date,Open,Close,High,Low,Volume
16-11-20,8.1,8.1,8.1,8.1,0
17-11-20,8.6,8.6,8.6,8.6,300
18-11-20,8.0,8.0,8.0,8.0,700
19-11-20,8.6,8.8,8.8,8.6,3600
20-11-20,8.8,8.8,8.8,8.8,400
23-11-20,8.8,8.8,8.8,8.8,0
24-11-20,9.2,9.1,9.2,9.1,400
25-11-20,9.0,9.0,9.0,9.0,100
26-11-20,9.0,9.0,9.0,9.0,0
27-11-20,8.9,8.9,8.9,8.9,500
30-11-20,9.0,9.0,9.0,9.0,100
01-12-20,9.0,9.0,9.0,9.0,200
02-12-20,9.1,9.1,9.1,9.1,600
03-12-20,9.2,9.2,9.2,9.2,800
04-12-20,9.2,9.2,9.2,9.2,0
07-12-20,9.0,8.9,9.0,8.9,300
08-12-20,9.0,9.0,9.0,9.0,840
09-12-20,8.5,8.6,8.6,8.5,4310
10-12-20,8.7,8.7,8.7,8.7,100
11-12-20,8.7,8.7,8.7,8.7,0
14-12-20,8.7,8.7,8.7,8.7,0
15-12-20,8.7,8.7,8.7,8.7,0
16-12-20,8.6,8.8,8.8,8.6,800
17-12-20,9.0,9.0,9.0,9.0,2000
18-12-20,8.6,8.6,8.6,8.6,400
21-12-20,8.6,8.6,8.6,8.6,0
22-12-20,8.6,8.6,8.6,8.6,0
23-12-20,8.8,8.8,8.8,8.8,4000
24-12-20,8.8,8.8,8.8,8.8,0
25-12-20,8.5,8.5,8.5,8.5,100
28-12-20,8.5,8.5,8.5,8.5,0
29-12-20,8.5,8.8,8.8,8.1,1200
30-12-20,9.0,9.0,9.0,9.0,500
31-12-20,9.0,9.0,9.0,9.0,200
04-01-21,9.0,9.0,9.0,9.0,500
05-01-21,9.0,9.0,9.0,9.0,0
06-01-21,9.0,9.0,9.0,9.0,0
07-01-21,9.0,9.0,9.0,9.0,100
08-01-21,9.0,9.0,9.0,9.0,0
11-01-21,9.0,9.0,9.0,9.0,1000
12-01-21,9.0,9.0,9.0,9.0,0
13-01-21,9.0,9.0,9.0,9.0,0
14-01-21,9.0,9.0,9.0,9.0,0
15-01-21,9.0,9.0,9.0,9.0,0
18-01-21,9.0,9.0,9.2,9.0,3000
19-01-21,9.0,8.7,9.0,8.7,400
