Date,Open,Close,High,Low,Volume
16-11-20,5.0,5.0,5.0,5.0,400
17-11-20,4.6,4.6,4.6,4.6,500
18-11-20,4.6,4.6,4.6,4.6,900
19-11-20,4.9,4.9,4.9,4.9,101
20-11-20,4.9,4.9,4.9,4.9,0
23-11-20,4.9,4.9,4.9,4.9,0
24-11-20,4.9,4.9,4.9,4.9,0
25-11-20,4.9,4.9,4.9,4.9,600
26-11-20,4.9,4.9,4.9,4.9,0
27-11-20,4.7,4.7,4.7,4.7,105
30-11-20,4.8,4.8,4.8,4.8,2700
01-12-20,4.8,4.8,4.8,4.8,0
02-12-20,4.6,4.6,4.6,4.6,300
03-12-20,4.7,5.0,5.0,4.6,500
04-12-20,5.0,5.0,5.0,5.0,700
07-12-20,5.0,5.0,5.0,5.0,1100
08-12-20,4.9,4.8,4.9,4.8,700
09-12-20,4.8,4.8,4.8,4.8,300
10-12-20,4.8,4.8,4.8,4.8,20
11-12-20,4.8,4.8,4.8,4.8,0
14-12-20,4.8,4.8,4.8,4.8,0
15-12-20,4.5,4.5,4.5,4.5,1020
16-12-20,4.7,4.6,4.7,4.6,200
17-12-20,4.6,4.6,4.6,4.6,10
18-12-20,4.6,4.6,4.6,4.6,0
21-12-20,4.6,4.6,4.6,4.6,0
22-12-20,5.0,5.0,5.0,5.0,1000
23-12-20,5.5,5.2,5.5,5.2,2270
24-12-20,5.3,5.3,5.3,5.3,100
25-12-20,5.3,5.3,5.3,5.3,40
28-12-20,5.0,5.0,5.0,5.0,2763
29-12-20,5.0,5.0,5.0,5.0,627
30-12-20,5.1,5.5,5.5,5.1,3620
31-12-20,5.5,5.9,5.9,5.5,3735
04-01-21,5.9,5.9,5.9,5.9,2510
05-01-21,5.9,6.3,6.3,5.9,7950
06-01-21,6.4,6.4,6.4,6.4,435
07-01-21,6.4,6.4,6.4,6.4,10
08-01-21,6.4,6.4,6.4,6.4,100
11-01-21,6.4,6.4,6.4,6.4,103
12-01-21,6.1,6.1,6.1,5.9,6000
13-01-21,6.1,6.3,6.3,6.1,16200
14-01-21,6.3,6.2,6.3,6.2,1600
15-01-21,6.2,6.4,6.4,6.0,9700
18-01-21,6.4,6.5,6.5,6.1,2500
19-01-21,6.5,6.4,6.5,6.2,4400
20-01-21,6.0,5.9,6.0,5.9,1900
21-01-21,5.9,6.2,6.2,5.9,4200
22-01-21,6.2,6.2,6.2,6.2,0
25-01-21,6.2,6.3,6.3,6.2,363
26-01-21,5.9,5.9,5.9,5.9,3300
27-01-21,5.8,5.6,5.8,5.6,3500
28-01-21,5.5,5.5,5.5,5.5,400
29-01-21,5.5,5.5,5.5,5.5,800
01-02-21,5.5,5.5,5.5,5.5,0
02-02-21,5.5,5.5,5.5,5.5,0
03-02-21,5.5,5.5,5.5,5.5,45
04-02-21,5.5,5.4,5.5,5.4,600
05-02-21,5.4,5.4,5.4,5.4,0
08-02-21,5.4,5.4,5.4,5.4,3300
09-02-21,5.4,5.8,5.8,5.4,209
17-02-21,5.8,5.8,5.8,5.8,200
18-02-21,5.8,5.8,5.8,5.8,60
19-02-21,5.7,5.7,5.7,5.7,400
22-02-21,5.7,5.7,5.7,5.7,0
23-02-21,5.7,5.7,5.7,5.7,100
24-02-21,5.7,5.7,5.7,5.7,0
25-02-21,5.7,5.7,5.7,5.7,0
26-02-21,6.0,6.2,6.2,6.0,11500
01-03-21,6.8,6.8,6.8,6.8,12201
02-03-21,7.4,7.4,7.4,7.4,9300
03-03-21,8.1,7.8,8.1,7.8,2500
04-03-21,8.0,7.6,8.0,7.1,16900
05-03-21,7.6,7.5,7.6,7.5,3937
08-03-21,7.5,8.2,8.2,7.5,34300
09-03-21,7.5,7.6,8.1,7.4,10100
10-03-21,7.6,7.6,7.6,7.6,3300
11-03-21,7.6,7.7,7.7,7.6,910
12-03-21,7.7,7.7,7.7,7.7,2406
15-03-21,7.7,7.9,7.9,7.7,1240
16-03-21,8.1,8.1,8.1,8.1,100
17-03-21,8.3,8.1,8.3,8.1,450
18-03-21,8.1,8.1,8.1,8.1,600
19-03-21,8.1,7.6,8.1,7.5,500
22-03-21,7.4,7.4,7.4,7.4,4200
23-03-21,7.2,7.2,7.2,7.2,1700
24-03-21,7.0,7.2,7.2,6.9,400
25-03-21,7.2,7.2,7.2,7.2,0
26-03-21,7.2,7.4,7.9,7.1,11200
29-03-21,7.3,7.9,7.9,7.3,436
30-03-21,7.9,7.9,7.9,7.9,100
31-03-21,7.9,7.9,7.9,7.9,300
01-04-21,7.9,7.9,7.9,7.9,313
02-04-21,8.0,8.0,8.0,8.0,3900
05-04-21,8.0,8.1,8.4,7.5,4180
06-04-21,7.6,7.7,8.1,7.4,4100
07-04-21,7.8,7.8,7.8,7.8,100
08-04-21,7.6,7.6,7.6,7.6,100
09-04-21,7.6,7.9,7.9,7.6,5900
12-04-21,8.1,8.2,8.2,7.9,10813
13-04-21,8.6,8.2,8.6,8.2,1100
14-04-21,8.2,8.4,8.4,8.2,3600
15-04-21,8.4,8.5,9.0,8.4,7410
16-04-21,8.2,7.8,8.2,7.8,10635
19-04-21,7.8,8.3,8.3,7.8,14800
20-04-21,8.3,8.3,8.3,8.2,3300
22-04-21,7.9,7.8,7.9,7.8,2400
23-04-21,7.2,8.0,8.0,7.2,3100
26-04-21,8.0,8.0,8.0,8.0,0
27-04-21,7.3,8.0,8.0,7.3,2000
28-04-21,7.5,7.5,7.5,7.5,200
29-04-21,7.5,7.5,7.5,7.5,0
04-05-21,6.9,7.9,7.9,6.9,12400
05-05-21,7.9,8.1,8.1,7.9,252
06-05-21,8.1,7.3,8.1,7.3,2536
07-05-21,7.3,7.3,7.3,7.3,830
10-05-21,6.8,6.7,6.8,6.7,9400
11-05-21,6.6,6.7,6.7,6.3,1248
12-05-21,6.8,6.8,6.8,6.8,4830
13-05-21,6.8,7.2,7.2,6.8,8100
14-05-21,6.6,6.9,6.9,6.6,700
17-05-21,6.9,6.9,6.9,6.9,0
18-05-21,6.4,6.4,6.4,6.4,4600
19-05-21,6.9,6.9,6.9,6.9,2000
20-05-21,6.9,7.2,7.2,6.9,2500
21-05-21,7.2,7.2,7.2,7.2,0
24-05-21,7.2,7.2,7.2,7.2,0
25-05-21,7.0,7.0,7.0,7.0,1000
26-05-21,7.3,7.3,7.3,7.3,100
27-05-21,7.3,7.3,7.3,7.3,0
28-05-21,6.6,7.0,7.0,6.6,1600
31-05-21,7.0,7.0,7.0,7.0,0
01-06-21,7.0,7.0,7.0,7.0,0
02-06-21,6.9,6.9,6.9,6.9,800
03-06-21,6.9,6.9,6.9,6.9,4
04-06-21,6.9,6.9,6.9,6.3,3976
07-06-21,6.9,6.9,6.9,6.9,300
08-06-21,6.9,6.9,6.9,6.9,0
09-06-21,6.5,6.5,6.5,6.5,3800
10-06-21,6.5,6.9,6.9,6.5,230
11-06-21,6.5,7.0,7.0,6.5,200
14-06-21,6.5,7.0,7.0,6.5,600
15-06-21,6.5,7.0,7.0,6.5,1200
16-06-21,7.0,7.0,7.0,7.0,1
17-06-21,7.0,7.0,7.0,7.0,0
18-06-21,7.0,7.0,7.0,6.6,2452
21-06-21,7.0,7.0,7.0,7.0,0
22-06-21,7.0,7.0,7.0,7.0,30
23-06-21,7.0,7.0,7.0,7.0,0
24-06-21,7.0,7.0,7.0,7.0,0
25-06-21,7.0,7.0,7.0,7.0,0
28-06-21,6.6,6.6,6.6,6.6,800
29-06-21,7.0,6.9,7.0,6.8,6620
30-06-21,6.9,7.0,7.1,6.9,5100
01-07-21,7.0,7.0,7.0,7.0,500
02-07-21,7.0,7.0,7.0,7.0,2500
05-07-21,6.9,7.0,7.0,6.9,400
06-07-21,7.0,7.0,7.0,7.0,0
07-07-21,7.0,7.0,7.0,7.0,0
08-07-21,7.3,7.3,7.3,7.3,100
09-07-21,7.3,7.3,7.3,7.3,0
12-07-21,7.3,7.3,7.3,7.3,0
13-07-21,6.6,6.6,6.6,6.6,520
14-07-21,6.0,6.2,6.2,6.0,31379
15-07-21,6.2,6.2,6.2,6.2,0
16-07-21,6.2,6.2,6.2,6.2,0
19-07-21,6.1,6.1,6.1,6.1,100
20-07-21,6.1,6.1,6.1,6.1,0
21-07-21,6.1,6.1,6.1,6.1,0
22-07-21,6.1,6.1,6.1,6.1,1800
23-07-21,5.6,5.6,5.6,5.6,128
26-07-21,6.1,6.1,6.1,6.1,100
27-07-21,6.4,6.6,6.6,6.4,200
28-07-21,6.0,6.1,6.4,6.0,1700
29-07-21,5.8,5.8,5.8,5.8,1700
30-07-21,5.8,5.8,5.8,5.8,0
02-08-21,5.7,6.2,6.2,5.4,4179
03-08-21,5.8,6.6,6.6,5.8,3900
04-08-21,6.4,6.2,6.4,6.2,400
05-08-21,6.2,6.2,6.2,6.2,600
06-08-21,6.2,6.2,6.2,6.2,0
09-08-21,6.2,6.2,6.2,6.2,27
10-08-21,5.7,5.7,5.7,5.7,1200
11-08-21,5.7,5.7,5.7,5.7,15
12-08-21,5.7,5.7,5.7,5.7,0
13-08-21,5.7,5.7,5.7,5.7,0
16-08-21,5.7,5.7,5.7,5.7,300
17-08-21,5.8,5.8,5.8,5.8,1627
18-08-21,6.0,6.0,6.0,6.0,700
19-08-21,6.0,6.0,6.0,6.0,0
20-08-21,5.7,6.5,6.5,5.6,1200
23-08-21,6.5,6.5,6.5,6.5,100
24-08-21,6.2,6.2,6.2,6.2,100
25-08-21,6.2,6.2,6.2,6.2,0
26-08-21,6.4,6.4,6.4,6.4,2300
27-08-21,5.8,5.8,5.8,5.8,1100
30-08-21,5.7,6.3,6.3,5.7,400
31-08-21,6.3,6.3,6.3,6.3,100
01-09-21,6.3,6.3,6.3,6.3,200
06-09-21,5.8,6.5,6.5,5.8,363
07-09-21,6.3,6.3,6.4,6.3,8000
08-09-21,6.4,6.5,6.5,6.4,3105
09-09-21,6.5,6.7,6.7,6.5,3500
10-09-21,6.8,6.8,6.8,6.8,1600
13-09-21,6.2,6.8,7.0,6.2,1200
14-09-21,6.8,6.8,6.8,6.8,1505
15-09-21,6.8,6.8,6.8,6.8,0
16-09-21,6.8,6.8,6.8,6.8,0
17-09-21,6.8,6.8,6.8,6.8,0
20-09-21,6.8,6.9,7.0,6.8,5400
21-09-21,7.0,7.1,7.1,7.0,600
22-09-21,6.9,7.1,7.2,6.9,6845
23-09-21,7.0,7.1,7.3,6.9,4200
24-09-21,7.1,7.1,7.2,7.1,3600
27-09-21,6.7,6.9,6.9,6.7,800
28-09-21,6.9,6.9,6.9,6.9,1200
29-09-21,6.9,6.9,6.9,6.9,300
30-09-21,6.5,7.0,7.0,6.5,800
01-10-21,6.7,7.2,7.2,6.7,300
04-10-21,7.0,7.2,7.2,7.0,3002
05-10-21,7.1,7.1,7.1,6.5,10100
06-10-21,7.1,7.1,7.1,7.1,44
07-10-21,7.1,7.1,7.1,7.1,0
08-10-21,6.9,6.9,6.9,6.9,902
11-10-21,6.9,6.9,6.9,6.9,0
12-10-21,6.9,6.9,6.9,6.9,0
13-10-21,6.9,6.9,6.9,6.9,0
14-10-21,6.9,7.2,7.2,6.9,1900
15-10-21,6.6,7.0,7.0,6.6,500
18-10-21,6.5,6.9,6.9,6.4,8400
19-10-21,6.9,6.9,6.9,6.9,565
20-10-21,6.9,6.9,6.9,6.5,3882
21-10-21,6.5,6.8,6.8,6.4,3000
22-10-21,6.7,6.6,6.8,6.4,1410
25-10-21,6.6,6.7,6.7,6.6,10000
26-10-21,6.7,6.9,7.0,6.7,4600
27-10-21,6.8,6.8,6.8,6.8,2810
28-10-21,6.8,6.8,6.8,6.8,600
29-10-21,6.8,6.9,6.9,6.6,3452
01-11-21,6.7,7.3,7.3,6.7,16900
02-11-21,7.1,7.5,7.5,7.1,1700
03-11-21,7.5,7.4,7.5,7.4,749
04-11-21,7.4,7.4,7.4,7.4,0
05-11-21,7.0,7.1,7.2,6.8,7500
08-11-21,7.4,7.2,7.4,7.2,6220
09-11-21,7.2,7.2,7.3,7.1,5178
10-11-21,7.2,7.1,7.2,7.1,7500
11-11-21,7.3,7.1,7.3,7.0,2700
12-11-21,7.1,7.2,7.2,7.0,4200
15-11-21,7.3,7.9,7.9,7.3,56504
16-11-21,7.9,8.6,8.6,7.9,39654
17-11-21,9.0,9.1,9.1,8.6,13698
18-11-21,9.0,8.8,9.0,8.2,14002
19-11-21,8.8,8.2,9.1,8.2,9180
22-11-21,8.5,8.3,8.5,7.8,2156
23-11-21,8.3,8.1,8.3,7.7,3583
24-11-21,8.4,8.5,8.5,7.5,20186
25-11-21,8.5,8.4,8.5,8.4,1526
26-11-21,8.4,8.3,8.4,7.8,9621
29-11-21,8.0,8.2,8.2,8.0,1251
30-11-21,7.9,7.8,7.9,7.8,3930
01-12-21,7.9,8.3,8.3,7.7,7300
02-12-21,8.3,8.6,8.6,8.3,2100
03-12-21,8.0,8.5,8.5,7.9,13054
06-12-21,8.2,8.2,8.2,8.2,100
07-12-21,7.5,8.0,8.2,7.5,2500
08-12-21,8.5,8.4,8.6,8.1,800
09-12-21,7.7,7.6,7.7,7.6,964
10-12-21,7.5,8.0,8.0,7.5,1501
13-12-21,8.0,8.6,8.6,8.0,500
14-12-21,8.0,8.0,8.0,7.8,3800
15-12-21,8.0,8.2,8.2,8.0,1500
16-12-21,7.5,8.2,8.3,7.5,9864
17-12-21,8.2,8.2,8.2,8.1,1226
20-12-21,8.2,8.2,8.2,7.9,400
21-12-21,8.1,8.2,8.2,8.1,300
22-12-21,8.2,8.2,8.9,8.2,16500
23-12-21,7.8,8.2,8.2,7.6,5415
24-12-21,8.3,8.2,8.3,8.2,30300
27-12-21,8.1,7.8,8.1,7.7,1100
28-12-21,8.0,8.1,8.1,8.0,300
29-12-21,8.1,8.4,8.4,8.1,1300
30-12-21,8.2,8.0,8.2,8.0,1400
31-12-21,8.2,8.1,8.2,8.1,4320
04-01-22,8.1,8.1,8.1,8.1,1339
05-01-22,8.2,8.1,8.2,8.1,1458
06-01-22,8.0,8.2,8.2,8.0,644
07-01-22,8.2,8.2,8.2,7.5,4924
10-01-22,8.2,8.2,8.2,7.9,6531
11-01-22,8.3,8.3,8.3,8.3,4544
12-01-22,8.4,7.6,8.4,7.6,1900
13-01-22,7.6,8.1,8.3,7.6,944
14-01-22,7.4,8.1,8.1,7.4,1000
17-01-22,8.0,7.9,8.0,7.9,845
18-01-22,7.3,7.2,7.3,7.2,1000
19-01-22,6.6,6.7,6.7,6.6,1000
20-01-22,6.7,6.7,6.7,6.7,0
21-01-22,6.5,7.3,7.3,6.5,2200
24-01-22,7.3,6.7,7.3,6.7,400
25-01-22,7.2,7.2,7.2,7.2,615
26-01-22,6.7,6.6,6.7,6.6,1500
27-01-22,6.6,6.6,6.6,6.6,200
28-01-22,7.2,7.2,7.2,7.2,200
07-02-22,6.7,7.3,7.3,6.6,3000
08-02-22,7.3,7.3,7.3,7.3,0
09-02-22,7.2,7.2,7.3,7.2,1805
10-02-22,7.2,7.2,7.2,7.2,0
11-02-22,7.2,7.2,7.2,7.2,200
14-02-22,6.9,7.2,7.2,6.9,600
15-02-22,7.1,7.2,7.2,7.1,200
16-02-22,7.2,7.2,7.2,6.8,1300
17-02-22,7.2,7.2,7.2,7.2,200
