Date,Open,Close,High,Low,Volume
16-11-20,1.8,1.7,1.8,1.7,10100
17-11-20,1.7,1.8,1.8,1.7,5700
18-11-20,1.8,1.8,1.8,1.8,300
19-11-20,1.8,1.8,1.8,1.8,100
20-11-20,1.7,1.7,1.8,1.7,32700
23-11-20,1.7,1.7,1.8,1.7,59900
24-11-20,1.7,1.7,1.7,1.7,9110
25-11-20,1.7,1.8,1.8,1.7,9400
26-11-20,1.7,1.7,1.8,1.7,4600
27-11-20,1.7,1.7,1.8,1.7,2100
30-11-20,1.8,1.8,1.8,1.8,132900
01-12-20,1.9,1.8,1.9,1.8,68900
02-12-20,1.8,1.8,1.9,1.8,11010
03-12-20,1.9,1.8,1.9,1.8,47600
04-12-20,1.8,1.8,1.8,1.7,6200
07-12-20,1.8,1.7,1.8,1.7,26700
08-12-20,1.7,1.8,1.8,1.7,96400
09-12-20,1.8,1.7,1.8,1.7,28710
10-12-20,1.7,1.8,1.8,1.7,73800
11-12-20,1.7,1.7,1.8,1.7,23400
14-12-20,1.7,1.7,1.8,1.7,12010
15-12-20,1.7,1.7,1.8,1.7,41800
16-12-20,1.7,1.8,1.8,1.7,46800
17-12-20,1.8,1.9,1.9,1.8,68100
18-12-20,1.9,1.9,1.9,1.9,52300
21-12-20,2.0,1.9,2.0,1.8,21500
22-12-20,2.0,1.9,2.0,1.8,47400
23-12-20,2.0,2.0,2.0,1.9,68900
24-12-20,2.0,1.9,2.0,1.9,11500
25-12-20,1.8,1.8,1.9,1.8,38000
28-12-20,1.9,1.9,1.9,1.8,63600
29-12-20,1.9,2.0,2.0,1.9,47100
30-12-20,2.0,2.0,2.2,2.0,68500
31-12-20,2.0,2.0,2.0,1.9,80700
04-01-21,2.0,2.2,2.2,2.0,115800
05-01-21,2.3,2.3,2.4,2.3,302160
06-01-21,2.3,2.2,2.4,2.2,119900
07-01-21,2.3,2.3,2.3,2.1,115500
08-01-21,2.2,2.3,2.3,2.2,82500
11-01-21,2.3,2.3,2.3,2.2,113400
12-01-21,2.3,2.4,2.4,2.2,44500
13-01-21,2.4,2.6,2.6,2.3,288500
14-01-21,2.6,2.8,2.8,2.5,140300
15-01-21,2.9,3.0,3.0,2.9,86900
18-01-21,2.9,2.8,3.0,2.7,404100
19-01-21,2.9,2.8,2.9,2.6,215300
20-01-21,2.7,2.8,2.8,2.6,136000
21-01-21,2.8,3.0,3.0,2.7,59000
22-01-21,3.0,2.8,3.0,2.8,113300
25-01-21,2.8,2.7,2.8,2.7,79700
26-01-21,2.8,2.6,2.8,2.6,47000
27-01-21,2.6,2.4,2.7,2.4,66600
28-01-21,2.3,2.2,2.4,2.2,125100
29-01-21,2.1,2.3,2.3,2.0,96400
01-02-21,2.2,2.3,2.4,2.1,91600
02-02-21,2.2,2.1,2.4,2.1,85600
03-02-21,2.2,2.2,2.3,2.2,75100
04-02-21,2.4,2.4,2.4,2.3,56400
05-02-21,2.3,2.3,2.3,2.3,45500
08-02-21,2.3,2.4,2.4,2.2,44300
09-02-21,2.4,2.6,2.6,2.3,55000
17-02-21,2.5,2.7,2.7,2.4,62600
18-02-21,2.6,2.5,2.9,2.5,64600
19-02-21,2.5,2.4,2.5,2.3,90910
22-02-21,2.4,2.6,2.6,2.4,21500
23-02-21,2.5,2.4,2.5,2.4,36400
24-02-21,2.5,2.6,2.6,2.5,162500
25-02-21,2.7,2.8,2.8,2.7,124500
26-02-21,2.9,3.0,3.0,2.9,140500
01-03-21,3.3,3.3,3.3,3.3,54106
02-03-21,3.6,3.6,3.6,3.6,138300
03-03-21,3.9,3.9,3.9,3.9,83500
04-03-21,4.2,4.2,4.2,3.9,990006
05-03-21,4.5,4.6,4.6,4.2,146000
08-03-21,5.0,5.0,5.0,4.9,397900
09-03-21,5.5,4.5,5.5,4.5,194000
10-03-21,4.1,4.1,4.1,4.1,25300
11-03-21,3.7,4.1,4.4,3.7,592815
12-03-21,4.0,3.7,4.0,3.7,263800
15-03-21,3.7,4.0,4.0,3.7,257900
16-03-21,4.2,4.4,4.4,4.1,407800
17-03-21,4.5,4.5,4.8,4.5,203000
18-03-21,4.5,4.2,4.5,4.1,143900
19-03-21,4.2,4.3,4.4,4.0,191400
22-03-21,4.0,4.4,4.6,4.0,257100
23-03-21,4.5,4.4,4.6,4.3,180700
24-03-21,4.5,4.4,4.5,4.2,119000
25-03-21,4.4,4.8,4.8,4.3,366100
26-03-21,5.0,5.0,5.1,4.5,205800
29-03-21,5.0,5.5,5.5,5.0,268300
30-03-21,5.7,5.5,6.0,5.5,716503
31-03-21,5.5,5.7,6.0,5.5,213900
01-04-21,5.7,6.0,6.0,5.4,165634
02-04-21,6.0,6.0,6.6,5.4,349000
05-04-21,6.3,6.1,6.3,5.6,390900
06-04-21,6.1,6.0,6.3,5.9,194800
07-04-21,6.0,6.6,6.6,6.0,367700
08-04-21,6.4,6.7,7.0,6.4,267100
09-04-21,6.7,6.7,6.8,6.6,178400
12-04-21,6.7,6.6,6.8,6.6,225401
13-04-21,6.6,6.2,6.7,6.0,604406
14-04-21,6.1,6.2,6.3,6.0,181228
15-04-21,6.2,6.2,6.4,5.8,232100
16-04-21,6.0,5.8,6.0,5.6,300300
19-04-21,5.8,5.7,5.8,5.6,49000
20-04-21,5.8,5.2,5.8,5.2,261400
22-04-21,5.2,4.7,5.3,4.7,315150
23-04-21,4.8,5.1,5.1,4.8,131500
26-04-21,5.1,5.0,5.2,4.7,46750
27-04-21,5.0,4.5,5.0,4.5,180700
28-04-21,4.6,4.1,4.6,4.1,341200
29-04-21,4.2,4.5,4.5,4.2,120100
04-05-21,4.5,4.9,4.9,4.1,117150
05-05-21,5.0,4.9,5.1,4.8,104600
06-05-21,4.9,4.8,5.0,4.6,89228
07-05-21,4.8,4.5,4.8,4.4,154300
10-05-21,4.4,4.4,4.5,4.2,27700
11-05-21,4.4,4.5,4.5,4.2,82240
12-05-21,4.4,4.4,4.5,4.3,19600
13-05-21,4.4,4.4,4.5,4.3,33118
14-05-21,4.5,4.4,4.5,4.2,56900
17-05-21,4.2,4.4,4.4,4.2,17801
18-05-21,4.3,4.5,4.5,4.2,130400
19-05-21,4.5,4.4,4.6,4.4,85505
20-05-21,4.3,4.3,4.4,4.2,51600
21-05-21,4.3,4.3,4.3,4.1,116400
24-05-21,4.3,4.3,4.3,4.2,37810
25-05-21,4.3,4.3,4.4,4.2,40101
26-05-21,4.3,4.3,4.3,4.2,48523
27-05-21,4.3,4.1,4.3,4.0,70700
28-05-21,4.1,4.2,4.3,4.0,46100
31-05-21,4.3,4.2,4.3,4.0,50604
01-06-21,4.1,4.1,4.1,4.0,74900
02-06-21,4.1,4.1,4.2,4.0,50406
03-06-21,4.1,4.3,4.4,4.1,137800
04-06-21,4.4,4.3,4.5,4.3,92610
07-06-21,4.4,4.3,4.4,4.2,53200
08-06-21,4.3,4.2,4.4,4.2,101200
09-06-21,4.2,4.2,4.3,4.1,22200
10-06-21,4.2,4.2,4.3,4.2,25400
11-06-21,4.3,4.2,4.3,4.1,42000
14-06-21,4.2,4.1,4.2,4.0,43500
15-06-21,4.1,4.2,4.2,4.1,43516
16-06-21,4.2,4.2,4.2,4.1,15323
17-06-21,4.2,4.3,4.3,4.1,25200
18-06-21,4.2,4.3,4.3,4.1,94904
21-06-21,4.2,4.3,4.3,4.1,42000
22-06-21,4.3,4.2,4.3,4.2,25100
23-06-21,4.2,4.2,4.2,4.1,28500
24-06-21,4.1,4.1,4.2,3.9,58700
25-06-21,4.1,4.2,4.3,4.1,54400
28-06-21,4.2,4.2,4.2,4.0,133200
29-06-21,4.2,4.0,4.2,4.0,58100
30-06-21,4.0,4.1,4.2,3.8,72100
01-07-21,4.0,3.9,4.1,3.9,40800
02-07-21,3.9,4.0,4.0,3.9,42400
05-07-21,4.0,3.9,4.0,3.8,69500
06-07-21,3.8,3.7,3.9,3.7,69400
07-07-21,3.7,3.6,3.7,3.4,132100
08-07-21,3.6,3.5,3.6,3.5,36400
09-07-21,3.5,3.8,3.8,3.4,415400
12-07-21,3.9,4.1,4.1,3.9,548300
13-07-21,4.2,4.5,4.5,4.2,234200
14-07-21,4.5,4.2,4.9,4.1,151900
15-07-21,4.0,4.2,4.2,3.8,128200
16-07-21,4.2,4.1,4.2,3.9,85900
19-07-21,4.1,3.8,4.1,3.7,114900
20-07-21,3.8,4.0,4.0,3.6,57060
21-07-21,3.9,3.8,4.0,3.8,33700
22-07-21,3.9,3.9,4.0,3.8,24800
23-07-21,3.9,3.7,3.9,3.7,56500
26-07-21,3.7,3.8,3.8,3.7,71900
27-07-21,3.8,3.9,3.9,3.7,30500
28-07-21,3.7,3.8,3.8,3.7,14800
29-07-21,3.8,3.8,3.8,3.7,37200
30-07-21,3.8,3.8,3.8,3.7,68500
02-08-21,3.8,3.7,3.8,3.6,51700
03-08-21,3.7,3.7,3.8,3.6,6900
04-08-21,3.7,3.8,3.8,3.7,19900
05-08-21,3.7,3.8,4.0,3.7,80100
06-08-21,3.8,3.9,4.0,3.8,18400
09-08-21,3.8,3.9,4.0,3.7,33800
10-08-21,4.0,3.9,4.0,3.8,8300
11-08-21,3.8,3.9,3.9,3.7,33900
12-08-21,3.8,3.7,3.9,3.7,42500
13-08-21,3.8,3.7,3.9,3.7,34754
16-08-21,3.8,4.0,4.0,3.8,76406
17-08-21,4.0,3.9,4.1,3.9,39500
18-08-21,3.8,4.0,4.0,3.8,50000
19-08-21,4.0,3.9,4.0,3.8,22730
20-08-21,3.9,3.9,4.0,3.8,73400
23-08-21,3.9,3.7,3.9,3.7,44308
24-08-21,3.7,3.9,3.9,3.7,20500
25-08-21,3.7,3.9,3.9,3.7,7500
26-08-21,3.8,3.9,3.9,3.7,18500
27-08-21,3.8,3.9,3.9,3.8,13900
30-08-21,3.8,3.8,3.8,3.8,30100
31-08-21,3.9,4.1,4.1,3.9,288002
01-09-21,4.3,4.5,4.5,4.2,568010
06-09-21,4.5,4.6,4.9,4.5,182234
07-09-21,4.5,4.3,4.5,4.2,164600
08-09-21,4.2,4.1,4.2,4.0,247100
09-09-21,4.0,4.3,4.4,4.0,143119
10-09-21,4.3,4.4,4.5,4.2,159000
13-09-21,4.4,4.8,4.8,4.3,486002
14-09-21,5.0,5.2,5.2,4.9,213234
15-09-21,5.7,5.3,5.7,4.9,422610
16-09-21,5.2,4.8,5.2,4.8,363900
17-09-21,4.8,4.9,5.0,4.7,187100
20-09-21,4.9,5.3,5.3,4.9,331310
21-09-21,5.3,5.5,5.6,4.9,296140
22-09-21,5.5,6.0,6.0,5.5,350770
23-09-21,6.0,5.4,6.0,5.4,499300
24-09-21,5.4,5.2,5.4,4.9,407100
27-09-21,5.0,4.8,5.2,4.8,157401
28-09-21,4.8,4.9,5.0,4.6,108400
29-09-21,4.8,4.9,5.0,4.7,55860
30-09-21,4.9,4.8,5.0,4.6,58000
01-10-21,4.8,4.6,4.8,4.5,81500
04-10-21,4.6,4.7,4.7,4.5,61000
05-10-21,4.7,4.7,4.7,4.5,55500
06-10-21,4.6,4.8,4.8,4.5,116500
07-10-21,4.8,5.0,5.2,4.7,66000
08-10-21,5.0,4.9,5.1,4.8,25100
11-10-21,4.9,4.9,4.9,4.7,89320
12-10-21,4.9,4.8,4.9,4.7,30700
13-10-21,4.8,4.9,5.2,4.7,54200
14-10-21,5.0,4.8,5.1,4.8,59289
15-10-21,4.8,5.1,5.1,4.7,120100
18-10-21,5.0,5.0,5.0,4.9,27400
19-10-21,4.9,5.2,5.3,4.9,176653
20-10-21,5.2,5.3,5.3,5.1,256100
21-10-21,5.3,5.6,5.8,5.3,470510
22-10-21,5.7,5.6,5.8,5.3,241036
25-10-21,5.6,5.7,5.8,5.5,339600
26-10-21,5.8,5.5,5.8,5.4,198500
27-10-21,5.5,5.6,5.7,5.4,178300
28-10-21,5.7,5.6,5.7,5.4,237300
29-10-21,5.5,5.5,5.6,5.3,298901
01-11-21,5.6,6.0,6.0,5.5,590000
02-11-21,6.6,6.6,6.6,6.0,245700
03-11-21,7.2,7.0,7.2,6.8,1203300
04-11-21,7.0,7.0,7.5,6.3,308700
05-11-21,7.2,7.0,7.2,6.6,100500
08-11-21,7.0,6.6,7.0,6.4,258946
09-11-21,6.6,6.7,6.7,6.5,178706
10-11-21,6.7,6.7,6.7,6.5,159410
11-11-21,6.7,7.0,7.2,6.6,279700
12-11-21,7.0,7.4,7.7,7.0,428500
15-11-21,7.4,8.1,8.1,7.2,608111
16-11-21,8.1,8.1,8.9,8.1,323200
17-11-21,8.0,8.3,8.3,7.4,279200
18-11-21,8.3,8.5,8.5,7.9,229823
19-11-21,8.5,7.9,8.5,7.7,246500
22-11-21,7.9,7.2,8.0,7.2,349400
23-11-21,7.1,7.0,7.1,6.5,137000
24-11-21,7.0,7.3,7.7,7.0,117800
25-11-21,7.3,7.3,7.3,7.0,86604
26-11-21,7.3,7.0,7.3,7.0,129800
29-11-21,6.9,6.9,7.0,6.5,225200
30-11-21,6.9,7.5,7.5,6.9,217000
01-12-21,7.5,7.4,7.7,7.0,155300
02-12-21,7.4,8.1,8.1,7.3,744901
03-12-21,8.2,8.0,8.9,8.0,243600
06-12-21,8.0,7.3,8.0,7.2,209900
07-12-21,7.3,7.7,8.0,6.8,316200
08-12-21,7.7,7.3,7.9,7.3,90901
09-12-21,7.3,7.4,7.5,7.2,61300
10-12-21,7.5,7.2,7.5,7.2,159700
13-12-21,7.2,7.3,7.5,7.2,129000
14-12-21,7.3,7.3,7.4,7.2,138400
15-12-21,7.3,7.3,7.3,7.1,90900
16-12-21,7.2,7.5,7.5,7.1,98600
17-12-21,7.5,7.5,7.7,7.3,195800
20-12-21,7.7,7.5,7.7,7.3,114700
21-12-21,7.5,7.4,7.7,7.4,102800
22-12-21,7.4,7.5,7.6,7.1,146900
23-12-21,7.5,8.0,8.1,7.5,361200
24-12-21,8.0,8.8,8.8,8.0,798100
27-12-21,8.8,9.1,9.5,8.7,423900
28-12-21,9.1,9.0,9.1,8.7,242200
29-12-21,9.2,8.8,9.2,8.4,366100
30-12-21,8.8,8.6,9.0,8.4,256100
31-12-21,8.6,8.7,8.9,8.6,213800
04-01-22,8.7,8.6,8.8,8.6,202900
05-01-22,8.6,8.3,8.6,8.3,184900
06-01-22,8.4,8.7,8.9,8.3,202404
07-01-22,8.7,9.3,9.4,8.7,255115
10-01-22,9.3,9.4,10.0,8.9,463300
11-01-22,9.4,8.6,9.5,8.6,327100
12-01-22,8.6,8.6,8.9,8.0,213900
13-01-22,8.5,7.8,8.6,7.8,223700
14-01-22,7.8,7.1,8.0,7.1,303915
17-01-22,7.2,6.4,7.7,6.4,236400
18-01-22,6.4,6.0,6.6,5.9,150310
19-01-22,5.9,6.1,6.3,5.8,152500
20-01-22,6.1,6.7,6.7,6.1,66600
21-01-22,6.7,7.3,7.3,6.7,116000
24-01-22,7.2,6.6,7.2,6.6,76500
25-01-22,6.6,6.7,6.8,6.5,35100
26-01-22,6.7,6.8,6.8,6.6,14200
27-01-22,6.7,6.4,6.7,6.2,72900
28-01-22,6.4,6.4,6.5,6.0,57600
07-02-22,6.4,6.8,6.9,6.4,43700
08-02-22,6.7,6.7,6.8,6.6,35300
09-02-22,6.8,6.9,6.9,6.6,62400
10-02-22,6.9,6.9,7.1,6.7,64400
11-02-22,6.8,6.9,7.0,6.8,33900
14-02-22,6.9,6.9,6.9,6.7,65700
15-02-22,6.8,6.8,6.8,6.7,14100
16-02-22,6.8,7.0,7.0,6.7,86600
17-02-22,7.0,7.1,7.2,6.9,69300
18-02-22,7.1,7.2,7.2,7.0,72720
21-02-22,7.2,7.2,7.3,7.1,93100
22-02-22,7.2,7.1,7.2,7.0,69600
23-02-22,7.1,7.2,7.2,7.0,38300
24-02-22,7.5,7.0,7.5,6.8,99430
25-02-22,7.0,6.9,7.0,6.9,63240
28-02-22,6.9,6.8,6.9,6.7,59516
01-03-22,6.8,7.0,7.0,6.7,35600
02-03-22,7.0,6.8,7.0,6.8,77500
03-03-22,6.9,6.9,7.0,6.7,84320
04-03-22,6.9,7.1,7.1,6.9,47730
07-03-22,7.1,7.5,7.5,7.0,221000
08-03-22,7.4,7.3,7.4,7.2,73713
09-03-22,7.3,7.3,7.4,7.0,69407
10-03-22,7.3,7.5,7.8,7.3,173600
11-03-22,7.5,7.7,7.9,7.5,219000
14-03-22,7.7,7.3,7.7,7.3,58807
15-03-22,7.3,7.4,7.5,7.1,33000
16-03-22,7.4,7.5,7.6,7.3,72100
17-03-22,7.5,7.7,7.7,7.5,108400
18-03-22,7.7,7.6,7.7,7.5,49100
21-03-22,7.6,7.6,7.7,7.5,91407
22-03-22,7.6,7.9,8.0,7.6,95000
23-03-22,7.9,7.7,7.9,7.6,79300
24-03-22,7.7,7.7,7.7,7.5,74426
25-03-22,7.6,7.6,7.7,7.5,80900
28-03-22,7.6,8.3,8.3,7.5,467300
29-03-22,8.6,9.1,9.1,8.6,611240
30-03-22,10.0,10.0,10.0,9.6,821035
31-03-22,11.0,11.0,11.0,10.9,399661
01-04-22,12.1,9.9,12.1,9.9,1220645
04-04-22,9.9,10.1,10.8,9.1,467534
05-04-22,10.0,9.4,10.2,9.1,230205
06-04-22,9.4,8.6,9.5,8.5,332000
07-04-22,8.6,8.8,8.8,8.1,180730
08-04-22,8.8,8.0,8.9,8.0,230900
12-04-22,8.0,8.2,8.5,8.0,168000
13-04-22,8.2,7.8,8.4,7.5,104800
14-04-22,7.8,8.5,8.5,7.8,108500
15-04-22,8.5,8.5,8.5,8.0,74220
18-04-22,8.4,7.7,8.4,7.7,165200
19-04-22,7.7,7.0,7.7,7.0,164143
20-04-22,6.7,6.3,6.9,6.3,134500
21-04-22,6.3,5.7,6.3,5.7,240810
22-04-22,5.8,6.2,6.2,5.8,130000
25-04-22,6.4,5.7,6.4,5.6,118400
26-04-22,5.7,6.1,6.1,5.5,43000
27-04-22,6.1,6.3,6.3,5.8,70200
28-04-22,6.3,6.4,6.5,6.2,49000
29-04-22,6.3,7.0,7.0,6.3,135601
04-05-22,6.8,7.5,7.6,6.8,67600
05-05-22,7.4,7.3,7.6,7.3,79900
06-05-22,7.3,7.0,7.3,6.8,94200
09-05-22,7.0,6.6,7.0,6.4,103500
10-05-22,6.6,7.2,7.2,6.5,53200
11-05-22,7.2,7.5,7.6,6.8,106401
12-05-22,7.5,7.0,7.5,7.0,62800
13-05-22,7.0,6.7,7.0,6.7,56400
16-05-22,6.7,6.8,7.0,6.7,21600
17-05-22,6.8,7.2,7.2,6.8,17500
18-05-22,7.2,7.2,7.2,7.1,48200
19-05-22,7.1,6.9,7.1,6.8,86200
20-05-22,6.9,6.9,7.0,6.7,73600
23-05-22,6.9,6.9,6.9,6.7,94920
24-05-22,6.9,6.8,6.9,6.6,19500
25-05-22,6.8,6.8,7.0,6.7,30000
26-05-22,6.8,6.9,6.9,6.8,21900
27-05-22,6.8,7.0,7.0,6.8,40500
30-05-22,7.0,7.0,7.0,6.7,45100
31-05-22,6.8,6.8,6.9,6.8,24000
01-06-22,6.8,6.7,6.8,6.7,41100
02-06-22,6.7,6.8,6.8,6.6,41661
03-06-22,6.7,6.7,6.7,6.7,700
06-06-22,6.7,6.6,6.7,6.3,30400
07-06-22,6.6,6.4,6.6,6.1,26100
08-06-22,6.4,6.7,6.7,6.4,61300
09-06-22,6.5,6.7,6.7,6.5,28600
10-06-22,6.6,6.4,6.6,6.4,34400
13-06-22,6.4,6.2,6.4,6.0,34600
14-06-22,6.1,5.9,6.2,5.7,26400
15-06-22,5.9,5.7,5.9,5.6,6200
16-06-22,5.7,5.9,5.9,5.5,44600
17-06-22,5.4,5.7,5.8,5.4,49200
20-06-22,5.8,6.0,6.0,5.8,700
21-06-22,5.9,6.0,6.0,5.6,43100
22-06-22,5.9,6.0,6.0,5.9,27900
23-06-22,5.9,6.0,6.0,5.9,38900
24-06-22,6.0,6.0,6.0,5.9,16300
27-06-22,5.6,6.0,6.0,5.6,10000
28-06-22,5.9,6.0,6.0,5.8,46400
29-06-22,5.8,6.0,6.0,5.6,40800
30-06-22,5.7,5.9,5.9,5.7,9900
01-07-22,5.8,5.9,5.9,5.7,55400
04-07-22,5.8,5.4,5.8,5.4,35000
05-07-22,5.4,5.0,5.4,4.9,37300
06-07-22,5.0,5.0,5.1,5.0,840
07-07-22,5.0,5.0,5.0,4.8,14600
08-07-22,4.9,5.0,5.0,4.8,3600
11-07-22,4.9,4.9,5.0,4.6,6000
12-07-22,4.9,5.0,5.0,4.9,5000
13-07-22,5.0,5.0,5.0,4.9,6000
14-07-22,4.8,5.5,5.5,4.8,44740
15-07-22,5.5,5.9,5.9,5.4,18900
18-07-22,5.5,5.9,6.0,5.5,1600
19-07-22,5.5,5.6,5.6,5.4,14700
20-07-22,5.6,5.4,5.7,5.1,15800
21-07-22,5.4,5.6,5.7,5.4,1100
22-07-22,5.5,5.6,5.6,5.3,4900
25-07-22,5.3,5.5,5.6,5.2,5900
26-07-22,5.2,5.3,5.4,5.1,8900
27-07-22,5.4,5.4,5.6,5.3,2100
28-07-22,5.4,5.5,5.5,5.2,14000
29-07-22,5.3,5.5,5.5,5.3,800
01-08-22,5.3,5.5,5.5,5.3,1900
02-08-22,5.5,5.6,5.6,5.3,23200
03-08-22,5.5,5.7,5.7,5.4,13900
04-08-22,5.6,5.6,5.6,5.3,4800
05-08-22,5.5,5.4,5.5,5.3,12600
08-08-22,5.4,5.4,5.6,5.4,14600
09-08-22,5.6,5.4,5.6,5.2,13800
10-08-22,5.3,5.4,5.5,5.2,7900
11-08-22,5.5,5.9,5.9,5.5,127900
12-08-22,5.9,6.3,6.4,5.9,53700
15-08-22,6.2,6.4,6.5,6.0,27900
16-08-22,6.3,6.1,6.3,5.9,48300
17-08-22,6.0,6.1,6.1,5.8,12300
18-08-22,5.8,6.2,6.4,5.5,51100
19-08-22,6.2,6.1,6.3,5.8,37000
22-08-22,6.1,5.6,6.1,5.6,25800
23-08-22,5.9,6.0,6.0,5.8,13300
24-08-22,6.1,6.2,6.5,6.0,26900
25-08-22,6.0,6.2,6.2,6.0,6700
26-08-22,6.2,6.1,6.3,6.0,3900
29-08-22,5.9,5.9,6.0,5.7,22400
30-08-22,6.0,6.1,6.1,5.9,3900
31-08-22,5.9,6.0,6.1,5.7,6100
05-09-22,5.9,5.9,5.9,5.8,9500
06-09-22,5.8,5.8,6.0,5.7,6300
07-09-22,6.0,6.0,6.0,5.6,3700
08-09-22,5.9,6.0,6.0,5.9,1300
09-09-22,5.7,6.0,6.0,5.7,3300
12-09-22,5.9,5.9,6.0,5.4,4400
13-09-22,5.7,5.9,6.0,5.6,11300
14-09-22,5.7,5.9,5.9,5.7,1800
15-09-22,5.6,5.9,5.9,5.6,7500
16-09-22,5.6,5.6,5.6,5.6,1100
19-09-22,5.8,5.7,5.8,5.5,1320
20-09-22,5.7,5.8,5.8,5.5,4000
21-09-22,5.7,5.8,5.8,5.7,400
22-09-22,5.7,5.9,5.9,5.7,3120
23-09-22,5.9,5.9,5.9,5.6,5100
26-09-22,5.9,5.8,5.9,5.4,15100
27-09-22,5.4,5.7,5.7,5.3,1000
28-09-22,5.4,5.4,5.4,5.4,13200
29-09-22,5.6,5.7,5.8,5.5,3510
30-09-22,5.7,5.7,5.7,5.7,0
03-10-22,5.5,5.6,5.6,5.3,4800
04-10-22,5.3,5.6,5.6,5.3,1400
