Date,Open,Close,High,Low,Volume
16-11-20,32.0,31.9,32.0,31.4,9500
17-11-20,31.4,32.0,32.0,31.4,7500
18-11-20,28.8,32.0,32.0,28.8,200
19-11-20,31.9,32.0,32.0,31.8,9900
20-11-20,31.8,32.0,32.0,31.8,7500
23-11-20,31.6,31.6,31.9,31.5,12500
24-11-20,31.9,31.6,31.9,31.6,12700
25-11-20,31.9,32.0,33.0,31.9,139322
26-11-20,32.0,32.0,32.8,32.0,387400
27-11-20,32.1,32.0,33.0,32.0,631490
30-11-20,32.5,32.1,33.5,32.1,473322
01-12-20,32.2,35.2,35.3,32.1,149220
02-12-20,35.2,35.6,36.9,33.8,190260
03-12-20,36.3,37.0,37.0,35.5,240220
04-12-20,36.5,36.3,37.1,36.3,101900
07-12-20,36.3,36.0,36.5,35.8,86740
08-12-20,36.0,36.0,36.2,35.8,66910
09-12-20,36.0,35.5,36.5,35.4,134542
10-12-20,35.5,35.0,35.5,34.9,75200
11-12-20,35.0,35.1,35.3,34.8,33830
14-12-20,35.1,35.4,35.4,35.0,32870
15-12-20,35.2,36.0,36.5,35.1,50410
16-12-20,35.5,35.4,35.6,35.0,60200
17-12-20,35.3,34.8,35.3,34.4,53010
18-12-20,34.8,34.5,34.9,34.4,53810
21-12-20,34.5,34.9,35.1,34.4,37400
22-12-20,34.6,36.0,37.0,34.5,49850
23-12-20,35.9,34.6,36.0,34.5,117010
24-12-20,34.6,34.5,36.0,33.7,83200
25-12-20,34.5,34.5,34.9,33.7,27210
28-12-20,34.5,34.2,35.2,33.7,54960
29-12-20,34.2,33.5,34.2,33.2,68510
30-12-20,33.4,34.4,34.5,33.2,36810
31-12-20,34.9,34.0,36.5,33.4,11520
04-01-21,34.0,34.6,35.3,33.5,68600
05-01-21,34.7,34.3,34.7,34.2,41950
06-01-21,34.3,34.9,35.0,34.3,44100
07-01-21,34.9,34.5,34.9,34.4,37900
08-01-21,34.5,34.7,34.9,34.4,50200
11-01-21,34.9,34.4,34.9,34.2,55000
12-01-21,34.4,36.3,36.3,34.3,111088
13-01-21,36.3,36.2,37.0,36.0,94100
14-01-21,36.2,36.1,36.2,35.9,53200
15-01-21,36.0,36.2,36.9,36.0,95300
18-01-21,36.3,36.5,36.8,35.9,138710
19-01-21,36.6,35.5,36.6,34.9,87600
20-01-21,35.0,35.0,35.5,33.9,47200
21-01-21,35.0,35.0,35.9,34.4,26300
22-01-21,35.0,34.6,35.2,34.5,18730
25-01-21,34.6,34.9,35.5,34.6,15500
26-01-21,34.6,34.8,34.8,34.2,52500
27-01-21,34.4,34.5,34.8,33.9,56511
28-01-21,34.2,31.1,34.2,31.1,286048
29-01-21,31.1,32.6,33.0,31.1,12300
01-02-21,32.6,32.6,32.6,31.9,16700
02-02-21,32.6,33.3,33.3,32.6,4200
03-02-21,33.0,33.3,33.8,33.0,12800
04-02-21,35.9,33.5,35.9,33.1,14400
05-02-21,33.2,34.2,34.2,33.2,16900
08-02-21,34.0,34.3,34.3,33.3,19500
09-02-21,33.4,34.2,34.4,33.4,1600
17-02-21,34.2,34.4,34.5,34.0,11200
18-02-21,34.2,34.4,34.6,34.1,25100
19-02-21,34.2,34.4,34.6,34.2,9100
22-02-21,34.4,34.5,34.7,34.4,17300
23-02-21,34.5,34.5,34.7,34.4,21500
