Date,Open,Close,High,Low,Volume
16-11-20,20.4,20.3,20.7,20.2,448680
17-11-20,20.4,20.2,20.4,20.0,1023967
18-11-20,20.2,20.3,20.6,20.0,390478
19-11-20,20.3,20.4,20.4,20.1,330317
20-11-20,20.5,20.5,20.5,20.3,535981
23-11-20,20.6,21.2,21.4,20.6,1280541
24-11-20,21.2,20.8,21.3,20.5,756399
25-11-20,20.8,20.8,21.0,20.6,294375
26-11-20,20.7,20.6,20.7,20.4,381880
27-11-20,20.4,20.6,20.6,20.4,285078
30-11-20,20.5,20.3,20.6,20.3,296991
01-12-20,20.2,20.1,20.3,19.8,411978
02-12-20,20.0,20.4,20.7,20.0,521981
03-12-20,20.5,20.4,20.5,20.2,209412
04-12-20,20.4,20.2,20.4,20.1,272561
07-12-20,20.3,20.3,20.3,20.1,394924
08-12-20,20.4,20.5,20.5,20.2,439015
09-12-20,20.5,21.1,21.3,20.4,1176690
10-12-20,21.2,20.6,21.3,20.6,682896
11-12-20,20.6,20.7,20.8,20.4,268030
14-12-20,20.7,20.9,21.0,20.6,390998
15-12-20,20.9,22.1,22.2,20.7,1931641
16-12-20,22.2,22.2,23.0,22.0,855008
17-12-20,22.2,21.9,22.3,21.4,718047
18-12-20,21.9,21.6,21.9,21.4,1309058
21-12-20,21.7,22.0,22.5,21.6,2059684
22-12-20,21.9,24.2,24.2,21.9,3208014
23-12-20,24.0,23.3,25.2,22.4,1379252
24-12-20,23.3,22.8,23.8,22.0,1328970
25-12-20,22.8,23.4,23.8,22.5,1043165
28-12-20,23.6,24.2,24.5,23.4,1285759
29-12-20,24.2,24.1,24.7,23.7,1211483
30-12-20,24.1,23.7,24.1,23.4,774308
31-12-20,23.7,23.8,24.0,23.5,672522
04-01-21,24.0,24.1,24.6,24.0,960899
05-01-21,24.1,23.9,24.2,23.7,992164
06-01-21,24.0,23.9,24.4,23.8,1354775
07-01-21,23.9,24.8,25.4,23.8,1308663
08-01-21,24.8,24.6,25.0,24.2,1002566
11-01-21,24.7,24.6,24.9,24.3,713359
12-01-21,24.6,25.2,25.7,24.1,1334954
13-01-21,25.3,24.8,25.4,24.5,752310
14-01-21,25.0,25.2,25.6,24.8,896729
15-01-21,25.2,25.2,25.4,24.8,1005756
18-01-21,25.2,25.0,25.5,25.0,706880
19-01-21,25.0,22.8,25.2,22.5,1411082
20-01-21,22.8,23.2,23.5,21.2,629816
21-01-21,23.2,23.9,24.0,23.1,519982
22-01-21,24.1,23.6,24.1,23.4,379420
25-01-21,23.5,23.1,23.6,23.1,312860
26-01-21,23.1,22.2,23.1,21.5,746946
27-01-21,22.0,20.8,22.3,20.8,556136
28-01-21,20.5,18.8,20.8,18.8,1764133
29-01-21,17.0,19.4,20.1,17.0,474220
01-02-21,19.4,18.2,19.7,18.2,614900
02-02-21,18.2,18.6,18.8,17.5,339310
03-02-21,19.0,19.4,19.5,18.7,320443
04-02-21,19.5,19.5,19.8,19.3,263453
05-02-21,19.5,19.7,19.7,19.1,457935
08-02-21,19.8,19.4,20.3,19.2,298320
09-02-21,19.4,20.2,20.3,19.2,316710
17-02-21,20.2,21.2,21.3,20.2,223393
18-02-21,21.3,21.2,21.5,21.0,314038
19-02-21,21.2,22.4,22.9,21.0,765756
22-02-21,22.8,23.2,23.6,22.4,758358
23-02-21,23.2,22.8,23.3,22.6,345226
24-02-21,22.9,22.4,22.9,22.3,526416
25-02-21,22.6,22.5,22.6,22.3,375596
26-02-21,22.2,22.5,22.6,22.0,345043
01-03-21,22.6,23.2,23.2,22.3,492667
02-03-21,23.3,23.1,23.5,23.0,357450
03-03-21,23.1,23.5,23.8,23.0,518900
04-03-21,23.6,23.0,24.0,22.3,437771
05-03-21,23.0,23.4,23.4,22.5,364954
08-03-21,23.5,23.5,23.8,23.3,293680
09-03-21,23.5,23.1,23.5,22.7,250250
10-03-21,23.1,23.3,23.3,22.9,309027
11-03-21,23.4,23.6,23.9,23.3,529867
12-03-21,23.8,23.7,24.1,23.6,795048
15-03-21,23.7,23.4,23.8,23.3,256153
16-03-21,23.3,23.1,23.6,22.8,291781
17-03-21,23.0,22.7,23.1,22.5,407444
18-03-21,22.7,22.8,23.0,22.7,226887
19-03-21,22.8,23.4,23.4,22.8,296442
22-03-21,23.4,23.4,23.6,23.2,177697
23-03-21,23.4,22.9,23.4,22.8,225280
24-03-21,22.9,22.9,23.3,22.4,461921
25-03-21,22.9,22.6,23.0,22.4,177137
26-03-21,22.5,22.5,22.7,21.2,298278
29-03-21,22.5,22.9,23.0,22.5,166991
30-03-21,23.2,22.9,23.2,22.7,124931
31-03-21,23.0,22.7,23.0,22.6,210515
01-04-21,22.7,23.1,23.2,22.6,418354
02-04-21,23.3,23.1,23.5,22.9,289220
05-04-21,23.1,22.7,23.1,22.5,384250
06-04-21,22.7,22.7,23.0,22.5,194329
07-04-21,23.0,22.7,23.0,22.4,235255
08-04-21,22.7,22.6,22.8,22.5,256100
09-04-21,22.6,22.5,22.7,22.4,322386
12-04-21,22.7,23.8,24.0,22.7,1198139
13-04-21,23.8,22.9,23.9,22.8,394126
14-04-21,22.9,22.9,23.0,22.6,148064
15-04-21,22.9,22.3,22.9,22.2,456271
16-04-21,22.3,21.7,22.5,21.3,513410
19-04-21,21.7,21.2,21.7,20.8,434725
20-04-21,21.2,20.6,21.6,20.6,359800
22-04-21,20.6,20.0,20.7,20.0,364146
23-04-21,19.9,20.6,20.8,19.6,227260
26-04-21,20.7,20.1,20.7,20.1,187161
27-04-21,20.1,19.8,20.4,18.1,325232
28-04-21,19.9,19.6,20.0,19.5,94334
29-04-21,19.6,19.5,19.8,19.4,141700
04-05-21,19.5,20.3,20.6,19.4,270807
05-05-21,20.5,20.3,20.7,20.2,106500
06-05-21,20.3,19.8,20.3,19.7,149500
07-05-21,19.8,19.0,19.8,18.7,393900
10-05-21,19.1,18.6,19.1,18.0,362282
11-05-21,18.6,19.2,19.4,18.6,203730
12-05-21,19.2,19.0,19.2,18.7,99000
13-05-21,18.9,18.7,18.9,18.5,221450
14-05-21,18.5,18.1,18.7,18.1,328107
17-05-21,18.0,17.3,18.1,17.2,351447
18-05-21,17.3,16.7,17.4,16.7,405190
19-05-21,17.0,17.2,17.4,16.9,225895
20-05-21,17.5,17.0,17.5,16.9,107740
21-05-21,17.0,17.1,17.2,16.8,234280
24-05-21,17.1,18.0,18.2,17.1,238501
25-05-21,18.5,18.2,18.5,18.0,143064
26-05-21,18.3,17.7,18.3,17.7,115402
27-05-21,17.7,17.5,18.0,17.3,186401
28-05-21,17.5,17.4,17.5,17.2,194800
31-05-21,17.5,17.5,17.7,17.2,154170
01-06-21,17.7,17.4,17.7,17.2,133620
02-06-21,17.6,17.5,17.6,17.3,131752
03-06-21,17.5,18.2,18.4,17.5,309319
04-06-21,18.2,18.3,18.7,18.2,209190
07-06-21,18.3,18.1,18.5,17.9,214412
08-06-21,18.3,18.1,18.7,17.7,415118
09-06-21,17.7,18.0,18.1,17.7,165400
10-06-21,18.0,18.4,18.7,17.8,575450
11-06-21,18.4,18.7,19.1,18.4,600790
14-06-21,18.7,18.2,19.0,18.0,652323
15-06-21,18.2,17.7,18.2,17.4,668052
16-06-21,17.7,17.9,18.3,17.0,614585
17-06-21,17.9,18.5,18.5,17.9,437071
18-06-21,18.7,18.8,19.0,18.5,543915
21-06-21,18.7,18.7,18.8,18.4,324132
22-06-21,18.7,18.5,18.9,18.4,273858
23-06-21,18.5,18.3,18.5,18.0,405025
24-06-21,18.2,17.9,18.3,17.9,168900
25-06-21,17.9,17.9,18.0,17.6,253800
28-06-21,18.0,17.8,18.0,17.6,259254
29-06-21,17.9,17.7,17.9,17.4,278418
30-06-21,17.7,17.4,17.7,17.4,199095
01-07-21,17.4,17.4,17.5,17.3,122490
02-07-21,17.4,17.2,17.4,17.1,180020
05-07-21,17.2,17.0,17.2,16.8,230855
06-07-21,17.0,17.0,17.8,17.0,177741
07-07-21,17.0,16.8,17.1,16.6,184140
08-07-21,16.8,16.7,17.0,16.6,155934
09-07-21,16.8,16.8,17.4,16.6,274450
12-07-21,16.8,15.9,16.8,15.2,201500
13-07-21,15.9,16.0,16.5,15.8,107220
14-07-21,16.3,16.1,16.4,16.0,75426
15-07-21,16.2,16.6,16.6,16.1,208934
16-07-21,16.1,15.6,16.1,15.5,205500
19-07-21,15.6,15.3,15.6,14.3,238757
20-07-21,15.2,15.4,15.4,14.8,90140
