Date,Open,Close,High,Low,Volume
16-11-20,5.2,5.2,5.2,5.2,0
17-11-20,5.4,5.4,5.4,5.4,100
18-11-20,5.0,5.0,5.0,5.0,100
19-11-20,5.1,5.1,5.1,5.1,100
20-11-20,5.1,5.1,5.1,5.1,0
23-11-20,5.1,5.1,5.1,5.1,0
24-11-20,5.1,5.1,5.1,5.1,0
25-11-20,5.1,5.1,5.1,5.1,0
26-11-20,5.4,5.4,5.4,5.4,100
27-11-20,5.4,5.4,5.4,5.4,0
30-11-20,5.4,5.4,5.4,5.4,2
01-12-20,5.4,5.4,5.4,5.4,0
02-12-20,5.4,5.4,5.4,5.4,0
03-12-20,5.4,5.4,5.4,5.4,0
04-12-20,5.4,5.4,5.4,5.4,0
07-12-20,5.2,5.3,5.3,5.2,6000
08-12-20,5.3,5.3,5.3,5.3,20
09-12-20,5.4,5.4,5.4,5.4,100
10-12-20,5.4,5.4,5.4,5.4,0
11-12-20,5.4,5.4,5.4,5.4,0
14-12-20,5.5,5.5,5.5,5.5,100
15-12-20,5.5,5.5,5.5,5.5,0
16-12-20,5.3,5.3,5.3,5.3,0
17-12-20,5.3,5.3,5.3,5.3,0
18-12-20,4.9,5.5,5.5,4.9,200
21-12-20,5.5,5.5,5.5,5.5,3
22-12-20,5.3,5.5,5.5,5.3,3617
23-12-20,5.5,5.6,5.6,5.5,1600
24-12-20,5.6,5.9,5.9,5.6,16000
25-12-20,6.2,6.2,6.2,6.2,250
28-12-20,6.2,6.5,6.5,6.2,1200
29-12-20,6.6,6.6,6.7,6.6,600
30-12-20,6.6,6.6,6.6,6.6,620
31-12-20,6.5,6.5,6.5,6.5,1200
04-01-21,6.5,6.5,6.7,6.5,1532
05-01-21,6.7,6.7,6.7,6.7,500
06-01-21,6.8,6.8,6.8,6.8,1500
07-01-21,7.0,7.1,7.1,6.9,7400
08-01-21,7.1,7.0,7.2,7.0,4200
11-01-21,7.3,7.6,7.6,7.3,6500
12-01-21,8.0,8.1,8.1,7.8,7200
13-01-21,8.1,8.3,8.5,8.1,6200
14-01-21,7.8,8.3,8.3,7.8,1600
15-01-21,8.3,8.3,8.3,8.3,7
18-01-21,8.2,8.2,8.2,8.2,320
19-01-21,8.2,8.2,8.2,8.2,200
20-01-21,7.9,7.9,7.9,7.9,200
21-01-21,7.9,7.9,7.9,7.9,0
22-01-21,7.9,7.9,7.9,7.9,0
25-01-21,7.9,7.9,7.9,7.9,0
26-01-21,7.3,7.9,7.9,7.3,7600
27-01-21,7.9,7.9,7.9,7.9,0
28-01-21,7.2,7.2,7.2,7.2,900
29-01-21,7.2,7.2,7.2,7.2,0
01-02-21,6.5,6.5,6.5,6.5,100
02-02-21,6.5,6.5,6.5,6.5,0
03-02-21,6.5,6.5,6.5,6.5,0
04-02-21,6.0,6.5,6.6,6.0,2939
05-02-21,6.0,6.5,6.5,6.0,400
08-02-21,6.1,6.9,6.9,6.0,1200
09-02-21,6.3,6.3,6.3,6.3,2400
17-02-21,6.1,6.1,6.1,6.1,3500
18-02-21,6.1,6.1,6.1,6.1,700
19-02-21,6.0,6.0,6.0,6.0,2001
22-02-21,6.1,6.1,6.1,6.1,200
23-02-21,6.1,6.4,6.4,6.1,2300
24-02-21,6.1,6.1,6.1,6.1,1000
25-02-21,6.1,6.1,6.1,6.1,2001
26-02-21,6.3,6.3,6.3,6.3,100
01-03-21,6.3,6.4,6.4,6.3,1800
02-03-21,6.2,6.2,6.2,6.2,551
03-03-21,6.0,6.4,6.4,6.0,1500
04-03-21,6.4,7.0,7.0,6.4,11100
05-03-21,7.2,7.2,7.2,7.2,100
08-03-21,6.5,6.5,6.8,6.5,9100
09-03-21,6.1,6.3,6.3,6.0,5100
10-03-21,6.0,6.7,6.7,6.0,1600
11-03-21,6.4,6.4,6.4,6.4,400
12-03-21,6.7,6.5,6.8,6.5,3500
15-03-21,6.8,6.9,6.9,6.7,6700
16-03-21,7.0,7.0,7.0,7.0,200
17-03-21,7.0,7.0,7.0,7.0,0
18-03-21,7.0,7.1,7.2,6.9,10700
19-03-21,7.1,7.2,7.2,7.0,1600
22-03-21,7.4,7.5,7.5,7.4,6100
23-03-21,7.5,7.5,7.5,7.5,0
24-03-21,7.6,7.5,7.6,7.4,7160
25-03-21,7.3,7.4,7.5,7.3,2800
26-03-21,7.4,7.4,7.4,7.4,0
29-03-21,7.5,7.5,7.5,7.5,100
30-03-21,7.5,7.3,7.5,7.3,400
31-03-21,7.2,7.2,7.2,7.2,5800
01-04-21,7.2,7.2,7.2,7.2,2000
02-04-21,7.3,7.6,7.6,7.3,2239
05-04-21,7.3,7.3,7.3,7.3,1200
06-04-21,7.5,7.5,7.5,7.3,1200
07-04-21,7.4,8.2,8.2,7.4,1500
08-04-21,8.2,8.2,8.2,8.2,10
09-04-21,7.6,8.0,8.0,7.4,2500
12-04-21,7.6,7.7,7.7,7.4,7500
13-04-21,7.7,7.7,7.7,7.7,1200
14-04-21,7.7,7.7,7.7,7.7,2
15-04-21,7.6,7.2,7.6,7.1,10800
16-04-21,7.2,7.1,7.2,7.1,4000
19-04-21,7.2,7.0,7.2,6.6,10200
20-04-21,7.0,7.0,7.0,7.0,100
22-04-21,7.0,6.8,7.0,6.8,10300
23-04-21,7.0,6.9,7.0,6.9,1500
26-04-21,7.0,7.0,7.0,7.0,200
27-04-21,7.0,7.0,7.0,7.0,500
28-04-21,7.0,7.0,7.0,7.0,200
29-04-21,7.0,7.0,7.2,7.0,800
04-05-21,7.0,6.6,7.0,6.6,800
05-05-21,7.0,7.0,7.0,7.0,4700
