Date,Open,Close,High,Low,Volume
16-11-20,81.0,81.6,81.6,80.5,17700
17-11-20,81.6,82.5,82.5,81.6,18700
18-11-20,83.5,83.0,83.5,82.5,13400
19-11-20,83.0,86.1,91.3,83.0,6100
20-11-20,94.7,94.7,94.7,90.0,7800
23-11-20,96.0,104.1,104.1,95.0,9200
24-11-20,104.2,102.0,104.4,100.0,21400
25-11-20,102.0,101.5,102.2,100.0,19000
26-11-20,101.5,101.5,102.0,100.0,20900
27-11-20,101.5,101.9,101.9,101.5,5100
30-11-20,101.9,102.0,110.0,100.0,7360
01-12-20,102.0,111.0,111.0,102.0,7910
02-12-20,119.0,121.0,122.1,119.0,15300
03-12-20,121.0,133.1,133.1,121.0,24635
04-12-20,31.9,31.9,31.9,31.9,1000
07-12-20,35.0,35.0,35.0,35.0,1800
08-12-20,38.5,38.5,38.5,38.5,2600
09-12-20,42.3,42.3,42.3,42.3,2000
10-12-20,46.5,46.5,46.5,46.5,179925
11-12-20,51.1,51.0,51.1,51.0,201900
14-12-20,56.1,56.1,56.1,56.1,242100
15-12-20,61.7,61.7,61.7,61.4,436900
16-12-20,67.7,67.6,67.8,65.0,428480
17-12-20,68.5,68.0,69.0,62.0,626220
18-12-20,68.0,74.8,74.8,61.5,479795
21-12-20,74.8,80.0,80.0,71.5,520110
22-12-20,80.8,88.0,88.0,73.0,673180
23-12-20,88.0,95.0,95.2,88.0,715673
24-12-20,94.0,94.0,96.4,92.0,418062
25-12-20,93.0,99.0,99.0,86.0,486285
28-12-20,99.0,104.0,108.0,97.0,386023
29-12-20,104.0,104.9,104.9,100.0,447364
30-12-20,102.0,105.0,105.0,94.5,451473
31-12-20,105.0,115.0,115.0,100.1,360267
04-01-21,106.1,115.9,116.4,106.1,803363
05-01-21,115.9,116.0,126.0,115.9,1037877
06-01-21,117.0,122.0,124.0,117.0,1011200
07-01-21,122.0,122.0,122.4,120.0,696326
08-01-21,121.0,122.7,122.7,121.0,981122
11-01-21,123.1,125.0,130.0,123.0,1030945
12-01-21,125.1,129.5,129.5,119.1,1029610
13-01-21,129.5,128.9,130.0,121.9,1125652
14-01-21,125.1,124.8,125.9,124.3,611238
15-01-21,125.1,125.0,127.5,115.0,436664
18-01-21,125.1,137.5,137.5,125.0,231450
19-01-21,137.5,145.0,151.2,137.5,296257
20-01-21,145.0,159.5,159.5,145.0,300765
21-01-21,170.0,169.0,175.4,169.0,218772
22-01-21,169.9,172.0,179.9,157.1,346600
25-01-21,168.0,159.0,173.0,159.0,355179
26-01-21,159.0,160.0,172.5,147.0,452404
27-01-21,160.0,159.0,162.0,154.0,713148
28-01-21,152.0,145.0,160.0,143.1,512479
29-01-21,145.0,159.5,159.5,145.0,342224
01-02-21,168.0,161.0,168.0,160.0,385600
02-02-21,166.0,164.0,169.0,161.0,422920
03-02-21,168.0,168.0,169.0,164.5,516400
04-02-21,168.9,168.5,170.0,168.5,424090
05-02-21,168.6,160.0,169.5,160.0,3557713
08-02-21,166.0,164.0,167.0,161.8,736200
09-02-21,166.0,165.5,166.8,164.0,869235
17-02-21,165.0,167.0,168.2,157.0,508229
18-02-21,168.0,168.0,168.6,167.0,422590
19-02-21,168.0,168.0,168.6,164.9,325403
22-02-21,168.0,184.5,184.5,165.0,297700
23-02-21,172.0,178.0,178.0,170.0,396750
24-02-21,179.0,178.2,179.0,165.0,330510
25-02-21,179.0,196.0,196.0,179.0,109362
26-02-21,196.0,201.0,215.0,196.0,310070
01-03-21,202.0,201.2,205.0,195.0,302440
02-03-21,202.0,191.0,204.0,191.0,352263
03-03-21,203.0,203.0,203.0,195.0,377099
04-03-21,203.1,203.2,203.6,199.9,233100
05-03-21,205.0,203.9,207.0,203.8,256174
08-03-21,204.0,202.0,204.4,201.9,312011
09-03-21,202.1,201.0,202.3,200.8,450506
10-03-21,201.2,201.8,202.0,199.8,381354
11-03-21,201.8,202.6,202.9,201.8,389601
12-03-21,202.8,202.8,203.3,201.0,377236
15-03-21,203.0,203.5,203.5,201.0,379302
16-03-21,203.6,201.7,203.7,198.7,409510
17-03-21,201.9,201.8,202.2,199.9,371405
18-03-21,201.9,202.2,202.2,199.9,397428
19-03-21,202.2,199.5,202.5,198.9,389001
22-03-21,199.6,200.0,200.1,198.0,388405
23-03-21,200.0,198.8,200.5,197.8,430201
24-03-21,200.0,197.3,200.3,197.0,460118
25-03-21,197.3,196.4,198.0,196.4,448400
26-03-21,196.4,196.6,196.7,193.0,518100
29-03-21,196.7,196.7,196.9,192.9,450200
30-03-21,196.6,196.7,196.9,195.0,467926
31-03-21,196.7,196.9,197.4,196.6,471301
01-04-21,197.0,197.6,197.6,196.9,456800
02-04-21,197.6,198.2,198.3,197.6,444100
05-04-21,198.9,198.7,199.5,198.2,455500
06-04-21,198.9,197.0,199.0,196.8,457100
07-04-21,197.0,196.1,197.5,196.1,454022
08-04-21,197.2,194.8,197.2,194.8,461000
09-04-21,194.8,194.0,195.2,193.2,441850
12-04-21,194.2,194.8,195.4,194.1,452104
13-04-21,194.9,194.2,195.6,194.1,462370
14-04-21,194.4,196.0,198.0,192.0,470550
15-04-21,196.1,201.5,201.7,196.1,664720
16-04-21,201.5,202.0,202.3,200.8,630702
19-04-21,202.0,202.5,202.7,201.2,667200
20-04-21,202.6,203.2,203.2,202.5,650800
22-04-21,203.4,196.0,203.4,195.9,641422
23-04-21,196.1,185.8,196.1,184.9,1035800
26-04-21,185.8,186.5,196.0,185.8,1121900
27-04-21,186.7,186.7,187.0,185.0,958231
28-04-21,186.7,187.1,187.2,184.2,982900
29-04-21,187.2,187.3,187.9,187.1,1282201
04-05-21,187.4,187.6,188.1,186.0,1157401
05-05-21,187.5,187.7,188.2,186.1,1042303
06-05-21,187.8,188.0,188.0,186.1,1073904
07-05-21,188.1,188.3,188.4,186.9,1055300
10-05-21,188.4,188.8,190.0,187.5,1026315
11-05-21,189.0,189.2,190.6,188.0,1106601
12-05-21,189.3,189.8,190.2,188.6,1401100
13-05-21,190.2,190.7,191.0,189.5,1258500
14-05-21,190.8,193.6,194.0,190.7,1196900
17-05-21,193.6,194.5,194.9,193.5,1153816
18-05-21,194.6,192.6,195.6,190.6,1255618
19-05-21,192.5,192.9,193.2,189.6,2498801
20-05-21,193.0,193.6,194.0,192.9,1535224
21-05-21,197.8,195.3,197.8,193.6,2521601
24-05-21,195.5,195.8,196.9,195.3,1502601
25-05-21,196.3,196.6,196.8,195.7,1615817
26-05-21,196.8,197.1,197.7,196.3,1666900
27-05-21,197.5,197.7,197.9,194.4,2179000
28-05-21,197.8,198.2,198.9,196.8,1613300
31-05-21,198.3,199.2,199.2,196.5,2029400
01-06-21,199.3,199.6,199.9,199.2,1646711
02-06-21,199.7,200.0,200.5,198.4,1500829
03-06-21,200.1,200.7,200.9,200.1,1333841
04-06-21,200.8,201.1,201.5,199.8,1103601
07-06-21,201.1,196.2,202.2,196.0,1007200
08-06-21,196.3,192.8,197.1,192.8,903600
09-06-21,192.9,194.0,194.0,191.7,859700
10-06-21,194.1,193.0,194.8,190.9,1017786
11-06-21,193.1,194.9,195.4,193.1,854200
14-06-21,195.3,195.4,196.4,195.0,905300
15-06-21,196.5,196.0,197.0,195.3,811610
16-06-21,196.1,196.6,198.0,196.0,844500
17-06-21,196.6,197.1,198.3,196.6,895000
18-06-21,198.0,197.6,198.9,197.2,686301
21-06-21,197.6,198.0,198.7,197.5,756102
22-06-21,198.0,198.5,199.1,198.0,743007
23-06-21,198.7,199.0,199.4,198.2,738403
24-06-21,199.0,199.4,199.8,198.5,708500
25-06-21,199.5,200.0,200.5,199.2,665000
28-06-21,200.1,203.2,204.1,200.0,693016
29-06-21,203.3,204.2,205.2,203.2,682006
30-06-21,204.3,207.1,207.1,204.3,680106
01-07-21,207.2,207.7,208.7,206.1,682900
02-07-21,207.8,206.4,212.0,206.3,666800
05-07-21,206.5,206.8,207.8,205.2,635602
06-07-21,207.6,204.0,208.2,204.0,698701
07-07-21,204.1,204.6,206.4,204.1,703800
08-07-21,204.0,205.8,207.8,204.0,755915
09-07-21,206.2,206.3,208.3,202.7,854705
12-07-21,206.4,206.6,208.0,200.0,641400
13-07-21,206.7,203.4,209.0,203.4,641900
14-07-21,203.7,203.8,206.0,201.9,690300
15-07-21,203.9,204.8,206.0,203.9,638601
16-07-21,205.3,205.2,207.6,204.8,623600
19-07-21,205.2,202.1,206.3,202.1,529700
20-07-21,202.3,202.8,204.2,202.1,681600
21-07-21,202.9,203.8,204.7,202.7,571300
22-07-21,204.2,205.8,206.3,203.6,579806
23-07-21,205.9,205.9,206.9,204.0,541300
26-07-21,205.9,206.5,207.2,205.7,522001
27-07-21,207.0,206.9,207.8,187.0,506300
28-07-21,202.0,207.4,208.5,187.6,479530
29-07-21,207.6,208.4,211.1,207.4,661311
30-07-21,208.5,208.9,209.7,208.5,590451
02-08-21,208.9,209.2,210.4,208.9,523920
03-08-21,209.5,209.5,210.7,207.9,509150
04-08-21,230.0,209.7,230.0,208.5,563258
05-08-21,209.8,210.3,211.0,208.4,539402
06-08-21,210.4,209.8,211.9,209.8,518100
09-08-21,210.0,210.3,211.1,209.8,505300
10-08-21,210.5,210.9,211.6,210.3,562200
11-08-21,212.2,211.5,214.0,211.0,625900
12-08-21,211.7,211.9,212.7,211.5,542900
13-08-21,212.1,212.1,213.1,210.4,497100
16-08-21,222.0,213.0,222.0,212.3,524000
17-08-21,213.2,213.5,214.4,213.1,513901
18-08-21,213.7,214.0,214.8,213.6,539900
19-08-21,214.2,214.3,215.3,213.5,509700
20-08-21,216.0,213.4,216.0,213.2,499900
