Date,Open,Close,High,Low,Volume
16-11-20,2.9,2.9,2.9,2.9,0
17-11-20,2.8,2.9,3.0,2.8,5500
18-11-20,2.9,3.0,3.0,2.9,6400
19-11-20,3.0,3.1,3.1,3.0,19110
20-11-20,2.9,3.1,3.1,2.9,16600
23-11-20,3.1,3.1,3.3,3.1,9000
24-11-20,3.1,3.2,3.2,3.1,18350
25-11-20,3.2,3.2,3.2,3.2,9300
26-11-20,3.3,3.5,3.5,3.3,23620
27-11-20,3.6,3.8,3.8,3.6,52720
30-11-20,4.1,4.1,4.1,4.1,11150
01-12-20,4.5,4.5,4.5,4.4,27455
02-12-20,4.9,4.9,4.9,4.9,1000
03-12-20,5.3,5.3,5.3,5.3,4100
04-12-20,5.8,5.8,5.8,5.3,62100
07-12-20,6.3,6.3,6.3,5.3,70900
08-12-20,6.2,6.7,6.8,6.2,30560
09-12-20,6.4,6.3,6.4,6.1,36230
10-12-20,6.6,6.6,6.6,5.8,11500
11-12-20,6.7,6.6,6.7,6.6,2400
14-12-20,6.6,6.0,6.6,6.0,6400
15-12-20,5.5,5.8,5.9,5.4,20022
16-12-20,5.3,5.8,5.8,5.3,2700
17-12-20,5.7,5.3,5.7,5.3,1400
18-12-20,4.8,4.9,5.4,4.8,30015
21-12-20,4.9,4.9,4.9,4.6,2100
22-12-20,4.6,4.8,4.8,4.6,3705
23-12-20,4.7,5.2,5.2,4.5,87200
24-12-20,5.5,5.7,5.7,5.2,12320
25-12-20,6.2,6.2,6.2,6.2,3240
28-12-20,6.2,6.8,6.8,6.2,74150
29-12-20,7.3,7.4,7.4,7.1,36541
30-12-20,7.4,7.8,7.8,7.4,6952
31-12-20,7.8,7.8,7.8,7.1,29541
04-01-21,8.3,7.7,8.3,7.3,1310
05-01-21,7.2,7.8,8.0,7.2,300
06-01-21,7.8,7.9,7.9,7.8,10000
07-01-21,7.3,7.9,7.9,7.3,23900
08-01-21,8.1,7.9,8.1,7.6,12800
11-01-21,7.9,7.4,7.9,7.4,4000
12-01-21,7.4,7.6,7.6,7.4,14900
13-01-21,7.8,7.8,7.8,7.6,1200
14-01-21,7.8,7.7,7.9,7.4,12200
15-01-21,7.3,7.8,7.8,7.3,35644
18-01-21,7.8,7.8,7.8,7.8,30
19-01-21,7.1,7.6,7.6,7.1,14605
20-01-21,7.8,7.7,7.8,7.7,3800
21-01-21,7.7,7.7,7.7,7.7,0
22-01-21,7.0,7.5,7.5,7.0,1300
25-01-21,6.8,6.9,6.9,6.8,1600
