Date,Open,Close,High,Low,Volume
16-11-20,16.0,16.0,16.0,16.0,20
17-11-20,16.0,16.0,16.0,16.0,0
18-11-20,16.0,16.0,16.0,16.0,0
19-11-20,16.0,16.0,16.0,16.0,1000
20-11-20,16.0,16.0,16.0,16.0,0
23-11-20,16.0,16.0,16.0,16.0,0
24-11-20,16.0,16.0,16.0,16.0,0
25-11-20,15.4,15.4,15.4,15.4,100
26-11-20,15.4,15.4,15.4,15.4,0
27-11-20,15.0,15.0,15.0,15.0,300
30-11-20,14.7,14.7,14.7,14.7,3000
01-12-20,14.7,14.7,14.7,14.7,0
02-12-20,14.7,14.7,14.7,14.7,0
03-12-20,14.0,14.0,14.0,14.0,633
04-12-20,14.0,14.0,14.0,14.0,300
07-12-20,14.0,14.0,14.0,14.0,0
08-12-20,14.0,14.0,14.0,14.0,40
09-12-20,14.0,14.0,14.0,14.0,23
10-12-20,12.6,12.8,12.8,12.6,1500
11-12-20,12.8,11.8,12.8,11.8,2900
14-12-20,11.8,11.8,11.8,11.8,300
15-12-20,11.3,11.3,11.3,11.3,700
16-12-20,10.4,10.8,12.4,10.4,532
17-12-20,11.8,10.6,11.8,10.6,1400
18-12-20,10.7,10.7,10.7,10.7,1000
21-12-20,10.7,10.7,10.7,10.7,100
22-12-20,10.7,10.7,10.7,10.7,500
23-12-20,10.7,10.7,10.7,10.7,0
24-12-20,10.7,10.7,10.7,10.7,0
25-12-20,10.7,10.7,10.7,10.7,17
28-12-20,10.7,10.7,10.7,10.7,0
29-12-20,10.7,10.7,10.7,10.7,2
30-12-20,11.7,11.7,11.7,11.7,500
31-12-20,11.7,11.7,11.7,11.7,75
04-01-21,11.7,11.7,11.7,11.7,0
05-01-21,11.7,11.7,11.7,11.7,0
06-01-21,12.8,12.8,12.8,12.8,707
07-01-21,13.9,14.0,14.0,13.9,400
08-01-21,14.0,14.0,14.0,14.0,0
11-01-21,15.3,14.5,15.3,14.5,2000
12-01-21,14.5,14.5,14.5,14.5,1900
13-01-21,14.5,14.5,14.5,14.5,0
14-01-21,14.5,14.5,14.5,14.5,0
15-01-21,14.5,14.5,14.5,14.5,0
18-01-21,14.5,14.5,14.5,14.5,0
19-01-21,14.5,14.5,14.5,14.5,0
20-01-21,14.4,14.4,14.4,14.4,987
21-01-21,14.4,14.4,14.4,14.4,0
22-01-21,14.4,14.4,14.4,14.4,0
25-01-21,14.4,14.4,14.4,14.4,134
26-01-21,14.0,14.0,14.0,14.0,5300
27-01-21,14.0,14.0,14.0,14.0,0
28-01-21,12.6,12.6,12.6,12.6,400
29-01-21,12.6,12.6,12.6,12.6,0
01-02-21,13.8,13.8,13.8,13.8,100
02-02-21,13.8,13.8,13.8,13.8,0
03-02-21,13.8,13.8,13.8,13.8,0
04-02-21,15.0,15.0,15.0,15.0,605
05-02-21,15.5,15.5,15.5,15.5,100
08-02-21,15.5,15.5,15.5,15.5,0
09-02-21,15.5,15.5,15.5,15.5,0
17-02-21,15.0,15.5,15.5,15.0,30801
18-02-21,15.6,15.5,15.6,15.5,5025
19-02-21,15.6,15.4,15.6,15.4,3100
22-02-21,15.0,14.5,15.0,14.5,10801
23-02-21,14.3,13.1,14.3,13.1,200
24-02-21,12.1,12.3,12.3,12.1,1400
25-02-21,12.3,12.3,12.3,12.3,0
26-02-21,12.3,12.3,12.3,12.3,100
01-03-21,13.5,12.9,13.5,12.9,300
02-03-21,14.1,14.1,14.1,14.1,4100
03-03-21,14.1,15.0,15.0,14.1,200
04-03-21,15.0,13.5,15.0,13.5,1000
05-03-21,13.5,13.5,13.5,13.5,0
08-03-21,13.5,13.5,13.5,13.5,0
09-03-21,14.8,14.8,14.8,14.8,100
10-03-21,14.8,15.5,15.5,14.8,32600
11-03-21,14.0,14.0,14.0,14.0,100
12-03-21,14.0,14.0,14.0,14.0,0
15-03-21,14.0,14.0,14.0,14.0,0
16-03-21,14.0,14.0,14.0,14.0,0
17-03-21,14.0,14.0,14.0,14.0,80
18-03-21,14.2,14.2,14.2,14.2,300
19-03-21,14.2,14.2,14.2,14.2,16
22-03-21,14.2,14.2,14.2,14.2,100
23-03-21,12.9,12.9,12.9,12.9,100
24-03-21,13.0,13.0,13.0,13.0,534
25-03-21,13.0,13.0,13.0,13.0,0
26-03-21,14.3,14.2,14.3,14.2,807
29-03-21,14.2,14.2,14.2,14.2,100
30-03-21,14.2,14.2,14.2,14.2,0
31-03-21,15.4,15.4,15.4,15.4,100
01-04-21,15.4,15.4,15.4,15.4,500
02-04-21,15.5,15.5,15.5,15.5,700
05-04-21,15.6,15.5,16.4,15.5,4340
06-04-21,15.5,16.2,16.2,15.5,35600
