Date,Open,Close,High,Low,Volume
16-11-20,11.0,11.0,11.0,11.0,0
17-11-20,11.0,11.0,11.0,11.0,0
18-11-20,11.0,11.0,11.0,11.0,0
19-11-20,11.0,11.0,11.0,11.0,0
20-11-20,10.7,10.7,10.7,10.7,100
23-11-20,10.7,10.7,10.7,10.7,0
24-11-20,10.4,10.4,10.4,10.4,100
25-11-20,10.4,10.4,10.4,10.4,0
26-11-20,11.4,10.4,11.4,10.4,2300
27-11-20,9.5,10.5,11.0,9.5,28300
30-11-20,10.5,10.7,10.7,10.5,20100
01-12-20,9.7,10.4,10.4,9.7,31100
02-12-20,10.7,10.8,10.8,10.7,17400
03-12-20,10.8,10.8,10.8,10.8,0
04-12-20,11.7,11.7,11.7,11.7,100
07-12-20,12.7,12.7,12.7,12.7,100
08-12-20,11.5,13.8,13.8,11.5,600
09-12-20,12.5,13.7,13.7,12.5,600
10-12-20,12.4,14.5,14.5,12.4,660
11-12-20,14.5,14.5,14.5,14.5,0
14-12-20,13.1,13.1,13.1,13.1,300
15-12-20,11.8,11.8,11.8,11.8,1400
16-12-20,11.8,11.8,11.8,11.8,0
17-12-20,11.8,11.8,11.8,11.8,0
18-12-20,11.8,11.8,11.8,11.8,0
21-12-20,11.8,11.8,11.8,11.8,0
22-12-20,11.8,11.8,11.8,11.8,0
23-12-20,12.8,12.8,12.8,12.8,100
24-12-20,12.8,12.8,12.8,12.8,0
25-12-20,12.8,12.8,12.8,12.8,0
28-12-20,11.7,11.7,11.7,11.7,3000
29-12-20,11.8,11.8,11.8,11.8,11000
30-12-20,10.7,10.7,10.7,10.7,6100
31-12-20,9.8,10.1,10.1,9.8,600
04-01-21,10.5,10.5,10.5,10.5,100
05-01-21,10.5,10.5,10.5,10.5,0
06-01-21,10.0,10.0,10.0,10.0,7600
07-01-21,10.0,10.0,10.0,10.0,0
08-01-21,10.0,10.0,10.0,10.0,0
11-01-21,10.8,9.6,10.9,9.6,900
12-01-21,9.6,9.6,9.6,9.6,0
13-01-21,9.6,9.6,9.6,9.6,0
14-01-21,9.6,10.5,10.5,9.6,23000
15-01-21,10.5,10.5,10.5,10.5,150
18-01-21,9.6,9.6,9.6,9.6,100
19-01-21,10.5,10.5,10.5,9.2,44400
20-01-21,11.4,11.4,11.4,11.4,100
21-01-21,11.4,11.4,11.4,11.4,0
22-01-21,11.4,11.4,11.4,11.4,0
25-01-21,11.4,11.4,11.4,11.4,0
26-01-21,12.4,12.0,12.4,10.8,5200
27-01-21,12.0,12.0,12.0,12.0,200
28-01-21,12.0,12.0,12.0,12.0,0
29-01-21,12.0,12.0,12.0,12.0,0
01-02-21,11.9,11.9,11.9,11.9,100
02-02-21,10.8,11.9,11.9,10.8,3200
03-02-21,11.9,11.9,11.9,11.9,0
04-02-21,11.9,11.9,11.9,11.9,0
05-02-21,10.8,10.8,10.8,10.8,15700
08-02-21,10.8,10.8,10.8,10.8,0
09-02-21,9.9,9.9,9.9,9.9,100
17-02-21,9.9,9.9,9.9,9.9,0
18-02-21,10.1,10.7,10.8,10.1,1200
19-02-21,10.7,10.7,10.7,10.7,0
22-02-21,11.6,9.9,11.7,9.9,49800
23-02-21,9.9,9.9,9.9,9.9,0
24-02-21,9.9,9.9,9.9,9.9,0
25-02-21,9.9,9.9,9.9,9.9,0
26-02-21,9.9,9.9,9.9,9.9,0
01-03-21,9.9,9.9,9.9,9.9,0
02-03-21,10.8,10.8,10.8,10.8,100
03-03-21,10.8,10.8,10.8,10.8,0
04-03-21,10.8,10.8,10.8,10.8,200
05-03-21,10.8,10.8,10.8,10.8,0
08-03-21,10.8,10.8,10.8,10.8,0
09-03-21,9.9,9.9,9.9,9.9,100
10-03-21,9.9,9.9,9.9,9.9,0
11-03-21,9.2,9.1,9.2,9.1,500
12-03-21,10.0,10.0,10.0,9.2,30500
15-03-21,9.3,9.7,10.8,9.2,131700
16-03-21,9.7,9.7,9.7,9.7,0
17-03-21,10.3,9.8,10.6,9.8,27200
18-03-21,9.5,10.7,10.7,9.5,63000
19-03-21,10.7,10.7,10.7,10.7,0
22-03-21,11.7,11.5,11.7,11.5,5200
23-03-21,10.4,10.4,10.4,10.4,6500
24-03-21,10.4,10.4,10.4,10.4,0
25-03-21,10.4,10.4,10.4,10.4,5000
26-03-21,11.4,11.4,11.4,11.4,100
29-03-21,11.4,11.4,11.4,11.4,100
30-03-21,11.0,10.3,11.0,10.3,10200
31-03-21,10.0,10.2,11.3,10.0,900
01-04-21,10.2,10.2,11.2,10.2,16600
02-04-21,10.5,10.5,11.0,10.3,3800
05-04-21,11.0,11.0,11.0,11.0,100
06-04-21,11.0,11.0,11.0,11.0,1100
07-04-21,11.0,11.0,11.0,11.0,0
08-04-21,10.2,11.5,11.5,10.2,200
09-04-21,11.5,11.5,11.5,11.5,0
12-04-21,11.5,11.5,11.5,11.5,0
13-04-21,11.4,11.4,11.4,11.4,100
14-04-21,10.3,10.5,10.5,10.3,11200
15-04-21,10.5,10.5,10.5,10.5,0
16-04-21,10.5,10.5,10.5,10.5,0
19-04-21,10.5,10.5,10.5,10.5,0
20-04-21,10.5,10.5,10.5,10.5,0
22-04-21,9.6,9.6,9.6,9.6,200
23-04-21,9.5,9.0,9.5,9.0,300
26-04-21,9.0,9.0,9.0,9.0,0
27-04-21,9.0,9.0,9.0,9.0,0
28-04-21,9.9,9.9,9.9,9.9,100
29-04-21,10.7,10.7,10.7,10.7,200
04-05-21,10.7,10.7,10.7,10.7,0
05-05-21,10.7,10.7,10.7,10.7,0
06-05-21,10.7,10.7,10.7,10.7,0
07-05-21,10.7,10.7,10.7,10.7,0
10-05-21,10.7,10.7,10.7,10.7,0
11-05-21,9.7,9.7,9.7,9.7,100
12-05-21,9.7,9.7,9.7,9.7,0
13-05-21,9.7,9.7,9.7,9.7,0
14-05-21,9.0,9.1,9.1,9.0,700
17-05-21,9.0,9.0,9.0,9.0,85000
18-05-21,9.0,9.0,9.0,9.0,26000
19-05-21,9.0,9.0,9.0,9.0,69500
20-05-21,9.0,9.0,9.0,9.0,47000
21-05-21,9.0,9.0,9.0,9.0,0
24-05-21,8.5,8.5,8.5,8.5,2090
25-05-21,8.5,8.5,8.5,8.5,0
26-05-21,8.5,8.5,8.5,8.5,0
27-05-21,9.3,9.3,9.3,9.3,110
28-05-21,9.3,10.1,10.2,9.3,26800
31-05-21,9.6,10.1,10.1,9.6,5480
01-06-21,9.3,9.2,9.3,9.2,5000
02-06-21,10.1,9.3,10.1,9.3,700
03-06-21,9.3,9.3,9.3,9.3,0
04-06-21,9.3,9.3,9.3,9.3,0
07-06-21,9.0,9.0,9.0,9.0,100
08-06-21,9.5,9.3,9.9,9.3,6400
09-06-21,9.3,9.3,9.3,9.3,0
10-06-21,10.1,9.3,10.1,9.3,300
11-06-21,9.3,9.3,9.3,9.3,0
14-06-21,10.2,10.1,10.2,10.1,200
15-06-21,9.3,9.5,9.5,9.3,600
16-06-21,9.5,9.5,9.5,9.5,0
17-06-21,9.5,9.5,9.5,9.5,0
18-06-21,9.5,9.5,9.5,9.5,0
21-06-21,9.5,9.5,9.5,9.5,100
