Date,Open,Close,High,Low,Volume
16-11-20,11.4,11.4,11.4,11.4,0
17-11-20,11.4,11.4,11.4,11.4,0
18-11-20,11.4,11.4,11.4,11.4,0
19-11-20,12.4,12.4,12.4,12.4,100
20-11-20,12.4,12.4,12.4,12.4,0
23-11-20,12.4,12.4,12.4,12.4,500
24-11-20,11.5,11.5,11.5,11.5,3500
25-11-20,11.5,11.5,11.5,11.5,0
26-11-20,11.5,11.5,11.5,11.5,0
27-11-20,12.4,12.4,12.4,12.4,100
30-11-20,13.2,13.2,13.2,13.2,100
01-12-20,13.2,13.2,13.2,13.2,0
02-12-20,13.2,13.2,13.2,13.2,0
03-12-20,13.2,13.2,13.2,13.2,0
04-12-20,14.0,12.9,14.0,12.9,3100
07-12-20,13.7,13.7,13.7,13.7,111
08-12-20,13.7,13.7,13.7,13.7,0
09-12-20,13.7,13.7,13.7,13.7,0
10-12-20,14.4,13.0,14.4,12.4,4300
11-12-20,13.2,13.1,13.2,13.1,8000
14-12-20,13.0,13.2,13.2,13.0,3900
15-12-20,13.2,13.2,13.2,13.2,0
16-12-20,13.3,13.2,13.3,13.2,200
17-12-20,13.2,13.2,13.2,13.2,0
18-12-20,13.2,13.2,13.2,13.2,300
21-12-20,12.5,12.5,12.5,12.5,500
22-12-20,12.2,12.0,12.2,12.0,11200
23-12-20,13.0,13.0,13.0,13.0,1020
24-12-20,13.0,13.0,13.0,13.0,0
25-12-20,13.0,13.0,13.0,13.0,0
28-12-20,13.0,13.0,13.0,13.0,0
29-12-20,13.3,13.3,13.3,13.3,1000
30-12-20,12.4,13.6,13.6,12.4,4320
31-12-20,13.8,13.3,13.8,13.3,1100
04-01-21,13.9,13.9,13.9,13.9,2000
05-01-21,13.9,13.9,13.9,13.9,5
06-01-21,12.7,12.7,12.7,12.7,100
07-01-21,13.0,13.0,13.0,13.0,600
08-01-21,13.6,13.0,14.3,13.0,11700
11-01-21,13.0,13.0,13.0,12.9,3300
12-01-21,13.2,13.6,13.6,13.2,3600
13-01-21,13.9,13.9,13.9,13.9,2000
14-01-21,13.9,13.3,14.0,13.3,2900
15-01-21,13.3,14.0,14.0,13.1,2000
18-01-21,14.0,14.2,14.6,14.0,1800
19-01-21,14.2,13.2,14.2,13.1,2800
20-01-21,13.2,13.2,13.2,13.2,0
21-01-21,13.4,13.7,13.7,13.4,3300
22-01-21,13.6,13.6,13.6,13.6,400
25-01-21,13.9,13.6,13.9,13.6,1810
26-01-21,14.2,14.6,14.6,14.2,9000
27-01-21,14.0,14.0,14.0,14.0,200
28-01-21,13.9,14.0,14.0,13.9,1500
29-01-21,14.0,14.0,14.0,14.0,3110
01-02-21,14.0,14.0,14.0,14.0,0
02-02-21,14.0,14.0,14.0,14.0,0
03-02-21,14.0,14.0,14.0,14.0,0
04-02-21,14.0,14.0,14.0,14.0,0
05-02-21,14.0,14.0,14.0,14.0,0
08-02-21,14.0,14.0,14.0,14.0,0
09-02-21,14.0,14.0,14.0,14.0,0
17-02-21,14.0,14.0,14.0,14.0,720
18-02-21,14.0,14.0,14.0,14.0,0
19-02-21,14.0,14.0,14.0,14.0,0
22-02-21,14.2,13.0,14.2,13.0,2500
23-02-21,13.0,13.0,13.0,13.0,0
24-02-21,14.0,14.1,14.1,14.0,2200
25-02-21,13.9,13.9,13.9,13.9,3701
26-02-21,13.9,14.0,14.0,13.9,400
01-03-21,14.1,14.2,14.3,14.1,8400
02-03-21,14.1,14.2,14.2,14.1,2400
03-03-21,14.2,14.2,14.2,14.2,5100
04-03-21,14.1,14.0,14.2,14.0,6400
05-03-21,14.0,14.3,14.3,13.9,2600
08-03-21,14.3,15.2,15.2,14.3,25400
09-03-21,15.1,15.0,15.1,15.0,3400
10-03-21,15.0,14.8,15.0,14.7,7000
11-03-21,14.8,15.0,15.0,14.8,20900
12-03-21,15.0,15.1,15.2,15.0,12401
15-03-21,15.1,16.5,16.5,15.1,53238
16-03-21,16.5,16.3,16.7,16.3,8900
17-03-21,16.3,16.4,16.5,16.3,23270
18-03-21,16.4,14.9,16.4,14.9,17400
19-03-21,14.9,14.2,14.9,14.2,3300
22-03-21,14.0,13.9,14.0,13.7,3600
23-03-21,13.9,13.6,14.0,12.6,7400
24-03-21,13.6,14.1,14.1,12.8,16735
25-03-21,14.1,14.0,14.1,13.4,2550
26-03-21,13.8,13.6,14.0,13.6,5801
29-03-21,13.6,13.8,13.9,13.6,5700
30-03-21,13.6,14.0,14.0,13.2,2500
31-03-21,13.9,13.4,13.9,13.4,3400
01-04-21,14.0,14.0,14.0,13.6,3600
02-04-21,14.0,13.8,14.0,13.8,4700
05-04-21,14.4,14.4,14.4,14.0,10700
06-04-21,14.2,14.3,14.4,14.2,5800
07-04-21,14.3,14.6,14.6,14.3,7620
08-04-21,14.6,14.4,14.6,14.4,2148
09-04-21,14.4,14.5,14.5,14.2,7100
12-04-21,14.5,14.8,14.8,14.3,8800
13-04-21,14.8,14.5,14.8,14.5,4100
14-04-21,14.5,14.5,14.5,14.5,1200
15-04-21,14.6,14.7,14.7,14.5,6385
16-04-21,14.7,14.6,14.7,14.6,1200
19-04-21,14.6,14.6,14.6,14.6,4200
20-04-21,14.6,14.6,14.7,14.6,7421
22-04-21,14.6,14.2,14.6,14.0,1900
23-04-21,13.1,13.5,13.5,13.0,2900
26-04-21,14.2,14.2,14.4,14.2,4700
27-04-21,14.2,14.2,14.2,14.2,200
28-04-21,14.2,14.2,14.2,14.2,1000
29-04-21,13.8,13.8,13.8,13.8,200
04-05-21,14.0,14.1,15.1,14.0,3400
05-05-21,14.0,14.5,14.5,14.0,1700
06-05-21,14.5,14.5,14.6,14.5,3300
07-05-21,14.8,14.4,14.8,14.4,14500
10-05-21,14.0,14.0,14.0,14.0,1000
11-05-21,14.0,14.0,14.0,14.0,4
12-05-21,14.0,14.0,14.0,14.0,810
13-05-21,13.9,14.2,14.2,13.3,8100
14-05-21,13.9,14.1,14.1,13.9,7700
17-05-21,14.1,14.0,14.1,14.0,2534
18-05-21,13.6,13.5,13.6,13.2,2310
19-05-21,13.6,13.6,13.6,13.6,500
20-05-21,13.6,13.6,13.6,13.6,0
21-05-21,13.6,14.0,14.0,13.6,5010
24-05-21,14.0,14.0,14.0,14.0,1718
25-05-21,14.0,14.1,14.5,14.0,4382
26-05-21,14.1,14.1,14.1,14.1,0
27-05-21,14.4,14.1,14.4,14.1,1500
28-05-21,14.0,14.0,14.0,13.7,7200
31-05-21,13.7,13.8,13.8,13.7,1500
01-06-21,13.8,13.7,13.8,13.7,2700
02-06-21,13.6,13.8,13.8,13.6,600
03-06-21,13.6,13.7,13.7,13.6,3120
04-06-21,14.0,13.9,14.0,13.9,2101
07-06-21,13.9,13.2,14.0,13.2,14600
08-06-21,14.0,13.9,14.0,13.9,3000
09-06-21,13.9,13.9,13.9,13.9,210
10-06-21,13.9,13.5,13.9,13.5,1100
11-06-21,13.6,13.6,13.6,13.6,100
14-06-21,13.6,13.6,13.6,13.6,1300
15-06-21,13.5,13.5,13.5,13.5,100
16-06-21,13.6,13.5,13.6,13.5,2480
17-06-21,14.0,14.0,14.0,14.0,1501
18-06-21,13.8,13.6,13.8,13.6,600
21-06-21,13.9,14.7,14.8,13.9,6149
22-06-21,14.7,14.5,14.8,14.3,4801
23-06-21,14.5,14.3,14.5,14.3,11400
24-06-21,14.0,14.4,14.4,14.0,2400
25-06-21,14.4,13.9,14.4,13.9,5900
28-06-21,14.0,14.0,14.0,14.0,300
29-06-21,14.5,14.5,14.5,14.2,2800
30-06-21,14.4,14.3,14.4,14.3,1000
01-07-21,14.3,14.3,14.3,14.3,200
02-07-21,14.3,14.0,14.5,14.0,4200
05-07-21,14.0,14.0,14.0,13.9,6700
06-07-21,14.0,14.0,14.0,14.0,510
07-07-21,14.2,14.2,14.2,14.2,600
08-07-21,14.2,13.6,14.2,13.6,400
09-07-21,14.0,14.0,14.0,14.0,100
12-07-21,13.7,13.1,13.9,13.0,21700
13-07-21,13.2,13.7,13.7,13.1,2400
14-07-21,13.7,13.5,13.7,13.3,1950
15-07-21,13.5,13.6,13.6,13.5,400
16-07-21,13.6,13.7,13.7,13.6,200
19-07-21,13.7,13.7,13.7,13.7,0
20-07-21,13.6,13.7,13.7,13.6,3200
21-07-21,13.2,13.2,13.2,13.2,500
22-07-21,13.1,13.1,13.1,13.1,700
23-07-21,13.2,13.1,13.2,13.1,1500
26-07-21,13.1,13.3,13.3,13.1,800
27-07-21,13.3,13.3,13.3,13.3,1400
28-07-21,13.5,13.5,13.5,13.5,1500
29-07-21,13.5,13.5,13.5,13.5,600
