Date,Open,Close,High,Low,Volume
16-11-20,36.0,35.8,36.4,35.0,1600
17-11-20,35.0,35.0,35.0,35.0,100
18-11-20,35.1,33.0,35.1,33.0,800
19-11-20,36.3,36.3,36.3,36.3,100
20-11-20,36.3,36.3,36.3,36.3,0
23-11-20,36.0,36.0,36.0,36.0,100
24-11-20,36.0,36.0,36.0,36.0,0
25-11-20,33.1,32.4,33.1,32.4,500
26-11-20,33.0,33.1,33.1,33.0,2400
27-11-20,33.0,33.0,33.0,33.0,600
30-11-20,33.0,33.0,33.0,33.0,400
01-12-20,33.0,33.0,33.0,33.0,100
02-12-20,33.0,33.0,33.0,33.0,400
03-12-20,33.0,33.0,33.0,33.0,200
04-12-20,33.0,34.0,34.0,33.0,1900
07-12-20,34.0,34.0,34.0,34.0,0
08-12-20,34.0,34.0,34.0,34.0,300
09-12-20,34.0,33.1,34.0,33.1,400
10-12-20,33.1,33.1,33.1,33.1,300
11-12-20,33.1,33.1,33.1,33.1,1900
14-12-20,35.0,34.2,35.0,34.0,1201
15-12-20,34.2,34.2,34.2,34.2,0
16-12-20,34.0,34.0,34.0,34.0,1400
17-12-20,33.3,33.3,33.3,33.3,1500
18-12-20,33.3,33.4,33.4,33.3,2200
21-12-20,33.3,33.5,33.5,33.3,300
22-12-20,33.5,33.5,33.5,33.5,0
23-12-20,33.0,33.8,33.8,33.0,1800
24-12-20,33.0,33.0,33.0,33.0,500
25-12-20,33.5,34.5,35.0,33.5,1800
28-12-20,34.5,34.5,34.5,34.5,0
29-12-20,33.5,34.0,34.0,33.0,801
30-12-20,33.5,33.0,33.5,33.0,900
31-12-20,33.0,33.0,33.0,33.0,0
04-01-21,33.1,33.5,33.5,30.2,5800
05-01-21,33.5,33.5,33.5,33.5,0
06-01-21,33.0,33.4,33.4,32.8,6800
07-01-21,33.0,33.4,33.4,33.0,900
08-01-21,33.0,33.0,33.4,33.0,2200
11-01-21,33.2,33.3,33.3,33.2,600
12-01-21,33.5,34.5,34.5,33.5,900
13-01-21,34.5,36.0,36.9,34.5,2800
14-01-21,35.0,35.0,35.0,35.0,100
15-01-21,35.0,36.0,36.0,35.0,2000
18-01-21,36.5,38.0,38.0,36.5,10102
19-01-21,38.1,38.0,38.1,38.0,15600
20-01-21,38.0,38.0,38.1,38.0,8000
21-01-21,36.0,38.0,38.0,36.0,800
22-01-21,35.0,36.5,36.5,35.0,1800
25-01-21,36.7,36.8,36.8,36.7,300
26-01-21,36.9,36.8,36.9,36.0,10203
27-01-21,36.0,36.0,36.0,36.0,200
28-01-21,35.7,33.5,35.7,33.5,10200
29-01-21,33.0,33.0,33.0,33.0,2000
01-02-21,33.0,33.0,33.0,33.0,0
02-02-21,33.0,33.3,36.0,33.0,1500
03-02-21,33.3,35.0,35.0,33.3,2000
04-02-21,35.0,35.0,35.0,35.0,0
05-02-21,35.0,35.0,35.0,35.0,0
08-02-21,35.0,35.0,35.0,35.0,0
09-02-21,36.0,36.0,36.0,36.0,228
17-02-21,35.0,34.5,35.0,34.5,1000
18-02-21,35.0,35.0,35.0,35.0,4300
19-02-21,36.5,36.5,36.5,36.5,100
22-02-21,34.7,36.0,36.0,34.7,2400
23-02-21,36.0,36.0,36.0,36.0,100
24-02-21,36.5,36.0,37.0,36.0,2100
25-02-21,36.0,36.0,36.0,36.0,1
26-02-21,36.0,36.0,36.0,36.0,0
01-03-21,36.5,37.0,37.0,36.5,600
02-03-21,38.0,37.0,38.0,37.0,2528
03-03-21,37.5,37.5,37.5,37.5,200
04-03-21,39.5,38.0,40.0,38.0,5909
05-03-21,41.0,41.0,41.0,41.0,700
08-03-21,40.0,45.1,45.1,40.0,400
09-03-21,40.6,49.6,49.6,40.6,500
10-03-21,44.7,47.0,47.0,44.7,300
11-03-21,42.3,47.3,47.3,42.3,300
12-03-21,47.3,47.3,47.3,47.3,0
15-03-21,42.6,48.0,48.0,42.6,1200
16-03-21,43.4,48.0,48.0,43.2,2600
17-03-21,48.0,49.0,49.0,48.0,800
18-03-21,48.0,49.0,49.0,48.0,6000
19-03-21,47.5,47.5,48.9,47.5,2100
22-03-21,48.9,48.5,49.9,47.5,7437
23-03-21,49.9,49.9,49.9,49.9,100
24-03-21,45.1,49.5,49.5,45.1,200
25-03-21,45.0,48.5,48.5,44.7,600
26-03-21,43.8,48.0,48.0,43.8,600
29-03-21,44.0,48.0,48.0,44.0,300
30-03-21,48.0,48.0,48.0,48.0,0
31-03-21,48.0,48.0,48.0,48.0,0
01-04-21,47.8,49.4,49.5,44.0,500
02-04-21,44.6,49.3,49.3,44.6,400
05-04-21,49.3,49.3,49.3,49.3,0
06-04-21,49.3,49.3,49.3,49.3,0
07-04-21,45.0,47.9,47.9,45.0,600
08-04-21,47.9,47.9,47.9,47.9,0
09-04-21,45.0,47.0,47.0,45.0,500
12-04-21,46.8,51.7,51.7,46.8,5700
13-04-21,56.8,51.8,56.8,51.8,200
14-04-21,56.9,56.9,56.9,56.9,137
15-04-21,55.8,55.8,55.8,55.8,100
16-04-21,52.0,55.8,55.8,52.0,900
19-04-21,55.8,55.8,55.8,55.8,0
20-04-21,55.8,55.8,55.8,55.8,0
22-04-21,55.8,55.8,55.8,55.8,0
23-04-21,55.8,55.8,55.8,55.8,0
26-04-21,55.8,55.8,55.8,55.8,0
27-04-21,55.8,55.8,55.8,55.8,0
28-04-21,55.8,55.8,55.8,55.8,0
29-04-21,55.8,55.8,55.8,55.8,0
04-05-21,55.8,55.8,55.8,55.8,0
05-05-21,55.8,55.8,55.8,55.8,0
06-05-21,50.3,52.7,55.0,50.3,600
07-05-21,49.0,47.5,49.0,47.5,400
10-05-21,52.2,52.2,52.2,52.2,100
11-05-21,52.2,52.2,52.2,52.2,0
12-05-21,47.0,49.8,49.8,47.0,800
13-05-21,51.9,49.5,51.9,44.9,3200
