Date,Open,Close,High,Low,Volume
16-11-20,4.6,4.9,4.9,4.6,6400
17-11-20,4.9,4.9,4.9,4.9,2600
18-11-20,4.7,4.7,4.7,4.7,100
19-11-20,4.6,4.5,4.6,4.4,1800
20-11-20,4.3,4.6,4.6,4.2,12730
23-11-20,4.2,4.3,4.6,4.2,500
24-11-20,4.2,4.4,4.4,4.0,5800
25-11-20,4.1,4.2,4.2,4.1,1312
26-11-20,4.0,4.2,4.3,4.0,700
27-11-20,4.0,4.2,4.3,4.0,1000
30-11-20,4.1,4.3,4.3,4.1,500
01-12-20,4.4,4.1,4.5,4.1,300
02-12-20,4.3,4.1,4.3,4.1,4400
03-12-20,3.9,4.0,4.0,3.9,1900
04-12-20,3.9,4.2,4.4,3.9,1904
07-12-20,4.1,4.3,4.4,4.1,3600
08-12-20,4.4,4.6,4.7,4.4,52900
09-12-20,5.0,5.0,5.0,4.3,14300
10-12-20,5.0,5.1,5.2,4.8,5800
11-12-20,4.6,4.8,4.9,4.6,14450
14-12-20,4.5,5.1,5.2,4.5,116675
15-12-20,5.5,5.3,5.5,5.0,83625
16-12-20,5.0,5.3,5.3,5.0,75300
17-12-20,4.9,5.0,5.5,4.9,4100
18-12-20,5.3,5.2,5.5,5.1,68606
21-12-20,4.7,5.7,5.7,4.7,37650
22-12-20,5.2,6.1,6.1,5.2,72500
23-12-20,5.5,6.4,6.4,5.5,29600
24-12-20,6.4,5.8,6.4,5.8,2600
25-12-20,5.3,6.3,6.3,5.3,11680
28-12-20,5.7,6.2,6.2,5.7,4030
29-12-20,5.7,5.7,5.8,5.7,5306
30-12-20,5.4,6.1,6.1,5.2,12300
31-12-20,5.7,6.0,6.2,5.6,6200
04-01-21,5.5,6.1,6.1,5.5,2600
05-01-21,6.2,6.2,6.2,6.2,2500
06-01-21,5.7,5.7,5.9,5.6,5190
07-01-21,5.7,5.9,5.9,5.4,5850
08-01-21,5.6,5.4,5.6,5.4,1100
11-01-21,5.4,5.5,5.5,5.3,4100
12-01-21,5.3,5.3,5.5,5.3,2700
13-01-21,5.8,5.3,5.8,5.3,1600
14-01-21,5.0,5.3,5.7,5.0,1375
15-01-21,5.3,5.3,5.3,5.3,5
18-01-21,5.1,5.0,5.3,5.0,2775
19-01-21,5.0,5.4,5.4,4.8,6850
20-01-21,5.7,5.5,5.7,5.0,300
21-01-21,5.1,5.1,5.4,5.1,1300
22-01-21,4.7,5.0,5.0,4.7,975
25-01-21,4.9,5.1,5.1,4.7,10700
26-01-21,5.4,5.4,5.4,4.9,500
27-01-21,5.0,5.3,5.3,5.0,1400
28-01-21,4.8,5.2,5.4,4.8,1525
29-01-21,4.7,4.8,5.2,4.7,400
01-02-21,5.1,5.0,5.1,4.8,800
02-02-21,4.5,5.1,5.1,4.5,400
03-02-21,4.8,5.1,5.1,4.8,500
04-02-21,4.8,5.0,5.1,4.8,17700
05-02-21,5.0,5.0,5.0,5.0,1500
08-02-21,4.7,5.0,5.3,4.7,1200
09-02-21,5.5,5.0,5.5,4.9,3000
17-02-21,4.7,5.0,5.3,4.6,1100
18-02-21,4.7,4.8,4.8,4.7,200
19-02-21,4.5,4.7,4.7,4.5,400
22-02-21,5.0,4.8,5.0,4.5,7800
23-02-21,4.9,4.9,5.2,4.8,27525
24-02-21,4.8,4.9,5.1,4.8,3800
25-02-21,4.6,4.7,5.1,4.6,31500
26-02-21,4.7,4.7,4.7,4.7,510
01-03-21,4.7,4.7,4.7,4.7,10340
02-03-21,4.7,4.5,4.7,4.5,24500
03-03-21,4.7,4.7,4.9,4.6,7900
04-03-21,5.0,4.8,5.0,4.8,250
05-03-21,4.8,4.8,4.8,4.7,1900
08-03-21,4.8,4.9,4.9,4.7,7100
09-03-21,4.8,4.9,4.9,4.8,1700
10-03-21,4.7,4.7,5.0,4.7,8900
11-03-21,4.8,4.9,4.9,4.8,3800
12-03-21,5.3,5.0,5.3,5.0,11600
15-03-21,4.8,4.9,5.0,4.8,5200
16-03-21,5.0,4.8,5.1,4.8,11300
17-03-21,4.8,5.0,5.0,4.8,5300
18-03-21,5.0,5.0,5.0,5.0,2300
19-03-21,5.0,5.0,5.0,5.0,5900
22-03-21,4.8,4.9,5.0,4.8,5325
23-03-21,4.9,5.1,5.3,4.9,15335
24-03-21,5.0,5.2,5.2,4.9,4100
25-03-21,5.1,5.1,5.2,5.1,3400
26-03-21,5.0,5.1,5.2,5.0,4300
29-03-21,5.4,5.3,5.4,5.1,1300
30-03-21,5.3,5.3,5.3,5.2,3200
31-03-21,5.2,5.3,5.3,5.2,2900
01-04-21,5.1,5.2,5.2,5.0,9830
02-04-21,5.2,5.1,5.2,5.0,12630
05-04-21,4.9,5.1,5.2,4.9,3300
06-04-21,5.1,5.0,5.1,5.0,3900
07-04-21,5.1,5.5,5.5,5.1,46240
08-04-21,6.0,6.0,6.0,5.9,113359
09-04-21,6.3,6.2,6.3,6.0,95900
12-04-21,6.1,6.8,6.8,5.9,177400
13-04-21,6.7,6.5,6.7,6.3,65800
14-04-21,6.4,6.5,6.5,6.2,60700
15-04-21,6.3,6.3,6.5,6.3,43300
16-04-21,6.2,6.2,6.6,6.1,15900
