Date,Open,Close,High,Low,Volume
16-11-20,10.7,10.7,10.7,10.7,0
17-11-20,10.9,10.9,10.9,10.9,2000
18-11-20,10.9,10.9,10.9,10.9,1
19-11-20,10.3,10.5,10.5,10.3,5000
20-11-20,11.0,11.0,11.0,11.0,1600
23-11-20,11.0,11.0,11.0,11.0,100
24-11-20,10.1,10.9,10.9,10.1,1525
25-11-20,10.9,10.9,10.9,10.9,0
26-11-20,10.9,10.9,10.9,10.9,0
27-11-20,10.9,10.9,10.9,10.9,0
30-11-20,10.9,10.9,10.9,10.9,1
01-12-20,10.0,10.0,10.0,10.0,500
02-12-20,10.0,10.7,10.7,10.0,205
03-12-20,10.6,10.6,10.6,10.6,200
04-12-20,10.8,10.8,10.8,10.8,1000
07-12-20,10.8,10.8,10.8,10.8,0
08-12-20,10.8,10.8,10.8,10.8,61
09-12-20,10.7,10.5,10.7,10.0,3822
10-12-20,10.2,10.2,10.2,10.2,400
11-12-20,10.2,10.2,10.2,10.2,200
14-12-20,10.1,10.3,10.3,10.1,7200
15-12-20,10.3,10.3,10.3,10.3,0
16-12-20,10.3,10.3,10.3,10.3,0
17-12-20,10.7,11.3,11.3,10.7,2000
18-12-20,11.3,11.3,11.3,11.3,0
21-12-20,10.5,10.5,10.5,10.5,100
22-12-20,10.6,10.6,10.6,10.6,500
23-12-20,10.7,10.7,10.8,10.7,3300
24-12-20,10.7,10.6,10.7,10.5,2114
25-12-20,10.6,10.6,10.6,10.6,0
28-12-20,10.5,10.5,10.5,10.5,176
29-12-20,10.5,10.5,10.5,10.5,620
30-12-20,10.5,10.5,10.5,10.5,1000
31-12-20,10.6,10.6,10.6,10.6,276
04-01-21,11.0,11.0,11.0,11.0,100
05-01-21,11.0,11.0,11.0,11.0,0
06-01-21,11.0,11.5,11.5,11.0,16000
07-01-21,11.5,11.5,11.5,11.5,0
08-01-21,11.5,10.8,11.5,10.8,200
11-01-21,10.6,10.8,10.8,10.1,2400
12-01-21,11.0,11.1,11.1,11.0,1600
13-01-21,11.2,11.5,11.5,11.2,5900
14-01-21,10.6,11.5,11.5,10.6,1500
15-01-21,11.5,11.5,11.5,11.5,92
18-01-21,10.6,11.7,11.7,10.6,11282
19-01-21,11.3,11.5,11.7,11.3,3500
20-01-21,11.5,11.5,11.5,11.5,0
21-01-21,11.5,11.5,11.5,11.5,0
22-01-21,11.5,11.5,11.5,11.5,72
25-01-21,11.5,11.5,11.5,11.5,0
26-01-21,11.5,11.5,11.5,11.5,0
27-01-21,10.5,10.4,10.5,10.4,1500
28-01-21,10.6,10.1,10.6,10.1,4100
29-01-21,10.1,10.1,10.1,10.1,0
01-02-21,10.9,10.9,10.9,10.9,600
02-02-21,10.9,10.9,10.9,10.9,0
03-02-21,10.9,10.9,10.9,10.9,8500
04-02-21,10.9,10.9,10.9,10.9,5000
05-02-21,10.9,10.9,10.9,10.9,100
