Date,Open,Close,High,Low,Volume
16-11-20,76.0,75.0,76.7,74.8,377928
17-11-20,75.0,75.5,76.0,75.0,189403
18-11-20,75.5,75.5,76.1,75.2,170276
19-11-20,75.5,79.2,79.3,75.4,860698
20-11-20,79.2,79.4,81.3,79.2,240779
23-11-20,79.2,79.0,79.4,78.0,175792
24-11-20,79.0,79.0,79.0,77.6,560393
25-11-20,81.3,79.5,82.0,79.0,352344
26-11-20,79.4,79.2,79.8,78.5,321896
27-11-20,79.2,80.0,80.1,78.7,311729
30-11-20,80.0,79.5,81.4,79.3,202826
01-12-20,79.6,79.6,80.5,78.0,243831
02-12-20,79.6,80.3,81.2,79.5,292120
03-12-20,80.3,80.5,81.8,80.3,277769
04-12-20,80.5,78.6,80.5,78.0,251940
07-12-20,78.8,78.5,78.9,78.8,193380
08-12-20,78.5,77.5,78.6,77.5,450802
09-12-20,77.5,78.9,79.2,77.5,359158
10-12-20,79.6,80.2,81.8,79.6,412812
11-12-20,80.2,80.5,81.1,80.1,207794
14-12-20,80.7,82.0,82.3,80.6,407264
15-12-20,82.0,82.5,83.0,81.3,359940
16-12-20,82.5,82.9,83.4,82.3,333617
17-12-20,82.5,80.7,83.0,80.0,465414
18-12-20,81.2,81.5,81.5,80.5,169919
21-12-20,81.5,81.9,82.5,80.7,298286
22-12-20,81.0,81.5,82.7,80.8,211295
23-12-20,81.5,83.9,85.7,81.5,438412
24-12-20,84.0,83.7,85.5,81.5,354874
25-12-20,84.0,88.0,88.0,82.5,604638
28-12-20,89.5,88.8,90.5,88.0,366845
29-12-20,88.8,87.5,88.8,87.0,245914
30-12-20,87.5,88.0,88.2,86.7,241690
31-12-20,89.0,87.2,90.0,86.7,270752
04-01-21,87.5,86.8,87.9,86.6,283433
05-01-21,86.8,87.0,87.0,85.5,417490
06-01-21,86.7,87.0,88.2,86.0,225282
07-01-21,86.1,86.9,86.9,85.1,377025
08-01-21,86.8,87.0,87.4,85.6,393494
11-01-21,87.0,91.3,93.5,86.8,560602
12-01-21,91.3,91.0,91.3,89.1,218046
13-01-21,90.8,89.9,91.0,89.4,242430
14-01-21,89.9,90.0,92.0,89.8,327901
15-01-21,90.0,90.3,91.9,89.9,264684
18-01-21,90.3,90.0,91.8,90.0,168708
19-01-21,90.3,86.0,90.5,83.0,509345
20-01-21,86.0,86.0,87.0,78.5,380000
21-01-21,86.5,87.5,88.0,86.0,155110
22-01-21,88.0,87.5,88.0,86.8,215410
25-01-21,87.5,88.1,89.0,87.1,185781
26-01-21,86.5,84.2,88.0,80.0,180004
27-01-21,84.2,78.1,84.2,78.0,308695
28-01-21,76.0,70.3,78.1,70.3,680587
