Date,Open,Close,High,Low,Volume
16-11-20,8.7,8.7,8.7,8.7,100
17-11-20,7.9,7.9,7.9,7.9,3300
18-11-20,8.5,8.6,8.6,8.5,1100
19-11-20,8.6,8.6,8.6,8.6,1500
20-11-20,8.6,8.6,8.6,8.6,9700
23-11-20,8.6,8.6,8.6,8.6,0
24-11-20,8.6,9.4,9.4,8.6,2000
25-11-20,9.4,9.4,9.4,9.4,0
26-11-20,9.4,9.4,9.4,9.4,0
27-11-20,8.6,8.6,8.6,8.6,1200
30-11-20,9.4,9.4,9.4,9.4,20000
01-12-20,10.3,10.3,10.3,10.3,100
02-12-20,10.5,10.5,10.5,10.5,1100
03-12-20,10.4,10.5,10.5,10.4,7600
04-12-20,10.5,10.5,10.5,10.5,400
07-12-20,10.1,10.1,10.1,10.1,100
08-12-20,10.1,10.1,10.1,10.1,1800
09-12-20,10.4,10.5,10.8,10.4,6200
10-12-20,10.0,10.0,10.0,10.0,200
11-12-20,11.0,10.0,11.0,10.0,8800
14-12-20,10.0,10.0,10.0,10.0,0
15-12-20,10.0,10.0,10.0,10.0,0
16-12-20,11.0,10.0,11.0,10.0,2000
17-12-20,11.0,10.0,11.0,10.0,3100
18-12-20,11.0,11.0,11.0,11.0,900
21-12-20,12.1,12.1,12.1,12.1,2600
22-12-20,13.3,13.3,13.3,13.3,9000
23-12-20,13.3,14.6,14.6,13.3,12700
24-12-20,14.0,13.5,14.0,13.2,8400
25-12-20,14.5,14.5,14.5,14.4,4142
28-12-20,14.5,14.6,14.6,14.5,6200
29-12-20,14.6,14.6,14.6,14.6,7500
30-12-20,13.2,13.2,13.2,13.2,100
31-12-20,13.2,13.2,13.2,13.2,0
04-01-21,14.5,14.5,14.5,14.0,6400
05-01-21,14.5,14.5,14.5,14.5,500
06-01-21,14.5,14.0,14.7,14.0,9100
07-01-21,13.8,14.7,14.7,13.8,16000
08-01-21,15.0,15.0,15.0,15.0,5000
11-01-21,15.0,15.0,15.0,15.0,0
12-01-21,14.0,13.5,14.0,13.5,6100
13-01-21,14.0,12.3,14.8,12.3,2400
14-01-21,12.3,12.3,12.3,12.3,0
15-01-21,12.3,12.3,12.3,12.3,0
18-01-21,11.1,12.6,13.5,11.1,7458
19-01-21,13.8,13.8,13.8,13.8,1000
20-01-21,15.1,13.9,15.1,13.9,1700
21-01-21,15.2,15.2,15.2,15.2,16419
22-01-21,13.7,13.7,13.7,13.7,3300
25-01-21,15.0,15.0,15.0,15.0,2000
26-01-21,14.8,16.5,16.5,14.8,9010
27-01-21,18.1,16.6,18.1,16.6,15600
28-01-21,17.0,16.6,18.2,16.6,4700
29-01-21,16.0,17.8,17.8,15.1,9200
01-02-21,16.1,17.9,17.9,16.1,7030
02-02-21,16.3,18.9,19.6,16.3,43450
03-02-21,18.1,18.6,20.7,18.1,8500
04-02-21,17.0,20.4,20.4,16.9,14365
05-02-21,18.6,18.6,18.6,18.6,400
08-02-21,18.6,18.6,18.6,18.6,0
09-02-21,18.6,18.6,18.6,18.6,0
17-02-21,20.4,20.4,20.4,20.4,400
18-02-21,20.4,20.4,20.4,20.4,100
19-02-21,21.8,21.8,22.4,20.6,20800
22-02-21,20.0,21.8,21.8,20.0,7600
23-02-21,19.9,21.0,21.0,19.8,3136
24-02-21,21.0,21.7,21.7,21.0,640
25-02-21,21.7,21.7,21.7,21.7,1500
26-02-21,21.7,21.7,21.7,21.7,200
01-03-21,19.8,19.6,19.8,19.6,8110
02-03-21,17.7,18.2,21.5,17.7,22800
03-03-21,17.0,18.1,18.1,16.4,7100
04-03-21,19.8,18.4,19.9,18.4,2910
05-03-21,19.0,19.8,19.8,18.0,19200
08-03-21,21.0,20.0,21.0,20.0,5700
09-03-21,20.9,20.9,20.9,20.9,610
10-03-21,20.9,20.9,20.9,20.9,0
11-03-21,20.9,20.9,20.9,20.2,6200
12-03-21,20.5,20.6,20.6,20.5,8600
15-03-21,20.5,20.5,20.5,20.5,700
16-03-21,20.4,22.5,22.5,20.4,6400
17-03-21,22.5,22.5,22.5,22.5,0
18-03-21,24.7,24.7,24.7,24.7,200
19-03-21,24.7,27.1,27.1,23.5,7900
22-03-21,26.0,29.8,29.8,24.5,6790
23-03-21,30.0,26.9,30.0,26.9,3800
24-03-21,24.3,24.3,24.3,24.3,1300
25-03-21,22.0,22.1,23.0,21.9,30154
26-03-21,20.0,24.3,24.3,20.0,900
29-03-21,24.3,21.9,26.7,21.9,22501
