Date,Open,Close,High,Low,Volume
16-11-20,21.9,20.3,21.9,20.3,5108
17-11-20,22.0,22.2,22.2,22.0,1466
18-11-20,22.6,22.5,22.6,22.5,4100
19-11-20,22.2,24.5,24.5,22.2,5600
20-11-20,24.5,26.1,26.1,24.3,3100
23-11-20,26.1,26.1,26.1,26.1,0
24-11-20,26.1,26.1,26.1,26.1,0
25-11-20,26.1,26.1,26.1,26.1,0
26-11-20,26.1,26.1,26.1,26.1,0
27-11-20,26.1,26.1,26.1,26.1,0
30-11-20,26.1,26.1,26.1,26.1,0
01-12-20,23.8,23.8,23.8,23.8,100
02-12-20,23.8,23.8,23.8,23.8,0
03-12-20,23.8,23.8,23.8,23.8,0
04-12-20,23.8,23.8,23.8,23.8,0
07-12-20,23.8,23.8,23.8,23.8,28
08-12-20,23.8,23.8,23.8,23.8,0
09-12-20,23.8,23.8,23.8,23.8,0
10-12-20,23.8,23.8,23.8,23.8,0
11-12-20,23.8,23.8,23.8,23.8,0
14-12-20,23.8,23.8,23.8,23.8,0
15-12-20,23.8,23.8,23.8,23.8,0
16-12-20,23.8,23.8,23.8,23.8,0
17-12-20,23.8,23.8,23.8,23.8,0
18-12-20,23.8,23.8,23.8,23.8,0
21-12-20,23.8,23.8,23.8,23.8,0
22-12-20,23.8,23.8,23.8,23.8,15
23-12-20,23.8,23.8,23.8,23.8,0
24-12-20,23.8,23.8,23.8,23.8,0
25-12-20,23.8,23.8,23.8,23.8,0
28-12-20,23.8,23.8,23.8,23.8,200
29-12-20,23.0,23.0,23.0,23.0,400
30-12-20,23.0,23.0,23.0,23.0,0
31-12-20,23.0,23.0,23.0,23.0,67
04-01-21,23.0,23.0,23.0,23.0,0
05-01-21,23.0,23.0,23.0,23.0,0
06-01-21,23.0,23.0,23.0,23.0,0
07-01-21,23.0,23.0,23.0,23.0,0
08-01-21,23.0,23.0,23.0,23.0,0
11-01-21,23.0,23.0,23.0,23.0,0
12-01-21,23.0,23.0,23.0,23.0,0
13-01-21,22.5,22.5,22.5,22.5,100
14-01-21,22.5,22.5,22.5,22.5,0
15-01-21,22.5,22.5,22.5,22.5,210
18-01-21,20.3,22.5,22.5,20.3,700
19-01-21,20.5,20.5,20.5,20.5,800
20-01-21,20.5,20.5,20.5,20.5,200
21-01-21,20.5,20.5,20.5,20.5,0
22-01-21,21.0,21.0,21.0,21.0,100
25-01-21,21.0,21.0,21.0,21.0,0
26-01-21,21.0,21.0,21.0,21.0,0
27-01-21,23.1,23.1,23.1,23.1,100
28-01-21,23.1,23.1,23.1,23.1,0
29-01-21,23.1,23.1,23.1,23.1,0
01-02-21,23.1,23.1,23.1,23.1,0
02-02-21,23.1,23.1,23.1,23.1,0
03-02-21,20.8,20.8,20.8,20.8,2810
04-02-21,20.8,20.8,20.8,20.8,80
05-02-21,20.8,20.8,20.8,20.8,0
08-02-21,20.8,20.8,20.8,20.8,0
09-02-21,20.8,20.8,20.8,20.8,0
17-02-21,20.8,20.8,20.8,20.8,0
18-02-21,20.8,20.8,20.8,20.8,0
19-02-21,20.8,20.8,20.8,20.8,0
22-02-21,20.8,20.8,20.8,20.8,0
23-02-21,20.8,20.8,20.8,20.8,0
24-02-21,22.8,22.8,22.8,22.8,100
25-02-21,22.8,22.8,22.8,22.8,0
26-02-21,22.8,22.8,22.8,22.8,0
01-03-21,22.8,22.8,22.8,22.8,100
02-03-21,22.8,22.8,22.8,22.8,0
03-03-21,22.8,22.8,22.8,22.8,0
04-03-21,22.8,22.8,22.8,22.8,0
05-03-21,22.0,22.0,22.0,22.0,1100
08-03-21,22.0,22.0,22.0,22.0,0
09-03-21,22.0,22.0,22.0,22.0,2
10-03-21,22.0,22.0,22.0,22.0,0
11-03-21,21.8,24.2,24.2,21.8,3600
12-03-21,24.2,26.6,26.6,24.2,7000
15-03-21,27.0,27.0,27.0,26.6,5400
16-03-21,27.1,27.0,27.1,26.8,1200
17-03-21,27.0,27.0,27.0,27.0,800
18-03-21,27.0,27.0,27.0,26.6,700
19-03-21,27.0,27.0,27.0,27.0,100
22-03-21,27.0,27.0,27.0,27.0,100
23-03-21,27.0,27.0,27.0,27.0,100
24-03-21,27.0,27.0,27.0,27.0,0
25-03-21,27.0,27.0,27.0,27.0,0
26-03-21,27.0,27.0,27.0,27.0,0
29-03-21,27.0,27.0,27.0,27.0,100
30-03-21,27.0,27.0,27.0,27.0,0
31-03-21,27.0,27.0,27.0,27.0,0
01-04-21,27.0,27.9,28.0,26.8,3200
02-04-21,27.9,27.9,27.9,27.9,100
05-04-21,28.5,28.5,30.6,27.9,33000
06-04-21,28.7,31.3,31.3,27.0,25200
07-04-21,33.0,34.4,34.4,33.0,8600
08-04-21,31.2,34.4,34.4,31.0,400
09-04-21,34.4,34.4,34.4,34.4,0
12-04-21,34.4,31.0,35.0,31.0,2500
13-04-21,34.0,33.9,34.0,28.2,700
14-04-21,33.8,33.9,33.9,33.8,200
15-04-21,33.5,34.9,34.9,30.6,1200
16-04-21,34.9,38.3,38.3,34.9,17800
19-04-21,38.3,39.8,40.0,38.3,22300
20-04-21,39.9,39.9,39.9,39.8,6500
22-04-21,36.0,37.9,38.9,36.0,20500
23-04-21,38.0,38.0,38.0,38.0,5500
26-04-21,38.0,38.0,38.0,38.0,5300
27-04-21,38.0,38.0,38.0,38.0,0
28-04-21,38.0,38.0,38.0,38.0,0
29-04-21,37.0,38.0,38.0,37.0,14300
04-05-21,38.0,38.0,38.0,38.0,0
05-05-21,38.0,38.0,38.0,38.0,0
06-05-21,38.0,38.0,38.0,38.0,5
07-05-21,38.0,38.0,38.0,38.0,0
10-05-21,38.0,38.0,38.0,38.0,0
11-05-21,38.0,38.0,38.0,38.0,0
12-05-21,38.0,38.0,38.0,38.0,0
13-05-21,38.0,38.0,38.0,38.0,0
14-05-21,38.0,38.0,38.0,38.0,0
17-05-21,37.0,37.0,37.0,37.0,16000
18-05-21,37.0,37.0,37.0,37.0,12000
19-05-21,33.6,35.0,36.9,33.6,25100
20-05-21,36.0,36.0,36.0,36.0,13100
21-05-21,36.8,38.0,38.0,36.8,34800
24-05-21,38.0,38.0,38.0,38.0,10500
25-05-21,38.0,38.0,38.0,38.0,0
26-05-21,38.0,38.0,38.0,38.0,0
27-05-21,38.0,38.0,38.0,38.0,0
28-05-21,38.0,38.0,38.0,38.0,0
31-05-21,38.0,38.0,38.0,38.0,0
01-06-21,38.0,38.0,38.0,38.0,0
02-06-21,38.0,38.0,38.0,38.0,0
03-06-21,34.2,34.2,35.0,34.2,1300
04-06-21,34.2,34.2,34.2,34.2,0
07-06-21,34.2,34.2,34.2,34.2,0
08-06-21,34.2,34.2,34.2,34.2,0
09-06-21,34.2,34.2,34.2,34.2,0
10-06-21,34.2,34.2,34.2,34.2,0
11-06-21,34.2,34.2,34.2,34.2,2
14-06-21,34.2,34.2,34.2,34.2,0
15-06-21,34.2,34.2,34.2,34.2,0
16-06-21,34.2,34.2,34.2,34.2,0
