Date,Open,Close,High,Low,Volume
16-11-20,24.9,24.9,24.9,24.9,1200
17-11-20,24.9,24.9,24.9,24.9,2022
18-11-20,24.0,24.0,24.0,24.0,700
19-11-20,24.0,24.9,24.9,24.0,5200
20-11-20,24.5,24.5,24.5,24.5,300
23-11-20,24.5,24.5,24.5,24.5,1200
24-11-20,24.5,24.5,26.9,24.5,5600
25-11-20,24.8,24.8,24.8,24.8,100
26-11-20,26.9,26.9,26.9,26.9,101
27-11-20,24.8,24.9,24.9,24.7,4820
30-11-20,24.7,24.7,24.7,24.7,100
01-12-20,24.7,24.7,24.7,24.7,0
02-12-20,24.7,24.7,24.7,24.7,13
03-12-20,24.0,25.0,25.0,24.0,1320
04-12-20,25.0,25.5,25.7,25.0,1610
07-12-20,25.5,26.1,26.4,25.4,2210
08-12-20,26.0,26.0,26.6,26.0,1700
09-12-20,25.8,26.1,26.2,25.8,4300
10-12-20,26.0,26.1,26.1,26.0,1110
11-12-20,26.1,26.1,26.2,25.8,3609
14-12-20,26.2,26.1,26.7,25.5,12900
15-12-20,26.1,26.1,26.1,26.1,19
16-12-20,26.5,26.1,26.5,26.1,200
17-12-20,26.1,28.5,28.5,26.1,10431
18-12-20,28.5,28.5,28.5,28.5,0
21-12-20,26.5,26.5,26.5,26.5,210
22-12-20,26.8,26.8,26.8,26.8,967
23-12-20,27.0,27.0,27.0,27.0,1176
24-12-20,27.0,27.0,27.0,27.0,0
25-12-20,27.0,27.0,27.0,27.0,44
28-12-20,25.1,27.0,27.0,25.0,12109
29-12-20,27.0,27.0,27.0,27.0,0
30-12-20,27.0,27.0,27.0,27.0,10
31-12-20,27.0,27.0,27.0,27.0,92
04-01-21,27.0,27.0,27.0,27.0,0
05-01-21,26.6,26.6,26.6,26.6,100
06-01-21,26.6,26.6,26.6,26.6,10
07-01-21,27.0,27.0,27.0,27.0,4600
08-01-21,27.0,27.0,27.0,27.0,0
11-01-21,27.0,27.0,27.0,27.0,0
12-01-21,27.0,27.0,27.0,27.0,4200
13-01-21,27.0,27.0,27.0,27.0,9700
14-01-21,27.1,27.0,27.1,27.0,1661
15-01-21,27.0,27.0,27.0,27.0,7900
18-01-21,27.3,28.0,28.0,27.3,5256
19-01-21,28.0,28.0,28.0,28.0,0
20-01-21,27.5,26.5,27.5,26.5,3500
21-01-21,26.5,26.5,26.5,26.5,100
22-01-21,26.1,26.1,26.1,26.1,500
25-01-21,26.1,26.1,26.1,26.1,11
26-01-21,26.6,26.7,27.0,26.6,1848
27-01-21,26.9,27.0,27.0,26.9,6900
28-01-21,27.0,27.0,27.0,27.0,0
29-01-21,26.0,26.0,26.8,26.0,1410
01-02-21,27.0,24.0,27.0,24.0,4700
02-02-21,24.0,23.0,24.0,23.0,1859
03-02-21,25.3,25.3,25.3,25.3,300
04-02-21,26.0,26.0,26.0,26.0,300
05-02-21,26.0,26.0,26.0,26.0,261
08-02-21,26.0,26.0,26.0,26.0,0
09-02-21,25.9,26.0,26.0,25.9,1600
17-02-21,26.0,25.3,26.0,25.3,4900
18-02-21,26.0,26.0,26.0,26.0,700
19-02-21,25.5,25.5,25.5,25.4,3300
22-02-21,25.3,23.1,25.5,23.1,16948
23-02-21,24.0,25.4,25.4,24.0,21349
24-02-21,25.3,25.3,25.3,25.3,200
25-02-21,25.8,25.4,25.8,25.3,1700
26-02-21,25.0,25.0,25.4,25.0,2910
01-03-21,25.0,26.9,26.9,25.0,4400
02-03-21,25.5,25.3,25.5,25.3,900
03-03-21,25.5,25.5,25.5,25.5,700
04-03-21,25.9,25.5,25.9,25.5,7100
05-03-21,26.2,26.3,26.3,26.1,9200
08-03-21,28.0,27.5,28.8,27.5,12400
09-03-21,27.6,28.0,28.0,24.8,2600
10-03-21,27.0,27.7,27.7,27.0,450
11-03-21,27.0,27.0,27.0,27.0,2608
12-03-21,24.6,25.6,27.3,24.6,714
15-03-21,26.5,26.6,26.6,26.5,1900
16-03-21,26.0,26.6,26.6,25.5,4000
17-03-21,26.4,26.5,26.5,26.4,525
18-03-21,26.6,26.6,26.6,26.5,3400
19-03-21,26.0,26.0,26.0,26.0,2100
22-03-21,27.2,27.0,27.2,27.0,1500
23-03-21,27.2,27.3,27.8,27.2,2400
24-03-21,27.3,27.3,27.3,27.3,31
25-03-21,27.3,27.3,27.3,27.3,65
26-03-21,29.9,27.0,29.9,27.0,4500
29-03-21,27.0,26.0,27.0,26.0,300
30-03-21,27.5,27.3,27.5,27.3,1000
31-03-21,27.3,30.0,30.0,26.6,24720
01-04-21,28.0,29.0,29.0,28.0,4817
02-04-21,29.0,28.5,29.0,28.5,1220
05-04-21,27.5,27.5,27.5,27.5,400
06-04-21,29.9,29.0,30.0,28.5,8679
07-04-21,28.0,28.4,28.4,28.0,200
08-04-21,28.4,28.0,28.4,28.0,1000
09-04-21,28.0,28.0,28.0,28.0,100
12-04-21,28.0,27.0,28.0,26.5,2815
13-04-21,27.0,26.6,27.0,26.6,3632
14-04-21,26.7,26.7,26.7,26.6,4745
15-04-21,26.6,26.6,26.6,26.0,1700
16-04-21,26.6,26.1,27.2,26.0,7000
19-04-21,26.1,26.1,26.1,26.1,0
20-04-21,26.3,26.9,26.9,26.3,2750
22-04-21,27.1,27.0,27.1,27.0,2300
23-04-21,26.8,27.0,27.0,26.8,768
26-04-21,27.2,27.2,27.2,27.2,100
27-04-21,26.5,26.5,26.5,26.5,100
28-04-21,26.6,26.9,26.9,26.6,500
29-04-21,26.9,26.9,26.9,26.9,300
04-05-21,27.6,27.5,27.6,27.5,2130
05-05-21,27.2,26.9,27.2,26.9,5800
06-05-21,27.0,27.0,27.0,27.0,450
07-05-21,28.5,27.5,28.5,27.0,14800
10-05-21,27.0,27.0,27.0,27.0,150
11-05-21,26.0,26.7,26.7,26.0,1441
12-05-21,27.2,27.2,27.2,27.2,184
13-05-21,27.3,27.3,27.3,27.2,1000
14-05-21,27.3,27.0,27.3,27.0,3100
17-05-21,27.0,26.9,27.0,26.7,3147
18-05-21,26.7,27.0,27.0,26.7,2400
19-05-21,27.0,27.1,27.1,26.9,4700
20-05-21,26.9,27.2,27.2,26.9,2310
21-05-21,27.3,27.5,27.7,27.3,300
24-05-21,28.8,29.0,29.0,28.8,13510
25-05-21,28.9,28.9,29.0,28.9,1700
26-05-21,27.9,28.9,28.9,27.9,1300
27-05-21,26.7,25.0,26.7,25.0,1187
28-05-21,25.0,25.0,25.0,25.0,0
31-05-21,23.3,25.0,25.0,23.3,600
01-06-21,25.0,25.0,25.0,25.0,100
02-06-21,23.7,23.5,23.7,23.5,1000
03-06-21,24.0,25.3,25.4,24.0,1700
04-06-21,25.2,25.3,25.3,25.2,2500
07-06-21,25.2,25.3,25.3,25.2,315
08-06-21,25.3,25.3,25.3,25.3,0
09-06-21,25.0,23.7,25.0,23.7,3800
10-06-21,24.2,24.0,24.2,24.0,4510
11-06-21,24.5,24.5,24.5,24.5,2800
14-06-21,24.5,24.5,24.5,24.5,0
15-06-21,24.8,24.8,24.8,24.8,5110
16-06-21,24.8,24.8,24.8,24.8,0
17-06-21,24.8,24.8,24.8,24.8,0
18-06-21,24.8,24.8,24.8,24.8,10
