Date,Open,Close,High,Low,Volume
16-11-20,6.0,6.0,6.0,6.0,0
17-11-20,6.0,6.0,6.0,6.0,0
18-11-20,5.9,5.9,5.9,5.9,700
19-11-20,5.9,5.9,5.9,5.9,0
20-11-20,5.9,5.9,5.9,5.9,0
23-11-20,5.9,5.9,5.9,5.9,0
24-11-20,5.9,5.9,5.9,5.9,0
25-11-20,5.9,5.9,5.9,5.9,0
26-11-20,5.9,5.9,5.9,5.9,0
27-11-20,5.9,5.9,5.9,5.9,0
30-11-20,5.9,5.9,5.9,5.9,0
01-12-20,5.9,5.9,5.9,5.9,0
02-12-20,5.9,5.9,5.9,5.9,0
03-12-20,5.9,5.9,5.9,5.9,0
04-12-20,5.9,5.9,5.9,5.9,0
07-12-20,5.9,5.9,5.9,5.9,0
08-12-20,5.9,5.9,5.9,5.9,0
09-12-20,5.9,5.9,5.9,5.9,0
10-12-20,5.9,5.9,5.9,5.9,0
11-12-20,5.9,5.9,5.9,5.9,0
14-12-20,5.9,5.9,5.9,5.9,0
15-12-20,5.9,5.9,5.9,5.9,0
16-12-20,5.9,5.9,5.9,5.9,0
17-12-20,5.9,5.9,5.9,5.9,0
18-12-20,5.9,5.9,5.9,5.9,0
21-12-20,5.9,5.9,5.9,5.9,0
22-12-20,5.9,5.9,5.9,5.9,0
23-12-20,5.9,5.9,5.9,5.9,0
24-12-20,5.4,5.4,5.4,5.4,100
25-12-20,4.9,4.9,4.9,4.9,100
28-12-20,4.6,4.6,4.6,4.6,100
29-12-20,4.6,4.6,4.6,4.6,47
30-12-20,4.2,4.2,4.2,4.2,819
31-12-20,4.2,4.2,4.2,4.2,0
04-01-21,4.2,4.2,4.2,4.2,0
05-01-21,4.2,4.2,4.2,4.2,300
06-01-21,4.2,4.2,4.2,4.2,0
07-01-21,4.2,4.2,4.2,4.2,0
08-01-21,4.2,4.2,4.2,4.2,0
11-01-21,4.2,4.2,4.2,4.2,10
12-01-21,4.2,4.2,4.2,4.2,0
13-01-21,4.2,4.2,4.2,4.2,0
14-01-21,4.2,4.2,4.2,4.2,0
15-01-21,4.2,4.2,4.2,4.2,0
18-01-21,4.2,4.2,4.2,4.2,0
19-01-21,4.2,4.2,4.2,4.2,0
20-01-21,4.2,4.2,4.2,4.2,0
21-01-21,4.2,4.2,4.2,4.2,0
22-01-21,4.2,4.2,4.2,4.2,0
25-01-21,4.2,4.2,4.2,4.2,0
26-01-21,4.2,4.2,4.2,4.2,0
27-01-21,4.2,4.2,4.2,4.2,0
28-01-21,4.2,4.2,4.2,4.2,0
29-01-21,4.2,4.2,4.2,4.2,0
01-02-21,4.2,4.2,4.2,4.2,0
02-02-21,4.2,4.2,4.2,4.2,37
03-02-21,4.2,4.2,4.2,4.2,0
04-02-21,4.2,4.2,4.2,4.2,0
05-02-21,4.2,4.2,4.2,4.2,0
08-02-21,4.2,4.2,4.2,4.2,0
09-02-21,4.2,4.2,4.2,4.2,0
17-02-21,4.2,4.2,4.2,4.2,0
18-02-21,4.2,4.2,4.2,4.2,0
19-02-21,4.2,4.2,4.2,4.2,0
22-02-21,4.2,4.2,4.2,4.2,0
23-02-21,4.2,4.2,4.2,4.2,0
24-02-21,4.2,4.2,4.2,4.2,0
