Date,Open,Close,High,Low,Volume
16-11-20,1.1,1.0,1.1,0.9,340200
17-11-20,1.0,1.0,1.1,0.9,187700
18-11-20,1.1,1.0,1.1,0.9,44500
19-11-20,0.9,1.0,1.0,0.9,62000
20-11-20,0.9,1.0,1.0,0.9,55129
23-11-20,1.0,1.0,1.1,0.9,338300
24-11-20,1.1,1.1,1.1,0.9,111700
25-11-20,1.1,1.0,1.1,1.0,89714
26-11-20,1.1,1.0,1.1,0.9,177700
27-11-20,1.1,1.0,1.1,0.9,148205
30-11-20,1.0,1.0,1.1,0.9,205800
01-12-20,0.9,1.0,1.1,0.9,101200
02-12-20,0.9,1.1,1.1,0.9,185200
03-12-20,1.1,1.0,1.1,1.0,200000
04-12-20,1.0,1.0,1.1,0.9,45309
07-12-20,1.0,0.9,1.0,0.9,281900
08-12-20,0.9,1.0,1.0,0.9,514100
09-12-20,1.1,1.1,1.1,1.0,500319
10-12-20,1.2,1.2,1.2,1.0,1316800
11-12-20,1.2,1.1,1.2,1.1,293090
14-12-20,1.1,1.2,1.2,1.0,1741578
15-12-20,1.3,1.3,1.3,1.2,5679503
16-12-20,1.4,1.4,1.4,1.3,4560400
17-12-20,1.5,1.5,1.5,1.5,4113500
18-12-20,1.6,1.6,1.6,1.6,2471843
21-12-20,1.7,1.7,1.7,1.6,2948010
22-12-20,1.8,1.8,1.8,1.8,388319
23-12-20,1.9,1.9,1.9,1.9,751022
24-12-20,2.0,1.8,2.0,1.8,9348455
25-12-20,1.8,1.9,1.9,1.7,3911716
28-12-20,1.9,2.0,2.0,1.9,616720
29-12-20,2.2,2.2,2.2,2.0,3763909
30-12-20,2.3,2.4,2.4,2.1,6382340
31-12-20,2.5,2.4,2.6,2.2,2875670
04-01-21,2.5,2.6,2.6,2.4,2280479
05-01-21,2.6,2.4,2.6,2.4,4018775
06-01-21,2.4,2.2,2.5,2.2,4662106
07-01-21,2.2,2.4,2.4,2.2,2324003
08-01-21,2.5,2.6,2.6,2.5,4265700
11-01-21,2.8,2.8,2.8,2.7,1949055
12-01-21,3.0,3.0,3.0,2.9,4278770
13-01-21,3.2,3.3,3.3,3.2,5189360
14-01-21,3.6,3.6,3.6,3.1,5486954
15-01-21,3.9,3.9,3.9,3.8,964782
18-01-21,4.2,4.2,4.2,4.2,613050
19-01-21,4.6,4.6,4.6,3.9,8681814
20-01-21,5.0,5.0,5.0,4.5,3544060
21-01-21,5.5,5.5,5.5,5.3,956213
22-01-21,6.0,6.0,6.0,5.9,6628950
25-01-21,6.6,5.4,6.6,5.4,7461598
26-01-21,5.0,4.9,5.4,4.9,3419278
27-01-21,4.9,4.5,4.9,4.5,347191
28-01-21,4.1,4.1,4.1,4.1,124035
29-01-21,3.7,3.7,4.1,3.7,7128387
01-02-21,3.8,3.9,4.0,3.7,2504430
02-02-21,4.0,4.1,4.1,3.8,813040
03-02-21,4.1,4.3,4.4,3.7,3589516
04-02-21,4.3,3.9,4.3,3.9,1508633
05-02-21,3.9,3.9,4.0,3.7,1360469
08-02-21,3.9,3.6,3.9,3.6,2089306
09-02-21,3.6,3.6,3.8,3.4,1351709
17-02-21,3.6,3.9,3.9,3.3,939176
18-02-21,4.1,4.2,4.2,4.0,2827911
19-02-21,4.4,4.4,4.6,4.2,2154571
22-02-21,4.4,4.2,4.4,4.1,1745788
23-02-21,4.1,4.3,4.3,4.0,960771
24-02-21,4.3,4.1,4.5,4.1,1739540
25-02-21,4.2,4.2,4.3,4.0,940400
26-02-21,4.1,4.1,4.2,4.0,1014826
01-03-21,4.1,4.2,4.2,4.0,873449
02-03-21,4.2,4.1,4.2,4.0,1405270
03-03-21,4.1,4.4,4.4,4.0,2412714
04-03-21,4.4,4.4,4.7,4.1,3564345
05-03-21,4.4,4.6,4.6,4.3,2144370
08-03-21,4.6,4.8,4.9,4.6,1810285
09-03-21,4.8,5.1,5.2,4.5,4471710
10-03-21,5.1,5.1,5.3,5.0,2757968
11-03-21,5.1,5.2,5.2,4.9,1821518
12-03-21,5.2,5.0,5.2,5.0,1202037
15-03-21,5.1,5.1,5.2,4.9,1679081
16-03-21,5.2,4.9,5.2,4.8,2092125
17-03-21,4.9,4.9,5.0,4.8,2138420
18-03-21,4.9,4.9,5.0,4.7,1498238
19-03-21,4.9,5.0,5.0,4.8,1712300
22-03-21,5.0,5.0,5.0,4.8,1198711
23-03-21,5.0,5.0,5.0,4.8,1436223
24-03-21,5.0,4.8,5.0,4.7,1573600
25-03-21,4.9,4.7,4.9,4.7,962832
26-03-21,4.7,4.9,4.9,4.3,2630760
29-03-21,5.0,5.3,5.3,5.0,4351929
30-03-21,5.8,5.8,5.8,5.5,6456787
