Date,Open,Close,High,Low,Volume
16-11-20,35.7,35.7,35.7,35.7,0
17-11-20,35.7,35.7,35.7,35.7,0
18-11-20,35.7,35.7,35.7,35.7,0
19-11-20,38.8,38.8,38.8,38.8,100
20-11-20,35.0,35.0,35.0,35.0,110
23-11-20,35.0,35.0,35.0,35.0,0
24-11-20,35.0,35.0,35.0,35.0,10
25-11-20,35.0,35.0,35.0,35.0,0
26-11-20,35.0,35.0,35.0,35.0,0
27-11-20,35.0,35.0,35.0,35.0,0
30-11-20,31.5,31.5,31.5,31.5,154
01-12-20,32.1,34.6,34.6,32.1,1100
02-12-20,34.6,34.6,34.6,34.6,0
03-12-20,34.6,34.6,34.6,34.6,0
04-12-20,31.3,31.3,31.3,31.3,100
07-12-20,34.4,34.4,34.4,34.4,200
08-12-20,34.4,34.4,34.4,34.4,0
09-12-20,35.0,35.0,35.0,35.0,300
10-12-20,35.0,35.0,35.0,35.0,20
11-12-20,32.0,32.0,32.0,32.0,100
14-12-20,34.5,32.0,34.5,32.0,400
15-12-20,32.0,32.0,32.0,32.0,0
16-12-20,32.0,32.0,32.0,32.0,30
17-12-20,34.5,34.2,34.5,34.2,3800
18-12-20,34.2,34.2,34.2,34.2,100
21-12-20,34.2,34.2,34.2,34.2,0
22-12-20,31.1,31.1,31.1,31.1,166
23-12-20,32.0,31.5,32.0,31.5,1000
24-12-20,31.5,31.5,31.5,31.5,0
25-12-20,31.5,28.5,31.5,28.5,600
28-12-20,31.3,31.3,31.3,31.3,200
29-12-20,34.3,34.4,34.4,32.8,2310
30-12-20,34.4,34.3,34.4,34.3,3900
31-12-20,34.3,30.9,37.4,30.9,4970
04-01-21,33.9,33.9,33.9,33.9,200
05-01-21,33.9,33.9,33.9,33.9,0
06-01-21,33.0,33.0,33.0,33.0,130
07-01-21,34.0,33.9,34.0,33.9,700
08-01-21,33.9,33.9,33.9,33.9,0
11-01-21,33.9,33.9,33.9,33.9,900
12-01-21,33.9,34.0,34.0,33.9,1103
13-01-21,36.0,34.5,36.0,34.5,933
14-01-21,34.5,34.5,34.5,34.5,0
15-01-21,34.5,34.5,34.5,34.5,0
18-01-21,34.5,34.5,34.5,34.5,16
19-01-21,34.1,34.1,34.1,34.1,400
20-01-21,34.1,34.1,34.1,34.1,0
21-01-21,34.5,34.5,34.5,34.5,720
22-01-21,34.5,34.5,34.5,34.5,0
25-01-21,34.5,34.5,34.5,34.5,0
26-01-21,34.5,34.5,34.5,34.5,0
27-01-21,34.5,34.5,34.5,34.5,0
28-01-21,34.0,34.0,34.0,34.0,500
29-01-21,34.0,34.0,34.0,34.0,0
01-02-21,34.0,34.0,34.0,34.0,0
02-02-21,34.7,34.7,34.7,34.7,300
