Date,Open,Close,High,Low,Volume
16-11-20,19.5,19.2,20.2,19.0,2000
17-11-20,19.3,19.2,19.3,19.2,320
18-11-20,19.2,19.5,19.5,19.0,1100
19-11-20,19.5,19.5,19.5,19.5,500
20-11-20,19.8,19.0,19.9,19.0,20500
23-11-20,18.8,19.9,19.9,18.8,1620
24-11-20,19.9,19.9,19.9,19.9,0
25-11-20,19.9,19.9,19.9,19.9,0
26-11-20,19.9,19.9,19.9,19.9,0
27-11-20,19.9,19.9,19.9,19.9,0
30-11-20,19.9,19.9,19.9,19.9,0
01-12-20,19.9,19.9,19.9,19.9,0
02-12-20,18.9,19.8,19.8,18.9,22015
03-12-20,19.8,19.8,19.8,19.8,0
04-12-20,19.8,19.8,19.8,19.8,0
07-12-20,19.1,19.0,19.6,19.0,20600
08-12-20,19.3,19.3,19.3,19.3,2010
09-12-20,19.8,19.0,19.9,19.0,35500
10-12-20,19.1,19.0,19.1,19.0,5000
11-12-20,19.0,19.7,19.7,19.0,940
14-12-20,19.7,19.0,19.7,19.0,13800
15-12-20,19.0,19.0,19.1,19.0,15660
16-12-20,19.0,19.4,19.4,19.0,3110
17-12-20,19.2,19.5,19.5,19.2,9000
18-12-20,19.3,19.5,19.5,19.0,4212
21-12-20,19.0,19.5,19.5,19.0,28900
22-12-20,19.1,19.5,19.5,19.0,20100
23-12-20,19.5,19.5,19.5,19.0,15630
24-12-20,19.5,19.0,19.5,19.0,1695
25-12-20,19.3,19.4,19.5,19.1,19258
28-12-20,19.4,19.1,19.4,19.0,186300
29-12-20,19.3,19.3,19.3,19.0,220730
30-12-20,19.3,20.0,20.0,19.0,265946
31-12-20,20.0,20.0,20.8,19.9,246628
04-01-21,20.1,21.0,21.0,20.1,70357
05-01-21,20.6,20.8,21.0,20.5,47810
06-01-21,20.8,20.4,20.8,20.4,95300
07-01-21,20.4,22.4,22.4,20.4,274880
08-01-21,23.2,23.9,24.6,23.2,102510
11-01-21,24.0,23.9,24.0,23.4,34000
12-01-21,24.0,23.9,24.5,23.4,162643
13-01-21,23.9,26.2,26.2,23.9,1079400
14-01-21,27.0,26.5,27.9,26.0,282660
15-01-21,26.4,26.3,26.7,25.1,130143
18-01-21,25.7,25.0,26.2,25.0,149345
19-01-21,25.0,23.0,25.0,22.5,216420
20-01-21,23.0,23.7,24.1,21.5,125200
21-01-21,23.8,24.0,24.7,23.7,211900
22-01-21,23.3,23.1,24.5,23.0,127640
25-01-21,23.1,23.1,24.0,23.0,108000
26-01-21,23.1,22.0,23.1,21.7,87320
27-01-21,22.0,22.1,22.2,21.2,123400
28-01-21,22.0,19.9,22.0,19.9,80200
29-01-21,19.0,20.6,21.2,19.0,48802
01-02-21,21.6,20.3,21.7,20.3,24400
02-02-21,18.6,20.6,20.6,18.6,26500
03-02-21,20.6,21.0,21.4,20.6,26800
04-02-21,21.1,20.6,21.1,20.5,16520
05-02-21,20.7,20.5,20.9,20.1,62100
08-02-21,20.5,20.0,20.5,20.0,43030
09-02-21,20.0,20.4,20.5,20.0,17900
17-02-21,20.4,20.9,21.0,20.4,18600
18-02-21,20.9,20.6,20.9,20.5,31520
19-02-21,20.9,21.5,22.2,20.6,43300
22-02-21,22.0,22.1,23.3,21.5,39000
23-02-21,22.5,22.6,22.8,22.1,42610
24-02-21,22.8,22.3,22.8,22.0,34500
25-02-21,22.0,21.5,22.1,21.5,31900
26-02-21,21.5,21.6,21.6,21.3,40020
01-03-21,21.6,22.0,22.2,21.0,71310
02-03-21,22.0,22.3,22.4,22.0,46600
03-03-21,22.3,22.4,22.8,22.3,38300
04-03-21,22.5,22.4,22.7,22.0,36100
05-03-21,22.4,22.6,22.6,22.0,47220
08-03-21,22.7,22.8,23.8,22.7,76650
09-03-21,22.8,22.8,22.9,22.4,41501
10-03-21,22.8,23.2,23.2,22.4,35910
11-03-21,23.2,23.2,23.2,22.9,25690
12-03-21,22.8,22.9,23.2,22.4,29600
15-03-21,23.0,22.9,23.0,22.5,34400
16-03-21,22.9,23.0,23.9,22.5,53612
17-03-21,23.2,23.0,23.2,22.7,53100
18-03-21,23.0,22.7,23.0,22.6,62504
19-03-21,22.7,23.6,23.6,22.7,64650
22-03-21,23.6,24.4,25.0,23.6,137900
23-03-21,24.7,24.4,24.8,24.1,179239
24-03-21,24.2,23.8,24.2,23.4,75497
25-03-21,23.8,24.0,24.7,23.5,62320
26-03-21,24.0,23.7,24.0,22.9,31400
29-03-21,23.7,24.3,24.6,23.7,35020
30-03-21,24.5,24.0,24.5,24.0,33300
31-03-21,24.0,23.7,24.0,23.2,28233
01-04-21,23.7,24.0,24.1,23.6,50500
02-04-21,24.0,24.0,24.1,24.0,44210
05-04-21,24.1,24.5,25.1,24.1,71320
06-04-21,24.6,24.7,25.2,24.3,30400
07-04-21,24.8,24.4,24.8,24.3,14900
08-04-21,24.4,24.5,24.5,24.1,28200
09-04-21,24.7,24.6,24.7,24.3,32210
12-04-21,24.4,24.6,24.7,24.4,46700
13-04-21,24.6,24.2,24.6,24.2,48445
14-04-21,24.1,24.5,24.5,23.8,39175
15-04-21,24.3,24.1,24.3,23.9,21802
16-04-21,24.1,24.0,24.5,23.6,93600
19-04-21,23.9,24.0,24.0,23.7,25100
20-04-21,24.2,23.8,24.2,23.7,42526
22-04-21,23.8,23.8,23.9,23.7,20800
23-04-21,24.0,23.7,24.3,23.7,29100
26-04-21,23.7,23.6,23.7,23.6,4800
27-04-21,23.6,23.6,23.7,21.3,22500
28-04-21,23.6,23.9,24.0,23.6,13300
29-04-21,24.0,23.9,24.0,23.8,6600
04-05-21,23.9,24.0,24.0,23.9,7900
05-05-21,24.0,24.0,24.2,23.9,38050
06-05-21,24.2,23.7,24.2,23.7,27700
07-05-21,23.6,23.5,23.6,23.4,40308
10-05-21,23.4,23.5,23.5,23.3,29700
11-05-21,23.3,23.7,23.7,23.3,11300
12-05-21,23.4,23.7,23.7,23.4,12900
13-05-21,23.6,23.6,23.8,23.6,7300
14-05-21,23.9,24.1,24.2,23.9,24500
17-05-21,24.2,24.6,24.8,24.1,34500
18-05-21,24.6,24.5,24.6,24.3,19700
19-05-21,24.5,24.4,24.6,24.2,18900
20-05-21,24.2,24.5,24.6,24.2,31300
21-05-21,24.4,24.4,24.6,24.3,40000
24-05-21,24.3,24.5,24.5,24.3,46200
25-05-21,24.5,24.6,24.6,24.3,57226
26-05-21,24.6,26.4,26.8,24.5,150224
27-05-21,26.4,25.9,27.8,25.7,40620
28-05-21,25.9,26.0,26.2,25.9,77965
31-05-21,26.0,26.0,26.1,25.4,81700
01-06-21,26.0,26.5,26.7,25.8,160300
02-06-21,26.5,26.2,26.5,26.0,47560
03-06-21,26.4,26.5,26.7,26.2,52415
04-06-21,26.2,26.4,26.5,26.0,70000
07-06-21,26.4,26.1,26.6,25.2,85930
08-06-21,26.1,26.0,26.6,26.0,92900
09-06-21,26.1,26.2,26.5,25.8,33900
10-06-21,26.2,27.2,27.3,26.1,142110
11-06-21,27.3,26.9,28.1,26.8,157410
14-06-21,26.9,27.5,27.7,26.9,108352
15-06-21,27.5,28.9,29.3,27.0,370501
16-06-21,29.0,28.8,29.2,28.7,187300
17-06-21,28.4,29.0,29.2,28.3,48500
18-06-21,28.8,29.8,30.3,28.7,123185
21-06-21,29.8,29.8,30.2,29.6,150759
22-06-21,29.8,30.9,31.3,29.8,176062
23-06-21,30.9,29.8,30.9,29.6,135490
24-06-21,29.7,29.3,29.8,28.5,86739
25-06-21,29.3,29.4,31.0,29.0,53597
28-06-21,28.0,27.9,28.0,27.0,74000
29-06-21,27.9,27.2,28.3,27.0,67300
30-06-21,27.0,27.0,27.9,27.0,33140
01-07-21,27.2,27.5,27.5,27.1,49903
02-07-21,27.5,27.2,27.5,27.0,67300
05-07-21,27.0,26.8,27.1,26.6,75920
06-07-21,26.8,24.3,27.0,24.3,57004
07-07-21,24.8,25.2,25.9,24.7,51304
08-07-21,25.2,25.5,25.9,25.2,6200
09-07-21,25.5,25.0,26.0,24.0,56700
12-07-21,24.4,24.3,24.7,24.0,79604
13-07-21,24.3,25.0,25.0,24.1,35365
14-07-21,21.8,21.6,21.9,21.5,24409
15-07-21,21.8,22.5,22.5,21.7,23400
16-07-21,22.5,22.0,22.5,22.0,20200
19-07-21,21.4,21.1,21.7,21.0,42300
20-07-21,21.2,21.1,21.2,20.9,60040
21-07-21,21.1,21.0,21.2,20.9,101800
22-07-21,21.0,21.0,21.4,20.8,143100
23-07-21,21.0,21.2,21.3,20.9,19000
26-07-21,20.9,21.4,21.4,20.9,40120
27-07-21,21.4,21.8,22.0,21.4,62500
28-07-21,21.5,22.1,22.1,21.5,23600
29-07-21,22.4,22.3,22.6,22.2,66300
30-07-21,22.1,21.9,22.1,21.9,20500
02-08-21,21.8,22.3,22.3,21.8,11400
03-08-21,22.3,22.3,22.3,22.0,3100
04-08-21,22.3,22.0,22.4,22.0,27020
05-08-21,22.0,22.1,22.1,21.9,32700
06-08-21,21.9,22.2,22.2,21.7,66500
09-08-21,22.2,22.2,22.2,22.0,10400
10-08-21,22.3,22.3,22.3,22.1,18100
11-08-21,22.3,23.0,23.0,22.3,56175
12-08-21,23.0,23.0,23.4,22.6,29931
13-08-21,23.0,23.0,23.0,22.7,14010
16-08-21,22.9,23.0,23.0,22.9,23355
17-08-21,23.0,22.4,23.0,22.0,26148
18-08-21,22.5,23.2,23.5,22.5,41300
19-08-21,23.2,24.5,24.5,23.2,219900
20-08-21,24.2,23.8,24.5,23.5,40700
23-08-21,23.7,24.0,24.1,23.4,130455
24-08-21,23.6,24.5,24.7,23.5,130200
25-08-21,24.6,24.7,25.0,24.0,135600
26-08-21,25.1,24.5,25.1,24.5,21757
27-08-21,24.2,24.8,25.6,24.2,157500
30-08-21,26.0,26.9,27.1,24.8,295343
31-08-21,27.0,27.7,28.1,27.0,231567
01-09-21,27.7,28.0,28.1,27.2,186634
06-09-21,28.1,28.1,28.4,27.2,178000
07-09-21,28.0,27.7,28.6,27.7,173510
08-09-21,27.7,27.0,28.0,26.8,192468
09-09-21,27.0,27.4,27.9,27.0,60803
10-09-21,27.5,30.1,30.1,27.5,335651
13-09-21,30.1,33.1,33.1,30.1,245293
14-09-21,36.4,36.4,36.4,36.0,164160
15-09-21,40.0,38.4,40.0,36.4,603932
16-09-21,39.5,40.0,40.0,38.4,196105
17-09-21,40.0,42.5,44.0,39.5,301455
20-09-21,42.2,41.8,44.0,39.0,482886
21-09-21,41.8,41.0,43.0,39.7,439545
22-09-21,41.3,41.6,42.4,41.0,280578
23-09-21,41.6,43.0,44.5,40.0,390662
24-09-21,41.5,41.4,43.2,41.0,274941
27-09-21,42.0,39.9,42.0,39.5,235584
28-09-21,38.0,39.2,39.7,37.7,274716
29-09-21,39.2,39.2,39.7,38.5,96830
30-09-21,39.2,38.3,40.0,37.1,87047
01-10-21,38.8,39.9,40.0,38.5,89430
04-10-21,40.0,40.8,41.0,39.9,114015
05-10-21,40.8,39.7,40.8,39.5,121489
06-10-21,39.8,38.5,39.8,38.4,177494
07-10-21,38.5,38.5,38.8,38.1,124675
08-10-21,38.5,40.2,41.0,38.1,229535
11-10-21,39.7,40.0,41.7,39.3,64495
12-10-21,40.0,39.3,40.0,39.0,63293
13-10-21,39.3,39.9,40.0,38.7,200693
14-10-21,39.8,39.4,40.0,39.4,79167
15-10-21,39.5,39.4,39.9,39.2,99217
18-10-21,38.9,38.7,39.8,38.6,137993
19-10-21,38.7,39.7,41.5,38.4,290629
20-10-21,39.8,39.6,39.8,39.0,61215
21-10-21,39.3,38.9,39.7,38.9,79000
22-10-21,38.9,39.0,39.2,38.5,102250
25-10-21,39.5,42.9,42.9,39.5,555147
26-10-21,46.0,41.7,46.0,41.5,142981
27-10-21,41.6,40.4,41.7,40.0,162822
28-10-21,40.1,39.2,40.2,39.0,369683
29-10-21,39.2,39.2,39.7,38.9,241669
01-11-21,38.5,38.8,39.5,38.5,183413
02-11-21,38.8,38.3,39.0,38.0,274002
03-11-21,38.3,36.0,38.3,36.0,308641
04-11-21,36.0,36.5,37.2,36.0,127509
05-11-21,36.5,38.6,38.6,36.1,148338
08-11-21,38.6,38.5,39.1,38.4,205598
09-11-21,38.5,37.8,38.6,37.6,137415
10-11-21,37.8,37.2,37.8,37.0,78755
11-11-21,37.2,36.9,38.0,36.6,105898
12-11-21,37.0,37.2,38.3,36.7,126304
15-11-21,37.2,37.9,38.6,37.1,176946
16-11-21,38.0,38.7,39.2,37.3,227494
17-11-21,39.6,38.3,39.6,38.2,113260
18-11-21,38.3,37.6,38.4,37.5,131418
19-11-21,37.6,37.0,37.6,36.0,221261
22-11-21,37.0,35.5,37.0,35.5,149265
23-11-21,35.5,35.8,36.5,35.2,80876
24-11-21,35.8,35.5,36.5,35.4,109625
25-11-21,36.3,35.6,36.4,35.3,84608
26-11-21,35.5,35.1,36.0,34.9,127420
29-11-21,34.5,34.6,34.8,33.0,57914
30-11-21,35.5,34.3,35.5,34.1,77075
01-12-21,33.9,33.1,34.3,33.1,100678
02-12-21,33.5,33.6,34.0,33.4,46603
03-12-21,33.9,31.8,33.9,30.3,151600
06-12-21,31.8,30.0,32.3,29.9,157218
07-12-21,30.0,31.0,31.0,29.8,94875
08-12-21,30.9,30.4,31.0,29.5,130402
09-12-21,30.1,30.9,31.0,30.0,96827
10-12-21,30.8,33.0,33.0,30.6,121555
13-12-21,33.0,33.7,34.6,33.0,103200
14-12-21,34.3,33.0,34.3,31.1,56400
15-12-21,32.5,32.4,33.4,32.4,29600
16-12-21,32.4,32.3,32.9,32.2,55579
17-12-21,31.6,32.5,33.0,31.4,103127
20-12-21,32.6,33.0,34.5,32.6,82512
21-12-21,33.0,33.2,33.7,33.0,141220
22-12-21,33.2,32.7,33.8,32.1,63100
23-12-21,32.7,32.0,32.7,31.0,108700
24-12-21,32.2,32.0,32.2,31.2,44700
27-12-21,32.0,31.0,32.0,31.0,70250
28-12-21,31.0,31.3,32.5,31.0,33470
29-12-21,31.3,31.5,31.7,31.1,45159
30-12-21,31.5,31.7,32.0,31.3,56225
31-12-21,31.5,31.5,32.0,31.3,47801
04-01-22,32.0,32.0,32.2,31.6,35359
05-01-22,32.5,31.8,32.5,31.5,58400
06-01-22,31.5,31.5,32.4,31.3,112738
07-01-22,31.5,31.5,32.0,31.4,122424
10-01-22,31.5,31.0,31.7,31.0,100100
11-01-22,31.5,30.6,31.8,30.6,72650
12-01-22,31.4,31.0,31.4,29.9,94258
13-01-22,31.0,30.7,31.0,30.2,37700
14-01-22,30.6,30.0,30.6,30.0,78520
17-01-22,30.4,27.2,30.4,27.2,73310
18-01-22,28.0,27.0,28.9,26.8,46968
19-01-22,29.7,27.0,29.7,26.8,38100
20-01-22,27.0,27.8,27.8,26.8,29900
21-01-22,27.5,27.0,27.8,25.2,39803
24-01-22,27.0,27.0,27.9,26.0,51610
25-01-22,26.5,26.9,26.9,26.0,41815
26-01-22,26.9,26.5,27.0,26.2,38800
27-01-22,27.1,26.8,27.5,26.6,20400
28-01-22,26.8,27.9,27.9,26.8,34605
07-02-22,27.9,28.0,28.7,27.9,19603
08-02-22,28.0,28.7,28.9,28.0,16700
09-02-22,28.9,29.4,29.9,28.5,24509
10-02-22,29.9,29.4,29.9,29.0,9304
11-02-22,29.4,29.3,29.7,29.0,18700
14-02-22,29.3,28.8,29.9,28.6,65430
15-02-22,28.8,28.5,29.0,28.0,22509
16-02-22,29.2,28.5,29.2,28.2,25800
17-02-22,28.6,29.0,29.1,28.5,50605
18-02-22,29.3,29.3,29.6,28.7,51600
21-02-22,29.0,29.3,29.8,28.9,56051
22-02-22,29.3,29.3,29.4,28.8,58600
23-02-22,29.3,29.5,29.5,29.0,115428
24-02-22,29.6,31.1,31.2,29.6,193100
25-02-22,31.0,30.8,31.3,30.4,37017
28-02-22,31.0,30.5,31.1,30.4,23415
01-03-22,30.2,30.7,30.9,30.2,89942
02-03-22,30.7,30.9,31.0,30.1,18700
03-03-22,30.9,30.4,30.9,30.2,42560
04-03-22,30.8,30.7,30.9,30.3,73578
07-03-22,30.4,30.5,30.7,30.3,65400
08-03-22,30.5,30.7,31.1,30.3,66300
09-03-22,31.3,30.7,31.3,30.3,63417
10-03-22,31.0,30.5,31.1,30.5,40100
11-03-22,30.9,30.5,30.9,30.2,70500
14-03-22,30.5,29.8,30.5,29.5,82500
15-03-22,29.8,29.9,30.2,29.5,27709
16-03-22,30.2,29.9,30.2,29.8,20600
17-03-22,30.5,30.0,30.5,29.7,20389
18-03-22,30.0,29.9,30.1,29.8,40406
21-03-22,30.0,31.0,31.5,29.8,225445
22-03-22,31.5,31.3,32.0,31.2,148166
23-03-22,31.3,32.1,32.5,31.3,110900
24-03-22,32.1,32.7,32.9,31.8,179944
25-03-22,32.7,32.1,32.7,32.1,88761
28-03-22,32.1,31.7,32.1,31.0,85633
29-03-22,31.5,33.2,34.0,31.3,112900
30-03-22,33.2,33.8,34.7,32.5,174046
31-03-22,33.8,33.4,34.0,33.2,46900
01-04-22,33.4,33.7,34.0,32.7,56505
04-04-22,33.7,34.4,35.0,33.7,142205
05-04-22,34.5,34.3,34.5,33.8,56816
06-04-22,33.6,33.0,34.3,33.0,70007
07-04-22,33.4,32.5,33.4,32.4,91305
08-04-22,33.0,31.5,33.0,31.5,81109
12-04-22,31.3,31.2,31.4,30.0,105721
13-04-22,30.6,32.0,32.0,30.1,77700
14-04-22,32.5,32.1,33.0,31.8,80910
15-04-22,32.1,34.0,34.5,32.0,220468
18-04-22,34.0,33.0,34.5,32.3,100819
19-04-22,33.1,31.5,33.2,31.5,66200
20-04-22,30.6,29.3,31.5,28.4,126501
21-04-22,29.0,29.3,29.3,27.0,83115
22-04-22,29.3,28.9,30.0,27.9,43936
25-04-22,28.9,26.1,28.9,26.1,108848
26-04-22,23.5,26.8,26.8,23.5,84229
27-04-22,26.5,27.3,27.4,26.1,24710
28-04-22,26.6,26.8,27.8,26.6,39221
29-04-22,27.4,27.2,27.4,26.0,46350
04-05-22,27.2,27.2,27.8,27.0,65921
05-05-22,27.1,26.9,27.1,26.3,37900
06-05-22,26.8,26.8,27.0,26.0,33200
09-05-22,26.2,24.2,26.2,24.2,171941
10-05-22,24.2,23.4,24.2,21.8,137300
11-05-22,25.5,24.4,25.5,23.4,69700
12-05-22,24.0,22.2,24.3,22.0,88825
13-05-22,20.0,21.5,22.9,20.0,87500
16-05-22,19.4,22.2,22.8,19.4,73165
17-05-22,22.2,24.0,24.0,22.0,145000
18-05-22,24.0,24.0,25.0,23.0,61800
19-05-22,23.7,24.2,24.2,22.8,71200
20-05-22,23.7,23.5,24.5,23.3,70200
23-05-22,23.5,23.4,24.2,23.4,40200
24-05-22,23.9,23.3,24.0,23.0,26500
25-05-22,23.2,24.4,24.5,23.2,62800
26-05-22,24.4,23.5,24.4,23.5,24725
27-05-22,23.5,23.9,23.9,23.5,12319
30-05-22,23.9,24.6,24.7,23.7,21600
31-05-22,24.7,24.8,25.3,24.6,39600
01-06-22,24.8,25.9,25.9,24.8,20600
02-06-22,25.9,25.9,26.7,25.9,38900
03-06-22,25.5,25.5,25.5,24.6,4300
06-06-22,25.0,25.0,25.1,24.6,24900
07-06-22,24.0,26.9,26.9,24.0,42500
08-06-22,26.9,26.8,27.0,26.0,26421
09-06-22,26.8,25.5,26.9,25.5,45900
10-06-22,25.6,24.7,25.6,24.7,50900
13-06-22,23.4,23.4,24.8,23.4,33400
14-06-22,23.4,24.0,24.5,23.4,22800
15-06-22,24.8,24.0,25.4,23.5,21600
16-06-22,24.8,24.0,25.1,24.0,18900
