Date,Open,Close,High,Low,Volume
16-11-20,15.4,15.4,15.4,15.4,0
17-11-20,15.4,15.4,15.4,15.4,20
18-11-20,15.4,15.4,15.4,15.4,0
19-11-20,15.5,15.5,15.5,15.5,1900
20-11-20,15.5,15.5,15.5,15.5,0
23-11-20,15.5,15.5,15.5,15.5,73
24-11-20,15.5,15.5,15.5,15.5,2127
25-11-20,15.5,15.5,15.5,15.5,12100
26-11-20,15.5,15.5,15.5,15.5,0
27-11-20,15.5,15.5,15.5,15.5,0
30-11-20,15.5,15.5,15.5,15.5,0
01-12-20,16.0,16.0,16.0,16.0,213
02-12-20,16.0,16.0,16.0,16.0,200
03-12-20,14.5,14.5,14.5,14.5,100
04-12-20,15.1,15.9,15.9,15.1,700
07-12-20,16.0,16.0,16.0,16.0,1820
08-12-20,16.0,16.0,16.0,16.0,0
09-12-20,16.0,16.0,16.0,16.0,0
10-12-20,16.5,17.0,17.0,16.5,210
11-12-20,16.0,16.0,16.0,16.0,1000
14-12-20,15.2,15.6,15.6,15.2,200
15-12-20,15.6,15.6,15.6,15.6,4400
16-12-20,16.0,16.0,16.0,16.0,1000
17-12-20,16.0,16.0,16.0,16.0,0
18-12-20,16.0,16.0,16.0,16.0,0
21-12-20,16.0,16.0,16.0,16.0,0
22-12-20,16.0,16.0,16.0,16.0,0
23-12-20,16.0,16.0,16.0,16.0,1400
24-12-20,16.0,16.0,16.0,16.0,1010
25-12-20,16.0,16.5,16.5,16.0,1155
28-12-20,15.0,15.0,15.0,15.0,1020
29-12-20,15.5,15.5,15.5,15.5,210
30-12-20,16.0,17.0,17.0,16.0,10400
31-12-20,16.9,16.9,16.9,16.9,450
04-01-21,17.0,17.5,17.5,17.0,2400
05-01-21,17.9,17.9,18.0,17.9,2000
06-01-21,18.5,17.0,18.5,17.0,212
07-01-21,16.9,16.9,16.9,16.9,110
08-01-21,17.5,17.5,17.5,17.5,102
11-01-21,17.5,17.5,17.5,17.5,0
12-01-21,17.5,17.5,17.5,17.5,0
13-01-21,17.5,17.5,17.5,17.5,50
14-01-21,18.8,18.8,18.8,18.8,200
15-01-21,18.8,18.8,18.8,18.8,0
18-01-21,18.5,18.8,18.8,18.5,38904
19-01-21,18.8,18.8,18.8,18.8,0
20-01-21,18.8,18.8,18.8,18.8,3850
21-01-21,18.8,18.8,18.8,18.8,500
22-01-21,18.8,18.8,18.8,18.8,2570
25-01-21,18.8,18.8,18.8,18.8,10
26-01-21,18.8,18.8,18.8,18.8,2000
27-01-21,18.8,18.8,18.8,18.8,4440
28-01-21,18.8,18.8,18.8,18.8,0
29-01-21,18.8,18.8,18.8,18.8,0
01-02-21,18.8,19.0,19.0,18.8,5500
02-02-21,18.0,18.0,18.0,18.0,4400
03-02-21,18.0,18.0,18.0,18.0,1
04-02-21,18.0,18.0,18.0,18.0,3500
05-02-21,18.0,18.0,18.0,18.0,1
08-02-21,18.0,18.0,18.0,18.0,0
09-02-21,18.0,18.0,18.0,18.0,0
17-02-21,18.0,18.0,18.0,18.0,0
18-02-21,18.0,18.0,18.0,18.0,0
19-02-21,18.0,18.0,18.0,18.0,1300
22-02-21,19.5,19.5,19.5,19.5,1951
23-02-21,19.5,19.5,19.5,19.5,0
24-02-21,19.5,19.5,19.5,19.5,0
25-02-21,18.5,18.5,18.5,18.5,100
26-02-21,20.0,20.0,20.0,20.0,100
01-03-21,20.0,20.0,20.0,20.0,0
02-03-21,20.0,20.0,20.0,20.0,0
03-03-21,20.0,20.0,20.0,20.0,1000
04-03-21,19.0,20.0,20.0,19.0,1431
05-03-21,19.0,19.0,19.0,19.0,3170
08-03-21,19.0,19.0,19.0,19.0,0
09-03-21,19.0,19.0,19.0,19.0,6800
10-03-21,19.3,20.2,20.9,19.3,13000
11-03-21,20.2,20.2,20.2,20.2,900
12-03-21,20.0,20.0,20.0,20.0,1210
15-03-21,20.0,20.0,20.0,20.0,350
16-03-21,20.0,20.5,21.5,20.0,15157
17-03-21,21.5,22.5,22.5,21.5,3505
18-03-21,22.0,23.5,24.0,22.0,6300
19-03-21,25.8,25.0,25.8,25.0,1600
22-03-21,25.0,25.0,25.0,25.0,0
23-03-21,25.0,25.0,25.0,25.0,260
24-03-21,25.0,23.0,25.0,23.0,3670
25-03-21,22.0,22.0,22.0,22.0,1525
26-03-21,22.0,22.0,22.0,22.0,2000
29-03-21,22.0,23.3,24.2,22.0,25400
30-03-21,23.0,23.0,23.0,23.0,1029
31-03-21,23.0,23.0,23.0,23.0,0
01-04-21,23.0,23.0,25.0,23.0,12890
02-04-21,23.0,23.0,23.0,23.0,327
05-04-21,23.0,23.0,23.0,23.0,20
06-04-21,23.0,23.0,23.0,23.0,0
07-04-21,23.0,23.0,23.0,23.0,100
08-04-21,23.0,23.0,23.0,23.0,200
09-04-21,23.0,23.0,23.0,23.0,0
12-04-21,23.0,23.0,23.0,23.0,0
13-04-21,23.0,23.0,23.0,23.0,12000
14-04-21,23.0,22.0,23.0,22.0,17452
15-04-21,22.0,22.0,22.0,22.0,0
16-04-21,22.0,22.0,22.0,22.0,0
19-04-21,21.1,21.1,21.1,21.1,100
20-04-21,22.0,21.1,22.0,21.1,1110
22-04-21,22.5,22.5,22.5,22.5,200
23-04-21,22.5,22.5,22.5,22.5,0
26-04-21,22.5,22.5,22.5,22.5,0
27-04-21,22.5,22.5,22.5,22.5,100
28-04-21,22.5,22.5,22.5,22.5,101
29-04-21,22.5,22.5,22.5,22.5,0
04-05-21,21.0,21.0,21.0,21.0,209
05-05-21,21.0,21.0,21.0,21.0,0
06-05-21,23.0,23.0,23.0,23.0,100
07-05-21,23.0,23.0,23.0,23.0,310
10-05-21,23.0,23.0,23.0,23.0,0
11-05-21,23.0,24.0,24.0,23.0,6400
12-05-21,23.0,23.5,23.5,23.0,1400
13-05-21,23.5,23.5,23.5,23.5,0
14-05-21,23.5,23.5,23.5,23.5,0
17-05-21,23.5,23.5,23.5,23.5,0
18-05-21,23.5,23.5,23.5,23.5,0
19-05-21,24.0,22.0,24.0,22.0,2100
20-05-21,22.0,22.2,22.2,22.0,4800
21-05-21,23.0,23.0,23.0,23.0,200
24-05-21,23.0,23.0,23.0,23.0,0
25-05-21,23.0,23.0,23.0,23.0,0
26-05-21,23.0,23.0,23.0,23.0,0
27-05-21,23.0,23.0,23.0,23.0,0
28-05-21,23.0,23.0,23.0,23.0,0
31-05-21,23.0,23.0,23.0,23.0,0
01-06-21,23.0,23.0,23.0,23.0,0
02-06-21,23.0,23.0,23.0,23.0,100
03-06-21,23.0,23.0,23.0,23.0,5800
04-06-21,23.0,23.0,23.0,23.0,11500
07-06-21,22.9,23.0,23.0,22.9,2300
08-06-21,22.0,22.5,23.0,22.0,1200
09-06-21,22.0,22.0,22.0,22.0,300
10-06-21,22.0,23.0,23.0,22.0,7800
11-06-21,23.0,23.0,23.0,23.0,0
14-06-21,23.0,23.0,23.0,23.0,0
15-06-21,23.0,23.0,23.0,23.0,900
16-06-21,23.5,24.7,25.0,23.5,8750
17-06-21,25.8,27.1,27.1,25.8,41354
18-06-21,29.0,29.8,29.8,29.0,21900
21-06-21,32.0,32.7,32.7,32.0,34223
22-06-21,35.5,34.1,35.9,29.8,34700
23-06-21,34.1,33.7,34.5,33.6,19100
24-06-21,33.3,31.5,34.8,30.7,13600
25-06-21,33.9,33.0,34.0,32.0,19550
28-06-21,34.9,34.4,34.9,33.5,28250
29-06-21,34.2,34.4,34.4,33.9,19405
30-06-21,34.4,34.8,35.0,34.3,30900
01-07-21,35.0,34.8,35.0,34.0,28481
02-07-21,33.5,30.3,33.5,30.3,10305
05-07-21,30.1,28.1,30.3,28.0,6300
06-07-21,28.1,26.1,28.5,26.1,5023
07-07-21,26.1,23.6,26.1,23.6,6400
08-07-21,23.6,23.7,23.7,23.6,2000
09-07-21,25.8,25.1,25.8,25.1,200
12-07-21,25.1,23.5,25.1,23.5,800
13-07-21,23.5,24.2,24.2,23.5,7400
14-07-21,24.2,22.5,26.0,22.5,4800
15-07-21,24.5,24.5,24.5,24.5,100
16-07-21,24.5,24.0,24.5,24.0,1300
19-07-21,23.6,23.5,23.6,22.5,2370
20-07-21,22.8,22.5,22.8,22.5,1642
21-07-21,22.5,23.0,23.0,22.4,2500
22-07-21,24.2,24.2,24.2,24.2,100
23-07-21,24.2,24.2,24.2,24.2,0
26-07-21,22.3,22.4,22.4,22.3,1400
27-07-21,22.4,22.4,22.4,22.1,2600
28-07-21,22.1,22.2,22.2,22.1,1500
29-07-21,22.2,21.5,22.2,21.5,2200
30-07-21,21.6,21.5,21.6,21.1,5100
02-08-21,22.0,23.6,23.6,21.0,6200
03-08-21,25.3,25.7,25.9,25.3,8314
04-08-21,25.7,25.5,25.7,25.5,3200
05-08-21,25.5,24.0,25.5,23.2,2800
06-08-21,24.0,23.8,24.2,23.8,6100
09-08-21,22.5,23.9,23.9,22.0,10800
10-08-21,23.6,23.5,24.1,23.0,17522
11-08-21,23.0,25.8,25.8,23.0,24470
12-08-21,28.3,27.7,28.3,27.7,15300
13-08-21,25.5,25.2,25.5,25.0,7500
16-08-21,25.2,24.0,25.2,24.0,9820
17-08-21,24.0,24.1,24.1,23.0,10870
18-08-21,24.9,23.6,24.9,23.6,2000
19-08-21,24.0,24.0,24.0,23.5,4220
20-08-21,24.0,23.2,24.0,23.2,2000
23-08-21,23.2,23.7,23.7,23.1,2035
24-08-21,22.1,23.8,23.8,22.1,500
25-08-21,23.5,23.5,23.5,23.5,900
26-08-21,23.3,24.1,24.5,23.3,4510
27-08-21,24.0,23.6,24.5,23.5,2602
30-08-21,23.7,24.4,24.5,23.7,1100
31-08-21,24.0,24.3,24.3,24.0,400
