Date,Open,Close,High,Low,Volume
16-11-20,9.4,9.4,9.4,9.4,0
17-11-20,9.4,9.4,9.4,9.4,0
18-11-20,9.4,9.4,9.4,9.4,0
19-11-20,9.4,9.4,9.4,9.4,0
20-11-20,9.4,9.4,9.4,9.4,0
23-11-20,9.4,9.4,9.4,9.4,0
24-11-20,9.4,9.4,9.4,9.4,0
25-11-20,9.4,9.4,9.4,9.4,0
26-11-20,9.4,9.4,9.4,9.4,0
27-11-20,9.4,9.4,9.4,9.4,0
30-11-20,9.4,9.4,9.4,9.4,0
01-12-20,9.4,9.4,9.4,9.4,0
02-12-20,9.4,9.4,9.4,9.4,0
03-12-20,9.4,9.4,9.4,9.4,0
04-12-20,9.4,9.4,9.4,9.4,0
07-12-20,9.4,9.4,9.4,9.4,0
08-12-20,9.4,9.4,9.4,9.4,0
09-12-20,9.4,9.4,9.4,9.4,0
10-12-20,9.4,9.4,9.4,9.4,0
11-12-20,9.4,9.4,9.4,9.4,0
14-12-20,9.5,9.5,9.5,9.5,100
15-12-20,9.5,9.5,9.5,9.5,0
16-12-20,9.5,9.5,9.5,9.5,0
17-12-20,9.5,9.5,9.5,9.5,0
18-12-20,9.4,9.4,9.4,9.4,100
21-12-20,9.4,9.4,9.4,9.4,0
22-12-20,9.4,9.4,9.4,9.4,0
23-12-20,9.4,9.4,9.4,9.4,0
24-12-20,9.4,9.4,9.4,9.4,0
25-12-20,9.4,9.4,9.4,9.4,0
28-12-20,9.4,9.4,9.4,9.4,0
29-12-20,9.4,9.4,9.4,9.4,0
30-12-20,9.4,9.4,9.4,9.4,0
31-12-20,9.4,9.4,9.4,9.4,0
04-01-21,9.4,9.4,9.4,9.4,900
05-01-21,9.4,9.4,9.4,9.4,0
06-01-21,9.4,9.4,9.4,9.4,0
07-01-21,9.4,9.4,9.4,9.4,0
08-01-21,9.4,9.4,9.4,9.4,0
11-01-21,9.4,9.4,9.4,9.4,0
12-01-21,9.4,9.4,9.4,9.4,0
13-01-21,9.4,9.4,9.4,9.4,0
14-01-21,9.4,9.4,9.4,9.4,0
15-01-21,9.4,9.4,9.4,9.4,0
18-01-21,9.4,9.4,9.4,9.4,0
19-01-21,9.4,9.4,9.4,9.4,0
20-01-21,9.4,9.4,9.4,9.4,0
21-01-21,9.4,9.4,9.4,9.4,0
22-01-21,9.4,9.4,9.4,9.4,0
25-01-21,9.4,9.4,9.4,9.4,0
26-01-21,9.4,9.4,9.4,9.4,0
27-01-21,9.4,9.4,9.4,9.4,0
28-01-21,9.4,9.4,9.4,9.4,0
29-01-21,9.4,9.4,9.4,9.4,0
01-02-21,9.4,9.4,9.4,9.4,0
02-02-21,9.4,9.4,9.4,9.4,0
03-02-21,9.4,9.4,9.4,9.4,0
04-02-21,9.4,9.4,9.4,9.4,0
05-02-21,9.4,9.4,9.4,9.4,0
08-02-21,9.4,9.4,9.4,9.4,0
09-02-21,9.4,9.4,9.4,9.4,0
17-02-21,9.4,9.4,9.4,9.4,0
18-02-21,9.4,9.4,9.4,9.4,0
19-02-21,9.4,9.4,9.4,9.4,0
22-02-21,9.4,9.4,9.4,9.4,0
23-02-21,9.4,9.4,9.4,9.4,0
24-02-21,9.4,9.4,9.4,9.4,0
25-02-21,9.4,9.4,9.4,9.4,0
26-02-21,9.4,9.4,9.4,9.4,0
01-03-21,9.4,9.4,9.4,9.4,0
02-03-21,9.4,9.4,9.4,9.4,0
03-03-21,9.4,9.4,9.4,9.4,0
04-03-21,9.4,9.4,9.4,9.4,0
05-03-21,9.4,9.4,9.4,9.4,0
08-03-21,9.4,9.4,9.4,9.4,0
09-03-21,9.4,9.4,9.4,9.4,0
10-03-21,9.4,9.4,9.4,9.4,0
11-03-21,9.4,9.4,9.4,9.4,0
12-03-21,9.4,9.4,9.4,9.4,600
15-03-21,9.4,9.4,9.4,9.4,0
16-03-21,9.4,9.4,9.4,9.4,0
17-03-21,9.4,9.4,9.4,9.4,0
18-03-21,9.4,9.4,9.4,9.4,0
19-03-21,9.0,9.0,9.0,9.0,100
22-03-21,8.1,8.1,8.1,8.1,600
23-03-21,8.1,7.5,8.1,7.5,4200
24-03-21,7.5,7.5,7.5,7.5,0
25-03-21,7.5,7.5,7.5,7.5,0
26-03-21,8.0,8.0,8.0,8.0,100
29-03-21,8.0,8.0,8.0,8.0,0
30-03-21,8.0,8.0,8.0,8.0,0
31-03-21,8.1,8.1,8.1,8.1,300
01-04-21,8.0,8.0,8.0,8.0,100
02-04-21,8.0,8.0,8.0,8.0,0
05-04-21,8.0,8.0,8.0,8.0,0
06-04-21,8.0,8.0,8.0,8.0,0
07-04-21,8.0,8.0,8.0,8.0,0
08-04-21,8.0,8.0,8.0,8.0,0
09-04-21,7.9,8.0,8.0,7.9,1300
12-04-21,8.0,8.0,8.0,8.0,0
13-04-21,8.0,8.0,8.0,8.0,0
14-04-21,8.0,8.0,8.0,8.0,0
15-04-21,8.0,8.0,8.0,8.0,0
16-04-21,8.0,8.0,8.0,8.0,100
19-04-21,8.0,8.0,8.0,8.0,0
20-04-21,8.0,8.0,8.0,8.0,0
22-04-21,8.0,8.0,8.0,8.0,0
23-04-21,8.0,8.0,8.0,8.0,0
26-04-21,8.0,8.0,8.0,8.0,0
27-04-21,8.0,8.0,8.0,8.0,0
28-04-21,8.0,8.0,8.0,8.0,0
29-04-21,8.0,8.0,8.0,8.0,0
04-05-21,8.0,8.0,8.0,8.0,0
05-05-21,8.0,8.0,8.0,8.0,0
06-05-21,8.0,8.0,8.0,8.0,0
07-05-21,8.0,8.0,8.0,8.0,0
10-05-21,8.0,8.0,8.0,8.0,700
11-05-21,8.0,8.0,8.0,8.0,0
12-05-21,8.0,8.0,8.0,8.0,0
13-05-21,8.8,8.8,8.8,8.8,100
14-05-21,9.6,9.6,9.6,9.6,100
17-05-21,10.5,10.3,10.5,10.3,200
18-05-21,10.3,10.3,10.3,10.3,0
19-05-21,11.3,11.3,11.3,11.3,2100
20-05-21,11.9,11.9,11.9,11.9,100
21-05-21,11.9,11.9,11.9,11.9,0
24-05-21,11.9,11.9,11.9,11.9,0
25-05-21,11.9,11.9,11.9,11.9,0
26-05-21,11.9,11.9,11.9,11.9,0
27-05-21,11.9,11.9,11.9,11.9,0
28-05-21,11.9,11.9,11.9,11.9,0
31-05-21,11.6,11.6,11.6,11.6,500
01-06-21,11.6,11.6,11.6,11.6,0
02-06-21,11.6,11.6,11.6,11.6,0
03-06-21,11.6,11.6,11.6,11.6,0
04-06-21,11.6,11.6,11.6,11.6,0
07-06-21,11.6,11.6,11.6,11.6,0
08-06-21,11.6,11.6,11.6,11.6,0
09-06-21,11.6,11.6,11.6,11.6,0
10-06-21,11.6,11.6,11.6,11.6,0
11-06-21,11.6,11.6,11.6,11.6,0
14-06-21,11.6,11.6,11.6,11.6,0
15-06-21,11.6,11.6,11.6,11.6,0
16-06-21,11.6,11.6,11.6,11.6,0
17-06-21,11.6,11.6,11.6,11.6,0
18-06-21,11.6,11.6,11.6,11.6,0
21-06-21,11.6,11.6,11.6,11.6,0
22-06-21,11.6,11.6,11.6,11.6,0
23-06-21,11.6,11.6,11.6,11.6,0
24-06-21,11.6,11.6,11.6,11.6,0
25-06-21,11.6,11.6,11.6,11.6,0
28-06-21,11.6,11.6,11.6,11.6,0
29-06-21,11.6,11.6,11.6,11.6,0
30-06-21,11.6,11.6,11.6,11.6,0
01-07-21,11.6,11.6,11.6,11.6,0
02-07-21,11.6,11.6,11.6,11.6,0
05-07-21,11.6,11.6,11.6,11.6,0
06-07-21,11.6,11.6,11.6,11.6,0
07-07-21,11.6,11.6,11.6,11.6,0
08-07-21,11.6,11.6,11.6,11.6,0
09-07-21,11.6,11.6,11.6,11.6,0
