Date,Open,Close,High,Low,Volume
19-08-22,8.6,9.0,9.0,8.5,800
22-08-22,8.5,8.7,8.7,8.4,4200
23-08-22,8.6,9.2,9.2,8.6,2500
24-08-22,9.2,9.2,9.2,9.2,0
25-08-22,8.6,8.7,8.9,8.6,1300
26-08-22,9.0,8.5,9.1,8.5,15600
29-08-22,8.5,9.0,9.0,8.5,2200
30-08-22,8.4,9.0,9.0,8.3,1408
31-08-22,8.6,8.9,8.9,8.5,700
05-09-22,8.9,8.9,9.0,8.9,4500
06-09-22,8.8,9.2,9.2,8.8,18300
07-09-22,8.5,9.2,9.2,8.5,2300
08-09-22,9.2,9.2,9.2,9.2,0
09-09-22,8.8,8.8,9.0,8.8,9300
12-09-22,8.8,9.2,9.2,8.2,400
13-09-22,9.1,9.1,9.1,9.1,500
14-09-22,9.2,9.1,9.3,9.1,6800
15-09-22,9.1,9.4,9.4,8.5,12500
16-09-22,9.0,9.4,9.4,8.9,12400
19-09-22,9.5,9.5,9.5,9.2,5900
20-09-22,9.5,10.1,10.1,9.5,15400
21-09-22,10.1,10.1,10.1,9.5,2400
22-09-22,10.1,10.1,10.1,9.6,2100
23-09-22,9.8,10.3,10.4,9.8,4200
26-09-22,10.3,10.2,10.3,9.8,500
27-09-22,10.2,9.8,10.2,9.4,10300
28-09-22,9.4,9.2,9.9,9.2,18400
29-09-22,9.4,9.4,9.5,9.2,11100
30-09-22,8.9,8.7,9.0,8.0,1300
03-10-22,8.0,8.8,8.8,8.0,3800
04-10-22,8.8,8.8,8.8,8.8,135
05-10-22,8.8,8.8,8.8,8.8,0
06-10-22,8.3,8.8,8.8,8.3,600
07-10-22,8.7,8.0,8.7,8.0,3100
10-10-22,8.0,8.0,8.0,8.0,0
11-10-22,8.0,8.0,8.0,7.2,3300
12-10-22,7.3,7.9,7.9,7.2,6701
13-10-22,7.4,7.7,7.9,7.4,1700
14-10-22,7.7,7.7,7.7,7.7,0
17-10-22,7.1,7.6,7.7,7.0,7800
18-10-22,8.3,8.3,8.3,8.3,100
19-10-22,8.3,8.3,8.3,8.3,0
20-10-22,8.3,8.3,8.3,8.3,0
21-10-22,8.2,8.4,8.4,8.2,208
24-10-22,7.6,7.6,7.6,7.6,100
25-10-22,7.6,7.6,7.6,7.6,120
26-10-22,7.1,7.5,7.5,6.9,2100
