Date,Open,Close,High,Low,Volume
16-11-20,4.8,4.8,4.8,4.8,0
17-11-20,5.1,5.1,5.1,5.1,100
18-11-20,4.9,4.9,4.9,4.9,3000
19-11-20,4.9,4.9,4.9,4.9,12
20-11-20,4.9,4.9,4.9,4.9,0
23-11-20,4.9,4.9,4.9,4.9,0
24-11-20,4.9,4.9,4.9,4.9,0
25-11-20,5.2,4.9,5.2,4.9,2500
26-11-20,5.3,5.3,5.3,5.3,100
27-11-20,5.3,5.3,5.3,5.3,1
30-11-20,5.3,5.3,5.3,5.3,0
01-12-20,5.3,5.3,5.3,5.3,0
02-12-20,5.3,5.3,5.3,5.3,0
03-12-20,5.3,5.3,5.3,5.3,0
04-12-20,5.3,5.3,5.3,5.3,0
07-12-20,5.3,5.3,5.3,5.3,0
08-12-20,5.3,5.3,5.3,5.3,0
09-12-20,5.3,5.3,5.3,5.3,0
10-12-20,5.8,5.8,5.8,5.8,900
11-12-20,5.8,5.8,5.8,5.8,0
14-12-20,5.5,5.5,5.5,5.5,20100
15-12-20,5.5,5.5,5.5,5.5,100
16-12-20,5.8,5.8,5.8,5.8,100
17-12-20,6.3,6.3,6.3,6.3,100
18-12-20,6.9,6.9,6.9,6.9,100
21-12-20,6.9,6.9,6.9,6.9,0
22-12-20,6.9,6.9,6.9,6.9,0
23-12-20,6.9,6.9,6.9,6.9,0
24-12-20,6.9,6.9,6.9,6.9,0
25-12-20,6.9,6.9,6.9,6.9,0
28-12-20,7.2,7.2,7.2,7.2,438
29-12-20,7.2,7.2,7.2,7.2,0
30-12-20,7.2,7.2,7.2,7.2,0
31-12-20,7.2,7.2,7.2,7.2,0
04-01-21,7.2,7.2,7.2,7.2,0
05-01-21,7.2,7.2,7.2,7.2,0
06-01-21,7.2,7.2,7.2,7.2,0
07-01-21,7.2,7.2,7.2,7.2,0
08-01-21,6.7,7.1,7.2,6.7,1400
11-01-21,6.5,6.5,6.5,6.5,1000
12-01-21,6.5,6.5,6.5,6.5,500
13-01-21,7.1,7.1,7.1,7.1,100
14-01-21,7.1,7.1,7.1,7.1,0
15-01-21,7.7,7.2,7.7,7.2,400
18-01-21,7.0,7.6,7.8,7.0,254230
19-01-21,7.6,7.6,7.6,7.6,0
20-01-21,7.6,7.6,7.6,7.6,0
21-01-21,7.6,7.6,7.6,7.6,0
22-01-21,6.9,6.9,6.9,6.9,1000
25-01-21,6.9,6.9,6.9,6.9,0
26-01-21,7.5,7.5,7.5,7.5,100
27-01-21,6.9,7.8,7.8,6.9,1800
28-01-21,7.8,7.8,7.8,7.8,0
29-01-21,7.8,7.8,7.8,7.8,0
01-02-21,8.1,8.1,8.1,8.1,100
02-02-21,8.1,8.1,8.1,8.1,0
03-02-21,8.1,8.1,8.1,8.1,0
