Date,Open,Close,High,Low,Volume
16-11-20,199.1,200.0,200.0,199.1,2020
17-11-20,200.0,200.0,200.0,200.0,400
18-11-20,200.0,199.6,200.0,199.1,802
19-11-20,199.5,202.4,202.4,199.5,1300
20-11-20,203.9,203.0,203.9,203.0,220
23-11-20,203.0,202.0,203.0,202.0,460
24-11-20,184.2,201.0,201.0,184.2,310
25-11-20,200.0,202.0,202.0,200.0,700
26-11-20,202.0,202.0,202.0,202.0,410
27-11-20,202.0,202.0,202.0,202.0,630
30-11-20,202.0,202.0,202.0,202.0,1020
01-12-20,202.0,202.0,203.0,202.0,2390
02-12-20,202.2,202.2,202.2,202.2,230
03-12-20,202.2,204.0,205.0,202.2,760
04-12-20,205.0,205.5,205.5,205.0,1300
07-12-20,206.0,206.5,206.5,205.6,2035
08-12-20,206.5,207.0,207.0,206.5,710
09-12-20,210.0,207.1,210.0,207.1,2440
10-12-20,207.2,207.2,207.2,207.1,1610
11-12-20,207.0,210.0,210.0,207.0,1533
14-12-20,217.0,214.0,217.0,212.0,920
15-12-20,214.0,209.5,214.0,209.0,2060
16-12-20,209.6,210.0,210.0,209.0,1710
17-12-20,209.0,207.0,209.0,207.0,2610
18-12-20,207.0,209.0,209.0,207.0,1631
21-12-20,207.2,210.0,210.0,207.2,253
22-12-20,210.0,212.0,212.0,210.0,600
23-12-20,211.5,208.0,212.0,208.0,1730
24-12-20,208.0,209.0,209.0,208.0,1260
25-12-20,209.0,208.1,210.0,208.1,1130
28-12-20,210.0,210.0,210.0,210.0,110
29-12-20,209.0,209.0,215.0,209.0,1050
30-12-20,209.0,210.1,210.1,209.0,1390
31-12-20,210.1,210.1,210.1,210.1,120
04-01-21,189.1,215.0,219.0,189.1,1715
05-01-21,215.0,215.0,215.0,215.0,13
06-01-21,214.0,216.0,216.0,214.0,516
07-01-21,216.0,216.0,216.0,216.0,0
08-01-21,216.0,218.0,220.0,216.0,810
11-01-21,218.0,217.0,218.0,217.0,600
12-01-21,217.0,218.5,218.5,217.0,2239
13-01-21,217.5,217.5,219.0,217.5,2435
14-01-21,217.5,219.5,219.5,217.5,1300
15-01-21,225.0,221.0,225.0,221.0,840
18-01-21,222.5,220.0,222.5,220.0,1201
19-01-21,221.0,202.0,221.0,202.0,2400
20-01-21,208.8,220.0,220.0,208.8,1600
21-01-21,220.0,220.0,220.0,219.0,1860
22-01-21,220.0,219.0,220.0,212.6,1210
25-01-21,216.0,215.5,216.0,215.0,1740
26-01-21,216.0,215.5,216.5,215.5,1322
27-01-21,215.6,215.5,218.0,215.5,1702
28-01-21,215.5,204.2,215.5,204.2,3706
29-01-21,204.2,208.0,215.0,204.2,1900
01-02-21,210.0,210.0,210.0,208.0,4500
02-02-21,210.0,216.0,216.0,210.0,1406
03-02-21,216.0,216.0,216.0,216.0,28
04-02-21,218.0,217.0,218.0,217.0,300
05-02-21,217.1,220.0,220.0,217.1,1910
08-02-21,221.0,221.0,225.0,221.0,792
09-02-21,221.1,221.1,221.1,221.1,200
17-02-21,200.0,221.4,221.5,199.0,1123
18-02-21,199.3,221.4,221.4,199.3,761
19-02-21,200.0,220.0,221.4,200.0,510
22-02-21,201.0,220.0,221.0,201.0,1100
23-02-21,198.5,220.5,220.5,198.5,700
24-02-21,198.8,217.0,218.0,198.8,635
25-02-21,202.0,218.0,218.0,202.0,200
26-02-21,204.0,219.0,219.0,204.0,500
01-03-21,205.1,219.5,219.5,205.1,1228
02-03-21,206.2,219.0,220.0,206.2,1200
03-03-21,206.8,220.0,220.0,206.8,1500
04-03-21,207.3,220.0,220.0,207.3,730
05-03-21,208.5,210.3,211.0,208.5,600
08-03-21,212.4,212.1,212.4,212.1,410
09-03-21,211.0,215.0,218.0,211.0,400
10-03-21,215.3,219.8,219.8,215.3,301
11-03-21,219.8,220.0,221.5,219.8,3002
12-03-21,220.0,221.4,221.4,220.0,1620
15-03-21,210.5,221.0,221.4,210.5,1412
16-03-21,221.0,220.0,221.0,220.0,1912
17-03-21,214.0,220.0,220.0,214.0,1808
18-03-21,220.0,220.0,220.0,220.0,2
19-03-21,221.3,221.4,221.6,221.3,1501
22-03-21,221.4,221.4,221.4,221.4,5
23-03-21,221.4,221.0,221.4,221.0,1001
24-03-21,216.7,220.5,221.0,216.7,1200
25-03-21,208.2,220.0,221.0,208.2,900
26-03-21,210.0,228.5,242.0,210.0,1600
29-03-21,229.2,228.5,229.2,228.5,200
30-03-21,228.0,228.5,228.5,227.0,1603
31-03-21,228.0,228.0,228.0,228.0,1111
01-04-21,228.0,228.0,228.0,228.0,406
02-04-21,228.0,220.0,228.0,220.0,4201
05-04-21,220.0,220.0,220.1,219.0,3700
06-04-21,220.1,220.0,220.2,220.0,1200
07-04-21,220.2,221.2,221.2,220.0,1200
08-04-21,235.0,221.6,235.0,221.5,2100
09-04-21,219.0,217.8,222.0,210.0,3900
12-04-21,215.2,210.6,216.5,209.1,10930
13-04-21,210.0,212.0,212.0,210.0,4605
14-04-21,210.0,213.5,213.5,209.0,3210
15-04-21,211.5,212.5,213.0,211.5,2500
16-04-21,212.5,211.6,212.5,211.6,1940
19-04-21,211.0,211.6,212.0,211.0,1630
20-04-21,211.0,210.0,211.0,210.0,2700
22-04-21,210.0,211.0,211.0,210.0,810
23-04-21,211.0,211.0,211.0,211.0,24
26-04-21,209.6,204.0,210.0,203.0,1952
27-04-21,195.0,201.0,209.5,195.0,2700
28-04-21,203.0,195.6,205.0,195.6,4924
29-04-21,196.2,197.4,207.0,196.2,1000
04-05-21,205.0,204.0,205.0,197.4,1000
05-05-21,203.9,203.0,203.9,203.0,786
06-05-21,203.0,203.9,203.9,203.0,1345
07-05-21,203.0,203.0,203.6,203.0,1710
10-05-21,182.7,203.9,203.9,182.7,244
11-05-21,184.0,201.0,205.0,184.0,510
12-05-21,180.9,201.0,201.0,180.9,410
13-05-21,201.0,201.1,201.1,201.0,600
14-05-21,201.1,202.8,202.8,201.0,950
17-05-21,203.6,200.0,203.6,200.0,226
18-05-21,181.0,200.0,200.0,181.0,216
19-05-21,195.0,199.0,199.9,195.0,400
20-05-21,199.0,198.0,199.0,197.0,1621
21-05-21,198.5,197.1,198.5,197.0,1800
24-05-21,197.0,197.0,198.0,197.0,2100
25-05-21,197.5,197.0,197.5,197.0,2100
26-05-21,197.0,197.0,198.0,197.0,2700
27-05-21,197.0,197.9,197.9,197.0,1010
28-05-21,197.0,196.0,197.0,196.0,2520
31-05-21,200.0,192.0,200.0,192.0,1630
01-06-21,192.5,192.1,192.5,192.0,605
02-06-21,192.5,193.5,194.0,192.5,500
03-06-21,193.0,192.8,193.0,192.7,300
04-06-21,195.0,194.0,195.0,194.0,800
07-06-21,194.0,194.0,194.1,194.0,810
08-06-21,174.6,192.0,192.0,174.6,400
09-06-21,192.0,192.0,192.0,192.0,100
10-06-21,178.0,181.0,181.0,178.0,300
11-06-21,182.0,182.0,182.0,182.0,100
14-06-21,182.0,182.0,182.0,182.0,12
15-06-21,183.0,192.0,192.0,183.0,500
16-06-21,192.0,193.0,193.0,192.0,700
17-06-21,190.0,190.0,190.0,189.0,602
18-06-21,190.0,188.0,190.0,188.0,1000
21-06-21,198.0,198.0,198.0,198.0,1119
22-06-21,198.0,195.0,198.0,195.0,410
23-06-21,195.0,195.0,195.0,195.0,900
24-06-21,195.0,194.5,195.0,194.5,400
25-06-21,194.5,185.0,194.5,185.0,200
28-06-21,195.0,195.0,195.0,195.0,231
29-06-21,189.0,194.9,196.5,189.0,330
30-06-21,194.9,194.9,194.9,194.9,10
01-07-21,178.0,193.0,195.0,178.0,1400
02-07-21,192.5,192.5,192.5,192.5,100
05-07-21,191.0,190.5,191.0,190.5,300
06-07-21,188.0,187.0,188.0,187.0,300
07-07-21,187.0,187.3,187.3,187.0,1000
08-07-21,187.4,187.1,187.4,187.0,600
09-07-21,180.0,186.5,188.0,180.0,700
12-07-21,186.5,184.7,186.5,184.7,1950
13-07-21,184.7,184.7,184.7,184.7,200
14-07-21,184.7,183.7,184.7,183.7,300
15-07-21,165.4,190.0,190.0,165.4,410
16-07-21,190.0,190.0,190.0,190.0,0
19-07-21,180.0,177.0,180.0,177.0,610
20-07-21,170.2,175.0,175.0,170.0,1303
21-07-21,175.0,175.0,175.0,175.0,0
22-07-21,176.0,176.0,176.0,176.0,400
23-07-21,176.0,177.0,177.0,176.0,1002
26-07-21,177.0,177.0,177.0,177.0,8
27-07-21,177.0,177.0,177.0,177.0,0
28-07-21,178.0,178.0,178.0,178.0,200
29-07-21,178.0,178.0,178.0,178.0,0
30-07-21,178.0,178.0,178.0,178.0,300
02-08-21,178.0,174.5,178.0,174.0,1735
03-08-21,176.0,178.0,178.0,176.0,700
04-08-21,183.0,181.0,185.0,181.0,1630
05-08-21,181.0,181.0,181.0,181.0,110
06-08-21,180.0,180.0,180.0,180.0,115
09-08-21,182.0,182.0,182.0,182.0,110
10-08-21,180.0,180.0,182.0,180.0,945
11-08-21,180.0,184.5,185.0,180.0,800
12-08-21,186.0,183.0,186.0,183.0,2000
13-08-21,183.0,185.0,185.0,176.0,3300
16-08-21,185.0,185.0,185.0,185.0,930
17-08-21,185.0,185.0,185.0,185.0,1510
18-08-21,185.0,185.0,185.0,185.0,0
19-08-21,184.0,186.0,186.0,183.0,2050
20-08-21,185.0,182.0,185.0,182.0,900
23-08-21,181.0,183.0,183.0,180.0,1400
24-08-21,183.0,183.0,183.0,183.0,0
25-08-21,183.0,182.0,183.0,182.0,400
26-08-21,183.0,180.0,183.0,180.0,1600
27-08-21,180.0,182.0,182.0,180.0,550
30-08-21,180.0,181.0,181.0,180.0,800
31-08-21,182.0,183.0,183.0,182.0,1500
01-09-21,181.0,181.0,181.0,181.0,100
06-09-21,181.0,182.0,182.0,181.0,700
07-09-21,182.0,182.0,182.0,182.0,0
08-09-21,182.0,182.0,182.0,182.0,0
09-09-21,180.0,182.0,182.0,180.0,1000
10-09-21,182.0,183.0,183.0,182.0,1250
13-09-21,183.5,186.0,188.0,183.5,804
14-09-21,183.0,184.0,185.5,183.0,500
15-09-21,184.0,185.0,185.0,184.0,404
16-09-21,185.0,185.0,185.0,185.0,100
17-09-21,187.0,188.0,188.0,187.0,700
20-09-21,190.0,190.0,190.0,190.0,704
21-09-21,192.0,192.0,192.0,188.0,900
22-09-21,192.0,192.0,192.0,192.0,0
23-09-21,192.0,192.0,192.0,192.0,0
24-09-21,192.1,193.0,193.0,192.1,1300
27-09-21,193.0,193.0,193.0,193.0,100
28-09-21,193.0,193.0,193.0,193.0,0
29-09-21,193.0,193.8,193.8,188.5,1000
30-09-21,193.0,193.0,193.0,193.0,305
01-10-21,191.0,191.0,191.0,191.0,300
04-10-21,191.0,191.0,191.0,191.0,0
05-10-21,191.0,191.0,191.0,191.0,300
06-10-21,191.0,191.0,191.0,191.0,0
07-10-21,191.0,191.0,191.0,191.0,101
08-10-21,191.0,188.0,191.0,188.0,600
11-10-21,197.9,199.0,200.0,195.0,3400
12-10-21,199.0,200.0,200.0,197.0,710
13-10-21,200.0,200.0,200.0,200.0,710
14-10-21,195.0,195.0,195.0,195.0,100
15-10-21,196.0,197.0,197.0,196.0,500
18-10-21,200.0,207.0,209.9,200.0,430
19-10-21,207.0,204.9,207.0,204.9,400
20-10-21,204.9,204.9,204.9,204.9,0
21-10-21,204.9,204.9,204.9,204.9,0
22-10-21,204.9,204.9,204.9,204.9,0
25-10-21,204.9,204.9,204.9,204.9,0
26-10-21,195.5,204.8,204.8,192.0,804
27-10-21,204.8,204.8,204.8,204.8,204
