Date,Open,Close,High,Low,Volume
16-11-20,11.3,11.2,11.4,11.2,944880
17-11-20,11.3,11.45,11.5,11.2,1212580
18-11-20,11.5,11.5,11.5,11.4,1095490
19-11-20,11.55,12.3,12.3,11.55,6421330
20-11-20,12.8,12.3,12.8,12.3,4063080
23-11-20,12.3,12.3,12.45,12.15,1749730
24-11-20,12.25,12.1,12.3,11.95,3395440
25-11-20,12.2,12.05,12.3,12.05,1843450
26-11-20,12.0,12.2,12.4,11.95,2486170
27-11-20,12.2,12.25,12.3,12.1,1975170
30-11-20,12.25,12.7,12.9,12.2,6342150
01-12-20,12.4,12.6,12.7,12.3,2949630
02-12-20,12.7,12.9,13.2,12.55,4030090
03-12-20,12.8,12.9,12.95,12.75,1883390
04-12-20,12.95,12.8,13.2,12.8,3316140
07-12-20,12.9,12.95,13.15,12.85,2537880
08-12-20,12.95,12.9,13.0,12.6,2433940
09-12-20,12.9,13.25,13.4,12.9,4639140
10-12-20,13.25,12.85,13.3,12.85,2623550
11-12-20,12.85,12.95,13.0,12.65,1892560
14-12-20,13.0,13.05,13.25,12.95,3149440
15-12-20,13.0,13.3,13.45,12.95,3621140
16-12-20,13.35,13.35,13.65,13.35,2207590
17-12-20,13.3,13.2,13.4,13.1,3706540
18-12-20,13.2,13.35,13.35,13.15,2515360
21-12-20,13.35,14.25,14.25,13.35,7465300
22-12-20,14.25,14.45,14.65,14.0,4665730
23-12-20,14.5,14.1,14.55,14.0,2965310
24-12-20,14.1,13.5,14.15,13.15,4753440
25-12-20,13.6,14.0,14.15,13.5,3203980
28-12-20,14.2,14.1,14.4,13.85,3385650
29-12-20,14.0,14.0,14.25,13.9,3781120
30-12-20,14.0,14.45,14.7,14.0,4789590
31-12-20,14.5,14.4,14.6,14.4,2148310
04-01-21,14.5,14.55,14.8,14.5,4501400
05-01-21,14.4,14.5,14.65,14.4,2545400
06-01-21,14.65,14.55,14.75,14.5,4532300
07-01-21,14.6,15.2,15.2,14.4,6172300
08-01-21,15.2,15.15,15.5,14.9,4207200
11-01-21,15.35,15.8,15.9,15.35,4851900
12-01-21,15.8,15.5,15.8,15.4,3892400
13-01-21,15.55,15.4,15.7,15.25,4665900
14-01-21,15.4,15.45,15.85,15.25,4581700
15-01-21,15.8,15.6,15.85,15.55,3470400
18-01-21,15.75,15.45,15.75,15.4,2907200
19-01-21,15.4,14.4,15.4,14.4,4855800
20-01-21,14.4,14.25,14.6,13.55,2545300
21-01-21,14.5,14.7,14.75,14.25,2169600
22-01-21,14.75,14.45,14.8,14.4,1960000
25-01-21,14.5,14.7,14.9,14.35,3162000
26-01-21,14.7,14.4,14.75,14.1,2339300
27-01-21,14.3,13.9,14.65,13.75,3071000
28-01-21,13.1,12.95,13.5,12.95,4180300
29-01-21,12.2,13.1,13.35,12.2,2378300
01-02-21,12.2,12.2,13.0,12.2,5414300
02-02-21,12.1,12.5,12.7,11.8,2105100
03-02-21,12.8,13.3,13.35,12.55,2277600
04-02-21,13.2,13.3,13.55,13.0,1727800
05-02-21,13.3,13.25,13.35,13.1,1734500
08-02-21,13.3,12.85,13.35,12.6,1913400
09-02-21,12.9,13.0,13.2,12.75,1730600
17-02-21,13.0,13.65,13.7,12.95,3076600
18-02-21,13.75,14.15,14.35,13.6,3230400
19-02-21,14.0,14.3,14.65,13.95,2744200
22-02-21,14.4,14.4,14.75,14.2,3688300
23-02-21,14.35,14.25,14.4,14.15,3119000
24-02-21,14.3,14.0,14.45,13.7,3042200
25-02-21,14.0,14.3,14.4,13.85,2435400
26-02-21,14.0,14.3,14.35,13.9,1618800
01-03-21,14.5,14.85,14.85,14.3,4142000
02-03-21,15.0,14.8,15.05,14.55,2266500
03-03-21,14.8,14.8,14.9,14.6,2083100
04-03-21,14.85,14.3,14.9,14.15,2662200
05-03-21,14.25,14.6,14.65,14.05,2998400
08-03-21,14.85,14.7,14.85,14.6,2432500
09-03-21,14.55,14.7,14.75,14.5,1715900
10-03-21,14.75,15.7,15.7,14.65,10008900
11-03-21,16.7,16.2,16.7,16.1,5383600
12-03-21,16.15,16.15,16.3,16.0,2779700
15-03-21,16.1,16.75,17.1,15.9,7205100
16-03-21,16.75,17.0,17.4,16.5,4574600
17-03-21,17.0,16.6,17.05,16.6,3564400
18-03-21,16.75,16.7,17.1,16.45,4294500
19-03-21,16.7,16.7,17.0,16.55,2546400
22-03-21,16.7,16.7,16.85,16.5,2836500
23-03-21,16.7,16.35,16.75,16.1,3335400
24-03-21,15.9,15.7,16.25,15.55,3844300
25-03-21,15.7,15.9,15.9,15.45,2824100
26-03-21,15.85,15.95,16.0,14.9,3849300
29-03-21,16.0,16.25,16.4,15.85,4219700
30-03-21,16.3,16.45,16.7,16.2,3733700
31-03-21,16.4,16.6,16.7,16.3,2755000
01-04-21,16.5,16.65,16.7,16.45,2744300
02-04-21,16.75,16.65,16.9,16.45,3652000
05-04-21,16.7,16.55,16.8,16.4,2805900
06-04-21,16.45,16.4,16.55,16.2,2265400
07-04-21,16.2,16.5,16.5,16.05,2505300
08-04-21,16.55,16.8,16.9,16.55,5698900
09-04-21,16.9,17.5,17.7,16.9,7489300
12-04-21,17.6,17.5,17.9,17.35,3123700
13-04-21,17.5,17.0,17.6,16.8,5387000
