Date,Open,Close,High,Low,Volume
24-03-21,12.7,12.7,12.7,12.5,1568200
25-03-21,13.45,12.2,13.45,11.85,981400
26-03-21,11.5,11.35,12.0,11.35,231300
29-03-21,10.7,11.0,11.35,10.6,1741400
30-03-21,11.0,11.75,11.75,10.95,761500
31-03-21,12.55,12.55,12.55,12.5,320300
01-04-21,13.2,13.4,13.4,12.6,947500
02-04-21,14.0,13.0,14.1,12.8,498100
05-04-21,12.9,12.6,13.1,12.6,523800
06-04-21,12.6,13.45,13.45,12.6,425300
07-04-21,13.85,13.5,14.2,13.3,798300
08-04-21,13.5,13.2,14.2,13.1,792900
09-04-21,13.15,14.1,14.1,13.15,1336500
12-04-21,14.35,15.05,15.05,14.35,942700
13-04-21,15.85,15.65,15.9,15.1,1149700
14-04-21,15.5,15.55,15.85,15.5,997300
15-04-21,15.6,15.9,16.2,15.4,770300
16-04-21,16.5,16.5,16.5,15.9,370600
19-04-21,16.9,16.2,16.9,16.0,509900
20-04-21,16.0,16.8,17.3,15.95,771600
22-04-21,17.2,16.0,17.8,16.0,730200
23-04-21,15.9,17.1,17.1,15.9,878100
26-04-21,17.6,16.8,17.85,16.5,858400
27-04-21,16.8,16.8,17.5,16.6,282200
28-04-21,16.35,16.9,17.2,16.35,375200
29-04-21,16.9,16.75,17.0,16.75,213900
04-05-21,16.2,16.5,16.75,16.1,386700
05-05-21,16.4,17.65,17.65,16.25,610300
06-05-21,18.45,18.6,18.8,17.5,945200
07-05-21,18.75,18.2,18.8,17.6,800100
10-05-21,17.6,18.0,18.6,17.4,320500
11-05-21,18.0,18.2,18.25,17.9,184700
12-05-21,17.8,18.1,18.8,17.8,533400
13-05-21,18.0,19.35,19.35,17.7,1265900
14-05-21,20.2,20.35,20.4,19.3,1472100
17-05-21,20.8,19.8,20.8,19.35,887800
18-05-21,19.3,19.6,20.1,19.3,738100
19-05-21,19.35,20.75,20.8,19.35,774900
20-05-21,20.75,21.5,21.8,20.05,972900
21-05-21,21.4,21.0,21.4,20.8,470100
24-05-21,20.6,20.75,21.0,20.25,522200
25-05-21,20.85,20.65,20.9,20.15,404300
26-05-21,20.5,20.25,20.65,20.05,476100
27-05-21,20.5,19.5,20.8,18.85,2030100
28-05-21,19.6,19.8,19.9,19.0,594000
31-05-21,19.8,19.5,20.2,19.2,335800
01-06-21,19.5,19.5,19.7,19.0,249500
02-06-21,19.0,19.3,19.4,18.9,392100
03-06-21,19.3,19.5,19.7,19.3,260700
04-06-21,19.05,19.45,19.5,19.0,460400
07-06-21,19.2,19.6,19.6,18.6,687900
08-06-21,19.6,19.8,19.95,18.75,710200
09-06-21,19.95,19.95,20.0,19.45,458500
10-06-21,19.95,19.85,20.0,19.65,382500
11-06-21,19.6,20.8,20.9,19.6,921000
14-06-21,20.8,20.6,21.0,20.25,504000
15-06-21,20.3,20.7,20.75,20.15,477000
16-06-21,20.9,20.5,21.0,20.15,398900
17-06-21,20.05,20.4,20.55,20.0,426800
18-06-21,20.5,20.5,20.6,20.0,505100
21-06-21,20.4,20.25,20.4,19.85,347500
22-06-21,20.25,20.3,20.3,19.5,630500
23-06-21,20.2,20.2,20.2,19.65,346400
24-06-21,20.2,20.1,20.3,19.7,402600
25-06-21,19.6,20.25,20.25,19.55,604500
28-06-21,20.3,19.95,20.3,19.8,245500
29-06-21,19.55,19.95,20.1,19.5,535100
30-06-21,19.95,19.75,19.95,19.6,245000
01-07-21,20.15,19.85,20.15,18.95,1041900
02-07-21,19.5,19.8,19.85,19.35,374700
05-07-21,19.7,19.7,19.75,18.95,691500
