Date,Open,Close,High,Low,Volume
16-11-20,11.4,11.3,11.4,11.1,181750
17-11-20,11.35,11.3,11.35,11.2,133650
18-11-20,11.25,11.3,11.3,11.15,220550
19-11-20,11.25,11.3,11.3,11.2,123910
20-11-20,11.3,11.3,11.35,11.15,114920
23-11-20,11.3,11.3,11.3,11.15,43610
24-11-20,11.3,12.05,12.05,11.2,460070
25-11-20,12.85,12.75,12.85,12.5,500390
26-11-20,12.75,12.95,13.2,12.4,275970
27-11-20,12.75,13.1,13.5,12.6,278740
30-11-20,13.0,13.3,13.4,12.75,429110
01-12-20,13.2,13.4,13.4,12.9,336300
02-12-20,13.7,14.3,14.3,13.55,316120
03-12-20,14.9,15.3,15.3,14.4,245530
04-12-20,16.3,16.35,16.35,15.75,246130
07-12-20,17.0,16.35,17.3,16.05,222330
08-12-20,16.6,16.0,16.6,15.4,210860
09-12-20,16.0,16.75,17.1,16.0,265890
10-12-20,16.3,16.3,17.0,15.8,369680
11-12-20,16.0,16.5,16.75,15.55,252490
14-12-20,16.7,17.5,17.6,16.4,365170
15-12-20,17.3,18.0,18.3,16.8,386520
16-12-20,18.0,17.7,18.65,17.15,289350
17-12-20,17.9,18.2,18.35,16.7,320120
18-12-20,18.2,18.3,18.5,17.5,266190
21-12-20,18.2,18.35,18.35,17.5,255850
22-12-20,18.3,18.25,18.4,18.0,180910
23-12-20,18.3,18.5,19.0,18.3,217810
24-12-20,18.5,18.65,19.0,18.0,123720
25-12-20,18.5,19.0,19.0,18.3,276880
28-12-20,19.5,19.7,20.2,19.0,250900
29-12-20,20.4,20.0,20.45,19.45,180710
30-12-20,20.0,20.1,20.7,19.5,179860
31-12-20,20.0,20.4,21.5,20.0,274700
04-01-21,20.6,20.55,21.0,20.2,205200
05-01-21,20.6,21.3,21.35,20.3,159100
06-01-21,21.5,21.5,22.0,20.75,153200
07-01-21,21.5,22.0,22.2,21.45,214200
08-01-21,22.3,23.5,23.5,22.1,222000
11-01-21,24.95,25.0,25.0,24.0,212300
12-01-21,26.2,25.0,26.3,24.5,152400
13-01-21,25.45,25.1,25.5,23.65,229500
14-01-21,25.1,25.4,25.5,24.7,157000
15-01-21,25.4,26.8,27.15,25.4,226800
18-01-21,26.8,28.5,28.5,26.8,185100
19-01-21,28.6,28.7,29.5,27.0,111500
20-01-21,29.0,28.8,29.5,27.8,70800
