Date,Open,Close,High,Low,Volume
16-11-20,29.0,28.8,29.1,28.6,650470
17-11-20,28.6,29.0,29.1,28.6,694240
18-11-20,28.9,28.8,29.1,28.5,673990
19-11-20,28.7,28.5,29.0,28.45,682170
20-11-20,28.5,28.6,28.9,28.2,639280
23-11-20,28.5,28.7,28.7,28.35,644850
24-11-20,28.5,28.6,28.7,28.3,646950
25-11-20,28.5,28.6,28.7,28.4,636670
26-11-20,28.4,29.1,29.2,28.4,914400
27-11-20,29.1,29.7,29.7,28.9,1119310
30-11-20,29.8,30.3,30.5,29.8,1420040
01-12-20,30.0,30.45,30.5,29.8,1316630
02-12-20,30.3,30.8,30.9,29.8,1322510
03-12-20,30.8,30.8,31.2,30.35,1396240
04-12-20,30.6,30.35,30.75,30.0,1236270
07-12-20,30.3,30.6,30.6,29.75,1432360
08-12-20,30.5,30.3,30.6,29.8,1322980
09-12-20,30.3,30.4,30.5,29.7,1651760
10-12-20,30.2,29.65,30.4,29.25,1487490
11-12-20,29.6,29.5,29.8,29.2,1074350
14-12-20,29.4,29.6,29.8,29.15,1696920
15-12-20,29.5,29.8,29.8,28.7,2405070
16-12-20,29.95,31.2,31.2,29.8,3859780
17-12-20,31.1,30.9,31.1,30.35,3446800
18-12-20,30.9,31.05,31.1,30.6,2027740
21-12-20,30.95,30.2,30.95,30.2,1670780
22-12-20,30.2,29.5,30.2,29.35,2159840
23-12-20,29.5,29.5,30.0,29.4,754510
24-12-20,29.5,28.2,29.6,27.8,792560
25-12-20,28.3,29.25,29.3,28.3,1057900
28-12-20,29.25,28.8,29.65,28.65,698010
29-12-20,28.9,28.55,29.1,28.15,673610
30-12-20,28.5,28.25,28.55,28.15,475570
31-12-20,28.2,28.7,29.2,28.1,580980
04-01-21,28.5,29.1,29.2,28.5,1070300
05-01-21,29.1,29.2,29.2,28.7,1283300
06-01-21,29.1,29.45,30.1,29.0,2268500
07-01-21,30.0,29.95,30.2,29.55,603900
08-01-21,30.2,29.85,30.2,29.7,999600
11-01-21,30.2,30.85,30.85,29.9,1860000
12-01-21,31.0,30.45,31.0,30.35,1702800
13-01-21,31.1,32.55,32.55,31.1,2720500
14-01-21,34.0,33.1,34.0,32.55,1795700
15-01-21,33.1,32.9,33.3,32.6,1463400
18-01-21,32.9,33.55,33.95,32.7,1979900
