Date,Open,Close,High,Low,Volume
16-11-20,2.81,2.72,2.81,2.71,1232120
17-11-20,2.72,2.71,2.75,2.7,1746680
18-11-20,2.72,2.7,2.73,2.7,1382820
19-11-20,2.72,2.68,2.72,2.67,1474640
20-11-20,2.7,2.67,2.7,2.65,2443610
23-11-20,2.67,2.69,2.71,2.66,1240220
24-11-20,2.68,2.66,2.7,2.65,1596180
25-11-20,2.66,2.65,2.67,2.65,1577690
26-11-20,2.65,2.64,2.66,2.63,1336210
27-11-20,2.66,2.67,2.75,2.63,2120300
30-11-20,2.7,2.67,2.72,2.67,688720
01-12-20,2.62,2.64,2.66,2.62,1604400
02-12-20,2.63,2.64,2.67,2.63,1114200
03-12-20,2.64,2.68,2.69,2.64,1288730
04-12-20,2.68,2.67,2.69,2.66,1320100
07-12-20,2.68,2.67,2.71,2.67,1495720
08-12-20,2.69,2.69,2.72,2.68,1564460
09-12-20,2.69,2.71,2.74,2.68,2257750
10-12-20,2.7,2.68,2.76,2.68,1963820
11-12-20,2.67,2.66,2.68,2.65,1454590
14-12-20,2.67,2.66,2.68,2.65,1899370
15-12-20,2.67,2.68,2.71,2.66,1688240
16-12-20,2.7,2.69,2.72,2.67,1594180
17-12-20,2.7,2.68,2.7,2.66,1204840
18-12-20,2.69,2.67,2.7,2.66,1697270
21-12-20,2.67,2.67,2.71,2.67,2562430
22-12-20,2.69,2.85,2.85,2.67,6973870
23-12-20,2.96,2.83,2.98,2.83,5156830
24-12-20,2.8,2.74,2.81,2.66,2736790
25-12-20,2.73,2.78,2.8,2.67,5167950
28-12-20,2.78,2.75,2.79,2.7,3688560
29-12-20,2.75,2.76,2.81,2.71,2789980
30-12-20,2.78,2.82,2.9,2.75,6266830
31-12-20,2.85,2.86,2.9,2.84,3428700
04-01-21,2.9,2.87,2.93,2.86,4060300
05-01-21,2.86,2.83,2.86,2.82,4190500
06-01-21,2.83,2.8,2.85,2.8,3384600
07-01-21,2.8,2.88,2.9,2.8,4212500
08-01-21,2.91,3.0,3.01,2.9,6008700
11-01-21,3.13,3.21,3.21,3.12,7572400
12-01-21,3.28,3.33,3.38,3.18,6961400
13-01-21,3.31,3.24,3.44,3.21,6787000
14-01-21,3.2,3.23,3.3,3.16,6231900
15-01-21,3.29,3.45,3.45,3.26,8898400
18-01-21,3.69,3.69,3.69,3.68,3520300
19-01-21,3.8,3.44,3.8,3.44,7625800
20-01-21,3.46,3.31,3.46,3.2,6629400
21-01-21,3.4,3.54,3.54,3.27,7136100
22-01-21,3.6,3.55,3.76,3.48,6702900
25-01-21,3.5,3.54,3.69,3.48,6200100
26-01-21,3.5,3.3,3.5,3.3,8817300
27-01-21,3.26,3.29,3.4,3.08,6656800
28-01-21,3.08,3.06,3.09,3.06,4255500
29-01-21,2.85,2.9,3.05,2.85,5163200
01-02-21,2.9,2.79,3.06,2.71,3050300
02-02-21,2.8,2.87,2.87,2.68,2471000
03-02-21,2.87,2.87,2.95,2.85,3358000
04-02-21,2.88,2.93,3.03,2.87,2472400
05-02-21,2.93,2.99,3.03,2.91,2534900
08-02-21,2.99,2.8,3.02,2.8,4677900
09-02-21,2.8,2.85,2.88,2.78,2471500
17-02-21,2.89,3.01,3.04,2.88,2780500
18-02-21,3.0,3.0,3.08,2.96,3261000
19-02-21,2.94,2.99,3.04,2.94,2169300
22-02-21,3.02,3.04,3.08,2.99,3148300
23-02-21,3.04,3.25,3.25,3.03,6484300
24-02-21,3.33,3.15,3.38,3.14,4014800
25-02-21,3.19,3.12,3.2,3.1,1920600
26-02-21,3.08,3.1,3.14,3.02,3439200
01-03-21,3.1,3.15,3.18,3.1,1988100
02-03-21,3.16,3.15,3.25,3.13,1801800
03-03-21,3.15,3.2,3.2,3.15,2604400
04-03-21,3.23,3.17,3.27,3.1,2335900
05-03-21,3.12,3.17,3.19,3.08,2189200
08-03-21,3.23,3.17,3.25,3.14,3641700
09-03-21,3.17,3.25,3.3,3.14,4936600
10-03-21,3.3,3.29,3.35,3.25,3840600
11-03-21,3.28,3.24,3.29,3.21,3211800
12-03-21,3.25,3.26,3.3,3.23,2948200
15-03-21,3.31,3.48,3.48,3.31,9145200
16-03-21,3.6,3.37,3.6,3.37,5205200
17-03-21,3.37,3.26,3.46,3.25,5000200
18-03-21,3.3,3.3,3.36,3.26,3887000
19-03-21,3.3,3.45,3.45,3.3,3782100
22-03-21,3.5,3.67,3.68,3.45,6588200
23-03-21,3.69,3.7,3.81,3.55,9432700
24-03-21,3.6,3.59,3.8,3.55,5759900
25-03-21,3.59,3.53,3.62,3.39,5478600
26-03-21,3.46,3.53,3.54,3.34,4739000
29-03-21,3.6,3.77,3.77,3.56,8082900
30-03-21,4.0,4.03,4.03,3.89,14491300
31-03-21,4.2,4.02,4.3,3.77,11726200
01-04-21,3.9,3.85,3.97,3.8,7454100
02-04-21,3.85,3.92,4.05,3.85,5411000
05-04-21,3.98,4.19,4.19,3.98,9707300
06-04-21,4.2,4.48,4.48,4.2,11354300
07-04-21,4.7,4.77,4.79,4.68,10717700
08-04-21,4.72,4.58,4.72,4.5,8232900
09-04-21,4.65,4.9,4.9,4.58,8402700
12-04-21,5.2,5.24,5.24,5.18,5369400
13-04-21,5.6,5.56,5.6,5.26,16292800
14-04-21,5.26,5.94,5.94,5.22,11117700
15-04-21,6.35,6.35,6.35,6.25,6545100
16-04-21,6.75,6.58,6.79,6.15,17073400
19-04-21,6.5,6.5,6.82,6.12,24010300
20-04-21,6.12,6.95,6.95,6.12,19911600
22-04-21,6.95,7.43,7.43,6.9,13377100
23-04-21,7.4,7.8,7.93,7.2,8795300
26-04-21,7.77,7.26,7.79,7.26,19959300
27-04-21,7.0,6.77,7.45,6.76,10466500
28-04-21,6.56,7.24,7.24,6.43,7716700
29-04-21,7.73,7.0,7.73,6.8,10302500
04-05-21,6.55,7.03,7.09,6.51,9848100
05-05-21,7.3,7.52,7.52,7.04,5492900
06-05-21,7.6,7.01,8.01,7.0,17647200
07-05-21,6.75,7.38,7.38,6.52,13250400
10-05-21,7.0,6.87,7.3,6.87,12768200
11-05-21,6.5,6.6,6.96,6.48,8328400
12-05-21,6.41,6.75,6.82,6.41,5092000
13-05-21,6.79,6.7,6.95,6.6,3073700
14-05-21,6.7,6.75,6.9,6.6,5701000
17-05-21,6.77,7.0,7.0,6.74,9751600
18-05-21,7.0,6.6,7.1,6.6,6320600
19-05-21,6.7,6.6,6.85,6.6,3006200
