Date,Open,Close,High,Low,Volume
16-11-20,24.0,22.3,24.0,22.3,395020
17-11-20,22.4,22.9,23.3,22.4,466940
18-11-20,23.0,22.9,23.65,22.5,314530
19-11-20,23.0,22.95,23.2,22.7,304770
20-11-20,22.95,22.8,22.95,22.7,341140
23-11-20,22.75,24.0,24.0,22.6,482160
24-11-20,23.7,23.4,23.8,23.1,374180
25-11-20,23.3,23.0,23.4,22.9,170440
26-11-20,22.9,23.0,23.3,22.6,168130
27-11-20,23.0,23.0,23.1,22.8,163550
30-11-20,23.4,22.4,23.45,22.4,569430
01-12-20,22.1,22.45,22.5,22.1,309920
02-12-20,22.3,22.7,23.0,22.3,277720
03-12-20,22.1,22.0,22.3,21.9,262830
04-12-20,22.0,21.6,22.0,21.5,355710
07-12-20,21.4,21.1,21.55,21.0,558200
08-12-20,21.1,21.5,21.8,21.1,429950
09-12-20,22.0,22.7,22.9,21.7,711240
10-12-20,22.7,22.25,22.75,22.25,409270
11-12-20,21.9,22.1,22.3,21.85,341890
14-12-20,22.4,21.95,22.4,21.7,452040
15-12-20,21.95,22.2,22.8,21.7,727040
16-12-20,22.6,22.2,22.6,22.1,337730
17-12-20,23.0,22.75,23.0,22.3,1099750
18-12-20,22.8,22.6,22.85,22.3,527520
21-12-20,22.7,22.2,22.7,22.05,483690
22-12-20,22.0,21.9,22.2,21.8,578310
23-12-20,21.9,22.25,22.85,21.9,505130
24-12-20,22.25,22.45,22.55,21.9,358470
25-12-20,22.45,24.0,24.0,22.35,1272280
28-12-20,24.4,23.9,24.5,23.7,479900
29-12-20,23.9,23.5,23.9,23.45,268950
30-12-20,23.5,23.3,23.9,23.15,629260
31-12-20,23.3,24.9,24.9,23.3,1565300
04-01-21,25.9,25.05,25.9,25.0,591200
05-01-21,24.8,25.05,25.35,24.7,373700
06-01-21,25.1,24.6,25.15,24.5,856800
07-01-21,24.6,25.1,25.65,24.55,582500
08-01-21,25.5,24.85,25.5,24.6,396600
11-01-21,24.9,24.95,25.0,24.6,358200
12-01-21,25.4,25.5,26.0,25.35,1147900
13-01-21,25.5,25.0,25.5,24.5,696800
14-01-21,24.95,24.8,25.15,24.5,395200
15-01-21,24.7,24.75,25.1,24.6,477400
18-01-21,24.9,24.9,25.45,24.8,940900
19-01-21,25.0,23.4,25.5,23.2,739800
20-01-21,23.0,23.0,23.4,21.8,508600
21-01-21,23.0,22.8,23.7,22.1,928400
22-01-21,22.0,22.3,23.0,22.0,476900
25-01-21,22.0,22.7,22.8,22.0,239400
26-01-21,22.5,21.2,22.5,21.2,486600
27-01-21,21.25,19.8,21.5,19.75,662800
28-01-21,19.3,18.45,19.3,18.45,493200
29-01-21,17.35,18.6,19.1,17.35,319600
01-02-21,18.4,18.0,19.25,18.0,257400
02-02-21,18.6,19.0,19.0,17.95,185600
03-02-21,19.4,19.7,19.8,18.7,264500
04-02-21,19.7,20.0,20.1,19.6,295400
05-02-21,20.0,19.65,20.0,19.65,228300
08-02-21,19.6,19.1,19.9,18.9,170000
09-02-21,19.0,19.4,19.4,18.5,183200
17-02-21,19.7,20.45,20.45,19.7,183800
18-02-21,20.5,21.0,21.3,20.25,228900
19-02-21,20.5,20.95,21.25,20.5,184200
22-02-21,20.95,21.5,22.2,20.95,329200
23-02-21,21.5,21.6,21.7,21.45,170700
24-02-21,21.5,21.2,21.6,21.0,227100
25-02-21,21.4,20.9,21.45,20.0,129100
26-02-21,20.3,20.75,21.0,20.3,128900
01-03-21,21.6,21.3,21.6,21.05,190200
02-03-21,21.8,21.55,21.8,21.3,261200
03-03-21,21.55,23.05,23.05,21.55,1133200
04-03-21,23.9,22.95,23.95,22.3,406900
05-03-21,22.95,23.0,23.8,22.5,297800
08-03-21,23.5,23.45,23.6,22.7,667500
09-03-21,23.45,23.1,23.5,23.0,407400
