Date,Open,Close,High,Low,Volume
16-11-20,35.2,35.8,35.8,35.2,26620
17-11-20,36.5,35.5,36.5,35.5,8720
18-11-20,36.5,36.0,36.5,35.7,7050
19-11-20,36.0,35.9,36.0,35.5,10150
20-11-20,35.5,35.8,36.0,35.5,6270
23-11-20,35.8,35.5,36.0,35.5,17290
24-11-20,35.9,36.0,36.0,35.6,20870
25-11-20,36.0,36.0,36.0,35.5,18240
26-11-20,35.5,35.6,35.9,35.4,13970
27-11-20,35.6,35.7,35.8,35.45,3660
30-11-20,35.7,35.7,36.05,35.6,22420
01-12-20,35.95,36.1,36.6,35.7,20050
02-12-20,36.15,36.5,36.6,36.15,12880
03-12-20,37.5,39.05,39.05,37.4,29660
04-12-20,41.5,39.5,41.5,39.5,31430
07-12-20,39.5,38.5,40.0,38.0,6030
08-12-20,38.5,37.8,39.5,37.8,6820
09-12-20,40.0,37.2,40.0,37.0,15570
10-12-20,37.1,37.9,38.0,37.1,7660
11-12-20,37.0,37.1,38.0,37.0,5730
14-12-20,37.3,37.2,38.2,37.0,10680
15-12-20,37.2,37.3,38.3,37.2,13480
16-12-20,38.0,37.4,39.0,37.4,37240
17-12-20,37.5,37.5,38.2,37.3,33210
18-12-20,38.0,37.7,38.6,37.5,23940
21-12-20,37.7,37.7,38.0,37.5,14200
22-12-20,37.9,39.3,39.5,37.9,39180
23-12-20,40.0,39.5,40.0,38.8,12320
24-12-20,39.5,42.2,42.2,37.5,41340
25-12-20,40.0,41.9,42.3,40.0,92280
28-12-20,42.0,41.0,42.0,39.5,13370
29-12-20,40.9,41.0,41.6,40.0,16380
30-12-20,40.0,39.5,40.5,39.5,3090
31-12-20,39.5,39.5,40.0,38.5,7250
04-01-21,39.5,39.0,39.5,39.0,15200
05-01-21,39.0,38.5,39.4,38.3,9200
06-01-21,38.5,38.4,38.9,38.4,6900
07-01-21,38.5,38.2,38.5,38.1,11100
08-01-21,38.2,37.9,38.5,37.8,33500
11-01-21,37.9,37.4,38.2,37.4,29600
12-01-21,37.4,39.0,39.0,37.4,24600
13-01-21,38.5,38.6,38.7,38.4,31400
14-01-21,38.65,38.4,38.7,38.4,8100
15-01-21,38.4,38.4,38.7,38.4,5100
18-01-21,38.4,37.9,38.5,37.6,53900
19-01-21,38.0,37.2,38.0,37.0,37900
20-01-21,37.2,37.0,37.2,36.9,5500
21-01-21,38.5,38.2,38.5,37.0,600
22-01-21,38.2,37.3,38.2,37.1,7200
25-01-21,37.0,36.8,37.4,36.8,29700
26-01-21,37.4,36.9,37.9,36.9,7500
27-01-21,36.8,36.3,36.9,36.3,16100
28-01-21,36.0,33.9,36.9,33.8,20600
29-01-21,33.9,36.2,36.25,33.9,1700
01-02-21,36.2,35.5,36.2,35.0,5500
02-02-21,35.05,35.5,35.5,34.8,7100
03-02-21,35.2,34.9,35.2,34.9,7200
04-02-21,34.9,34.9,35.0,34.9,8200
05-02-21,34.9,34.9,34.9,34.9,0
08-02-21,34.9,34.6,34.9,34.6,1600
09-02-21,34.6,36.0,36.0,34.6,1600
17-02-21,35.1,35.1,36.9,35.1,4500
18-02-21,35.1,36.1,36.1,35.1,4000
19-02-21,35.6,36.4,36.4,35.6,11600
22-02-21,36.0,36.1,36.4,36.0,6700
23-02-21,36.1,35.5,36.3,35.5,1600
24-02-21,35.7,35.55,36.2,35.5,2300
25-02-21,35.5,35.35,36.0,35.35,1000
26-02-21,35.35,35.35,35.35,35.35,1300
01-03-21,35.1,35.2,35.5,35.1,2500
02-03-21,35.5,35.7,36.0,35.2,9500
