Date,Open,Close,High,Low,Volume
16-11-20,10.2,10.05,10.35,9.91,6797120
17-11-20,10.15,10.75,10.75,9.98,8342860
18-11-20,10.8,10.9,11.3,10.7,4189210
19-11-20,10.85,10.6,10.85,10.5,4766640
20-11-20,10.6,11.25,11.3,10.35,5474950
23-11-20,11.3,11.1,11.45,10.9,3888330
24-11-20,11.3,11.2,11.4,11.0,4314930
25-11-20,11.3,11.6,11.95,11.25,5325180
26-11-20,11.65,11.45,11.7,11.35,3058710
27-11-20,11.5,11.55,11.85,11.4,3360600
30-11-20,11.55,11.2,11.65,11.2,4101780
01-12-20,11.0,11.45,11.9,10.85,5360310
02-12-20,11.5,11.6,11.75,11.4,3128640
03-12-20,11.6,12.4,12.4,11.55,7189690
04-12-20,12.7,12.4,12.7,12.25,4701650
07-12-20,12.45,12.85,12.9,12.4,4910440
08-12-20,12.85,12.75,13.0,12.6,3498620
09-12-20,12.9,13.2,13.45,12.75,4702510
10-12-20,13.3,12.7,13.5,12.7,5000490
11-12-20,12.7,13.0,13.0,12.55,4344980
14-12-20,13.35,13.7,13.9,13.1,3973970
15-12-20,13.5,13.95,14.2,13.5,4050460
16-12-20,14.2,14.7,14.8,14.1,4145960
17-12-20,14.6,14.9,15.2,14.35,4411970
18-12-20,15.15,15.9,15.9,15.05,4376240
21-12-20,16.9,17.0,17.0,16.4,4564880
22-12-20,17.6,18.15,18.15,17.5,3542450
23-12-20,19.35,17.0,19.4,16.9,8959400
24-12-20,17.5,16.0,17.5,15.85,9808250
25-12-20,16.1,17.1,17.1,15.9,6835310
28-12-20,17.95,17.5,18.0,17.0,5324200
29-12-20,17.2,17.2,17.7,17.1,3479320
30-12-20,17.1,16.25,17.2,16.15,6034510
31-12-20,16.5,16.9,17.1,15.65,4226920
04-01-21,17.2,17.1,17.4,16.8,3937300
05-01-21,17.0,16.85,17.2,16.7,3886600
06-01-21,17.0,16.7,17.0,16.5,4463400
07-01-21,17.0,17.85,17.85,17.0,6881700
08-01-21,18.95,18.15,18.95,17.8,3789000
11-01-21,18.4,17.8,18.4,17.7,3551000
12-01-21,17.55,17.7,17.7,17.25,4470000
13-01-21,17.9,17.5,18.15,17.4,3322600
14-01-21,17.65,18.15,18.4,17.3,4252900
15-01-21,18.5,18.1,18.65,17.9,3759000
18-01-21,18.05,18.7,18.95,17.8,5418100
19-01-21,18.8,17.9,19.5,17.4,6294500
20-01-21,18.1,17.85,18.2,16.65,5116200
21-01-21,18.1,18.0,18.5,17.85,3275900
22-01-21,18.2,19.2,19.25,18.0,10135900
25-01-21,19.0,20.5,20.5,18.8,5527500
26-01-21,20.9,21.1,21.85,19.6,6811700
27-01-21,20.3,19.65,21.2,19.65,7462500
28-01-21,18.3,18.3,18.3,18.3,488700
29-01-21,17.05,17.05,18.05,17.05,8628600
01-02-21,16.15,15.9,17.0,15.9,5416700
02-02-21,14.8,14.8,15.9,14.8,6990300
03-02-21,15.4,15.8,15.8,14.7,3673300
04-02-21,16.3,16.15,16.85,16.0,2961400
05-02-21,16.15,16.0,16.5,15.8,2950100
08-02-21,16.0,14.9,16.0,14.9,5854600
09-02-21,14.9,14.25,15.2,13.9,8281700
17-02-21,14.5,15.2,15.2,14.0,2752200
18-02-21,15.4,15.6,16.0,15.3,3587900
19-02-21,15.2,15.25,15.6,15.0,3391500
22-02-21,15.4,15.3,15.7,15.15,3444200
23-02-21,15.5,15.95,16.1,15.2,4153100
24-02-21,16.2,15.7,16.35,15.4,4136600
25-02-21,15.8,15.5,15.9,15.4,2778800
26-02-21,15.1,15.45,15.55,15.0,3927600
01-03-21,15.6,15.9,15.9,15.4,3137100
02-03-21,16.0,15.65,16.0,15.55,2596200
03-03-21,15.65,16.7,16.7,15.5,7328600
04-03-21,17.0,16.8,17.4,16.1,4285600
05-03-21,16.6,16.7,16.8,15.9,2295400
08-03-21,17.1,16.6,17.1,16.55,3721500
09-03-21,16.45,16.8,17.35,16.1,4269500
10-03-21,16.9,16.85,17.0,16.55,2635900
11-03-21,16.85,16.7,17.05,16.6,2967400
12-03-21,16.8,16.4,16.8,16.3,4020900
15-03-21,16.35,16.45,16.75,16.25,3288600
16-03-21,16.45,16.45,16.6,16.3,2245700
17-03-21,16.45,16.45,16.65,16.35,2319600
18-03-21,16.55,16.9,17.4,16.45,5814700
19-03-21,16.9,16.7,16.9,16.5,1942100
22-03-21,16.6,16.5,16.7,16.45,2110300
23-03-21,16.45,16.15,16.45,15.85,4958600
24-03-21,15.8,15.2,16.15,15.05,4794200
25-03-21,15.3,15.0,15.5,14.9,2883000
26-03-21,14.9,15.0,15.1,13.95,4773100
29-03-21,15.1,15.2,15.3,14.95,2092100
30-03-21,15.3,15.1,15.4,15.05,2064000
31-03-21,15.05,15.15,15.25,14.8,1946500
01-04-21,15.3,15.7,15.9,15.15,2965800
