Date,Open,Close,High,Low,Volume
16-11-20,5.46,5.46,5.53,5.46,16520
17-11-20,5.46,5.65,5.65,5.46,65680
18-11-20,5.69,5.67,5.69,5.6,40370
19-11-20,5.97,5.74,5.97,5.67,48310
20-11-20,5.74,5.68,5.8,5.34,51480
23-11-20,5.41,5.65,5.68,5.35,20750
24-11-20,5.65,5.6,5.65,5.5,72570
25-11-20,5.59,5.5,5.59,5.5,32510
26-11-20,5.59,5.5,5.59,5.5,27160
27-11-20,5.5,5.55,5.55,5.5,12930
30-11-20,5.55,5.6,5.7,5.55,36400
01-12-20,5.6,5.63,5.65,5.5,156430
02-12-20,5.59,5.7,5.8,5.59,80350
03-12-20,5.79,5.8,5.85,5.7,63090
04-12-20,5.8,5.69,5.8,5.62,11880
07-12-20,5.68,5.68,5.71,5.62,31380
08-12-20,5.7,5.75,5.83,5.68,58880
09-12-20,5.75,5.87,5.9,5.63,305410
10-12-20,6.0,5.89,6.0,5.86,53600
11-12-20,5.89,5.89,6.0,5.71,41610
14-12-20,5.9,5.95,5.95,5.89,89890
15-12-20,6.0,6.16,6.2,5.95,83550
16-12-20,6.34,6.31,6.39,6.11,88580
17-12-20,6.31,6.3,6.35,6.25,80340
18-12-20,6.38,6.21,6.38,6.21,35020
21-12-20,6.2,6.3,6.3,6.11,49260
22-12-20,6.3,6.29,6.3,6.15,37870
23-12-20,6.29,6.21,6.29,6.2,57170
24-12-20,6.1,6.0,6.21,5.8,33680
25-12-20,6.0,6.2,6.21,6.0,43090
28-12-20,6.2,6.1,6.3,6.01,37600
29-12-20,6.08,6.14,6.18,6.05,17570
30-12-20,6.2,6.15,6.2,6.15,45610
31-12-20,6.25,6.35,6.35,6.2,141150
04-01-21,6.79,6.78,6.79,6.76,256900
05-01-21,6.78,6.9,7.1,6.78,124200
06-01-21,7.0,6.85,7.0,6.78,148300
07-01-21,6.81,6.83,6.9,6.75,156300
08-01-21,6.85,7.0,7.14,6.85,141500
11-01-21,7.2,7.05,7.2,7.0,65800
12-01-21,7.05,6.82,7.05,6.8,103700
13-01-21,6.82,6.95,6.99,6.82,65900
14-01-21,6.95,6.94,6.95,6.85,23500
15-01-21,7.1,6.99,7.1,6.9,151300
18-01-21,6.99,7.3,7.4,6.99,449900
19-01-21,7.5,7.0,7.5,6.79,281800
20-01-21,7.0,7.0,7.0,6.85,123200
21-01-21,7.0,7.09,7.1,6.9,77500
22-01-21,7.1,7.5,7.5,7.0,511300
25-01-21,7.5,7.7,7.8,7.37,214300
26-01-21,7.7,7.38,7.7,7.2,72000
27-01-21,7.38,7.19,7.38,7.0,42800
28-01-21,6.9,6.69,6.9,6.69,214800
29-01-21,6.69,6.94,6.94,6.69,43200
01-02-21,7.0,6.99,7.1,6.71,143000
02-02-21,6.99,6.8,6.99,6.55,86900
03-02-21,6.8,7.1,7.2,6.8,79900
04-02-21,7.1,7.1,7.1,7.0,17400
