Date,Open,Close,High,Low,Volume
19-08-22,28.4,30.1,30.1,28.05,5770700
22-08-22,30.1,29.8,30.1,29.4,2731600
23-08-22,29.5,29.95,29.95,29.1,2281000
24-08-22,30.05,29.6,30.5,29.6,3863000
25-08-22,29.7,29.25,30.3,29.1,2680000
26-08-22,29.3,30.2,30.2,28.8,3273300
29-08-22,29.9,30.1,30.25,29.1,3801500
30-08-22,30.2,30.2,30.85,29.55,3941900
31-08-22,30.0,29.6,30.7,29.6,4273200
05-09-22,29.7,28.3,30.25,28.3,5241000
06-09-22,27.75,28.4,29.3,27.75,4286500
07-09-22,28.55,28.35,28.8,28.0,2485300
08-09-22,28.5,27.85,28.9,27.0,5434000
09-09-22,28.55,26.95,28.55,26.6,3547900
12-09-22,26.55,27.05,27.55,26.55,1914500
13-09-22,26.8,27.6,27.6,26.65,3010800
14-09-22,27.4,27.95,28.0,27.0,2782100
15-09-22,28.15,27.9,28.2,27.55,2144800
16-09-22,27.85,26.95,28.2,26.8,2562500
19-09-22,27.05,26.2,27.1,25.55,2947400
20-09-22,26.05,26.3,26.5,25.0,3692400
21-09-22,26.1,26.0,26.1,25.5,2055500
22-09-22,26.0,26.05,26.5,25.45,3609300
23-09-22,26.1,26.05,26.45,25.95,1574100
26-09-22,25.85,24.55,25.85,24.4,2787400
27-09-22,24.65,24.25,25.3,24.1,1763700
28-09-22,24.2,22.8,24.5,22.8,1695400
29-09-22,23.5,22.6,23.6,22.6,1244800
30-09-22,23.2,22.45,23.2,21.55,2116500
03-10-22,22.8,21.0,23.0,20.9,1899500
04-10-22,21.5,21.05,21.6,20.85,2070300
05-10-22,21.15,22.1,22.2,21.15,1253900
06-10-22,22.3,20.7,22.3,20.7,1408600
07-10-22,20.05,20.5,21.3,19.45,2246300
10-10-22,20.3,21.9,21.9,20.25,1849300
11-10-22,22.4,23.0,23.1,21.25,3554100
12-10-22,23.3,24.6,24.6,23.05,1575800
13-10-22,25.2,24.85,25.2,24.2,2126000
14-10-22,24.7,25.0,25.2,24.5,1451200
17-10-22,25.0,26.7,26.75,24.7,2533700
18-10-22,27.3,26.3,27.8,26.0,2483700
19-10-22,26.4,27.1,27.1,25.8,2752100
20-10-22,27.1,26.05,27.1,25.7,3147100
21-10-22,26.0,25.35,26.1,24.75,2471100
24-10-22,25.15,25.7,25.75,24.8,2573400
25-10-22,25.8,26.5,27.0,25.45,3415200
26-10-22,27.5,27,27.95,26.5,3069100
