Date,Open,Close,High,Low,Volume
16-11-20,69.9,69.9,69.9,69.9,30
17-11-20,69.9,69.9,69.9,69.9,30
18-11-20,68.3,69.5,69.5,68.2,1060
19-11-20,69.0,69.1,69.4,68.5,1010
20-11-20,69.8,69.1,69.8,69.1,3300
23-11-20,69.2,68.5,69.2,68.5,3240
24-11-20,68.6,69.0,69.3,68.5,3980
25-11-20,68.4,68.4,68.5,68.4,2520
26-11-20,69.0,70.0,70.0,68.8,3790
27-11-20,69.0,70.3,70.3,69.0,4950
30-11-20,70.3,70.0,70.3,69.5,2520
01-12-20,68.6,70.2,70.2,68.6,4050
02-12-20,70.2,70.1,70.2,70.0,3170
03-12-20,69.0,74.0,75.0,69.0,10970
04-12-20,74.0,73.4,74.1,73.4,790
07-12-20,73.4,75.0,77.2,73.4,4290
08-12-20,75.0,75.5,76.8,74.0,6240
09-12-20,73.3,75.0,75.0,73.3,1280
10-12-20,75.0,74.0,75.0,74.0,2060
11-12-20,70.2,72.6,74.0,70.2,3080
14-12-20,72.6,76.9,76.9,72.6,5960
15-12-20,75.9,76.0,76.0,75.0,3550
16-12-20,76.0,75.0,77.0,75.0,3680
17-12-20,76.1,74.5,76.1,74.2,2100
18-12-20,79.7,75.2,79.7,75.2,5300
21-12-20,79.0,76.7,79.0,75.0,8330
22-12-20,76.7,76.7,76.7,76.7,470
23-12-20,73.2,76.0,79.0,73.2,1120
24-12-20,76.0,76.0,76.0,76.0,0
25-12-20,72.5,76.0,76.0,72.5,2540
28-12-20,76.0,76.0,76.0,75.0,5360
29-12-20,75.0,76.0,76.0,75.0,150
30-12-20,75.1,78.2,79.0,75.1,2000
31-12-20,76.1,77.2,78.0,76.0,1230
04-01-21,77.2,76.5,77.2,76.5,2200
05-01-21,76.3,76.6,76.6,76.3,2000
06-01-21,79.0,76.4,79.0,76.0,1100
07-01-21,78.9,78.9,78.9,77.8,9200
08-01-21,83.8,83.5,83.8,83.5,900
11-01-21,82.0,79.3,82.0,77.7,3000
12-01-21,75.0,78.0,78.0,75.0,7800
13-01-21,82.8,80.5,82.8,78.0,5300
14-01-21,85.5,83.0,85.5,80.5,14000
15-01-21,82.1,82.4,82.5,82.0,2400
18-01-21,80.0,83.0,83.0,80.0,9100
19-01-21,82.2,81.0,82.2,80.0,3600
20-01-21,81.2,80.0,83.0,80.0,4900
21-01-21,80.0,80.7,82.6,80.0,8400
22-01-21,80.0,80.0,80.0,80.0,1200
25-01-21,80.0,81.5,81.5,75.3,4400
26-01-21,81.5,80.0,81.5,80.0,1800
27-01-21,80.0,79.0,80.0,79.0,2800
28-01-21,79.0,74.0,79.0,73.5,6100
29-01-21,74.0,74.1,74.1,74.0,800
01-02-21,74.1,74.2,74.3,74.1,1100
02-02-21,77.0,75.0,77.0,75.0,1400
03-02-21,72.6,70.7,77.9,70.0,18500
04-02-21,75.6,75.6,75.6,75.0,5100
05-02-21,75.6,75.6,75.6,75.6,100
08-02-21,75.6,73.4,75.6,73.4,3600
09-02-21,71.1,74.9,78.5,71.1,500
17-02-21,79.9,78.5,79.9,76.0,9100
18-02-21,74.5,74.0,78.0,74.0,7100
19-02-21,76.4,74.0,76.4,74.0,400
22-02-21,74.0,75.5,76.0,70.2,1600
23-02-21,75.1,74.2,75.1,74.2,3100
24-02-21,74.0,73.0,75.0,73.0,1500
25-02-21,73.0,73.0,73.0,73.0,300
26-02-21,71.0,72.5,74.0,71.0,2300
01-03-21,73.9,73.6,73.9,73.6,3600
02-03-21,73.6,72.8,74.5,72.8,700
03-03-21,72.8,73.9,74.0,71.6,6900
04-03-21,73.9,68.8,73.9,68.8,14300
05-03-21,72.8,72.8,72.8,72.8,1100
08-03-21,76.0,71.4,76.0,71.0,5100
09-03-21,73.0,71.0,73.0,71.0,4200
10-03-21,71.0,72.5,72.5,71.0,1000
11-03-21,72.5,71.5,73.0,69.3,2800
12-03-21,71.4,71.4,71.4,71.4,600
15-03-21,71.4,72.5,72.5,71.1,700
16-03-21,72.5,71.0,72.5,71.0,3300
17-03-21,72.5,72.0,72.5,71.0,8300
18-03-21,71.5,71.5,71.6,71.5,11400
19-03-21,71.9,72.0,72.0,67.0,15900
22-03-21,71.9,71.2,71.9,71.2,1600
23-03-21,71.1,71.2,71.2,71.1,300
24-03-21,68.1,70.7,70.7,68.1,4500
25-03-21,71.4,71.4,71.4,71.4,300
26-03-21,71.4,71.8,71.8,71.4,800
29-03-21,71.0,71.1,71.8,71.0,900
30-03-21,70.4,71.0,71.2,70.4,7000
31-03-21,71.1,71.0,71.3,71.0,11200
01-04-21,71.5,71.2,71.5,71.0,2300
02-04-21,71.8,68.1,72.2,68.1,15300
05-04-21,72.5,70.0,72.5,70.0,5300
