Date,Open,Close,High,Low,Volume
16-11-20,40.35,39.9,40.8,39.9,1939610
17-11-20,40.0,40.3,40.3,39.75,1455550
18-11-20,40.3,40.05,40.35,40.0,1572210
19-11-20,40.1,40.4,40.8,40.1,1787480
20-11-20,40.7,41.2,41.25,40.7,2522690
23-11-20,41.5,41.1,41.5,40.55,1315280
24-11-20,41.05,40.7,41.1,40.4,1958510
25-11-20,41.0,41.3,41.45,40.55,2775000
26-11-20,41.3,42.6,42.6,41.0,4356380
27-11-20,42.8,42.45,42.85,42.05,2323620
30-11-20,42.45,41.7,42.5,41.7,1708190
01-12-20,41.0,41.7,41.8,40.8,2913470
02-12-20,41.75,41.5,42.0,41.4,1833120
03-12-20,41.55,41.6,41.9,41.4,1836790
04-12-20,41.6,41.65,42.3,41.5,2563040
07-12-20,42.0,43.0,43.2,41.85,4120830
08-12-20,43.3,42.7,43.3,42.45,2151740
09-12-20,42.9,43.8,44.0,42.75,3679830
10-12-20,43.8,43.95,44.8,43.7,3830860
11-12-20,43.9,45.8,45.8,43.6,4566950
14-12-20,46.15,46.5,46.55,45.85,2935490
15-12-20,46.15,46.1,47.0,45.85,3422380
16-12-20,46.1,47.4,47.45,46.1,3093050
17-12-20,46.8,46.4,47.6,46.4,3894580
18-12-20,46.7,47.0,47.5,46.4,2432540
21-12-20,48.0,47.45,48.0,46.5,2476240
22-12-20,47.45,46.85,47.45,46.6,2735230
23-12-20,47.0,46.6,47.5,46.4,2105620
24-12-20,46.6,45.5,46.8,43.9,3135180
25-12-20,45.5,46.6,46.7,45.0,1562900
28-12-20,46.95,47.45,48.0,46.8,3156280
29-12-20,47.3,48.35,48.65,47.3,3031270
30-12-20,48.4,48.05,48.8,48.0,1442160
31-12-20,47.25,47.9,47.9,47.0,1342380
04-01-21,47.75,48.25,48.45,47.75,1993800
05-01-21,47.9,47.9,48.1,47.65,2155700
06-01-21,48.3,48.8,50.6,47.55,3674500
07-01-21,48.8,48.9,49.9,48.5,1678500
08-01-21,49.3,48.5,49.3,48.2,2034900
11-01-21,48.5,48.25,48.6,47.9,2758800
12-01-21,48.25,48.75,49.0,47.9,2189300
13-01-21,48.8,48.45,49.2,48.4,1650200
14-01-21,48.5,48.85,49.0,48.0,1904800
15-01-21,49.3,48.85,49.5,48.85,2404700
18-01-21,48.9,48.65,49.0,48.6,1685100
19-01-21,48.6,45.25,48.6,45.25,2701100
20-01-21,45.25,45.5,46.5,42.5,2306500
21-01-21,45.6,46.5,46.5,45.2,1347000
22-01-21,46.5,45.25,46.55,45.1,2211800
25-01-21,45.0,44.6,45.2,44.4,1371900
26-01-21,44.35,42.55,44.35,41.8,1836800
27-01-21,42.55,41.3,43.4,40.6,2102100
28-01-21,39.0,38.45,40.0,38.45,2692000
29-01-21,36.5,39.9,40.85,36.5,2008200
01-02-21,39.9,39.1,41.0,38.65,1545000
02-02-21,38.9,39.35,39.95,38.55,2497300
03-02-21,40.1,41.35,41.5,39.7,1851900
04-02-21,41.4,41.5,41.6,40.9,1378500
05-02-21,41.5,41.8,42.1,41.3,1279600
08-02-21,41.8,40.1,42.0,39.05,1874900
09-02-21,40.5,40.8,41.2,39.7,1448500
17-02-21,40.85,42.1,42.1,40.85,1439000
18-02-21,42.2,43.4,43.5,41.7,2339700
19-02-21,43.0,44.1,44.5,42.85,2027200
