Date,Open,Close,High,Low,Volume
16-11-20,37.7,37.7,37.7,37.7,150
17-11-20,37.9,37.9,37.9,37.8,450
18-11-20,37.85,39.7,40.0,35.6,3310
19-11-20,36.95,39.0,39.0,36.95,260
20-11-20,38.0,38.9,39.0,36.3,1270
23-11-20,36.65,38.7,39.0,36.65,570
24-11-20,36.0,36.0,36.0,36.0,200
25-11-20,38.0,38.0,38.0,38.0,170
26-11-20,38.0,36.15,38.0,36.0,6310
27-11-20,37.9,37.9,37.9,36.1,1410
30-11-20,37.9,37.9,37.9,37.9,450
01-12-20,37.0,37.85,37.85,37.0,1110
02-12-20,37.5,37.5,37.5,37.5,1650
03-12-20,37.8,37.65,37.8,37.65,460
04-12-20,37.6,37.8,37.8,37.6,1200
07-12-20,37.8,37.95,38.0,37.0,990
08-12-20,38.5,38.5,38.6,38.5,450
09-12-20,38.3,38.25,38.3,38.25,300
10-12-20,38.25,38.25,38.25,38.25,150
11-12-20,38.4,38.0,38.45,38.0,450
14-12-20,39.0,39.0,39.0,39.0,200
15-12-20,36.6,36.8,40.0,36.6,1470
16-12-20,39.0,39.0,39.0,37.0,390
17-12-20,39.0,39.0,39.0,39.0,0
18-12-20,39.0,39.0,39.0,39.0,0
21-12-20,38.9,38.9,38.9,36.9,770
22-12-20,38.9,38.9,38.9,38.9,150
23-12-20,39.0,40.2,41.6,39.0,72970
24-12-20,41.0,42.0,43.0,41.0,45400
25-12-20,43.0,44.9,44.9,43.0,147890
28-12-20,48.0,48.0,48.0,48.0,206340
29-12-20,48.3,50.0,51.3,48.1,48510
30-12-20,49.5,49.0,50.0,49.0,46900
31-12-20,48.1,51.0,51.0,48.1,70650
04-01-21,49.2,50.4,50.5,48.8,21800
05-01-21,49.0,50.2,50.2,48.5,170200
06-01-21,49.7,49.9,51.0,49.7,19700
07-01-21,49.9,49.1,50.3,49.1,67000
08-01-21,49.6,50.2,50.4,49.6,29800
11-01-21,50.2,50.2,50.3,50.2,19300
12-01-21,50.2,50.2,50.5,50.2,6300
13-01-21,50.2,50.5,50.5,50.2,19600
14-01-21,50.2,50.5,50.5,50.2,8200
15-01-21,50.5,50.7,50.7,50.5,3000
18-01-21,49.9,49.9,49.9,49.9,1200
19-01-21,50.1,49.9,50.1,49.9,2200
20-01-21,49.9,49.9,49.9,49.9,23700
21-01-21,49.9,49.9,49.9,49.9,17000
22-01-21,49.9,49.9,49.9,49.9,100
25-01-21,49.9,49.9,49.9,49.9,0
26-01-21,49.9,50.5,50.5,49.9,1400
27-01-21,50.5,50.5,50.5,50.5,100
28-01-21,50.3,49.9,50.3,49.9,10000
29-01-21,49.9,49.9,49.9,49.9,400
01-02-21,49.9,49.9,49.9,49.9,0
02-02-21,49.8,49.8,49.8,49.8,1500
03-02-21,49.8,49.8,49.8,49.8,3100
04-02-21,49.5,49.5,49.5,49.5,3000
05-02-21,50.0,50.0,50.0,50.0,3100
08-02-21,50.0,50.0,50.0,50.0,0
09-02-21,50.0,50.0,50.0,50.0,0
17-02-21,50.0,50.0,50.0,50.0,0
18-02-21,52.0,52.0,52.0,52.0,10100
19-02-21,52.0,52.0,52.0,52.0,500
22-02-21,52.0,52.0,52.0,52.0,0
23-02-21,52.0,52.0,52.0,52.0,200
24-02-21,52.0,52.0,52.0,52.0,0
25-02-21,52.0,52.0,52.0,52.0,0
26-02-21,52.0,52.0,52.0,52.0,13000
01-03-21,48.4,48.4,48.4,48.4,300
02-03-21,50.0,50.0,50.0,50.0,200
03-03-21,48.0,48.0,48.0,48.0,1300
04-03-21,48.0,48.0,48.0,48.0,0
05-03-21,50.0,50.0,50.0,50.0,100
08-03-21,51.0,52.5,52.5,51.0,2000
09-03-21,49.0,49.0,49.0,49.0,100
10-03-21,52.4,52.4,52.4,52.4,200
11-03-21,51.0,51.0,51.0,51.0,4500
12-03-21,51.0,51.0,51.0,51.0,400
15-03-21,51.0,51.0,51.0,51.0,0
16-03-21,50.9,52.0,52.0,50.9,17000
17-03-21,52.0,52.0,52.0,52.0,500
18-03-21,52.0,52.0,52.0,52.0,21100
19-03-21,52.0,52.0,52.0,52.0,0
22-03-21,52.0,52.0,52.0,52.0,0
23-03-21,49.0,53.0,53.0,49.0,400
24-03-21,53.0,53.0,53.0,53.0,0
25-03-21,53.0,53.0,53.0,53.0,2500
26-03-21,53.0,53.0,53.0,53.0,0
29-03-21,53.0,53.0,53.0,53.0,0
30-03-21,53.0,53.0,53.0,53.0,0
31-03-21,53.0,53.0,53.0,53.0,0
