Date,Open,Close,High,Low,Volume
16-11-20,8.33,8.58,8.6,8.25,144260
17-11-20,8.56,8.82,8.95,8.56,197410
18-11-20,8.89,8.74,8.89,8.68,81220
19-11-20,8.74,8.74,8.75,8.64,88250
20-11-20,8.7,8.7,8.7,8.5,130410
23-11-20,8.7,8.65,8.8,8.62,90640
24-11-20,8.69,8.4,8.69,8.39,253070
25-11-20,8.4,8.35,8.5,8.24,334800
26-11-20,8.29,8.6,8.9,8.26,62050
27-11-20,8.6,8.59,8.6,8.45,83200
30-11-20,8.59,8.5,8.59,8.45,129190
01-12-20,8.4,8.48,8.58,8.35,139770
02-12-20,8.5,8.4,8.51,8.39,81360
03-12-20,8.4,8.85,8.85,8.4,261230
04-12-20,8.85,9.0,9.15,8.85,390260
07-12-20,9.0,9.24,9.34,9.0,239450
08-12-20,9.11,9.14,9.19,9.1,132320
09-12-20,9.11,9.01,9.15,8.92,234440
10-12-20,9.02,9.13,9.2,8.92,264920
11-12-20,9.13,9.46,9.58,9.0,316970
14-12-20,9.7,9.63,9.75,9.48,652990
15-12-20,9.63,9.6,9.68,9.5,228240
16-12-20,9.8,9.8,9.89,9.7,340140
17-12-20,9.8,9.7,9.81,9.68,210530
18-12-20,9.62,9.7,9.8,9.62,167320
21-12-20,9.7,9.78,9.89,9.7,412330
22-12-20,9.66,9.84,9.89,9.66,217680
23-12-20,9.87,10.5,10.5,9.86,564150
24-12-20,10.9,10.45,10.9,9.9,307780
25-12-20,10.7,10.5,10.7,10.3,282330
28-12-20,10.5,10.45,10.6,10.4,360500
29-12-20,10.45,10.3,10.6,10.2,305140
30-12-20,10.35,11.0,11.0,10.35,445710
31-12-20,11.0,11.3,11.3,10.9,261220
04-01-21,11.5,11.4,11.7,11.3,436200
05-01-21,11.05,10.6,11.05,10.35,194900
06-01-21,10.6,10.7,10.7,10.5,198200
07-01-21,10.7,10.4,10.7,10.3,161700
08-01-21,10.4,10.4,10.55,10.3,281400
11-01-21,10.4,11.1,11.1,10.4,409100
12-01-21,11.8,11.85,11.85,11.7,457100
13-01-21,12.4,11.8,12.4,11.75,190500
14-01-21,11.65,11.35,11.7,11.1,190400
15-01-21,11.5,11.7,12.0,11.4,296400
18-01-21,11.7,11.6,12.0,11.55,122900
19-01-21,12.4,11.3,12.4,10.8,525400
20-01-21,11.3,11.4,11.9,10.85,149600
21-01-21,12.0,11.5,12.0,11.45,136800
22-01-21,11.5,11.35,11.55,11.0,103900
25-01-21,11.05,11.3,11.35,11.0,104300
26-01-21,11.35,11.2,11.35,10.6,812300
27-01-21,11.2,11.2,11.8,10.9,716500
28-01-21,10.5,10.45,10.7,10.45,386900
29-01-21,9.9,10.5,10.9,9.8,91900
01-02-21,10.5,10.5,11.0,10.0,593900
02-02-21,10.0,10.35,10.5,10.0,282500
03-02-21,10.4,10.4,10.5,10.3,103900
04-02-21,10.4,10.5,10.6,10.4,126800
05-02-21,10.4,10.45,10.6,10.4,88000
08-02-21,10.35,10.0,10.6,10.0,92200
09-02-21,10.0,10.3,10.3,9.98,89100
17-02-21,10.25,10.95,10.95,10.25,75600
18-02-21,10.6,10.65,10.9,10.6,38200
19-02-21,10.65,11.0,11.0,10.6,156900
22-02-21,11.0,11.75,11.75,11.0,556900
23-02-21,11.8,11.7,11.8,11.45,74200
24-02-21,11.7,11.6,12.2,11.5,254400
25-02-21,11.6,11.5,11.8,11.45,172000
26-02-21,11.3,12.3,12.3,11.3,1394400
01-03-21,13.0,13.15,13.15,13.0,512700
02-03-21,14.0,13.85,14.0,13.5,674200
03-03-21,13.85,13.4,13.85,13.2,587100
04-03-21,13.6,12.9,13.6,12.6,352000
05-03-21,12.9,13.65,13.75,12.45,286200
08-03-21,14.0,13.55,14.0,13.2,172300
09-03-21,12.7,13.0,13.2,12.7,244300
10-03-21,12.9,13.6,13.85,12.5,876400
11-03-21,13.65,13.4,13.65,13.3,142100
12-03-21,13.4,13.65,13.7,13.2,323400
15-03-21,13.7,13.35,13.7,13.3,196700
16-03-21,13.35,13.2,13.45,12.8,221100
17-03-21,13.1,12.95,13.25,12.95,189000
18-03-21,12.95,13.65,13.7,12.8,354100
19-03-21,13.65,13.55,13.65,13.05,173900
22-03-21,13.2,13.5,13.55,13.0,399400
23-03-21,13.25,13.2,13.35,13.05,386700
24-03-21,12.95,12.95,13.2,12.85,198900
25-03-21,12.95,13.0,13.2,12.7,291600
26-03-21,12.6,12.35,12.95,12.15,310900
29-03-21,12.9,12.8,12.9,12.35,240900
30-03-21,12.8,12.8,12.8,12.5,130400
31-03-21,12.45,12.65,12.8,12.45,67200
01-04-21,12.8,12.8,13.0,12.8,124500
02-04-21,13.0,12.9,13.0,12.7,133700
05-04-21,13.0,12.75,13.0,12.6,133800
06-04-21,12.75,13.05,13.3,12.75,383800
07-04-21,13.2,13.3,13.55,13.1,320300
08-04-21,13.2,13.15,13.3,13.0,105800
09-04-21,13.2,13.15,13.3,13.1,166300
12-04-21,13.25,14.05,14.05,13.0,1430900
13-04-21,14.05,13.8,14.4,13.7,357900
14-04-21,13.7,13.8,13.8,13.2,229600
15-04-21,13.6,13.6,13.8,13.35,525400
16-04-21,13.3,13.3,13.4,12.8,530800
19-04-21,13.5,12.9,13.5,12.7,217700
20-04-21,12.9,12.8,13.3,12.6,352300
22-04-21,12.55,12.0,12.6,12.0,316900
23-04-21,12.0,12.5,12.5,11.6,173500
26-04-21,12.0,12.1,12.7,12.0,82600
27-04-21,12.45,12.3,12.45,11.8,77000
28-04-21,12.5,12.4,12.5,12.1,39900
29-04-21,12.3,12.4,13.0,12.3,102200
04-05-21,12.4,12.0,12.4,11.7,213500
05-05-21,12.0,12.5,12.65,12.0,274600
06-05-21,12.6,12.6,12.65,12.2,207900
07-05-21,12.3,12.6,12.6,12.2,201200
10-05-21,12.5,12.35,12.7,12.3,167500
11-05-21,12.8,12.45,12.8,12.3,61400
12-05-21,12.35,12.45,12.5,12.3,47700
13-05-21,12.4,12.2,12.45,12.0,86500
14-05-21,12.5,11.95,12.5,11.9,98500
17-05-21,12.3,12.0,12.3,11.9,56000
18-05-21,12.0,11.5,12.05,11.3,327900
19-05-21,11.5,11.2,11.5,11.0,249200
20-05-21,11.1,10.7,11.3,10.7,142500
21-05-21,10.5,11.3,11.3,10.5,138300
24-05-21,11.75,11.5,11.75,11.4,58400
25-05-21,11.5,11.5,11.55,11.3,121100
26-05-21,11.5,11.3,11.5,10.8,110900
27-05-21,11.3,11.2,11.3,10.6,81800
28-05-21,10.85,11.25,11.45,10.85,61800
31-05-21,11.25,11.2,11.25,10.85,120700
01-06-21,11.2,10.95,11.2,10.95,58700
02-06-21,10.9,11.35,11.35,10.8,185100
03-06-21,11.35,11.45,11.45,11.35,91100
04-06-21,11.45,11.6,11.7,11.45,86200
07-06-21,11.8,11.5,11.8,11.3,107600
08-06-21,11.5,11.4,11.5,11.0,106300
09-06-21,11.4,11.2,11.4,10.8,38000
10-06-21,11.2,11.2,11.55,10.9,127700
11-06-21,11.4,11.25,11.4,11.1,35400
14-06-21,11.2,11.25,11.25,11.0,97500
15-06-21,11.2,11.5,11.5,11.0,240600
16-06-21,11.7,11.75,11.75,11.5,211400
17-06-21,11.75,11.6,11.75,11.55,104400
18-06-21,11.65,11.7,11.75,11.55,128100
21-06-21,11.7,11.8,11.8,11.6,161500
22-06-21,11.8,11.9,11.95,11.75,139600
23-06-21,11.95,11.8,11.95,11.65,86900
24-06-21,11.8,11.6,11.9,11.6,67200
25-06-21,11.5,11.6,11.6,11.45,68400
28-06-21,11.8,11.45,11.8,11.4,45000
29-06-21,11.5,11.25,11.5,11.0,40000
30-06-21,11.25,11.4,11.6,11.2,51500
01-07-21,11.4,11.3,11.5,11.2,101400
02-07-21,11.3,11.2,11.4,11.1,71900
05-07-21,11.1,11.0,11.1,10.5,67800
06-07-21,11.0,10.85,11.4,10.85,26400
07-07-21,10.9,10.75,10.9,10.4,68400
08-07-21,11.2,10.55,11.2,10.5,31600
09-07-21,10.9,10.6,10.9,10.5,29300
12-07-21,10.6,10.2,10.6,9.88,70100
13-07-21,9.71,10.4,10.5,9.71,31800
14-07-21,10.4,10.35,10.4,9.7,101500
15-07-21,10.5,10.7,10.7,10.1,35900
16-07-21,10.5,10.7,10.8,10.5,36300
19-07-21,10.4,10.3,10.7,10.1,30100
20-07-21,10.3,10.45,10.5,9.9,28600
21-07-21,10.2,10.45,10.45,10.2,55000
22-07-21,10.6,10.5,10.6,10.3,28800
23-07-21,10.35,10.5,10.5,10.35,27300
26-07-21,10.5,10.55,10.6,10.3,35200
27-07-21,10.6,10.5,10.6,10.45,61600
28-07-21,10.0,10.45,10.6,9.8,246200
29-07-21,10.55,10.45,10.55,10.2,56700
30-07-21,10.3,10.5,10.55,10.3,69500
02-08-21,10.5,10.45,10.55,10.35,132000
03-08-21,10.45,11.0,11.0,10.4,295900
04-08-21,11.0,10.85,11.1,10.8,107800
05-08-21,10.8,11.0,11.0,10.7,121300
06-08-21,11.0,10.9,11.1,10.85,138500
09-08-21,10.95,11.5,11.6,10.8,394300
10-08-21,11.65,11.65,11.8,11.55,247300
11-08-21,11.7,11.5,11.7,11.45,268600
12-08-21,11.5,11.6,11.85,11.3,494000
13-08-21,11.9,11.75,11.9,11.6,255900
16-08-21,12.0,12.55,12.55,12.0,282100
17-08-21,13.2,12.8,13.2,12.6,496300
18-08-21,13.0,12.85,13.0,12.7,359000
19-08-21,13.15,12.9,13.15,12.75,204100
20-08-21,12.9,12.2,12.9,12.1,559800
23-08-21,12.1,12.1,12.45,12.1,225300
24-08-21,12.15,12.15,12.3,12.05,147100
25-08-21,12.2,12.4,12.45,12.1,133600
26-08-21,12.4,12.2,12.4,12.1,123400
27-08-21,12.2,12.35,12.45,12.2,256200
30-08-21,12.6,12.85,12.95,12.6,475800
31-08-21,12.95,12.9,13.15,12.85,589100
01-09-21,11.5,11.95,11.95,11.3,456400
06-09-21,12.6,12.25,12.6,12.0,317400
07-09-21,12.25,11.95,12.25,11.8,356000
08-09-21,11.8,11.5,11.8,11.45,277200
09-09-21,11.5,11.7,11.75,11.45,399900
10-09-21,11.8,11.8,11.8,11.7,241900
13-09-21,11.75,12.0,12.6,11.75,450400
14-09-21,12.0,12.1,12.2,11.95,425000
15-09-21,12.2,12.35,12.45,12.15,463900
16-09-21,12.6,12.25,12.6,12.05,364900
17-09-21,12.3,12.3,12.4,12.05,332300
20-09-21,12.3,12.4,12.45,12.15,570900
21-09-21,12.4,13.25,13.25,12.25,543700
22-09-21,13.5,13.4,13.6,13.3,239800
23-09-21,13.45,13.0,13.45,12.9,514100
24-09-21,12.8,12.35,13.0,12.2,289000
27-09-21,12.3,12.4,12.65,12.3,402100
28-09-21,12.3,12.55,12.7,12.1,240800
29-09-21,12.55,13.4,13.4,12.5,944000
30-09-21,13.5,13.15,13.6,13.0,442200
01-10-21,12.9,12.9,13.2,12.8,339300
04-10-21,12.8,13.0,13.4,12.6,460300
05-10-21,13.0,13.2,13.6,13.0,321100
06-10-21,13.3,13.2,13.4,13.1,197400
07-10-21,13.4,13.0,13.4,12.95,333900
08-10-21,13.0,13.1,13.1,12.8,350200
11-10-21,13.1,13.15,13.4,13.0,168600
12-10-21,13.15,12.9,13.15,12.8,244400
13-10-21,12.8,12.8,12.9,12.6,208700
14-10-21,12.8,12.85,13.0,12.8,170600
15-10-21,13.1,13.1,13.4,12.95,431600
18-10-21,13.3,12.85,13.3,12.75,338400
19-10-21,12.95,12.65,12.95,12.4,256000
20-10-21,12.4,12.5,12.9,12.4,265600
21-10-21,12.5,12.65,12.7,12.5,318800
22-10-21,12.65,13.0,13.25,12.6,589500
25-10-21,13.3,13.55,13.6,13.1,791900
26-10-21,13.6,13.75,13.75,13.3,536400
27-10-21,13.85,14.35,14.7,13.5,865000
28-10-21,14.35,14.35,14.4,13.95,574900
29-10-21,14.35,14.3,14.8,14.0,419400
01-11-21,14.3,14.95,15.2,14.2,998400
02-11-21,15.15,15.95,15.95,15.0,650400
03-11-21,16.8,15.7,17.05,15.0,1149700
04-11-21,15.25,16.45,16.7,15.25,537300
05-11-21,16.85,17.2,17.5,16.4,513100
08-11-21,17.35,16.7,17.35,16.5,797100
09-11-21,16.55,16.9,17.2,16.5,434900
10-11-21,17.0,18.05,18.05,17.0,826500
11-11-21,18.9,18.6,18.9,18.1,423900
12-11-21,18.3,19.0,19.0,18.2,330800
15-11-21,19.7,18.65,19.7,18.4,542100
16-11-21,18.0,18.65,18.65,18.0,548000
17-11-21,18.65,18.65,18.65,18.0,304700
18-11-21,18.65,19.0,19.5,18.2,800400
19-11-21,19.0,18.6,19.3,18.35,665700
22-11-21,18.8,17.7,18.8,17.7,715400
