Date,Open,Close,High,Low,Volume
16-11-20,15.25,16.4,16.4,15.25,5010
17-11-20,15.3,16.0,16.0,15.3,113380
18-11-20,15.0,15.7,15.7,14.9,74200
19-11-20,14.8,15.0,15.7,14.8,12620
20-11-20,14.95,15.9,15.9,14.0,22330
23-11-20,15.85,16.0,16.2,15.85,55200
24-11-20,15.1,15.5,16.1,15.1,3840
25-11-20,15.2,15.5,16.0,15.2,68120
26-11-20,15.5,15.5,16.3,15.5,21160
27-11-20,15.5,15.5,15.5,15.4,340
30-11-20,15.5,16.55,16.55,15.3,23260
01-12-20,16.0,16.4,16.4,15.4,3870
02-12-20,16.0,17.3,17.3,16.0,6000
03-12-20,16.1,18.5,18.5,16.1,69900
04-12-20,17.25,17.25,19.3,17.25,10260
07-12-20,16.1,18.45,18.45,16.1,100230
08-12-20,17.9,18.5,18.5,17.9,39710
09-12-20,17.3,18.9,18.9,17.25,76800
10-12-20,18.0,17.75,18.0,17.6,142430
11-12-20,17.95,18.0,18.0,17.95,141510
14-12-20,18.0,18.2,18.2,17.9,56020
15-12-20,18.0,18.15,18.85,18.0,139460
16-12-20,18.5,18.2,18.55,18.2,99530
17-12-20,18.2,18.2,18.2,18.2,14400
18-12-20,18.4,18.7,18.7,17.15,281300
21-12-20,18.65,19.0,19.1,18.65,119800
22-12-20,19.1,19.05,19.3,18.9,175500
23-12-20,19.1,19.7,19.7,19.1,148100
24-12-20,19.5,19.8,19.8,18.55,153330
25-12-20,19.75,19.8,19.8,19.6,5100
28-12-20,18.45,19.8,19.8,18.45,271260
29-12-20,19.75,19.85,19.95,19.75,344200
30-12-20,19.85,19.95,19.95,19.7,32710
31-12-20,19.95,19.95,19.95,19.8,3380
04-01-21,19.95,20.8,21.2,19.95,654700
05-01-21,19.35,21.0,21.8,19.35,1245500
06-01-21,21.0,20.9,21.0,20.9,1500
07-01-21,20.9,20.9,20.9,20.9,0
08-01-21,19.45,19.9,20.0,19.45,6500
11-01-21,20.0,19.9,20.0,19.9,7700
12-01-21,19.9,19.9,19.9,19.9,101200
13-01-21,18.55,19.8,19.8,18.55,1800
14-01-21,18.45,18.5,18.5,18.45,200
15-01-21,17.3,19.7,19.7,17.25,3300
18-01-21,19.6,19.0,19.7,19.0,4400
19-01-21,19.0,17.75,19.0,17.75,1000
20-01-21,17.75,17.75,17.75,17.75,0
21-01-21,17.75,17.75,17.75,17.2,1700
22-01-21,17.75,17.05,17.75,17.05,600
25-01-21,17.0,17.0,17.0,16.55,1200
26-01-21,17.0,17.0,17.0,17.0,0
27-01-21,16.0,16.0,16.0,16.0,100
28-01-21,14.9,17.1,17.1,14.9,2200
29-01-21,18.25,18.0,18.25,18.0,1000
01-02-21,18.0,16.75,18.0,16.75,2100
02-02-21,15.65,17.0,17.0,15.65,3300
03-02-21,17.0,16.05,17.0,16.0,800
04-02-21,15.55,16.95,16.95,15.55,1200
05-02-21,15.85,16.8,16.8,15.85,500
08-02-21,16.8,16.8,16.8,16.8,0
09-02-21,16.8,16.8,16.8,16.8,0
17-02-21,15.75,17.95,17.95,15.75,4800
18-02-21,17.95,17.95,17.95,17.95,0
19-02-21,17.95,17.95,17.95,17.95,0
22-02-21,17.95,17.95,17.95,17.95,0
23-02-21,16.7,18.3,19.0,16.7,5600
24-02-21,18.75,18.3,18.75,18.3,1500
25-02-21,18.3,18.3,18.3,18.3,0
26-02-21,18.3,18.3,18.3,18.3,0
01-03-21,18.3,18.3,18.3,18.3,0
02-03-21,18.3,18.3,18.3,18.3,0
03-03-21,17.1,17.1,17.1,17.1,100
04-03-21,17.1,17.1,17.1,17.1,0
05-03-21,17.1,17.1,17.1,17.1,0
08-03-21,16.5,16.5,16.9,16.5,11500
09-03-21,16.5,16.5,16.5,16.5,0
10-03-21,17.35,17.35,17.35,17.35,100
11-03-21,16.55,17.15,17.15,16.55,2200
12-03-21,17.75,17.6,17.75,17.6,700
15-03-21,17.5,17.0,17.5,17.0,1600
16-03-21,17.1,17.0,17.1,17.0,800
17-03-21,16.55,16.7,17.35,16.55,600
18-03-21,16.7,17.0,17.0,16.7,300
19-03-21,16.7,16.0,17.3,16.0,4200
22-03-21,16.6,16.9,16.9,16.1,1300
23-03-21,16.9,16.9,16.9,16.9,900
24-03-21,16.9,16.9,16.9,16.9,0
25-03-21,16.0,16.8,16.8,16.0,200
26-03-21,16.75,16.65,16.75,16.0,1400
29-03-21,16.7,16.7,16.7,16.7,100
30-03-21,16.95,16.95,16.95,16.95,500
31-03-21,16.5,16.5,16.5,16.5,1600
01-04-21,16.5,16.5,16.5,16.5,1300
02-04-21,16.5,16.5,16.5,16.5,0
05-04-21,15.5,16.5,16.5,15.5,27700
06-04-21,16.6,16.65,16.65,16.6,200
07-04-21,16.05,16.05,16.05,16.05,500
08-04-21,16.8,16.8,16.8,16.8,10000
09-04-21,16.8,16.8,16.8,16.8,0
12-04-21,15.7,16.45,16.6,15.7,9200
13-04-21,16.45,16.45,16.45,16.45,0
14-04-21,16.05,17.45,17.45,16.05,200
15-04-21,17.45,17.45,17.45,17.45,0
16-04-21,16.95,16.9,16.95,16.3,6300
19-04-21,15.8,15.8,15.8,15.8,100
20-04-21,16.5,15.1,16.5,15.1,200
22-04-21,15.5,15.55,15.55,15.5,2100
23-04-21,16.3,16.3,16.3,16.3,100
26-04-21,15.2,16.0,16.0,15.2,1800
27-04-21,16.0,16.0,16.0,16.0,0
28-04-21,16.0,16.0,16.0,16.0,100
29-04-21,16.0,16.0,16.0,16.0,0
04-05-21,15.0,16.0,16.0,15.0,15900
05-05-21,15.7,15.7,15.7,15.7,100
06-05-21,15.7,15.0,15.7,15.0,800
07-05-21,15.2,15.4,15.5,15.2,2100
10-05-21,15.2,15.2,15.2,15.2,100
11-05-21,15.2,15.2,15.2,15.2,0
12-05-21,15.2,15.2,15.2,15.2,0
13-05-21,15.2,15.2,15.2,15.2,600
14-05-21,15.1,15.2,15.2,15.1,300
17-05-21,15.5,15.5,15.5,15.5,100
18-05-21,15.5,15.5,15.5,15.5,0
19-05-21,15.5,15.5,15.5,15.5,0
20-05-21,15.5,15.5,15.5,15.5,0
21-05-21,15.5,15.5,15.5,15.5,0
24-05-21,15.45,16.25,16.25,15.45,200
25-05-21,16.25,16.25,16.25,16.25,0
26-05-21,16.25,16.25,16.25,16.25,0
27-05-21,15.15,15.45,15.45,15.15,200
28-05-21,15.45,15.45,15.45,15.45,0
31-05-21,14.7,14.7,14.7,14.7,100
01-06-21,14.7,14.7,14.7,14.7,600
02-06-21,14.8,14.8,14.8,14.8,400
03-06-21,14.7,14.7,14.7,14.7,100
04-06-21,14.9,14.9,14.9,14.9,400
07-06-21,14.9,14.9,14.9,14.9,500
08-06-21,14.9,14.5,14.9,14.5,900
09-06-21,14.5,14.5,14.5,14.5,0
10-06-21,14.0,15.35,15.35,14.0,1100
11-06-21,15.35,15.35,15.35,15.35,0
14-06-21,14.7,14.6,14.7,14.5,1600
15-06-21,14.6,14.6,14.6,14.6,0
16-06-21,13.9,14.7,14.7,13.9,600
17-06-21,14.4,15.1,15.1,14.4,16100
18-06-21,14.75,15.1,15.1,14.75,200
21-06-21,15.1,15.1,15.1,15.1,0
22-06-21,15.1,15.0,15.1,15.0,400
23-06-21,15.0,15.0,15.0,15.0,500
24-06-21,15.0,15.0,15.0,15.0,0
25-06-21,15.0,15.0,15.0,15.0,0
28-06-21,14.7,14.7,14.7,14.7,100
29-06-21,14.7,14.5,14.7,14.5,1400
30-06-21,14.5,14.5,14.5,14.5,0
01-07-21,14.8,14.5,14.8,14.5,400
02-07-21,14.3,14.3,14.3,14.3,1100
05-07-21,15.2,14.3,15.2,14.3,500
06-07-21,14.2,13.8,14.2,13.8,1100
07-07-21,13.8,13.8,13.8,13.8,0
08-07-21,13.8,13.8,13.8,13.8,100
09-07-21,13.8,13.8,13.8,13.8,0
12-07-21,13.8,13.8,13.8,13.8,0
13-07-21,12.9,12.85,12.9,12.85,500
14-07-21,13.5,12.6,13.5,12.6,300
15-07-21,12.6,12.6,12.6,12.6,400
16-07-21,12.0,12.85,13.4,12.0,2500
19-07-21,12.7,12.25,13.25,12.0,9000
20-07-21,11.5,11.5,11.7,11.5,1300
21-07-21,11.5,12.0,12.0,11.5,300
22-07-21,12.0,12.6,12.6,12.0,1000
23-07-21,12.6,12.1,12.6,11.8,7000
26-07-21,12.1,12.5,12.5,12.1,300
27-07-21,11.8,12.55,12.55,11.8,1400
28-07-21,12.0,12.0,12.0,12.0,3600
29-07-21,12.3,12.3,12.4,12.3,1500
30-07-21,12.3,12.3,12.3,12.3,0
02-08-21,12.3,12.3,12.3,12.3,0
03-08-21,12.0,12.2,12.2,11.85,1800
04-08-21,12.05,12.05,12.05,12.05,100
05-08-21,12.05,12.45,12.45,12.05,600
06-08-21,12.9,12.8,12.9,12.8,1500
09-08-21,12.8,12.3,12.8,12.0,300
10-08-21,12.25,12.3,12.3,12.25,400
11-08-21,12.3,12.3,12.3,12.3,600
12-08-21,12.35,13.15,13.15,12.35,3200
13-08-21,14.05,14.05,14.05,14.05,3900
16-08-21,15.0,15.0,15.0,15.0,7800
17-08-21,14.5,14.15,14.5,13.95,3300
18-08-21,13.5,14.3,14.3,13.5,300
19-08-21,13.55,14.3,14.3,13.55,1300
20-08-21,14.3,14.3,14.3,14.2,1500
23-08-21,13.3,13.3,14.0,13.3,2600
24-08-21,12.45,12.45,12.45,12.45,3700
25-08-21,12.4,13.25,13.25,12.4,900
26-08-21,13.9,13.9,13.9,13.9,300
27-08-21,13.0,13.05,13.1,13.0,900
30-08-21,13.05,13.5,13.5,12.5,3300
31-08-21,13.4,14.0,14.0,13.4,5700
01-09-21,14.25,14.7,14.9,14.25,1500
06-09-21,15.7,15.5,15.7,14.7,3100
07-09-21,15.5,15.5,15.5,15.5,0
08-09-21,14.45,14.45,14.45,14.45,1800
09-09-21,13.5,13.65,13.65,13.45,4900
10-09-21,14.0,14.0,14.0,14.0,500
13-09-21,14.0,14.0,14.0,14.0,900
14-09-21,14.0,14.0,14.0,14.0,400
15-09-21,14.0,13.1,14.0,13.1,1600
16-09-21,13.95,13.95,13.95,13.95,100
17-09-21,13.95,13.95,13.95,13.95,500
20-09-21,13.95,13.95,13.95,13.95,900
21-09-21,13.9,13.9,13.9,13.9,700
22-09-21,14.2,14.0,14.2,14.0,400
23-09-21,13.15,14.4,14.4,13.1,3500
24-09-21,14.4,14.4,14.4,14.4,0
27-09-21,13.45,13.5,13.5,13.4,1100
28-09-21,13.5,13.5,13.5,13.5,0
29-09-21,13.5,13.5,13.5,13.5,0
30-09-21,13.5,13.5,13.5,13.5,200
01-10-21,13.85,13.85,13.85,13.85,1000
04-10-21,13.85,13.85,13.85,13.85,2100
05-10-21,14.65,13.55,14.65,13.55,400
06-10-21,13.6,14.3,14.3,13.5,1300
07-10-21,14.3,14.0,14.3,14.0,400
08-10-21,13.45,13.45,13.45,13.45,200
11-10-21,13.45,13.45,13.45,13.45,0
12-10-21,13.45,13.45,13.45,13.45,0
13-10-21,13.45,13.45,13.45,13.45,200
14-10-21,13.45,14.2,14.2,13.45,1500
15-10-21,14.1,14.05,14.1,13.55,1600
18-10-21,14.05,14.1,14.2,14.05,1800
19-10-21,14.05,14.1,14.1,14.05,1400
20-10-21,14.05,14.05,14.05,14.05,1100
21-10-21,14.05,14.05,14.05,14.05,500
22-10-21,14.0,14.0,14.0,14.0,200
25-10-21,14.0,14.95,14.95,14.0,1700
26-10-21,14.8,14.9,14.9,14.8,500
27-10-21,14.2,14.7,14.9,13.9,3100
28-10-21,15.5,14.6,15.5,14.5,2900
29-10-21,14.6,14.7,14.8,14.6,300
01-11-21,14.65,15.5,15.5,14.05,1900
02-11-21,15.1,15.0,15.1,14.75,3100
03-11-21,15.0,15.0,15.0,15.0,600
04-11-21,14.9,14.9,15.0,14.9,1100
05-11-21,14.9,14.9,14.9,14.9,0
08-11-21,14.25,14.8,14.8,13.9,1500
09-11-21,14.8,15.3,15.4,14.8,1000
10-11-21,15.7,16.3,16.35,15.45,6900
11-11-21,16.0,17.1,17.4,16.0,5400
12-11-21,17.5,17.4,17.5,17.2,11100
15-11-21,16.3,17.8,18.0,16.3,1500
16-11-21,17.9,17.8,18.0,17.8,4900
17-11-21,17.8,17.8,17.8,17.8,0
18-11-21,17.0,16.8,17.2,16.8,1800
19-11-21,15.7,15.8,17.0,15.7,3600
22-11-21,15.75,15.7,15.75,15.7,2100
23-11-21,15.6,14.8,15.6,14.8,1700
24-11-21,14.8,14.8,14.8,14.8,3500
25-11-21,14.1,15.8,15.8,14.0,7000
26-11-21,16.8,16.75,16.9,15.5,7400
29-11-21,16.75,16.65,16.75,16.65,400
30-11-21,16.5,16.2,16.6,15.5,4300
01-12-21,16.15,15.6,16.15,15.6,1100
02-12-21,15.55,15.6,15.6,15.4,6200
03-12-21,14.6,14.6,14.7,14.6,8100
06-12-21,14.6,14.7,14.7,14.6,700
07-12-21,14.75,14.7,14.75,14.7,400
08-12-21,14.7,14.7,14.7,14.7,0
09-12-21,14.05,15.45,15.45,14.05,500
10-12-21,15.4,14.9,15.4,14.9,900
13-12-21,14.5,15.5,15.5,14.5,2200
14-12-21,15.75,16.55,16.55,15.5,19500
15-12-21,17.7,17.7,17.7,17.5,70600
16-12-21,18.0,18.9,18.9,18.0,18000
17-12-21,20.2,19.7,20.2,19.4,29500
20-12-21,18.35,18.65,20.0,18.35,34000
21-12-21,18.65,18.3,18.65,17.45,16200
22-12-21,18.3,18.0,18.3,17.1,5000
23-12-21,16.8,16.75,18.0,16.75,33400
24-12-21,16.7,16.9,17.0,16.7,6200
27-12-21,17.3,17.6,17.8,15.9,7500
28-12-21,17.55,16.8,17.55,16.5,12800
29-12-21,17.0,16.2,17.0,16.0,11000
30-12-21,16.2,17.0,17.1,16.2,6100
31-12-21,18.15,17.4,18.15,17.4,13500
04-01-22,17.7,17.55,18.6,17.5,12500
05-01-22,17.0,17.9,17.9,17.0,5900
06-01-22,18.5,18.15,18.5,17.95,10300
07-01-22,18.2,17.95,18.2,17.9,13000
10-01-22,17.95,18.5,19.0,17.4,17600
11-01-22,17.5,18.7,18.7,17.5,7500
12-01-22,18.7,17.6,18.7,17.6,7900
13-01-22,17.7,16.9,17.7,16.9,5400
14-01-22,15.8,17.8,17.85,15.8,2300
17-01-22,17.0,16.6,17.0,16.6,4700
18-01-22,15.5,16.95,17.2,15.45,4900
19-01-22,16.0,16.8,16.8,15.8,400
20-01-22,16.5,16.7,16.75,15.7,5100
21-01-22,16.0,16.9,17.1,15.7,600
24-01-22,16.9,16.9,16.9,16.9,0
25-01-22,15.75,16.8,16.8,15.75,2100
26-01-22,17.9,17.0,17.9,15.7,7100
27-01-22,15.85,16.95,16.95,15.85,400
28-01-22,16.45,16.9,16.9,16.0,3100
07-02-22,17.6,16.5,17.6,15.75,4000
08-02-22,15.35,15.35,15.35,15.35,200
09-02-22,15.3,15.35,15.35,15.1,3900
10-02-22,14.8,15.5,16.0,14.6,2400
11-02-22,15.0,15.45,15.85,14.5,7800
14-02-22,15.0,16.0,16.4,14.6,2900
15-02-22,16.0,16.0,16.0,16.0,0
16-02-22,15.0,15.75,15.9,15.0,4400
17-02-22,15.75,15.65,15.75,15.65,2000
18-02-22,15.65,16.0,16.0,15.6,1600
21-02-22,15.95,15.8,15.95,15.5,2800
22-02-22,15.8,15.85,16.9,15.5,10000
23-02-22,14.85,16.9,16.9,14.85,7800
24-02-22,16.7,16.7,17.9,15.75,10400
25-02-22,16.65,17.3,17.8,15.6,5200
28-02-22,17.3,17.2,17.3,16.1,1000
01-03-22,16.95,16.5,16.95,16.0,15800
02-03-22,16.3,16.65,16.9,16.3,4200
03-03-22,17.0,16.9,17.0,15.65,6100
04-03-22,15.8,17.0,18.05,15.8,11200
07-03-22,16,17,18.1,16,7100
