Date,Open,Close,High,Low,Volume
16-11-20,19.6,19.4,19.6,19.35,37660
17-11-20,19.35,19.4,19.5,19.3,20620
18-11-20,19.4,19.3,19.4,19.3,14740
19-11-20,19.25,19.35,19.4,19.25,17480
20-11-20,19.35,19.35,19.4,19.35,26210
23-11-20,19.4,19.35,19.45,19.3,80080
24-11-20,19.25,19.35,19.35,19.25,7580
25-11-20,19.4,19.6,19.6,19.4,71640
26-11-20,19.55,19.45,19.55,19.4,11350
27-11-20,19.4,19.5,19.55,19.4,23370
30-11-20,19.5,19.5,19.6,19.5,17460
01-12-20,19.4,19.5,19.5,19.4,3470
02-12-20,19.55,19.65,19.65,19.55,11380
03-12-20,19.65,19.7,19.7,19.5,13400
04-12-20,19.5,19.6,19.7,19.5,7220
07-12-20,19.6,19.6,19.65,19.5,16870
08-12-20,19.7,19.55,19.7,19.5,21340
09-12-20,19.6,19.55,19.6,19.5,54060
10-12-20,19.55,19.5,19.6,19.4,16100
11-12-20,19.5,19.6,19.6,19.4,12150
14-12-20,19.75,19.65,19.75,19.55,30900
15-12-20,19.6,19.7,19.7,19.5,23490
16-12-20,19.65,19.7,19.7,19.5,19140
17-12-20,19.65,19.6,19.7,19.55,10010
18-12-20,19.6,19.65,19.7,19.6,12660
21-12-20,19.65,19.8,19.85,19.65,32790
22-12-20,19.65,19.65,19.75,19.65,16580
23-12-20,19.8,19.8,19.8,19.65,16780
24-12-20,19.65,19.65,19.9,19.6,33940
25-12-20,19.7,19.7,19.9,19.7,11850
28-12-20,20.0,19.7,20.0,19.7,23770
29-12-20,19.7,19.75,19.9,19.7,23430
30-12-20,19.75,19.8,19.85,19.7,15040
31-12-20,19.8,19.8,19.8,19.75,33760
04-01-21,18.45,18.6,18.9,18.45,352400
05-01-21,18.7,18.65,18.7,18.55,68600
06-01-21,18.65,19.2,19.3,18.65,18200
07-01-21,19.0,18.8,19.0,18.65,62800
08-01-21,18.6,18.7,18.8,18.6,63700
11-01-21,18.6,18.9,18.9,18.6,41600
12-01-21,18.95,18.9,18.95,18.8,19600
13-01-21,18.7,18.75,18.9,18.7,25100
14-01-21,18.65,18.75,18.9,18.65,36700
