Date,Open,Close,High,Low,Volume
16-11-20,1.66,1.66,1.66,1.66,630
17-11-20,1.66,1.6,1.66,1.6,2460
18-11-20,1.61,1.68,1.68,1.61,5010
19-11-20,1.68,1.68,1.68,1.68,3710
20-11-20,1.57,1.72,1.72,1.57,12880
23-11-20,1.72,1.72,1.72,1.68,510
24-11-20,1.71,1.71,1.75,1.71,12110
25-11-20,1.68,1.68,1.68,1.68,10
26-11-20,1.68,1.66,1.68,1.66,9190
27-11-20,1.66,1.66,1.66,1.66,0
30-11-20,1.68,1.68,1.68,1.68,90
01-12-20,1.64,1.64,1.64,1.64,4940
02-12-20,1.54,1.61,1.61,1.54,890
03-12-20,1.61,1.69,1.69,1.61,3450
04-12-20,1.69,1.75,1.78,1.65,6330
07-12-20,1.75,1.76,1.79,1.75,3150
08-12-20,1.8,1.72,1.8,1.7,4140
09-12-20,1.72,1.84,1.84,1.72,5270
10-12-20,1.96,1.96,1.96,1.96,24260
11-12-20,2.09,2.07,2.09,1.96,10150
14-12-20,2.05,2.02,2.05,1.93,2180
15-12-20,1.88,1.96,1.98,1.88,12840
16-12-20,1.86,1.96,2.0,1.86,7440
17-12-20,1.96,1.97,1.97,1.9,100
18-12-20,1.97,1.86,1.97,1.86,4200
21-12-20,1.99,1.9,1.99,1.84,510
22-12-20,1.95,1.9,1.95,1.77,7840
23-12-20,1.9,1.86,1.9,1.86,5560
24-12-20,1.94,1.93,1.94,1.8,890
25-12-20,1.8,1.89,1.89,1.8,2850
28-12-20,1.93,1.82,1.93,1.81,11910
29-12-20,1.82,1.93,1.93,1.74,12250
30-12-20,1.95,1.95,1.95,1.95,17380
31-12-20,2.05,1.95,2.06,1.94,41050
04-01-21,2.01,1.95,2.01,1.95,11500
05-01-21,1.95,1.82,1.95,1.82,2600
06-01-21,1.82,1.94,1.94,1.82,56700
07-01-21,1.94,2.07,2.07,1.94,17500
08-01-21,2.21,2.21,2.21,1.99,37400
11-01-21,2.36,2.36,2.36,2.36,100700
12-01-21,2.52,2.52,2.52,2.52,52100
13-01-21,2.69,2.69,2.69,2.69,143600
14-01-21,2.87,2.87,2.87,2.8,90700
15-01-21,3.07,3.07,3.07,3.07,76400
18-01-21,3.28,3.28,3.28,3.28,6800
19-01-21,3.5,3.28,3.5,3.28,172700
20-01-21,3.28,3.4,3.5,3.28,41600
21-01-21,3.5,3.62,3.63,3.5,143500
22-01-21,3.8,3.87,3.87,3.63,103500
25-01-21,3.88,4.14,4.14,3.88,63400
26-01-21,4.42,4.15,4.42,3.86,124300
27-01-21,3.86,3.86,4.0,3.86,86900
28-01-21,3.86,3.59,3.86,3.59,800
29-01-21,3.34,3.34,3.34,3.34,7400
01-02-21,3.34,3.11,3.34,3.11,35400
02-02-21,2.9,2.9,3.0,2.9,11800
03-02-21,2.7,2.7,2.7,2.7,21900
04-02-21,2.52,2.88,2.88,2.52,37100
05-02-21,3.08,3.08,3.08,3.08,12400
08-02-21,3.11,2.87,3.11,2.87,21200
09-02-21,2.87,3.0,3.02,2.8,16600
17-02-21,3.05,3.21,3.21,3.05,23500
18-02-21,3.4,3.43,3.43,3.4,43400
19-02-21,3.67,3.66,3.67,3.41,58800
22-02-21,3.66,3.9,3.91,3.66,47800
23-02-21,3.9,3.8,3.9,3.8,33900
24-02-21,3.8,3.54,3.8,3.54,60600
25-02-21,3.54,3.35,3.54,3.3,81000
26-02-21,3.34,3.34,3.34,3.13,16800
01-03-21,3.4,3.57,3.57,3.4,8400
02-03-21,3.81,3.79,3.81,3.7,44900
03-03-21,3.79,3.7,3.9,3.65,20700
04-03-21,3.85,3.75,3.85,3.6,18200
