Date,Open,Close,High,Low,Volume
16-11-20,33.3,32.5,33.3,32.3,14090
17-11-20,32.9,33.0,33.0,32.6,7750
18-11-20,33.0,33.0,33.3,32.6,8220
19-11-20,32.95,32.95,32.95,32.95,20
20-11-20,33.0,33.0,33.0,33.0,150
23-11-20,32.45,32.5,32.5,32.45,2180
24-11-20,32.4,32.0,32.5,32.0,1530
25-11-20,32.5,32.0,32.5,32.0,60
26-11-20,31.3,32.4,32.4,31.2,2220
27-11-20,31.6,32.0,32.4,31.6,5430
30-11-20,32.0,32.1,32.1,32.0,600
01-12-20,31.9,31.9,31.9,31.9,1000
02-12-20,31.9,32.0,32.0,31.8,3530
03-12-20,32.05,32.0,32.05,31.6,3230
04-12-20,31.7,31.3,31.7,31.3,6000
07-12-20,31.3,31.4,31.5,31.3,5380
08-12-20,31.2,31.25,31.4,31.2,1580
09-12-20,31.3,31.5,31.5,31.3,1240
10-12-20,31.5,31.5,31.5,31.5,10
11-12-20,31.3,31.1,31.35,31.0,7100
14-12-20,31.5,31.3,31.5,31.1,11070
15-12-20,31.3,30.8,31.3,30.8,20270
16-12-20,31.0,30.7,31.0,30.7,29040
17-12-20,30.5,30.95,31.0,30.2,12190
18-12-20,31.3,30.95,31.3,30.5,3830
21-12-20,30.65,30.7,30.75,30.65,9750
22-12-20,30.75,30.7,30.75,30.7,3040
23-12-20,30.5,30.9,31.95,30.5,1630
24-12-20,30.7,30.85,31.5,30.7,10020
25-12-20,30.9,31.6,31.6,30.85,1230
28-12-20,31.7,31.7,31.7,31.0,8300
29-12-20,32.0,32.4,32.4,31.1,3420
30-12-20,32.0,32.4,32.4,32.0,1840
31-12-20,32.4,33.0,33.5,32.0,18800
04-01-21,33.0,33.0,33.1,32.55,12500
05-01-21,33.1,33.0,33.1,33.0,6600
06-01-21,33.9,33.2,33.9,33.1,4900
07-01-21,34.9,33.9,34.9,33.1,14000
08-01-21,33.7,33.9,34.05,33.6,39900
11-01-21,33.7,34.0,34.0,33.5,14400
12-01-21,33.7,33.7,33.8,33.7,31100
13-01-21,33.7,33.9,33.9,33.5,15200
14-01-21,33.9,33.35,33.9,33.35,16300
15-01-21,33.7,33.8,33.8,33.4,8400
18-01-21,33.8,33.75,33.8,33.3,14100
19-01-21,33.7,33.5,33.7,33.3,7000
20-01-21,33.0,33.0,33.4,32.5,9100
21-01-21,33.0,32.0,33.3,32.0,13400
22-01-21,32.0,32.9,33.9,32.0,9300
25-01-21,32.9,33.0,33.0,32.9,4500
26-01-21,33.3,32.0,33.3,32.0,4400
27-01-21,32.0,32.95,33.0,32.0,3800
28-01-21,31.25,30.65,32.6,30.65,22700
29-01-21,30.0,32.3,32.6,30.0,600
01-02-21,32.0,30.35,32.0,30.3,7300
02-02-21,30.35,31.95,31.95,30.15,10500
03-02-21,31.95,31.95,31.95,31.95,0
04-02-21,31.5,32.5,32.5,31.25,8900
05-02-21,32.85,32.5,32.9,32.0,7300
08-02-21,32.5,33.0,33.5,32.5,24500
09-02-21,33.5,33.0,35.2,32.0,12200
17-02-21,35.3,35.0,35.3,34.55,149700
18-02-21,35.35,35.0,35.4,34.6,79100
19-02-21,34.6,34.9,35.2,34.6,56100
22-02-21,34.9,35.0,35.2,34.9,40300
23-02-21,36.8,35.4,36.8,35.1,10500
24-02-21,35.4,35.6,35.8,35.3,24900
25-02-21,35.5,35.75,35.9,35.45,41100
26-02-21,35.6,37.85,38.25,35.6,53500
01-03-21,40.45,40.45,40.45,40.0,107000
02-03-21,39.9,43.25,43.25,39.9,112200
03-03-21,43.25,46.25,46.25,43.25,139000
04-03-21,46.25,43.05,46.35,43.05,86600
05-03-21,40.5,41.0,42.0,40.5,137300
08-03-21,41.0,41.8,43.6,40.5,29800
