Date,Open,Close,High,Low,Volume
16-11-20,15.1,15.1,15.3,14.9,602470
17-11-20,15.1,15.15,15.2,15.0,277750
18-11-20,15.2,15.45,15.6,15.05,599740
19-11-20,15.5,15.3,15.65,15.05,420190
20-11-20,15.3,15.2,15.3,15.0,251260
23-11-20,15.2,15.3,15.3,15.1,527150
24-11-20,15.5,15.4,15.5,15.25,638600
25-11-20,15.5,15.2,15.5,15.1,268120
26-11-20,15.3,15.9,15.9,15.25,1170730
27-11-20,15.9,16.35,16.5,15.5,1303430
30-11-20,16.3,16.05,16.35,16.0,392650
01-12-20,15.3,15.85,16.0,15.3,677790
02-12-20,15.85,15.7,15.9,15.55,733510
03-12-20,15.7,15.9,15.9,15.6,389680
04-12-20,16.0,15.9,16.05,15.75,748540
07-12-20,16.1,15.9,16.2,15.9,570660
08-12-20,15.9,15.75,16.0,15.75,394260
09-12-20,15.75,15.85,16.1,15.7,643240
10-12-20,16.0,15.7,16.2,15.7,513810
11-12-20,15.7,15.7,15.7,15.35,281570
14-12-20,16.0,15.75,16.0,15.7,550510
15-12-20,15.75,16.55,16.8,15.65,1588980
16-12-20,16.8,16.6,16.95,16.55,719880
17-12-20,16.6,16.2,16.6,16.2,761970
18-12-20,16.1,15.9,16.3,15.7,1049180
21-12-20,15.95,15.55,15.95,15.0,1072310
22-12-20,15.5,15.9,16.15,15.3,617570
23-12-20,16.0,15.95,16.2,15.75,563290
24-12-20,15.85,15.5,15.95,15.25,423430
25-12-20,15.7,16.05,16.1,15.6,811100
28-12-20,16.4,16.1,16.4,15.7,881280
29-12-20,15.9,16.2,16.25,15.85,847300
30-12-20,16.5,16.75,16.95,16.2,1651640
31-12-20,16.8,17.9,17.9,16.8,2664790
04-01-21,18.3,18.15,18.4,17.9,761800
05-01-21,18.3,18.8,19.0,17.9,1077100
06-01-21,18.8,18.25,18.95,18.2,1008200
07-01-21,18.3,19.1,19.1,18.1,1102200
08-01-21,19.2,18.7,19.6,18.4,783200
11-01-21,18.7,18.8,19.0,18.35,546900
12-01-21,18.8,19.25,19.3,18.5,822400
13-01-21,19.4,19.2,20.0,18.9,1093600
14-01-21,19.3,19.2,19.6,19.0,560900
15-01-21,19.25,18.9,19.3,18.7,786300
18-01-21,18.6,18.5,18.9,18.45,858400
19-01-21,18.4,17.25,18.7,17.25,863900
20-01-21,16.95,16.5,17.15,16.05,734600
21-01-21,17.0,17.4,17.5,16.45,427200
22-01-21,17.1,16.95,17.35,16.9,518900
25-01-21,16.7,16.9,16.95,16.4,477000
26-01-21,16.7,16.2,16.9,15.85,355600
27-01-21,15.9,15.25,16.1,15.1,608800
28-01-21,14.2,14.2,14.5,14.2,538500
29-01-21,13.25,14.8,14.9,13.25,366700
01-02-21,14.8,14.15,14.8,14.1,275900
02-02-21,14.05,14.3,14.3,13.9,205900
03-02-21,14.35,15.05,15.05,14.35,233200
04-02-21,15.1,14.95,15.1,14.7,370200
05-02-21,14.95,15.0,15.05,14.8,182200
08-02-21,15.0,14.0,15.1,14.0,257200
09-02-21,14.3,14.5,14.6,14.1,167000
17-02-21,14.85,15.35,15.4,14.8,198400
18-02-21,15.35,15.4,15.5,15.25,297300
19-02-21,15.4,15.65,15.8,15.1,282500
22-02-21,15.65,15.6,15.85,15.6,185700
23-02-21,15.6,15.6,15.7,15.4,241400
24-02-21,15.6,15.2,15.7,15.15,290000
25-02-21,15.3,15.2,15.35,15.0,189900
26-02-21,14.8,15.1,15.25,14.8,126700
01-03-21,15.3,15.65,15.65,15.2,258100
02-03-21,15.85,16.2,16.5,15.65,551800
03-03-21,16.5,16.75,16.75,16.3,486400
04-03-21,16.7,16.1,16.7,15.85,256200
05-03-21,15.85,16.3,16.5,15.75,215300
08-03-21,16.3,16.95,17.2,16.3,528600
09-03-21,17.0,16.95,17.0,16.5,331300
10-03-21,17.2,16.65,17.2,16.6,230400
11-03-21,16.8,16.9,16.95,16.5,344500
12-03-21,17.0,16.75,17.1,16.6,355700
15-03-21,16.8,16.75,16.85,16.55,272500
16-03-21,16.85,16.55,16.85,16.45,254400
17-03-21,16.55,16.6,16.8,16.55,201700
