Date,Open,Close,High,Low,Volume
16-11-20,6.51,6.47,6.57,6.4,266170
17-11-20,6.48,6.47,6.52,6.45,211990
18-11-20,6.47,6.52,6.52,6.42,420170
19-11-20,6.52,6.75,6.79,6.51,690410
20-11-20,6.8,6.8,6.89,6.75,504290
23-11-20,6.82,6.78,6.83,6.71,435490
24-11-20,6.78,6.72,6.79,6.69,346780
25-11-20,6.72,6.65,6.75,6.6,328840
26-11-20,6.65,6.67,6.7,6.6,301760
27-11-20,6.68,6.7,6.71,6.66,362260
30-11-20,6.72,6.8,6.85,6.7,701690
01-12-20,6.72,6.8,6.82,6.72,428570
02-12-20,6.79,7.0,7.09,6.77,750710
03-12-20,6.99,6.9,7.0,6.8,479460
04-12-20,6.81,6.8,6.9,6.78,362820
07-12-20,6.8,6.82,6.91,6.77,538250
08-12-20,6.82,6.82,6.9,6.75,453080
09-12-20,6.82,6.91,6.96,6.81,1003410
10-12-20,6.91,6.9,7.08,6.89,874720
11-12-20,6.89,6.81,6.94,6.7,447940
14-12-20,6.81,6.76,6.84,6.69,631950
15-12-20,6.76,6.7,6.77,6.61,695750
16-12-20,6.7,6.78,6.8,6.7,580640
17-12-20,6.78,6.74,6.8,6.73,490320
18-12-20,6.75,6.79,6.79,6.7,636360
21-12-20,6.82,7.08,7.09,6.82,1533630
22-12-20,7.08,7.3,7.3,7.07,1270100
23-12-20,7.34,7.26,7.4,7.18,950300
24-12-20,7.25,7.1,7.26,6.76,509420
25-12-20,7.06,7.03,7.1,6.8,631470
28-12-20,7.06,7.06,7.11,7.0,621480
29-12-20,7.05,7.1,7.15,6.98,813490
30-12-20,7.1,7.13,7.3,7.1,641390
31-12-20,7.1,7.05,7.16,6.95,496300
04-01-21,7.07,7.05,7.1,6.92,827700
05-01-21,7.05,7.28,7.28,7.0,1219000
06-01-21,7.3,7.2,7.33,7.0,839200
07-01-21,7.2,7.17,7.24,7.1,631700
08-01-21,7.17,7.16,7.19,7.1,843300
11-01-21,7.17,7.66,7.66,7.16,2196100
12-01-21,7.76,7.9,8.04,7.69,1512200
13-01-21,7.9,7.75,7.96,7.7,849200
14-01-21,7.74,7.7,7.75,7.55,930700
15-01-21,7.71,7.71,7.78,7.55,1076300
18-01-21,7.74,8.15,8.21,7.74,1868500
19-01-21,8.15,7.6,8.15,7.58,1094600
20-01-21,7.52,7.37,7.6,7.07,619200
21-01-21,7.37,7.62,7.65,7.2,1230900
22-01-21,7.62,7.7,7.81,7.6,1215000
25-01-21,7.7,7.65,7.79,7.62,839900
26-01-21,7.55,7.23,7.66,7.12,1109200
27-01-21,7.0,6.8,7.23,6.73,913100
28-01-21,6.4,6.33,6.49,6.33,636400
29-01-21,5.89,6.6,6.65,5.89,854400
01-02-21,6.4,6.14,6.45,6.14,867500
02-02-21,6.0,6.08,6.18,5.76,707800
03-02-21,6.1,6.35,6.48,6.06,1171400
04-02-21,6.36,6.25,6.38,6.1,511900
05-02-21,6.25,6.27,6.33,6.22,470100
08-02-21,6.27,6.23,6.33,5.9,536900
09-02-21,6.22,6.29,6.36,6.0,636100
17-02-21,6.33,6.41,6.46,6.33,729300
18-02-21,6.42,6.47,6.48,6.39,802300
19-02-21,6.45,6.8,6.8,6.39,1127600
22-02-21,6.81,6.69,6.83,6.67,764800
23-02-21,6.68,6.68,6.7,6.55,679400
24-02-21,6.6,6.53,6.68,6.33,898200
25-02-21,6.53,6.49,6.57,6.4,708300
26-02-21,6.4,6.49,6.49,6.4,526300
01-03-21,6.49,6.61,6.61,6.48,1083100
02-03-21,6.62,6.61,6.65,6.56,695300
03-03-21,6.61,6.8,6.83,6.61,1038400
04-03-21,6.84,6.7,6.94,6.58,711500
05-03-21,6.68,6.76,6.79,6.51,521000
08-03-21,6.79,6.8,6.85,6.73,842900
09-03-21,6.8,6.93,6.97,6.7,831900
10-03-21,6.95,7.17,7.18,6.95,1566900
11-03-21,7.25,7.18,7.32,7.15,1381600
12-03-21,7.18,7.18,7.25,7.15,961400
15-03-21,7.19,7.27,7.32,7.16,926700
16-03-21,7.27,7.21,7.28,7.05,810400
17-03-21,7.26,7.4,7.49,7.26,1227500
18-03-21,7.4,7.29,7.5,7.24,1129400
19-03-21,7.29,7.17,7.29,7.1,526800
22-03-21,7.17,7.09,7.17,7.05,732800
23-03-21,7.15,7.13,7.17,7.08,650600
24-03-21,7.12,7.03,7.12,7.01,451000
25-03-21,7.03,7.05,7.06,6.9,628100
26-03-21,7.0,7.0,7.03,6.7,734400
29-03-21,7.0,7.19,7.19,7.0,750200
30-03-21,7.2,7.3,7.38,7.17,1133400
31-03-21,7.32,7.25,7.33,7.2,623700
01-04-21,7.6,7.49,7.6,7.39,1310800
02-04-21,7.5,7.49,7.54,7.36,1219900
05-04-21,7.54,7.78,7.85,7.52,1950700
06-04-21,7.79,7.68,7.8,7.65,949700
07-04-21,7.68,7.58,7.69,7.55,653200
08-04-21,7.58,7.58,7.63,7.51,587100
09-04-21,7.51,7.48,7.56,7.45,648500
12-04-21,7.5,7.75,7.77,7.5,1720700
13-04-21,7.8,7.68,7.82,7.65,1752400
14-04-21,6.69,7.14,7.14,6.68,1101600
15-04-21,7.14,7.13,7.29,7.13,761400
16-04-21,7.09,6.7,7.09,6.68,698200
19-04-21,6.7,6.65,6.72,6.41,523100
20-04-21,6.65,6.5,6.66,6.4,522500
22-04-21,6.5,6.1,6.5,6.1,629900
23-04-21,6.1,6.52,6.52,6.1,853300
26-04-21,6.52,6.4,6.68,6.4,588600
27-04-21,6.4,6.35,6.4,6.3,328800
28-04-21,6.34,6.45,6.48,6.3,410300
29-04-21,6.45,6.36,6.5,6.33,132800
04-05-21,6.05,6.06,6.3,6.05,406800
05-05-21,6.06,6.2,6.28,6.06,246000
06-05-21,6.2,6.1,6.23,6.08,218900
