Date,Open,Close,High,Low,Volume
16-11-20,12.7,12.4,12.75,12.4,3243970
17-11-20,12.4,12.5,12.5,12.2,4297480
18-11-20,12.55,12.4,12.6,12.3,2826820
19-11-20,12.3,12.4,12.5,12.3,2503700
20-11-20,12.3,12.25,12.4,12.25,2927590
23-11-20,12.15,12.15,12.3,12.15,3660270
24-11-20,12.15,12.35,12.45,12.0,5713360
25-11-20,12.35,12.15,12.4,12.1,3090050
26-11-20,12.15,12.2,12.3,12.1,1576250
27-11-20,12.25,12.15,12.3,12.15,1835780
30-11-20,12.15,11.9,12.15,11.9,4263660
01-12-20,11.7,12.15,12.15,11.55,3673840
02-12-20,12.15,12.2,12.5,12.0,3375810
03-12-20,12.25,12.3,12.35,12.15,1967910
04-12-20,12.3,12.3,12.45,12.2,4199830
07-12-20,12.4,12.3,12.4,12.25,2636490
08-12-20,12.35,12.75,12.9,12.3,7750620
09-12-20,12.8,12.65,12.8,12.6,2682830
10-12-20,12.7,12.5,12.7,12.5,2978470
11-12-20,12.45,12.5,12.5,12.25,2914750
14-12-20,12.6,12.4,12.7,12.4,3012670
15-12-20,12.4,12.5,12.8,12.3,3461650
16-12-20,12.6,12.55,12.65,12.45,2696150
17-12-20,12.6,12.4,12.6,12.35,2880660
18-12-20,12.4,12.35,12.45,12.3,2559750
21-12-20,12.45,12.5,12.55,12.35,3666060
22-12-20,12.7,13.35,13.35,12.5,11486410
23-12-20,13.95,13.5,14.0,13.45,8077920
24-12-20,13.85,13.35,13.9,12.85,5646470
25-12-20,13.3,13.8,13.8,13.0,6396790
28-12-20,13.8,13.75,14.0,13.5,4808650
29-12-20,13.6,13.7,13.85,13.45,3998990
30-12-20,13.85,14.0,14.45,13.85,6807900
31-12-20,13.9,14.0,14.1,13.8,3098020
04-01-21,14.1,14.1,14.35,13.85,4685600
05-01-21,14.1,14.1,14.25,13.9,4650000
06-01-21,14.15,14.05,14.25,13.95,4556800
07-01-21,14.05,14.05,14.1,13.9,3261200
08-01-21,14.2,14.3,14.6,14.05,4944600
11-01-21,14.5,14.25,14.6,14.15,3402900
12-01-21,14.25,14.3,14.35,14.1,2730500
13-01-21,14.5,14.25,14.55,14.2,4556900
14-01-21,14.2,14.25,14.3,14.05,2783500
15-01-21,14.3,14.25,14.4,14.1,3520600
18-01-21,14.3,15.1,15.2,14.25,8532300
19-01-21,15.2,14.25,15.2,14.05,4019500
20-01-21,14.2,14.2,14.3,13.3,2957500
21-01-21,14.25,14.4,14.65,13.8,4159300
22-01-21,14.4,14.3,14.7,14.2,2529300
25-01-21,14.3,14.4,14.95,14.05,4122900
26-01-21,14.4,13.9,14.6,13.5,3268100
27-01-21,13.65,13.2,13.95,12.95,3889600
28-01-21,12.3,12.3,12.6,12.3,3918300
29-01-21,11.45,12.75,12.9,11.45,2974900
01-02-21,12.75,11.95,12.75,11.9,4405600
02-02-21,11.95,11.8,12.15,11.5,2301800
03-02-21,12.0,12.6,12.6,12.0,2548300
04-02-21,12.65,12.7,13.15,11.75,2751600
05-02-21,12.7,12.9,13.0,12.65,1438500
08-02-21,12.9,12.55,13.0,12.3,2219800
09-02-21,12.45,12.5,12.65,12.35,2277000
17-02-21,12.75,12.8,12.9,12.5,2073000
18-02-21,12.8,13.65,13.65,12.7,5597500
19-02-21,13.7,13.8,14.2,13.5,3616800
22-02-21,14.1,13.8,14.1,13.6,2954300
23-02-21,13.6,13.65,13.85,13.6,2390200
24-02-21,13.65,13.5,13.9,13.25,2755000
25-02-21,13.7,13.4,13.7,13.25,2405300
26-02-21,13.15,13.5,13.5,13.1,3042200
01-03-21,13.7,14.0,14.15,13.6,4322600
02-03-21,14.45,14.95,14.95,14.2,11549900
03-03-21,15.3,15.95,15.95,15.2,9926500
04-03-21,16.45,16.35,16.85,15.95,7916800
05-03-21,15.9,16.8,16.9,15.65,7688000
08-03-21,16.85,16.75,17.2,16.3,6129900
09-03-21,16.4,16.8,16.9,16.25,4187600
10-03-21,16.8,16.9,17.3,16.8,4718100
11-03-21,16.9,16.85,17.05,16.7,3640100
12-03-21,16.9,16.55,16.95,16.5,2827800
15-03-21,16.55,16.4,16.6,16.35,3279000
16-03-21,16.4,16.35,16.5,16.0,2549500
17-03-21,16.55,17.45,17.45,16.55,7363000
18-03-21,17.8,17.45,17.85,17.35,3240200
19-03-21,17.45,17.3,17.45,16.9,3406800
22-03-21,17.2,17.05,17.25,16.95,3447500
23-03-21,17.0,17.4,17.6,16.85,3727300
24-03-21,17.35,17.0,17.35,16.5,3223400
25-03-21,16.9,16.7,17.0,16.5,2132500
26-03-21,16.5,16.8,16.95,16.2,3996100
29-03-21,16.95,17.5,17.65,16.9,5037000
30-03-21,17.55,17.25,17.55,17.0,2346100
31-03-21,17.15,17.45,17.6,17.15,4268000
01-04-21,17.8,18.1,18.5,17.75,5582300
02-04-21,18.2,18.05,18.3,17.8,2362300
05-04-21,18.2,17.95,18.2,17.7,2966200
06-04-21,17.6,18.0,18.3,17.55,3576400
07-04-21,17.95,18.15,18.15,17.8,2004800
08-04-21,18.15,17.95,18.25,17.85,1687400
09-04-21,17.95,17.9,18.05,17.5,2763800
12-04-21,17.9,18.15,18.4,17.8,4177600
13-04-21,18.2,18.05,18.5,18.0,4066300
14-04-21,17.9,18.1,18.1,17.8,2416900
15-04-21,18.1,17.3,18.2,17.0,4863700
16-04-21,17.25,17.1,17.25,16.55,4232200
19-04-21,17.1,17.4,17.55,16.8,1535300
20-04-21,17.4,17.0,17.45,16.75,2437900
22-04-21,16.8,15.85,16.95,15.85,4848500
23-04-21,15.85,16.15,16.25,15.0,2890300
26-04-21,16.15,15.5,16.2,15.3,1800200
27-04-21,15.5,16.15,16.55,15.25,3171100
28-04-21,16.3,16.15,16.35,16.0,1826200
29-04-21,16.2,16.0,16.35,16.0,1406200
04-05-21,15.5,15.9,16.0,15.5,1614400
05-05-21,16.0,16.25,16.4,15.85,1864900
06-05-21,16.3,16.05,16.4,16.0,1570400
07-05-21,15.95,15.55,16.05,15.55,2012300
10-05-21,15.45,15.95,16.1,15.35,2778900
