Date,Open,Close,High,Low,Volume
16-11-20,46.6,45.5,46.9,45.0,1375030
17-11-20,45.8,46.5,46.5,45.5,703880
18-11-20,46.35,47.0,47.6,46.3,920170
19-11-20,47.0,47.0,47.2,46.6,770510
20-11-20,46.8,48.3,49.0,46.75,1391130
23-11-20,48.3,48.05,48.9,47.8,828210
24-11-20,48.1,47.5,48.45,47.25,1135400
25-11-20,47.95,46.6,47.95,46.5,1196790
26-11-20,46.3,46.7,47.5,46.1,665300
27-11-20,46.8,47.15,47.25,46.75,571910
30-11-20,47.1,47.05,47.45,47.05,484420
01-12-20,46.3,47.5,47.5,46.3,575640
02-12-20,48.2,49.0,49.5,47.7,2050020
03-12-20,49.5,49.0,49.5,48.8,250940
04-12-20,48.7,48.65,48.95,48.5,450660
07-12-20,48.65,48.6,48.75,48.2,736370
08-12-20,48.85,49.45,49.6,48.6,1130550
09-12-20,49.45,49.45,50.1,49.2,672730
10-12-20,49.45,48.7,49.6,48.7,880830
11-12-20,48.7,49.0,49.5,48.4,800160
14-12-20,48.3,48.05,48.4,47.8,633360
15-12-20,48.05,48.05,48.9,47.75,574200
16-12-20,48.15,48.45,48.9,48.05,583840
17-12-20,47.75,48.0,48.4,47.65,640490
18-12-20,48.0,47.95,48.3,47.85,525560
21-12-20,48.4,47.8,48.5,47.8,575840
22-12-20,47.8,47.95,48.0,47.15,811850
23-12-20,48.0,48.5,49.2,48.0,1009620
24-12-20,48.5,47.8,48.8,47.2,473200
25-12-20,47.6,48.4,48.5,47.5,842470
28-12-20,48.6,48.05,48.8,47.7,646500
29-12-20,48.3,51.4,51.4,48.0,3283780
30-12-20,52.4,51.3,52.4,51.3,829470
31-12-20,51.2,51.1,51.5,50.6,419350
04-01-21,51.5,51.0,51.5,50.8,838900
05-01-21,50.8,51.6,52.6,50.5,473300
06-01-21,51.8,51.3,52.0,51.2,473000
07-01-21,51.5,52.3,52.7,50.7,818700
08-01-21,52.4,52.3,53.0,51.1,1069100
11-01-21,52.5,52.4,52.5,51.9,553300
12-01-21,52.4,53.2,54.0,52.0,716800
13-01-21,53.3,52.5,53.5,52.2,625100
14-01-21,53.0,52.7,53.0,52.1,535900
15-01-21,53.0,52.8,53.9,52.4,653800
18-01-21,53.0,53.8,55.0,52.5,1671900
19-01-21,53.8,50.8,53.8,50.1,956100
20-01-21,51.8,51.0,51.9,49.5,580000
21-01-21,51.5,53.0,53.0,51.5,527300
22-01-21,53.0,54.7,55.5,52.5,1635900
25-01-21,54.5,54.7,55.5,54.5,502900
26-01-21,54.7,52.4,54.7,52.0,685900
27-01-21,52.4,52.3,54.0,51.0,1147700
28-01-21,49.0,48.65,51.3,48.65,1570700
29-01-21,48.65,49.7,51.0,46.6,872900
01-02-21,49.5,48.6,50.1,48.55,735900
02-02-21,48.6,49.5,50.0,48.2,381700
03-02-21,50.0,51.0,51.0,49.3,597000
04-02-21,50.7,51.7,51.7,50.7,536600
05-02-21,51.7,54.1,54.7,51.6,1628300
08-02-21,54.1,54.5,56.5,53.7,1012600
09-02-21,54.5,54.7,55.2,53.7,451700
17-02-21,54.8,58.5,58.5,54.8,1718300
18-02-21,60.0,59.7,60.6,58.9,1201700
19-02-21,59.5,59.4,60.8,58.9,681300
22-02-21,59.2,58.8,59.4,58.6,1131100
23-02-21,58.1,59.5,60.5,58.0,819100
24-02-21,60.2,61.8,63.0,60.0,1090400
25-02-21,63.0,65.5,65.5,62.6,1116400
26-02-21,64.0,65.0,65.7,64.0,776200
01-03-21,65.8,65.2,65.8,64.3,683000
02-03-21,65.2,64.5,65.3,64.0,856900
03-03-21,64.7,69.0,69.0,64.6,1607700
04-03-21,70.0,70.8,72.0,68.9,991500
05-03-21,70.0,71.4,71.7,68.0,780900
08-03-21,71.8,70.1,72.5,69.6,864600
09-03-21,70.1,70.8,71.4,69.5,600800
10-03-21,71.0,71.1,71.5,70.7,605400
11-03-21,71.2,72.0,72.6,70.4,666000
12-03-21,71.8,72.8,73.0,71.6,566500
15-03-21,73.5,75.4,75.5,73.4,718300
16-03-21,75.5,74.6,75.6,74.0,502200
17-03-21,74.6,75.0,75.5,74.0,446000
18-03-21,75.0,74.0,75.2,73.0,832500
19-03-21,73.5,71.7,73.5,70.5,1326900
22-03-21,71.5,69.4,71.5,69.2,1385700
23-03-21,69.3,70.0,71.4,69.3,487500
24-03-21,69.4,67.1,69.7,66.0,860300
25-03-21,67.2,67.3,68.0,66.7,675400
26-03-21,67.3,66.9,67.6,65.0,656000
29-03-21,68.5,70.4,70.9,67.1,901200
30-03-21,70.8,68.4,70.9,68.0,714700
31-03-21,68.4,67.5,68.5,67.2,587400
01-04-21,67.5,69.1,70.5,67.1,515100
02-04-21,70.0,68.8,70.4,68.5,233400
05-04-21,69.0,68.8,69.0,67.8,476500
06-04-21,69.0,69.7,70.0,68.5,683900
07-04-21,70.0,70.9,72.2,70.0,908800
08-04-21,71.9,70.3,71.9,70.0,275900
