Date,Open,Close,High,Low,Volume
16-11-20,1.32,1.32,1.33,1.3,1636540
17-11-20,1.32,1.3,1.32,1.3,1204850
18-11-20,1.31,1.31,1.32,1.3,2034300
19-11-20,1.32,1.3,1.32,1.29,2110790
20-11-20,1.3,1.35,1.37,1.3,4131650
23-11-20,1.36,1.33,1.37,1.32,1686740
24-11-20,1.33,1.33,1.34,1.31,1722280
25-11-20,1.32,1.32,1.33,1.31,1596040
26-11-20,1.32,1.33,1.34,1.31,2364930
27-11-20,1.33,1.32,1.34,1.31,1143700
30-11-20,1.32,1.31,1.33,1.31,1214660
01-12-20,1.3,1.3,1.31,1.29,1733200
02-12-20,1.31,1.31,1.34,1.3,3074500
03-12-20,1.31,1.32,1.33,1.31,2151490
04-12-20,1.32,1.33,1.34,1.32,2751200
07-12-20,1.33,1.33,1.34,1.32,2479310
08-12-20,1.33,1.34,1.34,1.33,1811330
09-12-20,1.34,1.43,1.43,1.32,13411130
10-12-20,1.46,1.35,1.46,1.35,5804610
11-12-20,1.36,1.37,1.39,1.35,1973130
14-12-20,1.37,1.36,1.4,1.35,3194970
15-12-20,1.36,1.4,1.45,1.35,10665310
16-12-20,1.4,1.42,1.44,1.4,4505060
17-12-20,1.42,1.42,1.44,1.4,4313580
18-12-20,1.42,1.42,1.44,1.4,4894140
21-12-20,1.42,1.49,1.51,1.42,9382610
22-12-20,1.51,1.54,1.56,1.46,10916750
23-12-20,1.56,1.6,1.64,1.56,15067340
24-12-20,1.62,1.51,1.62,1.49,7282790
25-12-20,1.52,1.51,1.55,1.47,5376900
28-12-20,1.55,1.52,1.55,1.49,4920570
29-12-20,1.52,1.53,1.58,1.5,5038850
30-12-20,1.53,1.54,1.57,1.53,5385810
31-12-20,1.56,1.56,1.56,1.53,3742800
04-01-21,1.59,1.6,1.63,1.56,6620600
05-01-21,1.6,1.57,1.62,1.57,6177100
06-01-21,1.58,1.56,1.59,1.54,5490500
07-01-21,1.56,1.61,1.62,1.54,9366200
08-01-21,1.63,1.63,1.67,1.61,9033100
11-01-21,1.65,1.68,1.7,1.6,9170500
12-01-21,1.7,1.72,1.74,1.65,8791200
13-01-21,1.73,1.84,1.84,1.73,16990100
14-01-21,1.84,1.95,1.96,1.84,16274100
15-01-21,2.06,2.08,2.08,2.02,16625700
18-01-21,2.22,2.22,2.22,2.2,5506700
19-01-21,2.37,2.07,2.37,2.07,30960800
20-01-21,2.06,1.98,2.08,1.93,15840100
21-01-21,2.05,2.11,2.11,1.98,9153800
22-01-21,2.24,2.14,2.25,2.11,17564400
25-01-21,2.09,2.08,2.2,2.06,8844700
26-01-21,2.03,1.94,2.05,1.94,11820400
27-01-21,1.81,1.81,1.89,1.81,11194300
28-01-21,1.69,1.69,1.71,1.69,7071700
29-01-21,1.58,1.58,1.69,1.58,10031600
01-02-21,1.49,1.47,1.65,1.47,10711800
02-02-21,1.5,1.54,1.54,1.41,5317600
03-02-21,1.54,1.64,1.64,1.52,6011500
04-02-21,1.56,1.57,1.63,1.53,8462200
05-02-21,1.57,1.57,1.58,1.52,4864400
08-02-21,1.6,1.53,1.6,1.48,5419300
09-02-21,1.52,1.63,1.63,1.5,7491500
17-02-21,1.67,1.74,1.74,1.65,4971600
18-02-21,1.8,1.81,1.84,1.77,9563600
19-02-21,1.77,1.82,1.82,1.7,5891000
22-02-21,1.82,1.83,1.85,1.78,4536000
23-02-21,1.83,1.81,1.83,1.79,4252100
24-02-21,1.81,1.82,1.92,1.8,6878700
25-02-21,1.85,1.8,1.87,1.8,4254300
26-02-21,1.8,1.81,1.81,1.77,3787100
01-03-21,1.81,1.81,1.86,1.81,5423600
02-03-21,1.83,1.82,1.84,1.8,3257200
03-03-21,1.81,1.85,1.87,1.79,8475200
04-03-21,1.87,1.84,1.91,1.8,5457900
05-03-21,1.85,1.84,1.85,1.81,3551300
08-03-21,1.85,1.96,1.96,1.83,20430300
09-03-21,2.0,2.0,2.08,1.97,9254600
10-03-21,2.0,1.96,2.03,1.93,6294400
11-03-21,1.95,1.83,1.95,1.83,10546000
12-03-21,1.81,1.9,1.94,1.81,12047400
15-03-21,1.95,2.03,2.03,1.94,12479400
16-03-21,2.07,2.0,2.1,1.97,8311800
17-03-21,2.0,1.99,2.04,1.95,8279200
18-03-21,2.0,1.99,2.02,1.97,3755700
19-03-21,1.98,1.98,2.0,1.93,6663000
22-03-21,1.98,2.01,2.03,1.96,9818000
23-03-21,2.01,2.1,2.15,2.0,12837700
24-03-21,2.05,2.04,2.11,2.01,7222700
25-03-21,2.04,2.02,2.05,1.99,8550000
26-03-21,1.99,2.01,2.02,1.92,8664100
29-03-21,2.01,2.15,2.15,2.01,14671400
30-03-21,2.25,2.3,2.3,2.22,19031000
31-03-21,2.46,2.42,2.46,2.3,23727700
01-04-21,2.36,2.33,2.43,2.33,14381400
02-04-21,2.33,2.49,2.49,2.32,10460700
05-04-21,2.66,2.66,2.66,2.66,3496400
06-04-21,2.84,2.84,2.84,2.84,3261000
07-04-21,3.03,3.03,3.03,2.84,30646400
08-04-21,3.23,3.24,3.24,2.89,22226000
09-04-21,3.36,3.46,3.46,3.24,8447100
12-04-21,3.6,3.7,3.7,3.5,12411200
13-04-21,3.95,3.74,3.95,3.5,38853000
14-04-21,3.48,4.0,4.0,3.48,26055300
15-04-21,4.1,4.28,4.28,4.1,20411300
16-04-21,3.99,3.99,4.27,3.99,26360600
19-04-21,3.72,3.72,3.72,3.72,3564100
20-04-21,3.46,3.46,3.46,3.46,2622800
22-04-21,3.22,3.22,3.22,3.22,1503400
23-04-21,3.0,3.0,3.0,3.0,7350800
26-04-21,2.79,3.21,3.21,2.79,24953700
27-04-21,3.4,3.43,3.43,3.3,12464200
28-04-21,3.45,3.19,3.58,3.19,10694300
29-04-21,2.99,3.22,3.39,2.99,9337100
04-05-21,3.1,3.01,3.19,3.0,8394600
05-05-21,2.95,3.1,3.22,2.91,6920100
06-05-21,3.15,3.15,3.18,3.02,5992000
07-05-21,3.06,2.97,3.14,2.95,6779300
10-05-21,2.82,2.86,3.0,2.78,6312200
11-05-21,2.82,2.98,3.06,2.82,8182600
12-05-21,2.98,3.05,3.07,2.94,3406200
13-05-21,2.99,2.96,3.04,2.94,6014200
14-05-21,3.0,2.86,3.0,2.76,18411400
17-05-21,2.98,2.98,3.03,2.9,6877800
18-05-21,3.01,3.08,3.12,2.98,9137000
19-05-21,3.01,2.97,3.05,2.95,6874000
20-05-21,2.95,2.9,2.97,2.88,5080400
21-05-21,2.85,2.92,3.0,2.82,5014600
24-05-21,2.97,2.91,2.97,2.9,5693800
25-05-21,2.89,2.93,2.95,2.89,5277200
26-05-21,2.92,2.89,2.95,2.88,4380900
27-05-21,2.89,2.79,2.89,2.78,5201000
28-05-21,2.72,2.84,2.84,2.72,7272800
31-05-21,2.81,2.7,2.84,2.7,5844700
01-06-21,2.7,2.65,2.74,2.61,5458800
02-06-21,2.68,2.75,2.8,2.68,5148800
03-06-21,2.82,2.94,2.94,2.8,6637200
04-06-21,3.14,3.14,3.14,3.13,10041500
07-06-21,3.35,3.2,3.35,3.09,15540500
08-06-21,3.2,3.18,3.33,3.16,11617500
09-06-21,3.19,3.17,3.25,3.0,10242300
10-06-21,3.17,3.11,3.2,3.1,5331400
11-06-21,3.11,3.15,3.3,3.11,8828600
14-06-21,3.15,3.07,3.2,3.07,7082700
15-06-21,3.2,3.12,3.2,3.08,3407800
16-06-21,3.12,3.33,3.33,3.07,15151700
17-06-21,3.44,3.56,3.56,3.38,20954900
18-06-21,3.79,3.61,3.8,3.6,15218200
21-06-21,3.61,3.86,3.86,3.53,23338000
22-06-21,3.98,3.78,4.07,3.78,19030300
23-06-21,3.74,3.55,3.78,3.52,13485900
24-06-21,3.55,3.52,3.62,3.41,9375900
25-06-21,3.46,3.58,3.61,3.46,6877100
28-06-21,3.58,3.67,3.73,3.55,11649100
29-06-21,3.64,3.59,3.67,3.48,10262000
30-06-21,3.53,3.41,3.58,3.38,8923600
01-07-21,3.35,3.52,3.52,3.35,6605800
02-07-21,3.52,3.44,3.52,3.4,4972900
05-07-21,3.41,3.27,3.42,3.21,10979200
06-07-21,3.29,3.05,3.35,3.05,3774100
07-07-21,2.99,3.04,3.06,2.91,8296100
08-07-21,3.0,3.15,3.17,2.96,5614400
09-07-21,3.11,3.01,3.12,2.98,3289000
12-07-21,2.95,2.8,2.98,2.8,9281900
13-07-21,2.63,2.99,2.99,2.63,9797100
14-07-21,3.09,2.99,3.12,2.9,5186600
15-07-21,2.95,3.0,3.05,2.92,2196700
16-07-21,2.98,3.0,3.0,2.92,3837900
19-07-21,2.85,2.79,2.9,2.79,6966000
20-07-21,2.79,2.89,2.94,2.65,3838900
21-07-21,2.92,2.85,2.92,2.85,1669500
22-07-21,2.82,2.9,2.95,2.79,2613200
23-07-21,2.9,2.88,2.92,2.85,2533900
26-07-21,2.85,2.87,2.88,2.82,2329500
27-07-21,2.89,2.89,2.94,2.87,2857100
28-07-21,2.89,2.88,2.91,2.85,1472200
29-07-21,2.88,2.9,2.9,2.86,1726200
30-07-21,2.9,2.91,2.95,2.87,3009800
02-08-21,2.96,3.0,3.1,2.94,7249300
03-08-21,3.05,3.06,3.15,3.01,5884700
04-08-21,3.1,3.1,3.14,3.05,4394100
05-08-21,3.1,3.31,3.31,3.01,12146700
06-08-21,3.4,3.24,3.49,3.21,9553200
09-08-21,3.2,3.25,3.28,3.16,5172000
10-08-21,3.23,3.22,3.33,3.17,8250700
11-08-21,3.17,3.16,3.3,3.16,8092500
12-08-21,3.17,3.23,3.31,3.13,8980100
13-08-21,3.23,3.24,3.28,3.15,5677500
16-08-21,3.24,3.19,3.3,3.19,6917200
17-08-21,3.19,3.3,3.4,3.17,11850900
18-08-21,3.3,3.24,3.37,3.2,5522200
19-08-21,3.24,3.21,3.28,3.18,5363400
20-08-21,3.2,3.03,3.32,3.0,11955000
23-08-21,3.01,3.03,3.1,2.99,6105200
24-08-21,3.04,2.95,3.06,2.95,5534500
25-08-21,2.95,2.95,2.99,2.91,5457200
26-08-21,2.95,2.96,3.03,2.94,3659600
27-08-21,2.96,3.02,3.04,2.95,3429600
30-08-21,3.05,3.11,3.15,3.01,4623900
31-08-21,3.12,3.15,3.25,3.06,7801600
01-09-21,3.14,3.14,3.2,3.13,3330800
06-09-21,3.16,3.35,3.35,3.16,11913200
07-09-21,3.44,3.16,3.44,3.15,10934000
08-09-21,3.16,3.14,3.24,3.11,5817800
09-09-21,3.1,3.18,3.18,3.09,5707900
10-09-21,3.19,3.17,3.24,3.13,5335600
13-09-21,3.17,3.26,3.32,3.17,9559100
14-09-21,3.32,3.48,3.48,3.28,26745400
15-09-21,3.7,3.45,3.72,3.45,19053200
16-09-21,3.4,3.43,3.52,3.36,8196700
17-09-21,3.37,3.4,3.48,3.3,12391100
20-09-21,3.4,3.63,3.63,3.38,11893300
21-09-21,3.88,3.88,3.88,3.75,26263600
22-09-21,4.15,4.15,4.15,4.15,5631500
23-09-21,4.44,4.03,4.44,3.98,51687600
24-09-21,3.9,4.13,4.2,3.9,20717000
27-09-21,4.2,4.41,4.41,4.2,19559100
28-09-21,4.21,4.3,4.59,4.21,14385800
29-09-21,4.25,4.0,4.28,4.0,27748600
30-09-21,4.12,4.1,4.19,3.93,9058200
01-10-21,4.02,4.38,4.38,4.02,14540600
04-10-21,4.68,4.58,4.68,4.3,16513300
05-10-21,4.54,4.75,4.8,4.48,10909600
06-10-21,4.85,5.08,5.08,4.8,11405500
07-10-21,5.43,5.43,5.43,5.43,3031200
08-10-21,5.81,5.79,5.81,5.5,35039600
11-10-21,5.65,6.08,6.1,5.64,10562600
12-10-21,6.15,5.94,6.3,5.85,8514700
13-10-21,5.7,5.75,5.89,5.64,17068100
14-10-21,5.9,6.15,6.15,5.88,5289300
15-10-21,6.58,6.58,6.58,6.3,15796100
18-10-21,6.65,6.8,6.98,6.65,9674800
19-10-21,6.9,7.27,7.27,6.53,7484100
20-10-21,7.6,7.76,7.77,7.3,15801200
21-10-21,7.8,7.22,8.02,7.22,10578100
22-10-21,7.22,6.72,7.5,6.72,28539400
25-10-21,6.71,7.0,7.19,6.4,13526800
26-10-21,7.0,7.08,7.25,6.98,5653400
27-10-21,7.05,6.78,7.09,6.66,12741100
28-10-21,6.78,7.25,7.25,6.77,9782100
29-10-21,7.69,7.46,7.7,7.28,7068100
01-11-21,7.5,7.26,7.7,7.2,10245200
02-11-21,7.1,7.4,7.68,7.0,12264500
03-11-21,7.4,6.89,7.58,6.89,14006800
04-11-21,6.75,7.01,7.24,6.6,8768500
05-11-21,7.1,7.03,7.21,6.99,5179900
08-11-21,7.15,7.35,7.49,7.0,10225800
09-11-21,7.4,7.52,7.75,7.25,11778200
10-11-21,7.62,7.76,7.85,7.62,9636500
11-11-21,7.9,8.25,8.3,7.8,12563600
12-11-21,8.48,8.55,8.65,8.25,10001600
15-11-21,8.58,8.4,8.85,8.27,12470300
16-11-21,8.2,7.83,8.3,7.82,16531800
17-11-21,7.95,8.05,8.13,7.69,7160200
18-11-21,8.1,8.06,8.3,7.92,8656000
19-11-21,8.1,8.0,8.42,7.55,13186300
22-11-21,8.2,7.44,8.22,7.44,10887600
23-11-21,7.05,6.92,7.3,6.92,11528200
24-11-21,6.85,6.71,7.1,6.47,14911700
25-11-21,6.6,7.17,7.17,6.32,11165300
26-11-21,7.4,7.2,7.6,7.19,8549000
29-11-21,6.82,7.12,7.5,6.81,9253100
30-11-21,7.2,7.0,7.26,6.97,9630100
01-12-21,6.92,7.16,7.25,6.92,5889000
02-12-21,7.3,7.66,7.66,7.25,8458600
03-12-21,8.0,7.2,8.0,7.2,11250400
06-12-21,7.25,6.83,7.4,6.71,8277300
07-12-21,6.93,7.09,7.15,6.7,6435500
08-12-21,7.1,7.0,7.16,6.97,6501300
09-12-21,7.0,7.23,7.35,6.96,7119200
10-12-21,7.2,7.12,7.21,7.06,6272400
13-12-21,7.15,7.48,7.59,7.15,10607300
14-12-21,7.5,7.55,7.85,7.4,11741100
15-12-21,7.45,7.61,7.84,7.4,9993200
16-12-21,7.75,8.14,8.14,7.75,14222600
17-12-21,8.7,8.3,8.7,8.25,24518200
20-12-21,8.01,8.4,8.49,7.82,14464100
21-12-21,8.15,8.47,8.65,8.15,12293500
22-12-21,8.5,9.06,9.06,8.5,19938900
23-12-21,9.4,9.69,9.69,9.07,20984400
24-12-21,10.0,9.4,10.2,9.3,13971600
27-12-21,9.3,10.05,10.05,8.8,21292300
28-12-21,10.6,10.5,10.75,10.1,13351000
29-12-21,10.8,10.25,10.85,10.15,11915800
30-12-21,10.0,9.75,10.5,9.75,15618400
31-12-21,9.6,9.36,10.0,9.27,12819400
04-01-22,9.36,9.43,9.6,9.18,9491300
05-01-22,9.8,9.74,9.97,9.59,9473500
06-01-22,9.7,10.2,10.4,9.5,13921500
07-01-22,10.2,10.4,10.6,10.0,12415600
10-01-22,10.5,10.2,11.1,10.15,19389600
11-01-22,10.1,9.85,10.5,9.85,13418800
12-01-22,9.3,9.17,9.7,9.17,8538800
