Date,Open,Close,High,Low,Volume
16-11-20,17.8,17.5,17.85,17.4,3446640
17-11-20,17.5,17.6,17.65,17.35,2956680
18-11-20,17.55,17.35,17.6,17.35,4251600
19-11-20,17.3,17.3,17.5,17.2,2159800
20-11-20,17.3,17.2,17.4,17.15,2411810
23-11-20,17.1,17.15,17.35,17.1,1846000
24-11-20,17.2,17.7,17.7,17.1,3886880
25-11-20,17.7,17.4,17.75,17.35,1752370
26-11-20,17.45,17.3,17.45,17.2,1223680
27-11-20,17.35,17.4,17.4,17.25,1012000
30-11-20,17.4,17.15,17.4,17.1,1624000
01-12-20,17.0,17.15,17.2,16.8,2315280
02-12-20,17.15,17.2,17.45,17.05,2314690
03-12-20,17.2,17.3,17.3,17.15,1506670
04-12-20,17.3,17.25,17.5,17.2,2333940
07-12-20,17.3,17.35,17.45,17.25,1904340
08-12-20,17.5,18.15,18.15,17.45,10265090
09-12-20,18.15,17.95,18.2,17.85,3497880
10-12-20,18.0,17.75,18.2,17.7,3549010
11-12-20,17.75,17.85,17.85,17.2,3295350
14-12-20,18.0,17.85,18.0,17.75,2729010
15-12-20,17.8,18.0,18.5,17.7,6257370
16-12-20,18.2,18.0,18.3,17.95,2820700
17-12-20,18.0,17.8,18.25,17.8,3434880
18-12-20,17.9,18.0,18.0,17.7,3447300
21-12-20,18.2,18.3,18.5,18.1,3760880
22-12-20,18.4,19.55,19.55,18.2,7849440
23-12-20,19.8,18.75,19.9,18.75,3412460
24-12-20,19.0,18.45,19.2,17.6,4338560
25-12-20,18.15,18.7,19.0,18.1,3646600
28-12-20,19.0,18.7,19.0,18.45,2473140
29-12-20,18.55,18.7,19.0,18.55,3759310
30-12-20,18.75,18.7,19.25,18.65,3888910
31-12-20,18.8,18.8,18.85,18.65,1982190
04-01-21,18.9,19.2,19.45,18.8,3489700
05-01-21,19.1,19.05,19.3,19.0,2342100
06-01-21,19.15,18.85,19.2,18.8,4503300
07-01-21,18.95,19.1,19.15,18.8,3685800
08-01-21,19.3,19.3,19.5,19.1,3434400
11-01-21,19.4,19.5,19.7,19.35,3042300
12-01-21,19.5,19.5,19.5,19.25,2925800
13-01-21,19.6,19.5,19.9,19.3,4866900
14-01-21,19.6,19.6,19.7,19.35,2210800
15-01-21,19.75,19.65,19.85,19.45,3227700
18-01-21,19.7,20.1,20.5,19.6,4297400
19-01-21,20.1,18.7,20.1,18.7,3352000
20-01-21,18.8,18.75,18.9,17.5,2156900
21-01-21,19.0,19.25,19.3,18.65,1783900
22-01-21,19.25,19.2,19.5,19.05,2477900
25-01-21,18.8,18.5,18.9,18.45,1515800
26-01-21,18.5,17.6,18.5,17.55,2063200
27-01-21,17.3,16.6,17.6,16.5,2288800
28-01-21,15.55,15.45,15.9,15.45,3168900
29-01-21,14.4,15.85,16.1,14.4,3089600
01-02-21,15.8,15.3,15.95,15.0,2078000
02-02-21,14.9,15.1,15.3,14.75,3243700
03-02-21,15.3,15.95,16.0,15.3,1938200
04-02-21,15.95,15.95,16.25,15.8,1470100
05-02-21,16.1,16.3,16.3,16.0,1462300
08-02-21,16.4,15.9,16.4,15.6,1554600
09-02-21,15.8,15.95,16.0,15.75,1312300
17-02-21,16.1,16.35,16.45,15.8,1839600
18-02-21,16.4,17.4,17.45,16.25,4090100
19-02-21,17.3,17.45,18.05,17.25,2289500
22-02-21,17.4,17.35,17.7,17.2,1974500
23-02-21,17.2,17.25,17.35,16.95,1686700
24-02-21,17.4,16.9,17.4,16.75,1993900
25-02-21,17.0,16.9,17.1,16.7,1263400
26-02-21,16.8,16.85,16.9,16.5,1483000
01-03-21,16.95,17.5,17.65,16.9,2506700
02-03-21,17.95,18.3,18.5,17.55,5360100
03-03-21,18.3,18.45,18.8,18.0,3625700
04-03-21,18.55,18.7,19.3,18.55,5484700
05-03-21,18.7,19.2,19.4,18.2,4752300
08-03-21,19.35,18.8,19.45,18.5,4179600
09-03-21,18.8,19.0,19.2,18.6,2514600
10-03-21,19.05,19.1,19.3,19.05,2522300
11-03-21,19.2,19.2,19.3,19.0,2702800
12-03-21,19.3,18.95,19.4,18.85,3318100
15-03-21,18.95,18.8,19.15,18.65,2481800
16-03-21,18.8,18.7,18.9,18.65,1889000
17-03-21,18.8,19.65,19.7,18.8,5521200
18-03-21,19.9,19.6,19.9,19.6,3096900
19-03-21,19.6,19.6,19.65,19.4,2149400
22-03-21,19.4,19.5,19.55,19.2,2220600
23-03-21,19.5,19.6,19.75,19.1,2364500
24-03-21,19.5,19.4,19.6,19.1,2869600
25-03-21,19.35,19.35,19.45,19.0,1481100
26-03-21,19.1,19.3,19.4,18.7,2198400
29-03-21,19.3,19.5,19.55,19.2,1920000
30-03-21,19.5,19.35,19.65,19.3,1251000
31-03-21,19.35,19.85,19.9,19.3,2919100
