Date,Open,Close,High,Low,Volume
16-11-20,20.7,20.15,20.7,20.1,947880
17-11-20,20.1,20.45,20.45,20.1,689690
18-11-20,20.55,20.55,20.6,20.25,915860
19-11-20,20.7,20.9,21.2,20.7,2484680
20-11-20,21.0,20.85,21.2,20.7,599750
23-11-20,20.5,20.4,20.7,20.2,740160
24-11-20,20.3,20.25,20.5,19.95,1429340
25-11-20,20.25,20.6,20.75,20.25,1542880
26-11-20,20.65,21.1,21.3,20.65,1876940
27-11-20,21.2,21.15,21.3,21.0,677270
30-11-20,21.15,20.8,21.2,20.75,728570
01-12-20,20.3,20.65,20.75,20.3,1380170
02-12-20,20.7,20.95,21.05,20.65,1122910
03-12-20,21.1,21.5,21.7,21.05,1694790
04-12-20,21.55,21.2,21.65,21.15,1096820
07-12-20,21.3,21.0,21.5,21.0,1077940
08-12-20,21.25,20.95,21.3,20.8,1941170
09-12-20,21.0,21.15,21.6,21.0,2283810
10-12-20,21.15,21.1,21.45,21.1,1638930
11-12-20,21.2,21.75,21.9,21.2,1920860
14-12-20,21.85,22.4,22.6,21.8,1440340
15-12-20,22.55,22.2,22.55,21.95,1887860
16-12-20,22.1,22.1,22.3,21.8,1579150
17-12-20,21.8,22.15,22.6,21.8,1314440
18-12-20,22.4,22.25,22.4,22.1,1044750
21-12-20,22.25,22.85,23.3,22.25,2074720
22-12-20,22.8,22.95,23.15,22.4,1062720
23-12-20,23.0,22.55,23.1,22.55,1131920
24-12-20,22.7,21.95,22.7,21.3,1346000
25-12-20,21.95,22.3,22.4,21.6,1000770
28-12-20,22.7,22.3,22.7,22.05,957370
29-12-20,22.4,22.7,23.0,22.3,1489420
30-12-20,22.7,22.9,23.5,22.5,1059300
31-12-20,22.9,22.95,23.2,22.8,506150
04-01-21,23.2,23.0,23.5,22.9,1379200
05-01-21,23.0,22.95,23.0,22.75,1314700
06-01-21,23.45,22.8,23.45,22.75,931600
07-01-21,22.8,22.7,23.0,22.65,856600
08-01-21,23.1,23.2,23.35,22.9,1667500
11-01-21,23.3,24.8,24.8,23.3,2345100
12-01-21,25.3,25.5,26.0,25.0,1747600
13-01-21,25.3,25.1,25.8,24.9,1490100
14-01-21,24.9,25.1,25.15,24.4,1417700
15-01-21,25.15,24.8,25.35,24.8,938600
18-01-21,25.2,25.25,25.6,25.1,1566700
19-01-21,25.3,23.65,25.5,23.5,1547900
20-01-21,24.0,23.6,24.1,22.2,930000
21-01-21,24.2,24.45,24.5,23.9,996200
22-01-21,24.75,26.15,26.15,24.6,4101500
25-01-21,27.2,27.95,27.95,26.75,3867000
26-01-21,28.4,28.7,29.6,27.2,3677800
27-01-21,27.6,27.6,28.5,26.7,2298300
28-01-21,25.8,25.7,26.7,25.7,3133600
29-01-21,25.1,26.0,27.0,24.4,2625800
01-02-21,26.0,24.2,26.7,24.2,3684500
02-02-21,24.2,25.2,25.5,23.5,1853300
03-02-21,25.9,26.0,26.45,25.2,1823200
04-02-21,26.0,27.0,27.5,25.5,2990000
05-02-21,27.45,27.5,28.2,27.1,1732100
08-02-21,27.5,26.8,27.8,25.65,2039600
09-02-21,26.5,26.55,26.9,25.8,1772200
17-02-21,26.95,27.35,27.45,26.6,1612900
18-02-21,27.4,28.65,28.85,27.05,3362700
19-02-21,28.2,28.65,29.25,28.1,2541000
22-02-21,28.6,28.45,29.0,28.0,1619600
23-02-21,28.4,28.35,28.75,28.0,2089200
24-02-21,28.6,28.2,29.4,27.8,2467500
25-02-21,28.2,27.9,28.6,27.35,2048000
26-02-21,27.5,27.7,27.8,27.35,1948000
01-03-21,27.8,28.6,28.6,27.7,2080800
02-03-21,28.85,28.4,29.0,28.3,1615900
03-03-21,28.4,28.1,28.4,28.0,1355100
04-03-21,28.1,27.1,28.25,26.7,2551500
05-03-21,26.7,26.9,27.0,26.2,2227300
08-03-21,27.35,27.15,27.45,26.9,1480000
09-03-21,27.15,27.0,27.15,26.4,1618400
10-03-21,27.0,26.8,27.0,26.4,1246800
11-03-21,27.15,28.2,28.25,26.85,2521600
12-03-21,28.2,27.8,28.3,27.6,995400
15-03-21,28.0,27.85,28.0,27.6,919400
16-03-21,27.85,27.6,27.9,27.1,1253400
17-03-21,27.6,27.45,27.7,27.2,1038900
18-03-21,27.6,28.55,28.7,27.6,4684100
19-03-21,28.55,30.0,30.2,28.45,4753800
22-03-21,30.0,29.7,30.85,29.6,2266100
23-03-21,29.4,29.45,29.7,28.7,1885800
24-03-21,28.5,28.0,29.0,27.8,1956200
25-03-21,28.15,28.2,28.4,27.7,1682500
26-03-21,28.0,28.3,28.7,27.1,1754300
29-03-21,28.8,29.25,29.4,28.4,1863700
30-03-21,29.2,28.9,29.2,28.6,941100
31-03-21,28.8,28.8,29.0,28.3,729600
01-04-21,28.9,29.65,29.9,28.8,2859500
02-04-21,29.85,29.55,30.15,29.05,1303900
05-04-21,29.55,29.05,29.55,28.75,1134000
06-04-21,28.8,29.05,29.4,28.6,1695500
07-04-21,29.0,29.5,29.7,28.8,1123700
08-04-21,29.6,29.15,29.65,28.75,1526900
09-04-21,29.1,29.0,29.15,28.7,1843600
12-04-21,29.0,29.0,29.15,28.5,1903000
13-04-21,29.5,28.3,29.5,28.2,1734400
14-04-21,27.8,28.2,28.4,27.8,1378500
15-04-21,28.3,27.7,28.5,27.6,1597900
16-04-21,27.5,27.5,28.0,26.7,1403300
19-04-21,27.8,27.8,28.0,27.35,860200
20-04-21,28.2,27.65,28.3,27.35,1128200
22-04-21,27.5,26.4,27.5,26.4,1196500
23-04-21,26.4,27.0,27.0,25.6,1221200
26-04-21,27.1,26.3,27.2,26.25,647600
27-04-21,26.0,26.2,26.8,25.8,640600
28-04-21,26.3,26.45,26.75,26.3,482000
29-04-21,26.6,26.35,26.8,26.2,393200
04-05-21,25.7,26.0,26.3,25.7,633700
05-05-21,25.8,26.5,26.75,25.8,954100
06-05-21,26.5,27.0,27.45,26.5,1125700
07-05-21,26.55,26.45,26.95,26.3,609500
10-05-21,26.4,26.65,26.9,26.2,751000
11-05-21,26.85,27.1,27.9,26.85,1976300
12-05-21,27.1,27.6,27.9,27.1,1096700
13-05-21,27.5,27.2,28.0,27.2,1259100
14-05-21,27.25,27.3,27.45,27.0,830700
17-05-21,27.35,26.8,27.5,26.6,963100
18-05-21,26.6,26.2,26.8,26.05,1186500
19-05-21,26.2,26.75,26.85,26.2,750200
20-05-21,26.75,27.4,27.5,26.65,1067400
21-05-21,27.4,27.4,27.9,27.25,1105600
24-05-21,27.9,28.3,28.5,27.55,3487700
25-05-21,28.5,28.15,28.6,28.0,1490300
26-05-21,27.65,27.65,28.0,27.55,1365600
27-05-21,27.6,27.5,28.3,27.05,1525300
28-05-21,27.85,27.65,27.9,27.3,980600
31-05-21,27.7,27.6,27.8,27.4,797100
01-06-21,27.65,27.2,27.7,27.2,1088700
02-06-21,27.05,27.55,27.6,27.0,1452800
03-06-21,27.9,28.65,28.9,27.8,2488200
04-06-21,28.55,28.9,29.3,28.55,2204500
07-06-21,28.0,27.3,28.3,27.0,1488000
08-06-21,27.0,26.0,27.5,26.0,1752300
09-06-21,26.1,26.45,26.75,25.8,1669400
10-06-21,26.15,26.7,26.75,25.95,1037700
11-06-21,26.8,27.05,27.45,26.5,1881000
14-06-21,27.2,27.3,27.5,26.8,1481300
15-06-21,27.3,29.2,29.2,27.3,6252200
16-06-21,30.0,29.2,30.3,29.2,2396800
17-06-21,29.0,30.8,31.0,28.7,3255400
18-06-21,30.8,30.3,31.5,29.95,2890000
21-06-21,30.0,30.45,31.4,29.7,3442500
22-06-21,30.5,29.4,31.0,29.25,2796400
23-06-21,29.5,30.4,30.5,28.6,4039300
24-06-21,30.9,29.95,30.9,29.6,2511900
25-06-21,30.0,29.8,30.4,29.7,1229300
28-06-21,29.9,30.4,30.8,29.85,2738100
29-06-21,30.6,30.45,30.9,29.8,2415500
30-06-21,30.6,30.25,30.7,30.1,1610400
01-07-21,30.3,31.65,32.2,30.0,5373300
02-07-21,31.4,31.2,31.7,31.1,1535900
05-07-21,31.2,31.65,32.2,30.75,2592200
06-07-21,31.65,29.45,32.2,29.45,2789700
07-07-21,29.2,29.0,29.7,28.0,2604500
08-07-21,29.0,27.9,29.05,27.8,4258900
09-07-21,27.6,27.5,28.45,27.4,2267900
12-07-21,27.5,26.8,27.8,25.85,2771400
13-07-21,27.15,27.4,27.5,26.8,1290700
14-07-21,27.6,26.9,27.6,26.1,915900
15-07-21,26.8,27.5,27.7,26.8,880800
16-07-21,27.55,28.05,28.5,27.4,1722800
19-07-21,27.5,28.5,29.5,27.5,5215800
20-07-21,28.7,28.7,29.2,28.2,1110100
21-07-21,28.9,28.3,28.9,28.1,1281200
22-07-21,28.4,29.1,29.25,28.2,2148700
23-07-21,29.15,28.6,29.85,28.6,2791000
26-07-21,28.5,29.6,29.7,28.45,2628200
27-07-21,30.1,29.8,30.5,29.65,1952600
28-07-21,29.5,29.4,30.0,29.2,1489200
29-07-21,29.4,29.55,29.75,29.3,1288600
30-07-21,29.7,29.95,30.45,29.55,2854000
02-08-21,29.8,30.9,31.45,29.65,4393700
03-08-21,31.0,31.0,31.4,30.5,2330600
04-08-21,31.1,30.95,31.3,30.55,2132600
05-08-21,30.95,33.1,33.1,30.65,6938800
06-08-21,33.7,33.1,33.85,33.1,2879900
09-08-21,33.0,34.1,34.4,32.8,2464400
10-08-21,34.15,34.6,34.6,33.55,4471500
11-08-21,34.65,33.4,35.6,33.4,4134300
12-08-21,33.2,33.65,34.45,33.2,2452500
13-08-21,33.5,34.2,34.2,32.5,3365100
16-08-21,34.45,34.7,35.95,34.3,3919700
17-08-21,34.8,34.3,34.8,33.7,2344900
18-08-21,34.1,34.7,35.2,34.0,2161000
19-08-21,34.7,35.35,35.45,34.5,2628200
20-08-21,35.35,33.5,35.75,32.9,4514400
23-08-21,33.4,31.2,33.4,31.2,4224200
24-08-21,30.85,31.5,32.0,30.15,2900200
25-08-21,31.6,32.3,32.3,31.2,1223700
26-08-21,32.45,32.0,32.9,31.85,2626200
27-08-21,31.5,34.0,34.0,31.2,3844000
30-08-21,34.15,34.6,34.75,33.7,2843100
31-08-21,34.6,34.7,35.3,34.1,3478000
01-09-21,34.5,36.3,36.5,34.1,4358900
06-09-21,36.8,36.25,36.9,36.2,2302400
07-09-21,36.0,35.1,36.05,34.95,3098700
08-09-21,34.9,34.4,35.1,34.0,2535600
09-09-21,34.45,35.6,35.8,34.4,1542500
10-09-21,35.7,35.2,35.7,35.0,1166500
13-09-21,35.0,34.8,36.0,34.5,1805100
14-09-21,34.5,34.3,35.2,34.15,1363000
15-09-21,34.15,34.8,35.0,33.9,1578000
16-09-21,34.85,35.0,35.4,34.3,1657300
17-09-21,35.4,35.0,35.5,34.75,1870600
20-09-21,35.0,33.0,35.05,33.0,3698400
21-09-21,32.9,32.7,33.0,32.05,2443000
22-09-21,32.8,33.75,34.0,32.6,1757500
23-09-21,33.9,33.2,34.1,33.1,1306500
24-09-21,33.2,32.5,33.5,32.5,1603100
27-09-21,32.65,31.1,32.65,31.0,2438600
28-09-21,31.0,31.45,31.75,30.6,1300300
29-09-21,31.4,32.2,32.25,31.25,1228800
30-09-21,32.2,32.2,32.7,32.1,905700
01-10-21,32.0,31.8,32.3,31.5,977000
04-10-21,31.7,32.65,33.0,31.3,1393300
05-10-21,32.65,32.75,32.9,32.5,1096400
06-10-21,32.8,33.7,33.75,32.8,1751900
07-10-21,34.0,34.05,34.55,33.75,2479000
08-10-21,34.05,33.3,34.25,33.2,1371600
11-10-21,33.0,33.3,33.75,33.0,1296500
12-10-21,33.3,33.1,33.5,33.0,1423900
13-10-21,33.3,33.4,33.5,33.1,1133700
14-10-21,33.7,34.4,34.6,33.5,2696000
15-10-21,34.65,34.2,34.7,33.6,1400500
18-10-21,33.5,32.2,33.8,32.2,4286900
19-10-21,32.25,31.8,32.25,31.5,2137000
20-10-21,31.8,32.3,32.4,31.6,1393300
21-10-21,32.3,31.75,32.5,31.7,1263600
22-10-21,31.8,31.9,32.2,31.6,1168200
25-10-21,32.1,32.8,33.2,32.0,1941900
26-10-21,32.65,32.65,33.0,32.4,790700
27-10-21,32.6,32.75,33.1,32.6,1228800
28-10-21,32.7,33.4,33.7,32.4,2175000
29-10-21,33.7,33.0,33.7,32.9,1597400
01-11-21,33.0,34.05,34.35,32.6,3707500
02-11-21,34.5,34.15,34.8,34.1,2453900
03-11-21,34.15,33.15,34.5,33.05,2786500
04-11-21,33.0,32.75,33.55,32.4,1451200
05-11-21,33.0,34.0,34.2,32.5,3558600
08-11-21,34.5,35.85,36.15,34.0,5350800
09-11-21,35.75,35.4,35.85,35.1,1802800
10-11-21,35.1,36.4,36.5,35.1,3773800
11-11-21,36.4,36.75,37.3,36.2,5170600
12-11-21,36.75,37.4,37.45,36.3,3082000
15-11-21,37.6,36.8,37.9,36.5,2931700
16-11-21,36.8,36.2,37.0,35.6,3086800
17-11-21,36.0,37.5,37.9,35.65,2742100
18-11-21,37.5,37.9,38.45,37.5,2444900
19-11-21,38.1,35.25,38.2,35.25,3987200
22-11-21,34.75,33.25,35.35,33.0,2763200
23-11-21,33.25,34.4,34.45,33.25,1387600
24-11-21,34.95,34.1,34.95,33.9,2056400
25-11-21,34.0,34.9,34.9,33.65,2096700
26-11-21,35.0,34.05,35.0,34.0,1644700
29-11-21,33.5,34.6,34.9,33.15,1477200
30-11-21,34.65,35.35,35.95,34.6,2511200
01-12-21,35.35,35.45,35.8,35.25,1130100
02-12-21,35.45,35.8,36.35,35.05,1837700
03-12-21,35.95,34.2,35.95,34.2,1537400
06-12-21,34.1,33.2,34.65,32.7,1647200
07-12-21,33.65,33.95,33.95,32.9,1309100
08-12-21,34.1,34.05,34.3,33.7,742500
09-12-21,33.8,34.5,34.7,33.8,761200
10-12-21,34.55,34.05,34.85,34.05,755100
13-12-21,34.5,34.2,34.5,34.0,892200
14-12-21,34.6,34.4,34.95,34.2,1255600
15-12-21,34.45,34.4,34.9,34.05,753900
16-12-21,34.5,34.15,34.65,34.1,1176400
17-12-21,33.9,33.4,33.9,33.0,1715700
20-12-21,33.45,33.05,33.45,33.0,1235100
21-12-21,33.05,33.15,33.8,32.6,1229200
22-12-21,33.15,33.3,33.85,33.1,1231900
23-12-21,33.35,32.6,33.6,32.3,971200
24-12-21,32.9,32.45,33.0,32.35,710700
27-12-21,32.5,32.3,32.75,31.9,1248100
