Date,Open,Close,High,Low,Volume
16-11-20,6.81,6.7,6.86,6.69,265940
17-11-20,6.71,7.1,7.1,6.64,1518710
18-11-20,7.1,7.34,7.35,7.0,1986950
19-11-20,7.34,7.5,7.6,7.34,2384760
20-11-20,7.5,7.59,7.6,7.41,1939140
23-11-20,7.77,7.48,7.77,7.48,1460200
24-11-20,7.45,7.48,7.57,7.32,1423610
25-11-20,7.4,7.45,7.56,7.32,910050
26-11-20,7.45,7.31,7.45,7.31,1080910
27-11-20,7.4,7.24,7.41,7.23,1082580
30-11-20,7.15,6.9,7.26,6.9,1300060
01-12-20,6.65,7.0,7.2,6.63,1237760
02-12-20,7.0,6.94,7.12,6.93,625220
03-12-20,6.94,6.85,7.04,6.8,1438090
04-12-20,6.9,6.99,7.01,6.82,1180750
07-12-20,7.04,7.47,7.47,7.04,2564010
08-12-20,7.5,7.5,7.67,7.3,2309580
09-12-20,7.49,7.49,7.65,7.46,1558810
10-12-20,7.49,7.21,7.5,7.21,2042560
11-12-20,7.21,7.29,7.31,7.15,789810
14-12-20,7.32,7.8,7.8,7.32,3654350
15-12-20,7.98,7.9,8.3,7.83,3354410
16-12-20,8.1,7.99,8.1,7.9,1587800
17-12-20,7.99,8.1,8.36,7.8,3160280
18-12-20,8.14,8.39,8.43,8.05,2242250
21-12-20,8.41,8.8,8.96,8.41,2685070
22-12-20,8.8,9.11,9.25,8.68,2378710
23-12-20,9.21,8.8,9.27,8.8,1685690
24-12-20,8.91,8.32,9.1,8.19,2639130
25-12-20,8.32,8.9,8.9,8.26,2448100
28-12-20,9.51,9.52,9.52,9.25,3733570
29-12-20,9.59,10.15,10.15,9.56,2203410
30-12-20,10.8,9.98,10.8,9.95,3261830
31-12-20,9.88,10.65,10.65,9.69,2349560
04-01-21,11.2,11.0,11.35,10.8,2531100
05-01-21,10.75,11.7,11.75,10.7,2648800
06-01-21,11.7,12.1,12.3,11.7,2362500
07-01-21,12.4,11.9,12.4,11.8,2445100
08-01-21,11.85,11.3,12.0,11.1,4313700
11-01-21,11.5,11.7,11.9,11.25,2214100
12-01-21,11.7,12.35,12.35,11.5,1702900
13-01-21,12.4,12.3,12.7,12.0,1770600
14-01-21,12.3,12.15,12.35,11.45,1430000
15-01-21,12.25,11.9,12.35,11.5,2029200
18-01-21,11.6,12.3,12.55,11.6,1895800
19-01-21,12.3,11.45,12.3,11.45,1531900
20-01-21,11.45,11.05,11.45,10.65,1614300
21-01-21,11.4,11.2,11.4,10.3,3444200
22-01-21,10.8,10.45,11.3,10.45,1508400
25-01-21,9.8,10.75,11.05,9.79,2295200
26-01-21,10.6,10.7,10.7,10.0,1452200
27-01-21,10.2,9.99,10.65,9.96,1353500
28-01-21,9.3,9.3,9.3,9.3,623900
29-01-21,8.65,9.3,9.3,8.65,1598100
01-02-21,9.2,8.65,9.2,8.65,851700
02-02-21,8.08,8.38,8.6,8.05,1599500
03-02-21,8.46,8.96,8.96,8.3,1547200
04-02-21,9.1,9.13,9.4,8.91,511000
05-02-21,9.13,9.75,9.75,8.93,919300
08-02-21,9.75,9.42,9.84,9.07,926400
09-02-21,9.3,9.41,9.6,9.15,1155600
17-02-21,9.41,10.05,10.05,9.41,1917200
18-02-21,10.45,10.4,10.6,10.1,1775100
19-02-21,10.1,10.25,10.45,10.0,1078000
22-02-21,10.3,10.5,10.5,10.05,1466700
23-02-21,10.5,10.95,11.0,10.25,1877400
24-02-21,11.05,10.65,11.1,10.2,1277100
25-02-21,10.75,10.45,10.75,10.1,1187000
