Date,Open,Close,High,Low,Volume
16-11-20,13.7,13.3,13.8,13.25,9891530
17-11-20,13.45,14.0,14.0,13.3,6485300
18-11-20,14.15,14.15,14.15,13.8,7384800
19-11-20,14.0,14.1,14.1,13.8,4951700
20-11-20,14.05,14.25,14.35,13.85,5216160
23-11-20,14.25,13.9,14.25,13.9,5916270
24-11-20,13.9,13.8,14.05,13.5,7042600
25-11-20,13.85,13.75,13.95,13.65,3669890
26-11-20,13.6,13.7,13.75,13.5,4353330
27-11-20,13.75,14.2,14.25,13.75,8728300
30-11-20,14.35,13.9,14.45,13.9,6700920
01-12-20,13.7,14.15,14.25,13.7,8775790
02-12-20,14.15,14.45,14.7,14.1,6318020
03-12-20,14.5,14.4,14.5,14.3,3070720
04-12-20,14.4,14.85,15.25,14.4,11123290
07-12-20,14.85,14.85,15.05,14.8,4251900
08-12-20,14.85,14.95,15.1,14.75,4550090
09-12-20,15.0,15.0,15.25,14.95,5632390
10-12-20,15.1,14.7,15.1,14.7,7412550
11-12-20,14.75,14.8,14.9,14.6,6130320
14-12-20,15.15,14.95,15.15,14.8,4377700
15-12-20,14.9,14.9,15.5,14.8,10177630
16-12-20,15.0,14.95,15.35,14.9,4876270
17-12-20,14.8,14.65,14.9,14.55,10969150
18-12-20,14.65,14.8,14.95,14.45,10482090
21-12-20,15.0,14.85,15.2,14.75,9004520
22-12-20,14.85,15.7,15.85,14.7,13874520
23-12-20,15.8,15.45,15.8,15.35,8194840
24-12-20,15.4,15.0,15.4,14.5,7374950
25-12-20,14.8,15.2,15.2,14.7,6045550
28-12-20,15.45,15.2,15.45,14.95,7610500
29-12-20,15.15,16.2,16.25,15.0,15654280
30-12-20,16.25,15.95,16.45,15.9,6654540
31-12-20,16.0,15.95,16.05,15.8,4722720
04-01-21,16.4,16.4,16.9,16.0,9625600
05-01-21,16.4,17.0,17.2,16.25,8214400
06-01-21,17.25,17.05,17.55,16.9,9526300
07-01-21,17.35,17.35,17.5,17.05,6674900
08-01-21,17.5,17.15,17.5,16.95,11163500
11-01-21,17.2,17.55,18.15,16.95,9155000
12-01-21,17.75,17.65,17.9,17.45,6723000
13-01-21,17.75,17.6,17.95,17.5,6410600
14-01-21,17.6,18.25,18.35,17.6,11958900
15-01-21,18.3,17.4,18.4,17.0,33157400
18-01-21,17.2,18.15,18.45,17.05,10474200
19-01-21,18.0,17.3,18.2,16.9,8471400
20-01-21,17.3,17.5,17.6,16.4,11099200
21-01-21,17.8,18.7,18.7,17.5,14684200
22-01-21,19.2,20.0,20.0,19.1,14537000
25-01-21,20.2,21.4,21.4,20.2,6780500
26-01-21,22.45,22.0,22.85,20.8,18918700
