Date,Open,Close,High,Low,Volume
19-08-22,18.55,18.7,19.25,18.55,182500
22-08-22,18.55,18.0,18.55,17.8,135200
23-08-22,18.0,18.85,18.85,17.5,225600
24-08-22,18.85,18.55,18.9,18.5,149700
25-08-22,18.55,18.95,19.1,18.55,206300
26-08-22,18.95,19.2,19.6,18.7,306600
29-08-22,18.5,19.2,19.2,18.35,541700
30-08-22,19.2,19.65,20.0,19.2,604800
31-08-22,19.7,20.55,20.6,19.4,820400
05-09-22,21.0,21.55,21.7,21.0,750300
06-09-22,21.95,22.7,22.9,21.6,1119400
07-09-22,22.7,21.95,23.0,21.8,598700
08-09-22,22.2,21.95,22.35,21.4,623500
09-09-22,21.9,21.8,22.0,20.5,798800
12-09-22,22.4,21.75,22.4,20.4,181700
13-09-22,21.7,21.7,21.7,20.55,243500
14-09-22,21.0,22.05,22.5,20.5,243700
15-09-22,22.45,22.0,22.45,21.3,118500
16-09-22,21.7,21.15,21.7,21.1,157500
19-09-22,21.0,20.85,21.0,20.4,189400
20-09-22,20.6,20.85,22.0,20.55,313600
21-09-22,20.45,20.85,21.0,20.4,233200
22-09-22,20.35,20.85,20.85,20.2,283200
23-09-22,20.75,20.6,20.8,20.15,255100
26-09-22,20.0,19.2,20.0,19.2,160600
27-09-22,18.2,17.9,19.2,17.9,459300
28-09-22,16.9,16.65,17.6,16.65,486500
29-09-22,16.65,15.5,16.8,15.5,693600
30-09-22,15.5,14.45,15.5,14.45,801900
03-10-22,14.45,13.45,15.0,13.45,1138600
04-10-22,13.55,14.1,14.35,13.1,842600
05-10-22,14.35,14.95,15.0,14.15,336600
06-10-22,14.9,14.05,15.1,13.95,684800
07-10-22,13.65,13.1,13.65,13.1,467400
10-10-22,12.8,13.2,13.2,12.2,640700
11-10-22,12.5,12.3,13.1,12.3,128300
12-10-22,11.55,12.15,12.55,11.55,175400
13-10-22,12.2,12.2,12.4,11.3,728100
14-10-22,12.75,12.0,12.8,11.7,802700
17-10-22,11.0,10.8,11.15,10.15,409700
18-10-22,10.95,10.9,11.35,10.7,1947500
19-10-22,10.9,10.75,11.3,10.6,509600
20-10-22,10.8,10.1,10.8,10.1,399700
21-10-22,10.2,9.4,10.2,9.4,684900
24-10-22,9.2,8.75,9.38,8.75,474200
25-10-22,8.15,8.2,8.75,8.14,1122900
26-10-22,8.02,7.63,8.22,7.63,987600
27-10-22,7.25,7.7,7.9,7.25,1070600
28-10-22,7.89,7.96,8.23,7.75,1129200
31-10-22,8.06,7.91,8.25,7.5,1296200
