Date,Open,Close,High,Low,Volume
16-11-20,15.7,15.35,15.76,15.35,520920
17-11-20,15.35,15.52,15.6,15.35,307640
18-11-20,15.65,15.7,15.72,15.6,1326850
19-11-20,15.6,15.82,15.82,15.6,140860
20-11-20,15.82,15.95,15.95,15.82,590870
23-11-20,15.52,15.95,16.1,15.52,1400520
24-11-20,16.2,16.05,16.2,15.93,934030
25-11-20,16.0,16.18,16.18,16.0,354690
26-11-20,16.18,16.2,16.2,15.98,1547560
27-11-20,16.2,16.24,16.26,16.18,341840
30-11-20,16.24,16.27,16.34,16.1,386930
01-12-20,16.2,16.32,16.32,16.03,705160
02-12-20,16.32,16.45,16.45,16.3,739480
03-12-20,16.45,16.65,16.65,16.43,371910
04-12-20,16.65,16.6,16.65,16.48,484610
07-12-20,16.89,16.67,17.0,16.51,559630
08-12-20,16.85,16.63,16.85,16.6,636170
09-12-20,16.65,16.92,16.92,16.65,150830
10-12-20,17.0,16.72,17.0,16.72,307670
11-12-20,16.72,16.92,16.92,16.67,147990
14-12-20,17.0,17.11,17.11,17.0,621860
15-12-20,17.02,17.0,17.2,16.92,715550
16-12-20,17.0,17.3,17.3,17.0,198050
17-12-20,17.43,17.1,17.43,17.1,1281610
18-12-20,17.1,17.59,17.59,17.1,1556260
21-12-20,17.59,17.7,17.7,17.49,626080
22-12-20,17.7,17.69,17.7,17.52,468820
23-12-20,17.69,17.6,17.76,17.6,635940
24-12-20,17.84,17.5,17.84,17.14,249360
25-12-20,17.5,17.8,18.0,17.2,311410
28-12-20,17.8,17.71,17.84,17.56,359080
29-12-20,17.67,17.79,17.8,17.62,123540
30-12-20,17.86,17.73,17.95,17.73,239980
31-12-20,17.73,18.0,18.0,17.72,266160
04-01-21,18.5,18.33,18.5,18.14,606600
05-01-21,18.33,18.51,18.55,18.29,573800
06-01-21,18.6,18.7,19.1,18.55,905000
07-01-21,18.7,18.98,18.98,18.7,858500
08-01-21,18.98,19.22,19.41,18.98,355500
11-01-21,19.8,19.55,19.8,19.43,892000
12-01-21,19.99,19.8,19.99,19.44,617500
13-01-21,19.8,19.59,19.8,19.53,570800
14-01-21,19.59,19.58,20.5,19.38,417500
15-01-21,19.58,19.8,19.88,19.58,1568800
18-01-21,20.1,19.69,20.1,19.69,248000
19-01-21,19.7,18.7,19.7,18.41,158300
20-01-21,18.7,18.85,19.5,18.0,350800
21-01-21,19.29,19.3,19.3,18.79,2093900
22-01-21,19.3,19.39,19.58,19.26,1094900
25-01-21,19.39,19.36,19.54,19.26,739800
26-01-21,19.36,18.7,19.36,18.59,772500
27-01-21,18.98,18.35,18.99,18.07,2449500
28-01-21,17.52,17.07,17.7,17.07,609600
29-01-21,16.0,17.5,17.79,16.0,1435100
01-02-21,17.5,17.31,18.0,17.31,1177800
02-02-21,17.3,18.2,18.24,17.29,1491400
03-02-21,18.25,18.85,18.85,18.25,788800
04-02-21,18.88,18.75,19.0,18.58,2113200
05-02-21,18.51,19.49,19.49,18.51,509200
08-02-21,19.49,18.59,19.49,18.17,1286100
09-02-21,18.59,19.47,19.47,18.35,1593600
17-02-21,19.27,19.6,19.71,19.1,878000
18-02-21,19.8,19.76,19.85,18.6,803300
19-02-21,19.49,19.85,19.95,19.49,442800
22-02-21,19.85,19.81,20.0,19.7,438100
23-02-21,19.8,19.9,20.0,19.7,894400
24-02-21,20.0,19.55,20.0,19.48,704200
25-02-21,19.85,19.72,19.85,19.44,222600
26-02-21,19.69,19.7,19.72,19.4,475100
01-03-21,19.72,20.03,20.03,19.72,385100
02-03-21,20.04,20.03,20.21,19.97,340400
03-03-21,20.03,20.06,20.14,19.92,588700
04-03-21,20.2,20.1,20.2,19.57,202500
05-03-21,19.2,19.74,19.74,19.0,681600
08-03-21,19.8,19.66,19.8,19.5,314100
09-03-21,19.45,19.65,19.65,19.33,146200
10-03-21,19.37,19.72,19.72,19.37,65700
11-03-21,19.72,20.0,20.0,19.72,380700
12-03-21,20.0,19.92,20.04,19.9,105800
15-03-21,20.0,20.0,20.1,19.94,384100
16-03-21,20.0,19.99,20.0,19.8,204600
17-03-21,20.0,20.03,20.03,19.91,254900
18-03-21,20.1,20.28,20.28,20.1,228600
19-03-21,20.3,20.2,20.3,20.2,140200
22-03-21,20.2,20.22,20.24,20.05,50300
23-03-21,20.22,19.95,20.22,19.93,257300
24-03-21,19.95,19.7,19.95,19.57,203100
25-03-21,19.7,19.6,19.72,19.49,96400
26-03-21,19.5,19.65,19.65,19.21,572400
29-03-21,19.7,19.89,19.89,19.63,745400
30-03-21,19.98,20.0,20.0,19.75,260500
31-03-21,20.0,20.1,20.15,20.0,94800
01-04-21,20.1,20.6,20.6,20.1,735200
02-04-21,20.98,20.84,20.98,20.73,290300
05-04-21,20.87,21.06,21.2,20.87,214500
06-04-21,21.2,21.04,21.2,20.88,128100
07-04-21,21.2,21.11,21.2,20.92,270900
08-04-21,21.2,20.9,21.2,20.9,120800
09-04-21,21.2,21.0,21.2,20.89,333200
12-04-21,21.0,21.47,21.5,21.0,1007900
13-04-21,21.8,21.2,21.8,21.2,601300
14-04-21,21.69,21.11,21.69,21.11,900000
15-04-21,21.2,21.59,21.8,21.2,1185100
16-04-21,21.59,21.5,21.64,21.1,1233300
19-04-21,21.5,21.98,21.98,21.33,952100
20-04-21,21.98,22.38,22.38,21.87,852900
22-04-21,22.1,21.69,22.1,21.65,356100
23-04-21,22.0,22.0,22.0,21.16,641600
26-04-21,22.0,21.26,22.0,21.2,1719900
27-04-21,21.4,21.46,21.53,21.14,135700
28-04-21,21.2,21.63,21.95,21.2,228300
29-04-21,21.7,22.0,22.0,21.7,461800
04-05-21,22.0,22.2,22.28,21.6,1067800
05-05-21,22.2,22.5,22.67,22.0,1000400
06-05-21,22.6,22.4,22.6,22.36,737400
07-05-21,22.4,22.4,22.58,22.05,1129300
10-05-21,22.4,22.99,22.99,22.4,1838600
11-05-21,22.99,23.23,23.35,22.81,783800
12-05-21,23.2,23.09,23.2,22.65,1804700
13-05-21,23.09,23.0,23.19,22.85,774400
14-05-21,22.9,23.0,23.25,22.9,1117900
17-05-21,23.45,23.0,23.45,23.0,179100
18-05-21,23.32,23.1,23.32,22.93,145600
19-05-21,23.1,23.21,23.44,23.1,759500
20-05-21,23.21,23.74,23.74,23.21,338400
21-05-21,23.7,23.84,23.9,23.68,209200
24-05-21,24.0,25.5,25.5,23.84,415300
25-05-21,24.9,24.2,24.9,23.97,378100
26-05-21,24.2,24.37,24.4,24.2,754000
27-05-21,24.45,24.36,24.47,24.1,372200
28-05-21,24.35,24.48,24.5,24.1,744700
31-05-21,24.48,24.69,24.72,24.39,425000
01-06-21,24.69,24.97,25.1,24.69,663100
02-06-21,25.8,24.59,25.8,24.51,1123700
03-06-21,24.6,25.26,25.26,24.6,656000
04-06-21,25.26,25.24,25.31,25.2,169100
07-06-21,25.3,24.92,25.3,24.8,440500
08-06-21,24.92,24.46,25.0,24.46,407700
09-06-21,24.4,24.6,24.6,24.0,564700
10-06-21,24.57,24.5,24.98,24.3,614200
11-06-21,24.5,24.98,24.99,24.4,126900
14-06-21,25.0,25.1,25.2,24.95,1173300
15-06-21,25.1,25.05,25.19,24.86,1338400
16-06-21,25.1,24.78,25.1,24.7,835600
17-06-21,24.5,24.77,24.77,24.29,323900
18-06-21,24.99,24.9,24.99,24.77,318000
21-06-21,24.9,24.8,24.94,24.75,1033100
22-06-21,25.3,25.11,25.3,24.7,861200
23-06-21,25.12,25.1,25.23,24.93,621500
24-06-21,25.1,24.9,25.15,24.9,885600
25-06-21,25.0,25.26,25.26,24.91,764500
