Date,Open,Close,High,Low,Volume
16-11-20,14.35,14.8,14.85,13.4,210
17-11-20,15.0,15.0,15.45,15.0,180
18-11-20,15.0,15.0,15.0,15.0,0
19-11-20,15.0,15.0,15.0,15.0,0
20-11-20,14.0,14.7,14.95,13.95,4280
23-11-20,14.5,14.5,14.6,14.5,710
24-11-20,14.5,14.5,14.5,14.5,0
25-11-20,13.55,14.7,14.7,13.5,9310
26-11-20,13.7,14.45,14.45,13.7,420
27-11-20,13.45,14.4,14.4,13.45,10210
30-11-20,13.4,14.2,14.2,13.4,6460
01-12-20,14.15,14.05,14.2,13.25,840
02-12-20,13.15,13.9,13.9,13.1,3440
03-12-20,13.05,13.85,13.85,12.95,6700
04-12-20,13.6,13.85,13.85,13.5,2310
07-12-20,13.8,13.6,13.8,13.05,10620
08-12-20,13.3,13.85,13.85,13.1,6230
09-12-20,13.1,13.7,13.75,13.0,2100
10-12-20,13.1,13.55,13.7,13.05,1900
11-12-20,13.55,14.1,14.45,12.95,10460
14-12-20,14.0,14.5,14.5,14.0,150
15-12-20,14.1,14.2,14.3,13.55,1140
16-12-20,14.2,14.2,14.2,14.2,0
17-12-20,14.15,14.15,14.15,14.15,70
18-12-20,14.3,14.5,14.5,14.3,80
21-12-20,13.6,14.0,14.0,13.6,300
22-12-20,13.2,13.9,14.0,13.1,13610
23-12-20,13.2,13.4,13.5,13.1,1100
24-12-20,13.4,13.75,14.3,13.05,1310
25-12-20,13.0,13.35,14.65,13.0,24580
28-12-20,14.15,13.35,14.2,13.35,2620
29-12-20,13.95,13.4,13.95,13.4,350
30-12-20,14.3,13.4,14.3,13.2,5450
31-12-20,14.0,13.4,14.0,13.2,930
04-01-21,14.05,13.95,14.05,13.5,2200
05-01-21,14.3,13.95,14.3,13.5,14200
06-01-21,14.1,13.9,14.1,13.6,1300
07-01-21,13.8,13.9,14.6,13.4,8400
08-01-21,13.85,13.9,14.0,13.85,1600
11-01-21,13.9,13.9,13.9,13.5,8700
12-01-21,13.9,13.9,14.2,13.2,8100
13-01-21,14.0,14.0,14.15,13.95,2600
14-01-21,13.95,13.9,13.95,13.35,6100
15-01-21,13.4,13.65,13.8,13.2,12600
18-01-21,13.5,13.65,14.1,13.5,1400
19-01-21,13.95,13.6,13.95,13.2,900
20-01-21,13.6,13.9,13.9,13.6,400
21-01-21,13.5,13.9,13.9,13.45,4800
22-01-21,13.2,13.15,13.5,12.95,19800
25-01-21,13.15,13.15,13.15,13.15,0
26-01-21,12.8,13.15,13.15,12.5,5700
27-01-21,12.55,12.25,12.55,12.25,11200
28-01-21,11.5,11.5,13.0,11.4,4000
29-01-21,10.8,11.6,11.85,10.8,500
01-02-21,12.1,11.9,12.1,11.9,500
02-02-21,12.4,11.4,12.4,11.4,1600
03-02-21,10.65,11.4,11.8,10.65,2500
04-02-21,11.8,11.8,11.8,11.8,600
05-02-21,11.8,11.9,11.9,11.75,2800
08-02-21,11.9,11.9,12.0,11.9,1300
09-02-21,12.0,12.0,12.0,12.0,2500
17-02-21,12.55,12.55,12.55,12.55,100
18-02-21,12.0,12.35,12.35,12.0,2400
19-02-21,11.9,11.9,11.9,11.9,1000
22-02-21,11.75,12.55,12.55,11.75,600
23-02-21,12.5,11.8,12.5,11.8,600
24-02-21,11.8,11.8,11.8,11.8,1600
25-02-21,11.55,11.4,11.55,11.4,2200
26-02-21,11.0,12.05,12.1,10.8,1500
01-03-21,11.3,11.4,11.45,11.3,3900
02-03-21,12.1,11.95,12.1,11.95,800
03-03-21,11.95,12.3,12.3,11.95,11500
04-03-21,12.2,12.3,12.3,12.2,1100
05-03-21,11.55,12.25,12.25,11.55,500
08-03-21,12.25,12.2,12.25,11.55,9800
09-03-21,12.0,11.8,12.0,11.8,2000
10-03-21,12.0,12.3,12.3,12.0,5100
11-03-21,12.3,12.3,12.3,12.25,1800
12-03-21,11.8,12.0,12.3,11.8,800
15-03-21,12.65,12.4,12.65,12.0,1900
16-03-21,12.4,12.5,12.6,12.4,8800
17-03-21,12.5,12.5,12.5,12.5,1100
18-03-21,12.4,12.4,12.4,12.4,1000
19-03-21,12.4,12.4,12.4,12.4,500
22-03-21,12.4,12.25,12.4,12.25,2100
23-03-21,12.35,12.5,12.5,12.35,2500
24-03-21,12.3,12.45,12.5,12.3,1900
25-03-21,12.0,12.4,12.4,12.0,3200
26-03-21,11.7,12.0,12.0,11.7,2500
29-03-21,12.0,12.0,12.0,12.0,100
30-03-21,12.4,12.5,12.5,12.4,5400
31-03-21,12.5,12.5,12.5,12.5,5200
01-04-21,12.5,12.4,12.5,12.4,2000
02-04-21,12.4,12.4,12.4,12.4,1200
05-04-21,12.5,13.0,13.0,12.5,1800
06-04-21,12.6,12.6,12.6,12.6,600
07-04-21,12.6,12.6,12.6,12.6,1500
08-04-21,12.4,12.4,12.4,12.4,1000
09-04-21,12.35,12.5,13.0,12.2,6800
12-04-21,12.5,12.5,12.6,12.5,4900
13-04-21,12.5,12.5,12.5,12.5,0
14-04-21,12.5,12.95,12.95,12.5,500
15-04-21,12.95,12.95,12.95,12.95,0
16-04-21,12.5,12.1,12.5,12.1,2500
19-04-21,12.1,12.1,12.1,12.1,0
20-04-21,12.1,12.5,12.5,11.4,4700
22-04-21,12.5,12.5,12.5,12.5,0
23-04-21,12.4,12.2,12.4,12.2,7100
26-04-21,12.5,12.5,12.5,12.5,100
27-04-21,12.5,12.5,12.5,12.5,100
28-04-21,12.5,12.5,12.5,12.5,0
29-04-21,12.5,12.5,12.5,12.5,0
04-05-21,11.8,12.4,12.4,11.8,300
05-05-21,12.4,12.4,12.4,12.4,0
06-05-21,11.75,11.75,11.75,11.75,300
07-05-21,11.75,11.75,11.75,11.75,0
10-05-21,11.2,11.2,11.2,11.2,400
11-05-21,11.5,11.95,11.95,11.5,4200
12-05-21,11.95,11.4,11.95,11.4,600
13-05-21,12.1,11.25,12.1,11.25,200
14-05-21,12.0,11.95,12.0,11.95,500
17-05-21,11.95,11.95,11.95,11.95,0
18-05-21,11.95,11.95,11.95,11.95,0
19-05-21,11.95,12.05,12.05,11.95,1500
20-05-21,12.0,12.0,12.0,12.0,2000
21-05-21,12.0,12.0,12.0,12.0,2000
24-05-21,11.4,11.4,12.5,11.4,2200
25-05-21,12.05,12.05,12.05,12.05,1200
26-05-21,12.05,12.05,12.05,12.05,100
27-05-21,12.05,12.05,12.05,12.05,0
28-05-21,11.3,12.05,12.05,11.3,2300
31-05-21,12.05,12.05,12.05,12.05,0
01-06-21,12.1,12.1,12.1,12.1,2500
02-06-21,12.2,12.2,12.2,12.2,900
03-06-21,12.2,12.2,12.2,12.2,0
04-06-21,11.7,11.7,11.7,11.7,300
07-06-21,11.65,12.45,12.45,11.65,2200
08-06-21,12.45,12.45,12.45,12.45,0
09-06-21,12.45,12.45,12.45,12.45,1700
10-06-21,12.45,12.45,12.45,12.45,0
11-06-21,12.45,12.45,12.45,12.45,4500
14-06-21,12.4,12.45,12.5,12.4,12500
15-06-21,12.45,12.5,12.5,12.45,5600
16-06-21,12.5,12.5,12.5,12.5,900
17-06-21,12.5,12.5,12.5,12.5,4400
18-06-21,12.95,12.9,13.35,12.6,39500
21-06-21,13.8,12.5,13.8,12.5,57400
22-06-21,13.35,13.0,13.35,13.0,21300
23-06-21,13.0,13.0,13.6,13.0,6700
24-06-21,13.0,13.0,13.3,12.9,24200
25-06-21,13.3,13.3,13.3,12.5,1900
28-06-21,13.0,13.25,13.3,12.7,11800
29-06-21,13.0,13.2,13.3,13.0,11900
30-06-21,13.5,13.5,13.85,12.5,24500
01-07-21,13.5,13.5,13.8,13.5,20700
02-07-21,13.5,12.6,14.0,12.6,9900
05-07-21,13.4,13.4,13.4,13.4,100
06-07-21,13.45,12.9,13.45,12.9,3300
07-07-21,12.6,12.6,12.6,12.6,3000
08-07-21,13.35,12.7,13.4,12.7,6100
09-07-21,12.7,11.9,12.7,11.9,1600
