Date,Open,Close,High,Low,Volume
16-11-20,54.0,53.3,54.4,53.0,3713690
17-11-20,53.6,54.0,54.1,53.0,2515530
18-11-20,54.3,54.0,54.3,53.7,1757160
19-11-20,54.3,55.1,56.0,54.0,4980430
20-11-20,55.1,55.2,55.9,55.0,1837360
23-11-20,55.2,55.9,56.2,54.6,2824640
24-11-20,55.9,55.6,56.5,55.0,3003940
25-11-20,56.3,55.2,56.3,55.2,1835630
26-11-20,55.5,55.7,56.0,54.8,1635130
27-11-20,55.9,56.2,56.2,55.6,1986420
30-11-20,56.7,55.4,56.7,55.4,2761700
01-12-20,55.0,55.2,55.4,54.8,3427370
02-12-20,55.0,55.6,55.7,55.0,2108200
03-12-20,55.5,55.6,55.7,55.1,1627980
04-12-20,55.4,55.7,55.9,55.4,1380920
07-12-20,55.9,55.7,56.0,55.5,1455180
08-12-20,55.7,56.2,56.6,55.5,2297110
09-12-20,56.3,57.5,57.8,56.2,3001820
10-12-20,57.0,56.5,57.7,56.5,2112490
11-12-20,56.6,57.0,57.0,56.3,1750270
14-12-20,57.0,57.2,58.0,56.9,1443760
15-12-20,57.5,56.7,57.6,56.6,2666900
16-12-20,57.2,57.1,57.5,57.0,1995530
17-12-20,56.9,56.5,57.1,56.0,3594500
18-12-20,56.5,56.9,57.1,56.5,1532820
21-12-20,57.3,57.5,57.8,57.1,2307390
22-12-20,57.4,58.1,58.5,57.1,2576390
23-12-20,58.3,57.5,58.6,57.2,1391420
24-12-20,57.5,57.0,57.8,56.4,2386210
25-12-20,57.0,57.6,57.6,56.6,1625110
28-12-20,57.9,57.9,58.6,57.5,2197090
29-12-20,57.9,58.6,58.8,57.6,2172950
30-12-20,58.9,58.1,58.9,58.1,1204180
31-12-20,58.1,59.1,59.2,58.0,2036370
04-01-21,59.6,60.2,60.2,59.3,2151300
05-01-21,60.0,62.7,63.5,59.8,2332200
06-01-21,63.1,62.4,63.6,62.3,1796000
07-01-21,62.6,62.5,62.9,61.9,2150200
08-01-21,63.0,63.3,63.7,62.6,2720400
11-01-21,63.9,64.7,64.7,63.3,1972800
12-01-21,65.0,65.8,66.0,64.0,2435200
13-01-21,65.9,66.5,67.4,65.9,2612000
14-01-21,66.5,66.4,67.0,65.7,1777500
15-01-21,67.0,66.6,67.0,66.4,1540400
18-01-21,67.0,66.3,67.0,66.2,1209000
19-01-21,66.0,62.0,66.1,61.7,3505600
20-01-21,62.7,63.3,63.7,60.2,3663800
21-01-21,64.5,65.6,65.8,63.3,2313100
22-01-21,65.7,66.9,67.5,65.4,2090300
25-01-21,66.8,67.0,68.2,66.2,3111900
26-01-21,67.5,66.0,67.5,65.5,2597500
27-01-21,65.7,63.0,66.1,62.9,2226800
28-01-21,60.0,58.6,62.3,58.6,5092400
29-01-21,59.0,62.7,62.7,59.0,3211900
01-02-21,64.4,63.5,65.4,62.3,2017400
02-02-21,63.1,66.0,66.0,63.0,3264600
03-02-21,67.5,70.0,70.6,66.1,4173500
04-02-21,70.2,72.5,73.2,70.2,4398700
05-02-21,73.0,72.9,73.4,71.8,2084900
08-02-21,72.9,71.3,72.9,69.6,4035600
09-02-21,71.4,74.6,74.6,70.0,4224300
17-02-21,76.3,77.9,79.0,75.9,3139100
18-02-21,78.0,78.2,78.3,76.6,2243100
19-02-21,77.3,76.6,78.0,76.0,3722700
22-02-21,76.6,76.8,77.5,76.1,2319300
23-02-21,76.3,75.5,77.0,74.6,3369500
24-02-21,76.0,75.4,76.5,74.9,2225200
25-02-21,76.1,76.2,76.3,74.5,1927500
26-02-21,75.0,76.2,76.4,74.9,1936000
01-03-21,76.8,77.9,78.0,76.8,2078100
02-03-21,78.9,77.9,78.9,76.9,1821700
03-03-21,78.0,77.7,78.1,77.4,1599400
04-03-21,77.7,75.9,77.8,75.1,2901500
05-03-21,75.5,75.9,76.0,74.5,2507500
08-03-21,76.0,75.8,76.5,75.4,1656600
09-03-21,75.0,75.0,75.7,74.5,2182400
10-03-21,75.9,76.3,77.5,75.0,2602400
11-03-21,76.5,76.7,77.1,76.1,1477800
12-03-21,77.0,76.5,77.1,76.3,2062800
15-03-21,76.6,76.5,77.5,76.1,1760900
