Date,Open,Close,High,Low,Volume
30-09-22,9.72,10.0,10.0,9.39,144900
03-10-22,10.0,9.5,10.0,9.3,59700
04-10-22,9.37,8.84,9.37,8.84,76500
05-10-22,8.97,9.12,9.12,8.95,13400
06-10-22,9.13,8.78,9.13,8.78,48400
07-10-22,8.49,8.22,8.49,8.22,42700
10-10-22,7.81,8.4,8.42,7.81,9400
11-10-22,8.38,8.1,8.38,8.1,19200
12-10-22,8.1,8.25,8.35,8.05,11400
13-10-22,8.2,8.5,8.5,8.16,417100
14-10-22,8.77,8.6,8.77,8.45,6700
17-10-22,8.53,8.51,8.56,8.48,10800
18-10-22,8.8,8.8,8.88,8.8,336000
19-10-22,8.77,8.75,8.79,8.71,182600
