Date,Open,Close,High,Low,Volume
19-08-22,8.5,8.41,8.5,8.41,54000
22-08-22,8.4,8.32,8.4,8.3,53000
23-08-22,8.31,8.31,8.31,8.31,50000
24-08-22,8.36,8.43,8.43,8.36,53600
25-08-22,8.5,8.5,8.52,8.48,54000
26-08-22,8.5,8.54,8.59,8.5,54500
29-08-22,8.51,8.46,8.51,8.08,56900
30-08-22,8.89,8.47,8.89,8.47,76200
31-08-22,8.44,8.56,8.56,8.44,51500
05-09-22,8.55,8.48,8.55,8.48,52800
06-09-22,8.01,8.5,8.5,8.01,114600
07-09-22,8.42,8.3,8.44,8.3,55200
08-09-22,8.31,8.3,8.32,8.28,54300
09-09-22,8.32,8.27,8.32,8.24,76900
12-09-22,8.35,8.34,8.39,8.34,51700
13-09-22,8.35,8.33,8.35,8.29,57700
14-09-22,8.19,8.21,8.21,8.18,51100
15-09-22,8.28,8.27,8.28,8.26,50900
16-09-22,8.39,8.19,8.39,8.19,52700
19-09-22,8.15,8.05,8.15,8.05,56600
20-09-22,8.1,8.1,8.1,8.04,51000
21-09-22,8.07,8.0,8.07,8.0,56900
22-09-22,7.96,7.98,8.03,7.91,53500
23-09-22,8.0,7.94,8.0,7.94,53100
26-09-22,7.93,8.4,8.4,7.7,87300
27-09-22,7.93,7.86,7.93,7.84,52200
28-09-22,7.74,7.7,7.74,7.66,54600
29-09-22,7.67,7.68,7.7,7.58,56300
30-09-22,7.6,7.44,7.6,7.41,4000
03-10-22,7.95,7.19,7.95,7.19,62600
04-10-22,7.27,7.68,7.68,7.18,57400
05-10-22,7.25,8.2,8.2,7.25,1403000
06-10-22,7.63,7.63,7.64,7.63,10300
07-10-22,7.4,7.1,7.4,7.1,57400
10-10-22,7.0,6.78,7.0,6.64,84000
11-10-22,6.78,6.44,6.78,6.39,35900
12-10-22,6.5,6.68,6.78,6.5,29800
13-10-22,6.65,6.73,6.74,6.61,56400
14-10-22,6.85,6.95,6.99,6.85,52800
17-10-22,6.78,6.73,6.78,6.73,50800
18-10-22,6.94,6.87,6.95,6.87,51400
19-10-22,6.88,6.84,6.92,6.84,55200
20-10-22,6.9,7.0,7.0,6.85,51000
21-10-22,6.72,6.53,6.72,6.53,55700
24-10-22,6.53,6.21,6.53,6.21,68700
25-10-22,6.39,6.3,6.48,6.2,58700
26-10-22,6.4,6.3,6.4,6.3,52500
27-10-22,6.5,6.74,6.74,6.46,52100
28-10-22,6.75,6.98,6.98,6.65,57300
31-10-22,6.69,7.39,7.39,6.56,55400
01-11-22,6.89,6.89,6.98,6.88,68600
