Date,Open,Close,High,Low,Volume
16-11-20,13.8,13.8,13.9,13.7,60690
17-11-20,13.8,13.9,13.9,13.7,50390
18-11-20,13.9,13.9,14.1,13.8,55410
19-11-20,13.9,14.0,14.0,13.8,85550
20-11-20,14.0,14.1,14.1,13.81,70280
23-11-20,14.1,14.2,14.2,14.0,96290
24-11-20,14.2,14.3,14.5,14.2,48510
25-11-20,14.3,14.4,14.4,14.3,56140
26-11-20,14.4,14.2,14.4,14.2,52740
27-11-20,14.2,14.2,14.2,14.1,52430
30-11-20,14.1,14.19,14.2,14.01,54010
01-12-20,14.19,14.3,14.3,13.91,97870
02-12-20,14.3,14.39,14.4,14.3,56940
03-12-20,14.4,14.4,14.7,14.4,53400
04-12-20,14.45,14.41,14.45,14.41,7680
07-12-20,14.41,14.44,14.5,14.41,45820
08-12-20,14.44,14.5,14.5,14.31,75430
09-12-20,14.5,14.8,14.8,14.45,55210
10-12-20,14.8,14.7,14.8,14.65,30400
11-12-20,14.7,14.75,14.8,14.7,36590
14-12-20,14.75,14.9,14.9,14.75,62880
15-12-20,15.0,15.0,15.0,14.71,68380
16-12-20,15.0,15.1,15.1,15.0,37380
17-12-20,15.1,15.0,15.1,15.0,44100
18-12-20,15.0,15.3,15.3,14.91,104050
21-12-20,15.3,15.5,15.5,15.3,40320
22-12-20,15.5,15.6,15.6,15.5,21560
23-12-20,15.6,15.8,15.8,15.6,55710
24-12-20,15.5,15.5,15.6,14.91,132320
25-12-20,15.5,15.8,15.8,15.5,43610
28-12-20,15.8,15.9,15.9,15.8,43560
29-12-20,15.9,15.8,16.0,15.8,79960
30-12-20,15.8,15.6,15.8,15.6,33480
31-12-20,15.6,15.8,15.8,15.41,68470
04-01-21,15.8,16.2,16.2,15.8,66700
05-01-21,16.2,16.3,16.3,16.2,43600
06-01-21,16.3,16.4,16.6,16.3,71200
07-01-21,16.4,16.5,16.5,16.11,111600
08-01-21,16.5,16.7,16.7,16.5,50500
11-01-21,16.7,17.0,17.0,16.7,62300
12-01-21,17.1,17.1,17.2,17.0,99000
13-01-21,17.1,17.2,17.3,16.91,107800
14-01-21,17.2,17.3,17.3,17.15,37000
15-01-21,17.3,17.5,17.5,17.3,57800
18-01-21,17.5,17.6,17.8,17.5,114400
19-01-21,17.5,16.5,17.5,16.5,162500
20-01-21,16.5,16.5,16.5,15.41,91000
21-01-21,16.5,16.7,16.7,16.5,84300
22-01-21,16.7,16.9,16.9,16.41,102300
25-01-21,16.9,17.0,17.09,16.9,74600
26-01-21,17.0,16.8,17.0,16.8,31000
27-01-21,16.8,15.7,16.9,15.7,125400
28-01-21,15.5,15.25,15.7,14.64,115800
29-01-21,14.3,15.8,15.9,14.3,86700
01-02-21,15.8,15.6,15.9,15.6,64100
02-02-21,15.6,15.7,15.7,15.5,34400
03-02-21,15.7,16.4,16.4,15.4,145800
04-02-21,16.4,16.5,16.5,16.4,33600
05-02-21,16.5,16.7,16.7,16.5,66900
08-02-21,16.8,15.9,16.8,15.9,90500
09-02-21,15.8,16.3,16.3,15.7,87000
17-02-21,16.4,16.9,16.9,16.4,107000
18-02-21,17.0,17.1,17.1,17.0,30500
19-02-21,17.2,17.3,17.3,16.81,130000
22-02-21,17.3,17.3,17.5,17.3,49700
23-02-21,17.3,17.3,17.4,17.1,60200
24-02-21,17.3,16.9,17.6,16.9,140400
25-02-21,16.9,16.9,17.0,16.9,72700
26-02-21,16.9,16.9,16.9,16.31,105800
01-03-21,17.0,17.3,17.4,17.0,107000
02-03-21,17.35,17.5,17.5,17.35,38700
03-03-21,17.5,17.4,17.5,17.1,94800
04-03-21,17.4,17.3,17.5,17.3,47200
05-03-21,17.1,17.3,17.3,16.9,40400
08-03-21,17.3,17.2,17.4,17.2,41300
09-03-21,17.2,16.8,17.2,16.7,108400
10-03-21,16.9,16.9,17.0,16.9,43600
11-03-21,17.0,17.3,17.3,16.9,65100
12-03-21,17.3,17.4,17.5,17.3,70100
15-03-21,17.4,17.5,17.5,17.0,93800
16-03-21,17.5,17.4,17.6,17.4,80100
17-03-21,17.4,17.5,17.5,17.4,46200
18-03-21,17.5,17.6,17.8,17.5,84000
19-03-21,17.6,17.6,17.6,17.3,77900
22-03-21,17.6,17.6,17.6,17.01,75800
23-03-21,17.6,17.6,17.6,17.2,83400
24-03-21,17.6,17.7,17.7,17.3,88700
25-03-21,17.0,17.0,17.4,17.0,85500
26-03-21,17.0,16.8,17.0,16.5,96900
29-03-21,17.0,17.1,17.1,17.0,36700
30-03-21,17.3,17.5,17.5,17.3,145900
31-03-21,17.5,17.7,17.7,17.4,48400
01-04-21,17.6,18.0,18.0,17.31,127700
02-04-21,18.0,18.3,18.3,17.4,121300
05-04-21,18.3,18.5,18.5,18.3,39500
