Date,Open,Close,High,Low,Volume
16-11-20,16.1,15.9,16.15,15.6,738790
17-11-20,15.95,16.0,16.15,15.9,818710
18-11-20,15.95,16.0,16.1,15.9,768410
19-11-20,15.8,15.9,16.05,15.8,842380
20-11-20,15.9,15.75,16.0,15.6,600110
23-11-20,15.75,15.85,16.05,15.65,496760
24-11-20,15.6,15.55,15.8,15.4,1094730
25-11-20,15.5,16.15,16.2,15.5,1071580
26-11-20,16.25,16.5,16.65,16.25,959880
27-11-20,16.5,16.4,16.7,16.4,1028300
30-11-20,16.4,16.35,16.55,16.05,1111140
01-12-20,16.2,16.0,16.3,16.0,960900
02-12-20,16.1,15.9,16.1,15.75,774340
03-12-20,16.0,16.3,16.3,16.0,972470
04-12-20,16.4,16.8,17.25,16.35,1750180
07-12-20,16.8,17.1,17.5,16.8,1286180
08-12-20,17.1,17.05,17.2,16.8,840900
09-12-20,17.0,17.0,17.25,17.0,1058370
10-12-20,17.1,16.95,17.2,16.85,902430
11-12-20,16.9,17.1,17.2,16.75,665770
14-12-20,17.4,17.7,17.7,17.3,1321450
15-12-20,17.8,17.55,17.8,17.5,769630
16-12-20,17.6,17.6,17.75,17.5,742320
17-12-20,17.6,17.2,17.75,17.2,770500
18-12-20,17.3,18.4,18.4,17.3,2953570
21-12-20,18.9,19.55,19.65,18.9,1748850
22-12-20,19.6,19.4,19.6,18.6,1014570
23-12-20,19.05,19.5,20.2,19.0,2221160
24-12-20,19.8,19.8,20.2,18.8,1893830
25-12-20,20.0,20.05,20.15,19.6,1833430
28-12-20,20.2,19.75,20.55,19.7,1588120
29-12-20,19.75,19.7,20.0,19.55,996920
30-12-20,19.7,19.45,19.9,19.4,1094100
31-12-20,19.5,19.8,19.8,19.45,1399250
04-01-21,19.9,20.05,20.25,19.8,1878300
05-01-21,20.05,20.15,20.2,19.85,1344900
06-01-21,20.2,20.6,21.4,20.15,1669700
07-01-21,20.8,21.0,21.15,20.7,1434600
08-01-21,21.45,20.8,21.45,20.6,1033600
11-01-21,20.65,20.5,20.75,20.25,1626900
12-01-21,20.45,20.8,20.9,20.15,1219300
13-01-21,20.9,20.4,20.9,20.35,1140700
14-01-21,20.25,20.0,20.35,19.85,1510300
15-01-21,20.1,20.05,20.3,20.0,917800
18-01-21,19.9,20.1,20.5,19.4,1863800
19-01-21,20.3,19.95,20.9,18.7,1610300
20-01-21,19.9,19.85,20.1,18.6,714100
21-01-21,19.85,19.95,20.1,19.6,646300
22-01-21,19.95,19.75,20.0,19.55,737600
25-01-21,19.75,19.4,19.75,19.35,756400
26-01-21,19.4,18.7,19.4,18.05,1374600
27-01-21,18.6,17.4,18.6,17.4,1088100
28-01-21,16.2,16.2,16.5,16.2,1017700
29-01-21,15.1,16.5,16.6,15.1,785400
