Date,Open,Close,High,Low,Volume
16-11-20,20.05,19.75,20.4,19.75,9962450
17-11-20,19.85,19.9,19.95,19.7,7425690
18-11-20,19.95,20.8,20.9,19.75,15541890
19-11-20,20.85,20.6,21.25,20.6,9903000
20-11-20,20.55,21.7,21.75,20.55,15309010
23-11-20,21.65,21.5,21.85,21.3,8587900
24-11-20,21.5,21.2,21.65,21.0,11343550
25-11-20,21.3,20.9,21.3,20.9,7471980
26-11-20,20.9,20.8,20.95,20.6,4440470
27-11-20,21.0,20.95,21.1,20.8,4863080
30-11-20,21.2,20.45,21.2,20.45,6438770
01-12-20,20.1,20.25,20.45,19.95,8694430
02-12-20,20.4,20.65,20.85,20.3,5641230
03-12-20,20.7,20.95,21.1,20.7,5312870
04-12-20,20.8,20.7,20.95,20.65,5250520
07-12-20,20.75,20.85,21.25,20.55,7783790
08-12-20,20.85,21.0,21.3,20.7,8800270
09-12-20,21.1,21.05,21.4,21.0,7204860
10-12-20,21.05,20.45,21.1,20.45,7341520
11-12-20,20.45,20.8,20.8,20.25,5714950
14-12-20,20.9,20.75,20.95,20.7,6564760
15-12-20,20.75,20.9,21.25,20.55,9207440
16-12-20,21.2,21.2,21.45,21.0,10529400
17-12-20,21.2,20.7,21.35,20.7,7449510
18-12-20,20.75,20.8,20.95,20.65,6823580
21-12-20,20.8,20.75,20.85,20.6,8083480
22-12-20,20.8,22.1,22.2,20.65,14694680
23-12-20,22.5,23.6,23.6,22.2,24190880
24-12-20,23.65,23.5,23.9,22.0,13419170
25-12-20,23.3,23.1,23.45,22.85,10648240
28-12-20,23.4,23.05,23.8,22.7,10181950
29-12-20,23.05,23.15,23.4,22.85,9194050
30-12-20,23.2,22.55,23.3,22.55,9559510
31-12-20,22.5,22.5,22.9,22.45,6510070
04-01-21,22.7,22.9,23.3,22.5,8319800
05-01-21,22.8,23.5,23.8,22.7,9273300
06-01-21,23.9,23.25,23.9,22.9,8392900
07-01-21,23.3,23.35,23.75,22.85,7352200
08-01-21,23.3,23.4,23.7,23.0,11064800
11-01-21,23.65,24.8,24.85,23.6,16848700
12-01-21,25.0,24.45,25.0,24.0,6360900
13-01-21,24.4,24.0,24.45,23.65,11194900
14-01-21,23.8,23.85,24.05,23.5,7796600
15-01-21,24.0,23.85,24.45,23.75,7646900
18-01-21,23.9,23.85,24.4,23.8,10133000
19-01-21,23.85,22.2,23.85,22.2,9038800
20-01-21,22.05,21.8,22.4,20.7,8159800
21-01-21,22.3,22.8,22.8,21.75,7222700
22-01-21,22.7,22.35,23.15,22.35,6732900
25-01-21,22.1,22.55,23.25,22.0,5715900
26-01-21,22.55,21.5,22.6,21.2,4954500
27-01-21,21.3,20.95,21.95,20.5,6119400
28-01-21,19.7,19.5,20.1,19.5,7768700
29-01-21,18.25,20.0,20.25,18.25,5915200
01-02-21,19.8,18.85,20.4,18.8,5168500
02-02-21,19.2,19.15,19.3,18.65,4380300
03-02-21,19.4,20.15,20.4,19.35,4442400
04-02-21,20.2,20.6,21.3,20.0,5463600
05-02-21,20.6,20.95,21.05,20.5,3594600
08-02-21,20.85,20.1,20.95,19.75,4844700
09-02-21,20.1,20.25,20.4,19.6,3755900
17-02-21,20.7,21.25,21.4,20.5,4659700
18-02-21,21.5,21.6,21.95,20.95,5539100
19-02-21,21.3,21.85,21.9,21.2,4051800
22-02-21,21.9,21.7,22.25,21.5,5134800
23-02-21,21.7,21.45,21.7,21.3,6413100
24-02-21,21.4,21.2,21.55,20.9,5347200
25-02-21,21.35,21.0,21.4,20.85,4153000
26-02-21,20.6,21.1,21.2,20.6,4405900
01-03-21,21.3,22.55,22.55,21.25,9063500
02-03-21,23.4,22.75,23.4,22.6,8888500
03-03-21,22.75,22.75,23.1,22.6,3115600
04-03-21,23.0,22.95,23.65,22.45,9658900
05-03-21,22.95,22.95,23.1,22.3,5285900
08-03-21,23.3,23.0,23.5,22.9,8213400
09-03-21,22.9,23.0,23.35,22.55,4920400
10-03-21,23.0,22.95,23.15,22.8,4152800
11-03-21,23.15,22.95,23.2,22.9,4930100
12-03-21,23.0,22.7,23.05,22.65,5001800
15-03-21,22.85,22.6,22.85,22.45,5008700
16-03-21,22.65,22.45,22.65,22.3,4518700
17-03-21,22.45,22.45,22.55,22.35,4243000
18-03-21,22.7,23.3,23.45,22.55,10223600
19-03-21,23.3,23.7,23.95,23.3,9262400
22-03-21,23.7,23.35,23.85,23.25,4384300
23-03-21,23.3,22.95,23.3,22.65,6880600
24-03-21,22.6,22.3,22.8,22.0,6324100
25-03-21,22.5,22.0,22.5,21.8,4933600
26-03-21,21.7,22.35,22.7,21.0,6600100
29-03-21,22.6,23.3,23.3,22.35,7748600
30-03-21,23.2,24.0,24.6,23.2,19405700
31-03-21,24.0,23.8,24.4,23.65,5600100
01-04-21,24.0,24.05,24.25,23.75,5473000
02-04-21,24.3,24.1,24.3,23.9,5104300
05-04-21,24.5,24.3,24.5,23.95,6153000
06-04-21,24.3,25.5,26.0,24.1,14904700
07-04-21,25.7,27.25,27.25,25.65,14686600
08-04-21,28.0,28.5,28.95,27.9,10628200
09-04-21,28.05,27.6,28.45,27.2,8558700
12-04-21,27.5,28.25,28.5,27.2,9996300
13-04-21,28.7,27.35,28.7,27.2,6519300
14-04-21,26.9,27.85,28.0,26.7,6586900
15-04-21,27.8,26.75,27.8,26.7,7085000
16-04-21,26.5,25.9,27.1,25.0,7473900
