Date,Open,Close,High,Low,Volume
16-11-20,11.4,11.4,11.4,11.4,10
17-11-20,11.6,11.35,11.6,11.35,1600
18-11-20,11.35,11.35,11.35,11.35,0
19-11-20,11.35,11.35,11.35,11.35,0
20-11-20,11.35,10.9,11.35,10.8,2960
23-11-20,10.95,10.95,10.95,10.8,1410
24-11-20,10.7,10.7,10.8,10.7,3040
25-11-20,10.7,11.25,11.25,10.7,40
26-11-20,10.6,11.2,11.2,10.6,510
27-11-20,11.3,11.2,11.3,10.7,1150
30-11-20,11.2,11.2,11.2,11.2,0
01-12-20,11.2,11.2,11.2,11.2,0
02-12-20,10.75,10.75,10.75,10.75,10
03-12-20,10.75,10.75,10.75,10.75,17970
04-12-20,10.75,11.0,11.0,10.75,22510
07-12-20,10.95,10.95,11.0,10.9,12990
08-12-20,11.0,11.0,11.2,10.95,5060
09-12-20,11.0,11.05,11.05,10.75,9980
10-12-20,11.05,10.9,11.05,10.9,4510
11-12-20,10.9,11.0,11.2,10.9,46720
14-12-20,11.0,11.0,11.0,11.0,1040
15-12-20,11.0,11.15,11.15,11.0,1670
16-12-20,10.85,10.75,11.2,10.55,16960
17-12-20,11.1,11.0,11.1,10.8,8310
18-12-20,11.0,11.2,11.2,10.9,1010
21-12-20,10.9,10.9,11.05,10.9,2780
22-12-20,11.0,11.0,11.0,11.0,19970
23-12-20,11.0,11.0,11.0,11.0,6300
24-12-20,11.0,11.0,11.2,10.95,5840
25-12-20,11.0,11.15,11.25,11.0,3980
28-12-20,11.15,11.75,11.9,11.15,41580
29-12-20,11.5,11.6,11.75,11.5,2390
30-12-20,11.6,11.5,11.95,11.45,6730
31-12-20,11.5,11.3,11.85,11.3,1770
04-01-21,11.4,11.75,11.75,11.4,1100
05-01-21,11.75,11.7,11.75,11.7,2400
06-01-21,11.7,11.75,11.75,11.7,11000
07-01-21,11.8,11.5,11.8,11.5,11800
08-01-21,11.75,11.75,11.75,11.75,100
11-01-21,11.5,11.2,11.5,11.2,171800
12-01-21,11.3,11.9,11.95,11.3,37000
13-01-21,11.95,12.0,12.0,11.9,9600
14-01-21,11.8,11.8,11.8,11.7,3500
15-01-21,12.0,12.1,12.2,11.7,47600
18-01-21,12.35,12.85,12.9,12.35,312100
19-01-21,13.6,12.35,13.6,12.35,26600
20-01-21,12.35,12.45,12.45,11.55,28000
21-01-21,12.6,12.7,12.8,12.25,45700
22-01-21,12.45,12.4,12.45,12.4,18200
25-01-21,12.4,12.7,12.9,12.4,71500
26-01-21,12.7,12.55,12.8,12.3,44600
27-01-21,12.4,12.2,12.6,12.0,43000
28-01-21,11.5,11.35,11.55,11.35,45200
29-01-21,11.5,11.6,12.0,11.5,20300
01-02-21,11.6,11.6,11.9,11.1,12900
02-02-21,11.6,11.75,11.75,11.6,6800
03-02-21,11.8,12.05,12.2,11.8,5900
04-02-21,11.95,12.1,12.1,11.9,6100
05-02-21,11.95,11.8,12.0,11.8,124500
08-02-21,11.9,11.9,12.0,11.8,8300
09-02-21,11.9,12.15,12.15,11.8,80900
17-02-21,12.15,12.15,12.2,12.1,20500
18-02-21,12.15,12.2,12.5,12.1,22200
19-02-21,12.0,12.4,12.4,11.6,51200
22-02-21,12.4,12.35,12.55,12.35,27200
23-02-21,12.45,12.45,12.45,12.1,16900
24-02-21,12.45,12.1,12.45,12.1,21800
25-02-21,12.35,12.3,12.35,11.95,74100
26-02-21,12.0,12.2,12.2,12.0,9800
01-03-21,12.3,12.35,12.35,12.25,30800
02-03-21,12.35,12.25,12.35,12.25,23300
03-03-21,12.4,12.4,12.4,12.35,23800
04-03-21,12.4,12.45,12.75,12.4,43000
05-03-21,12.7,12.8,12.9,12.65,68900
08-03-21,13.3,13.15,13.3,13.1,35400
09-03-21,13.15,12.8,13.15,12.8,18800
10-03-21,13.05,13.1,13.15,13.05,15800
11-03-21,12.8,13.1,13.1,12.8,16500
12-03-21,13.0,12.9,13.25,12.9,29800
15-03-21,13.1,13.0,13.1,12.9,15100
16-03-21,13.2,12.9,13.2,12.85,44100
17-03-21,12.9,13.0,13.0,12.9,11700
18-03-21,13.05,12.8,13.05,12.8,86500
19-03-21,12.8,12.9,12.95,12.8,7100
22-03-21,13.1,12.7,13.1,12.7,92300
23-03-21,12.7,12.7,12.95,12.65,17600
24-03-21,12.9,12.7,12.9,12.7,10600
25-03-21,12.75,12.65,12.75,12.65,9300
26-03-21,12.7,12.55,12.7,12.5,8100
29-03-21,12.8,12.6,12.8,12.55,13600
30-03-21,12.6,12.6,12.8,12.45,87000
31-03-21,12.65,12.6,12.7,12.6,13200
01-04-21,12.6,12.6,12.7,12.5,31600
02-04-21,12.6,12.6,12.7,12.6,32700
05-04-21,12.65,12.6,12.7,12.5,68800
06-04-21,12.6,13.0,13.05,12.6,173700
07-04-21,13.0,13.1,13.1,12.85,20700
08-04-21,13.1,13.1,13.1,13.0,34000
09-04-21,13.1,13.1,13.3,13.0,29500
12-04-21,13.1,13.0,13.1,12.9,39600
13-04-21,13.1,13.15,13.3,13.05,80800
14-04-21,13.05,13.25,13.4,13.05,89100
15-04-21,13.25,13.2,13.25,13.15,34600
16-04-21,13.2,13.1,13.2,13.0,64100
19-04-21,13.8,14.0,14.0,13.5,169300
20-04-21,14.0,14.1,14.25,13.8,75600
22-04-21,14.1,13.95,14.1,13.8,102900
23-04-21,13.95,13.9,13.95,13.7,55100
26-04-21,14.2,14.3,14.35,13.9,140400
27-04-21,14.35,14.35,14.5,14.3,71700
28-04-21,14.3,14.1,14.3,14.1,24900
29-04-21,12.25,12.0,12.7,12.0,49600
04-05-21,12.0,12.2,12.5,11.9,51400
05-05-21,12.3,12.2,12.3,12.0,50300
06-05-21,12.1,12.0,12.1,11.95,59100
07-05-21,12.0,11.85,12.1,11.8,23900
10-05-21,11.85,11.55,11.85,11.4,68000
11-05-21,11.55,11.8,11.9,11.55,2800
12-05-21,11.5,11.9,12.0,11.45,11600
13-05-21,11.9,11.9,12.1,11.7,68600
14-05-21,11.95,12.0,12.1,11.9,9000
17-05-21,11.85,11.75,11.95,11.6,10500
18-05-21,11.75,11.55,11.75,11.35,29400
19-05-21,11.6,11.35,11.6,11.25,35200
20-05-21,11.25,11.35,11.45,11.25,7500
21-05-21,11.4,11.4,11.45,11.2,9400
24-05-21,11.8,11.45,11.8,11.3,42000
25-05-21,11.6,11.7,11.7,11.4,14800
26-05-21,11.8,11.7,11.8,11.6,6300
27-05-21,11.7,11.45,11.7,11.4,9900
28-05-21,11.5,11.5,11.6,11.4,36100
31-05-21,11.5,11.45,11.5,11.4,7400
01-06-21,11.4,11.65,11.7,11.4,5700
02-06-21,11.65,11.65,11.7,11.45,12000
03-06-21,11.7,11.7,11.8,11.7,19500
04-06-21,11.75,11.9,11.9,11.75,50700
07-06-21,11.9,12.2,12.5,11.9,48400
08-06-21,12.4,12.0,12.4,11.75,9200
09-06-21,11.85,12.0,12.0,11.85,6500
10-06-21,11.55,11.8,11.9,11.55,5100
11-06-21,11.85,11.8,11.95,11.5,8700
14-06-21,12.0,11.9,12.0,11.65,7700
15-06-21,12.0,12.0,12.0,11.55,12100
16-06-21,12.0,11.95,12.0,11.8,15900
17-06-21,11.95,11.85,12.0,11.8,12800
18-06-21,11.9,12.0,12.0,11.9,33300
21-06-21,12.0,11.9,12.0,11.8,33300
22-06-21,11.95,12.2,12.25,11.9,82700
23-06-21,12.3,12.2,12.3,12.05,45000
24-06-21,11.35,11.8,12.2,11.35,49500
25-06-21,12.1,12.0,12.1,11.8,13000
28-06-21,12.0,12.05,12.1,11.2,74700
29-06-21,12.05,12.1,12.1,12.0,26200
30-06-21,12.05,12.1,12.15,11.8,192900
01-07-21,11.9,12.15,12.3,11.85,114900
02-07-21,12.25,12.65,12.65,12.0,388900
05-07-21,13.15,12.9,13.15,12.65,154100
06-07-21,12.95,12.4,12.95,12.4,80600
07-07-21,12.1,11.9,12.25,11.65,97000
08-07-21,11.95,11.9,12.15,11.75,68500
09-07-21,11.95,11.5,11.95,11.25,111700
12-07-21,11.7,11.0,11.7,10.85,125100
13-07-21,11.1,11.5,11.75,11.1,32500
14-07-21,11.95,11.55,11.95,11.5,18200
15-07-21,11.6,11.7,11.85,11.55,18000
16-07-21,11.85,11.75,11.85,11.55,19700
19-07-21,11.65,11.5,11.8,11.15,35200
20-07-21,11.7,11.65,11.75,11.45,9900
21-07-21,11.75,11.5,11.75,11.3,17600
22-07-21,11.55,11.65,11.65,11.5,19200
23-07-21,11.65,11.55,11.7,11.55,22800
26-07-21,11.4,11.7,11.7,11.25,54800
27-07-21,11.55,11.75,11.75,11.45,19400
28-07-21,11.75,11.7,11.75,11.65,900
29-07-21,11.7,11.75,11.8,11.6,11100
30-07-21,11.7,11.7,11.75,11.6,12300
02-08-21,11.5,11.7,11.7,11.4,32800
03-08-21,11.55,11.7,11.7,11.55,20700
04-08-21,11.35,11.6,11.7,11.35,27200
05-08-21,11.75,12.25,12.3,11.7,120600
06-08-21,12.25,12.2,12.25,12.05,32700
09-08-21,12.2,12.2,12.2,11.9,43100
10-08-21,12.1,12.15,12.2,12.0,53900
11-08-21,12.25,12.9,13.0,12.25,905800
12-08-21,13.5,13.8,13.8,13.5,537700
13-08-21,13.9,13.85,14.4,13.2,143600
16-08-21,13.85,13.3,13.85,13.1,315000
17-08-21,13.0,13.4,13.5,12.8,404200
18-08-21,13.0,13.05,13.4,13.0,180000
19-08-21,13.1,12.95,13.35,12.95,213700
20-08-21,12.5,11.95,12.5,11.9,326400
23-08-21,12.2,12.0,12.3,11.9,171000
24-08-21,12.3,12.1,12.3,12.0,83600
25-08-21,12.1,12.1,12.1,11.95,87100
26-08-21,12.15,12.55,12.7,12.15,413600
27-08-21,12.3,13.1,13.2,12.3,407800
30-08-21,13.1,13.2,13.5,13.1,479500
31-08-21,13.4,13.35,13.4,13.2,498000
01-09-21,13.25,14.1,14.1,13.25,731000
06-09-21,14.1,15.0,15.05,14.1,681500
07-09-21,15.1,14.25,15.1,14.2,529900
08-09-21,14.0,14.1,14.6,13.55,662200
09-09-21,14.25,14.2,14.25,13.85,413500
10-09-21,14.05,14.0,14.25,13.9,210800
13-09-21,14.0,13.8,14.0,13.7,282000
14-09-21,13.7,14.0,14.5,13.6,298000
15-09-21,14.0,14.45,14.6,13.8,625500
16-09-21,14.45,14.4,14.7,14.3,250800
17-09-21,14.65,15.4,15.4,14.65,1028700
20-09-21,16.45,16.3,16.45,16.0,1674100
21-09-21,16.15,17.0,17.2,15.75,516200
22-09-21,17.0,16.7,17.0,16.4,446900
23-09-21,16.4,15.55,16.7,15.55,956500
24-09-21,15.5,15.1,16.0,14.7,452300
27-09-21,14.8,15.0,15.7,14.7,359600
28-09-21,14.8,15.7,16.05,14.8,542000
29-09-21,15.65,16.05,16.35,15.65,482500
30-09-21,16.05,15.8,16.25,15.75,309800
01-10-21,15.8,16.9,16.9,15.5,1207800
04-10-21,18.05,17.8,18.05,17.8,2256700
05-10-21,17.8,17.2,18.0,16.9,804100
06-10-21,17.2,17.2,17.4,16.7,670800
07-10-21,16.8,16.65,17.1,16.6,826500
08-10-21,16.65,17.45,17.75,16.65,593800
11-10-21,17.65,16.9,17.75,16.85,436600
12-10-21,16.75,16.55,16.85,16.35,595100
13-10-21,16.5,16.55,16.55,15.95,992800
14-10-21,17.0,16.2,17.0,16.0,1214800
15-10-21,16.2,16.5,16.55,16.15,420300
18-10-21,16.5,16.2,16.6,16.15,463700
19-10-21,16.2,15.65,16.2,15.6,740100
20-10-21,15.8,15.75,15.95,15.5,378200
21-10-21,15.55,15.75,15.8,15.55,228700
22-10-21,15.8,15.95,16.2,15.8,259000
25-10-21,16.0,16.05,16.3,16.0,312800
26-10-21,16.25,16.7,16.8,16.05,938400
27-10-21,17.0,16.95,17.3,16.6,515000
28-10-21,17.05,16.55,17.05,16.5,686100
29-10-21,16.45,16.7,17.0,16.1,1008600
01-11-21,16.8,16.4,16.8,16.35,533300
02-11-21,16.25,16.4,16.55,16.2,409200
03-11-21,16.3,15.75,16.4,15.6,705300
04-11-21,15.8,15.95,16.2,15.6,278900
05-11-21,16.25,16.15,16.25,15.85,200300
08-11-21,16.15,16.1,16.3,16.05,282300
09-11-21,16.1,16.7,16.8,16.1,1020400
10-11-21,17.0,17.85,17.85,17.0,1560100
11-11-21,18.6,18.15,18.6,17.85,1108500
12-11-21,17.7,17.85,18.0,17.3,870500
15-11-21,17.8,18.25,18.85,17.3,1107800
16-11-21,18.15,18.8,18.9,17.85,978600
17-11-21,18.7,18.4,19.0,18.4,405500
18-11-21,18.4,18.2,18.4,17.85,514800
19-11-21,17.8,17.2,18.2,17.15,984300
22-11-21,17.2,16.1,17.2,16.1,702600
23-11-21,16.2,16.6,16.8,16.2,149800
24-11-21,17.0,16.9,17.1,16.45,242400
25-11-21,16.9,16.85,16.9,16.6,235000
26-11-21,16.8,16.35,16.8,16.25,419200
29-11-21,15.35,16.3,16.4,15.35,250300
30-11-21,16.4,16.15,16.9,16.15,293600
01-12-21,16.05,16.4,16.4,16.0,179000
02-12-21,16.3,16.2,16.4,16.15,174000
03-12-21,16.2,16.0,16.3,16.0,182000
06-12-21,15.95,15.4,16.0,15.4,305900
07-12-21,15.4,15.9,16.0,15.4,167700
08-12-21,15.9,15.85,16.0,15.7,104400
09-12-21,15.8,15.85,15.9,15.7,119500
10-12-21,15.75,15.8,15.85,15.65,142900
13-12-21,15.8,16.3,16.5,15.8,204900
14-12-21,16.3,16.3,16.35,15.8,122100
15-12-21,16.3,16.7,16.9,16.2,369400
16-12-21,16.85,16.4,16.85,16.0,157100
17-12-21,16.4,16.25,16.4,16.15,88500
20-12-21,16.0,15.95,16.05,15.75,215900
21-12-21,15.85,15.9,16.0,15.75,137000
22-12-21,16.0,15.65,16.05,15.6,251900
23-12-21,15.7,15.9,15.9,15.4,337200
24-12-21,15.9,15.9,16.35,15.9,210300
27-12-21,15.9,15.95,16.2,15.8,89900
28-12-21,15.95,15.75,16.0,15.7,215000
29-12-21,15.75,15.8,15.8,15.65,110300
30-12-21,16.1,15.9,16.1,15.7,77400
31-12-21,15.85,15.75,15.95,15.75,89300
04-01-22,15.6,15.65,15.65,15.0,864200
05-01-22,15.9,15.7,15.9,15.6,435100
06-01-22,15.7,15.4,15.7,15.4,480400
07-01-22,15.5,15.5,15.65,15.35,339400
10-01-22,15.55,15.3,15.55,15.3,358700
11-01-22,15.3,15.1,15.35,15.1,352100
12-01-22,15.15,15.0,15.3,14.8,287600
13-01-22,15.15,15.0,15.4,14.7,260000
14-01-22,14.8,14.9,15.0,14.55,128200
17-01-22,14.9,14.15,15.0,14.15,258800
18-01-22,14.1,13.5,14.15,13.5,224000
19-01-22,13.55,13.85,14.0,13.55,49900
20-01-22,13.5,14.6,14.8,13.5,218500
21-01-22,14.5,14.15,14.5,13.95,143400
24-01-22,13.9,13.35,14.15,13.35,121100
25-01-22,13.35,13.4,13.5,13.1,91400
26-01-22,13.4,13.55,13.6,13.4,43900
27-01-22,13.55,13.3,13.6,13.1,86800
28-01-22,13.4,13.35,13.4,13.1,104700
07-02-22,13.55,13.9,14.15,13.55,58700
08-02-22,13.9,13.75,14.0,13.7,40200
09-02-22,13.65,13.8,13.8,13.5,177100
10-02-22,13.85,13.9,14.0,13.8,45500
11-02-22,13.9,14.0,14.3,13.9,77000
14-02-22,14.0,14.45,14.65,13.9,285800
15-02-22,14.6,14.4,14.6,14.4,47400
16-02-22,14.35,14.35,14.4,14.2,51500
17-02-22,14.3,14.35,14.7,14.25,124600
18-02-22,14.35,14.35,14.5,14.0,101800
21-02-22,14.35,14.35,14.5,14.25,102900
22-02-22,14.3,14.3,14.5,14.2,171400
23-02-22,14.45,15.3,15.3,14.3,921400
24-02-22,15.5,15.15,15.5,14.5,554800
25-02-22,15.0,14.85,15.05,14.8,147700
28-02-22,14.7,14.85,15.2,14.5,282300
01-03-22,14.8,14.75,14.95,14.5,226400
